fist_phrase	reply
	И подарочек мне от Деда Мороза!!! Вазочка для орехов... Из натурального дерева, орех, ручная работа, наших армянских мастеров!
Христос рождается!	славімо його!!!
Пампушки с маком	Terry, а можно, пожалуйста, рецепт пампушек, очень они мне приглянулись.
еще было 7 салатиков	Ну, Настюша, ну рукодельница, это ж когда ты только все успела? Какая же ты хозяюшка
Пирог яблочный sour cream apple pie	Хочу подтвердить, что пирог необычайно вкусен!!!
Селедка под шубой	селедочка под шубой
селедочка под шубой	ой , как аппетитно а не приготовить ли и себе селедочку под шубой ?
Всех Поздравляю с открытием новых Обедов и ужинов!	присоединяюсь!
Ссылку на это украшения давала Полина - polinad2007 , найти никак не могу!	Роза из огурца
Всех Поздравляю с открытием новых Обедов и ужинов!	присоединяюсь!
Ссылку на это украшения давала Полина - polinad2007 , найти никак не могу!	Роза из огурца
с одним из моих самых-пресамых любимых кексов - МОХИТО от Ирульки	Екатерина, я тоже этот кексик просто обожаю, какой он у тебя красавчик!
и испекла банановые кексики (опробовала новую форму)	До чего же красивые получились! Пожалуй тоже сегодня испеку.
я продолжаю заниматься заготовками	Молоднц,Юлечка!!!
я продолжаю заниматься заготовками	Молоднц,Юлечка!!!
Дорогие форумчаночки))) снова и снова восхищаюсь вашим трудолюбием и умением ))))	"у меня сегодня была ""Монастырская изба"" по случаю маленькой даты маленького сыночка(нам уже целых 6 месяцев"
"у меня сегодня была ""Монастырская изба"" по случаю маленькой даты маленького сыночка(нам уже целых 6 месяцев"	Ксюша,сынулечку с праздником!
Пицца с аппетитным краешком	и я такого же плана делала пиццу, но только идею подсмотрела у Оли(Имбирь) в гусеничках
Разик, какая ты умничка!!!!!	Спасибо!
Oiseau Рина, ну нельзя же тАк издеваться Тааааакие АПППППетитные эклеры Красота!	Они не только вкусные, но, как оказалось, еще и легкие в приготовлении
Вчера с подругой сделали эклеры по рецепту Улыбки	Ставь чайник - я пошла к тебе в гости!...
Дорогие девочки и мальчики !	Угощайтесь творожным пирогом с абрикосами от Саши !!!
Ната, какой шикарный пирог у тебя получился! good2 Красота!	Спасибо, Светик !!!
В итоге, мой баклажанный сэндвич выглядит на фото больше как рыба.	Выглядит очень аппетитно
"Девочки, поздравляю всех с открытием пятого тома ""Обедов и ужинов""."	Я присоединяюсь!!!
"Девочки, поздравляю всех с открытием пятого тома ""Обедов и ужинов""."	Я присоединяюсь!!!
Позвонил сын, сообщил важную (для нашей семьи) весть - завершил ПОСЛЕДНЮЮ сессию в университете, остался диплом.	Валюша, поздравляю!!! Это, действительно, событие!!!
Позвонил сын, сообщил важную (для нашей семьи) весть - завершил ПОСЛЕДНЮЮ сессию в университете, остался диплом. Валюша поздравляю с хорошей новостью, и пирог чудо.	Даниловна
поздравляю!!!	поздравляю с хорошей новостью
поздравляю с хорошей новостью	Наташа, Лизонька, спасибо
А я вам рекомендую очень вкусную запеченную картошечку от Valentina47	"Оленька, спасибо А я предлагаю попробовать торт ""Панчо"" по рецепту Ольги К."
Лиля, красотища неописуемая!!!	Лилечка,стол у вас шикарный!!!
Лилечка,стол у вас шикарный!!!	Радует,что у вас в Греции все нормализовалось,хоть Рождество встретили спокойно.
Радует,что у вас в Греции все нормализовалось,хоть Рождество встретили спокойно.	Лиличка, стол прекрасный!!!!
Лиличка, стол прекрасный!!!!	Лиля, как у тебя все аппетитно и красиво
Лиля, как у тебя все аппетитно и красиво	Лилечка, я в восхищении !!!
Лилечка, я в восхищении !!!	Еще раз с Рождеством тебя , дорогая !!! girl_bye
Еще раз с Рождеством тебя , дорогая !!! girl_bye	Лилечка! Супер!
Лилечка! Супер!	Юленька,благодарю....
Лиля, красотища неописуемая!!!	Лилечка,стол у вас шикарный!!!
Лилечка,стол у вас шикарный!!!	Радует,что у вас в Греции все нормализовалось,хоть Рождество встретили спокойно.
Радует,что у вас в Греции все нормализовалось,хоть Рождество встретили спокойно.	Лиличка, стол прекрасный!!!!
Лиличка, стол прекрасный!!!!	Лиля, как у тебя все аппетитно и красиво
Лиля, как у тебя все аппетитно и красиво	Лилечка, я в восхищении !!!
Лилечка, я в восхищении !!!	Еще раз с Рождеством тебя , дорогая !!! girl_bye
Еще раз с Рождеством тебя , дорогая !!! girl_bye	Лилечка! Супер!
Лилечка! Супер!	Юленька,благодарю....
	Посередине - заливной язык, оформление взяла у Танечки Лаврушки
камыши делаются так - из кусочка крутого теста делаются колбаски по форме камыша	Полиночка, из сырого теста, печь не надо?
Лидуся, печь не надо, они просто подсыхают	Virginia
строго не судите, так как получила травму руки 30 декабря	Наташенька, дай Бог тебе здоровья! Ты молодец! Вон какой стол накрыла!Выздоравливай!
Какие шикарные столы у ВСЕХ!	Девочки, все супер-мастерицы!
Virginia	А ты сама все это делала? Или кто помогал? Просто физически я думаю, как это столько можно было приготовить????
Имбирь молодца.	Олечка, спасибо!!!
А ты сама все это делала? Или кто помогал? Просто физически я думаю, как это столько можно было приготовить????	"Мне моя Оля помогала, но ""львиную"" долю , конечно же, сама делала!"
А дессерт где смотреть? (рецепт?)	Наташа,рецепта нет,выложила фрукты -ананас,виноград,вишня,лимон.
"губы у рыбы на салате ""Под шубой"", я прям обзавидовалась, я тоже таки хочу!"	Лидань, ну зачем тебе такие, они же силиконовые!!!! Ты у нас в сто раз краше!!!
"Раз ты решилась на сладкое сделать шишку- то вручить тебе орден "" за терпение, талант"" я преклоняюсь перед всеми , кто делает этот шедевр!"	Совершенно согласна!
	A я вас угощаю запечённым рисом.
Я сегодня приболела	Ну-ка, выздоравливай скорее!!!
Угощайтесь - дамплингс (это чтото типа вареников, ), мокать в соевый соус.	Спасибо, Лидуся, за угощение. Оленьке - привет!
Я сегодня делала пиццу из помидор , ветчины и сыра.	Ух какая аппетитная!
А мы только, что поужинали	"""Курятина ""на тарелки"" от Оксаны."
ДЕВОЧКИ,ВСЕМ ЛЮБИТЕЛЯМ,,ГОЛУБЦОВ,,СОВЕТУЮ!!! Rose Rose Rose	ГОЛУБЦЫ-ВО РТУ ТАЮТ........!!!!!!
A я вас угощаю запечённым рисом	А вот что приготовила сегодня на ланч мне и себе моя Оля. Мини пицци
А вот что приготовила сегодня на ланч мне и себе моя Оля. Мини пицци	Твоя ОЛЯ супер!!!Аппетитная пицца
	A я вас угощаю запечённым рисом.
Я сегодня приболела	Ну-ка, выздоравливай скорее!!!
Угощайтесь - дамплингс (это чтото типа вареников, ), мокать в соевый соус.	Спасибо, Лидуся, за угощение. Оленьке - привет!
Я сегодня делала пиццу из помидор , ветчины и сыра.	Ух какая аппетитная!
А мы только, что поужинали	"""Курятина ""на тарелки"" от Оксаны."
ДЕВОЧКИ,ВСЕМ ЛЮБИТЕЛЯМ,,ГОЛУБЦОВ,,СОВЕТУЮ!!! Rose Rose Rose	ГОЛУБЦЫ-ВО РТУ ТАЮТ........!!!!!!
A я вас угощаю запечённым рисом	А вот что приготовила сегодня на ланч мне и себе моя Оля. Мини пицци
А вот что приготовила сегодня на ланч мне и себе моя Оля. Мини пицци	Твоя ОЛЯ супер!!!Аппетитная пицца
Сегодня у младшей дочери - день рождения. Поздравляю	Кто хочет разгружаться после всех тортов и пирогов , предлагаю овощную запеканку - брокколи и морковь
Брусничка, славный у вас пикник получился!	Наталика.79, очень аппетитный супчик! И свинина! И салатик!
Пусть ручки твои не болят такое тесто вымесить!	Людочка, спасибо! Хлебопечка есть, но ручками привычнее!!!
	Марья-искусница
	Марья-искусница
	Tatjana Dick
Скромненьнько присоеденяюсь	Танюшка, ничего себе скромненько, волшебно
Уже полюбившийся нам винегрет с грибами от Ольги К.	Куриное филе с консервированной фасолью от Ольги К.
Куриное филе с консервированной фасолью от Ольги К.	Ольга ,блюдо получилось очень вкусное,лёгкое и быстрое в приготовлении,а на вид красивое. Спасибо за рецепт,всем понравилось.
Угощайтесь, пызы белорусские	какая красотища)))и вкуснотища наверное)))
Какой красивый Кубанский борщик, такой золотистый и аппетитный..	Коржи бисквитные, сметанные, по рецепту Ольги http://forum.say7.info/topic3690.html
Коржи бисквитные, сметанные, по рецепту Ольги http://forum.say7.info/topic3690.html	Бисквит очень вкусный, готовится быстро и без особых заморочек!!!
Девочки, не судите строго-честно-пекла впервый раз, но мне кажется, что удачно получился	А у нас сегодня сегодня супчик
А у нас сегодня сегодня супчик	Спасибо за супчик!!! Я как раз такая голодная!
не судите строго-честно-пекла впервый раз, но мне кажется, что удачно получился	Хлебушек - супер!
А я сегодня угощу вас рагу.	Спасибо за угощение!!!ням,ням!!!
Девочки, не судите строго-честно-пекла впервый раз, но мне кажется, что удачно получился	А у нас сегодня сегодня супчик
А у нас сегодня сегодня супчик	Спасибо за супчик!!! Я как раз такая голодная!
не судите строго-честно-пекла впервый раз, но мне кажется, что удачно получился	Хлебушек - супер!
А я сегодня угощу вас рагу.	Спасибо за угощение!!!ням,ням!!!
ой муж то ка вкусно встречаем а панчо я поняла на десертик...как детки уснут	"Луиза, спасибо! Я старалась! А старшенькая без ""Панчо"" спать не пойдет!"
Это моё первое дрожжевое тесто с которым я подружилась !!!!	Это очень хороший друг, который тебя не когда не покинет!!!!
	... уже сажусь в самолет!!!! через два часа и я у тебя - и тогда я все съем!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
От салатика ещё что-нибудь осталось ? Валюша, я перед Наташей к вам приземлюсь !!!!	Милости прошу, салата много еще!
Валечка, все так вкусно	Анечка
Девчата, я уже боюсь сюда заходить. Здесь ни то, что вкусно, а очень при очень вкусно, но от таких соблазнов могу не удержаться. Ну, вы все такие шикарные блюда предлагаете, что уже глаза в разные стороны смотрят, а на себя уже в зеркало не смотрюсь.	Вот и я таково же мнения !!!
Не подскажит, кто-нибудь, где силу воли куппить, за любые деньки !!!!	"Оксан, у меня только одна мысль, как в мультике ""Держаться больше нету сил!"""
Вы точно голодные не остались!	Барбацуца
Угощайтесь! И как говорят у нас в этот день: Христос рождается!	Лидочка-это провокация,ну как угостишься,а все такое вкусное,а красивое какое....Умничка!!!
Я тоже хочу показать,что я готовила на Рождество:	Оленька-лучше бы не показывала!!!!Просто желудок начал изнутри бить,разве так можно!!!Молодец!!!
И почему я ни одна из этих двух ???	Идея отличная, хотелсь бы всех увидеть и угостить
А это мой Новогодний стол. На 2 человека.	Я в шоке!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Умница!!!!!!!!!! И как вы вдвоём осилили всю эту вкуснотищууууууууууууууууууу??????
Я в шоке!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Умница!!!!!!!!!! И как вы вдвоём осилили всю эту вкуснотищууууууууууууууууууу??????	Юличка ели это всюслндующую неделю. Большую часть, ночью даже непробывали.
Это я с сыном	Ох, ну ничего себе! А я думала, что с братом!
Дня три наверное на кухне дневала и ночевала?! щинк3 щинк3 щинк3 Смиле Смиле Смиле Умничка!!! Ромашки Ромашки	ну да, там же и спала наверно, ну это ж надо, столько наготовить?
	Ох, ну ничего себе! А я думала, что с братом
Оксаночка, спасибо вам, вы столько вкусняшек выставляете, я даже практически не повторяюсь от такого изобилия рецептов	Вот,вот ,девчёнки ,я тоже
я даже практически не повторяюсь от такого изобилия рецептов girl_in_love girl_in_love girl_in_love New Year Snegurochka New Year Tree	А С ТЕХ ПОР КАК Я НА ЭТОМ САЙТЕ, ГОТОВИЛА ПО ВТОРОМУ РАЗУ ТОЛЬКО ТО, ЧТО ОООЧЕНЬ ПОНРАВИЛОСЬ. А ТАК ВСЁ КАЖДЫЙ ДЕНЬ ГОТОВИТЬСЯ НОВЕЬКОЕ .
А С ТЕХ ПОР КАК Я НА ЭТОМ САЙТЕ, ГОТОВИЛА ПО ВТОРОМУ РАЗУ ТОЛЬКО ТО, ЧТО ОООЧЕНЬ ПОНРАВИЛОСЬ. А ТАК ВСЁ КАЖДЫЙ ДЕНЬ ГОТОВИТЬСЯ НОВЕЬКОЕ .	Подерживаю Заиньку, я тоже!! Каждый день новое и новое. Это так здорово! Завела себе книгу в которую записываю рецепты. которые ну очень понравились и возможно буду повторять. Спасибо вам девочки всем!!!
а это я сегодай мужу на первое подавала	Фасолевый суп.
Вот накрыла стол и все по рецептам с моего любимого сайта!	Аичка, молодец! Такой шикарный стол организовала!
Девочки,приятного аппетита!!!!	Людмила, наверняка вкусно! Так что угостимся с удовольствием!
а это я сегодай мужу на первое подавала	Фасолевый суп.
Вот накрыла стол и все по рецептам с моего любимого сайта!	Аичка, молодец! Такой шикарный стол организовала!
Девочки,приятного аппетита!!!!	Людмила, наверняка вкусно! Так что угостимся с удовольствием!
Ируська!!!!!!	Как вкусно!!!!
потушила говяжьи ребрышки в лучном соусе/луке с чесночком и чили	С ума сойти!!!!!
Хачу рецепт!	Да нет...ни какого рецепта....в тесто для оладушек...натёрла на мелкой тёрке (или в миксере) кусок тыквы.....вот и всё...
ничего особенного, поэтому рецепта не написала	Да нет...ни какого рецепта
Да нет...ни какого рецепта	Aromushka!!!!
а я к чаю булочки от Людмилочки.	Ай! Яй! Яй! Какая красота!!!!!
просто поленилась кремом наполнять Smile Smile Smile вот и испекла 2 коржа, смазала кремом, поклала под пресс на 2 часика и все Smile Smile Smile Smile Smile Smile Smile -получилось очень нежно	к чаю булочки от Людмилочки.
к чаю булочки от Людмилочки.	Твои булочки такие аппетитные ням,ням!!!
Людочка, вот молодец, выкрутилась как	Соглашаюсь с Женечкой - идея хорошая! Надо так сделать как нибудь!
Евгения писал(а): Людочка, вот молодец, выкрутилась как	Соглашаюсь с Женечкой - идея хорошая! Надо так сделать как нибудь!
Людмилочка	Вот выдумщица! А коржики (если не ошибаюсь 2 шт.) в форме пекла?
Я вот думаю сейчас машевый супчик приготовить. Может фотку выставлю.	"Из этого предложения необходимо убрать слово ""может""!"
лень - двигатель прогресса	А вот это - святая истина
	"Кстати, помнится, не она одна тут такая ""ленивая"""
Aromushka писал(а): Я вот думаю сейчас машевый супчик приготовить. Может фотку выставлю.	"Из этого предложения необходимо убрать слово ""может""!"
Мы же вторые ОТЧЁТЫ закончили!!!!!!	Точно!!!!!!!!!!!!!!
"Поди ""разговоров"" больше, чем блюд"	Virginia
"Если Настя ""почистит""....окажемся на 25-й странице"	все возможно!!!!!!!!!!
А я вот девочки все думаю , это ж каких размеров кухню надо иметь, чтобы все вместить, что хочется иметь !	Мечта хозяйки - огромная кухня!
А ты еще в ней что-нибудь готовишь или только манты?	Она как и пароварка может использоваться,только я холестерин люблю!
Танюня	Такой вкусный рецепт, надо сделать. А ненможко по-другому рыбку делаю, все мои гости просто обожают ее. Когда буду делать, то сфоткаю и дам рецепт.
Танюня	Хорошо, буду ждать! Мы этим летом были на Украине и моя мама жарила окуня. Боже, я такой вкуснятины сто лет не ела, приехала сюда, купила сдешнего окуня, ни вкуса ни запаха. Так жаль.
И что же делать! Едем назад?	Будем ездить в отпуск и объедаться рыбкой!!! А еще первым делом, когда я приеду домой, куплю ведро раков, сварю и съем!!!
Светик! Это любимая еда моей дони!	МНЕ КАЖЕТСЯ,ЧТО ЭТО ,,ПОДНОЖНЫЙ,,КОРМ ВСЕХ ПОДРОСТКОВ МОИ ГОТОВЫ КУШАТЬ КАЖДЫЙ ДЕНЬ СПАГГЕТИ С СОУСОМ
- Хозяюшки дорогие, это вам!!!!	Спасибо, Иришка!
	МНЕ КАЖЕТСЯ,ЧТО ЭТО ,,ПОДНОЖНЫЙ,,КОРМ ВСЕХ ПОДРОСТКОВ МОИ ГОТОВЫ КУШАТЬ КАЖДЫЙ ДЕНЬ СПАГГЕТИ С СОУСОМ
"Привет всем красавицам ! Сегодня нас ""кормили"" вкуснятиной UNA и ТАНЮНЯ ! Молодцы , девочки"	А я на следующей неделе, если жива буду, что-нить интересное опять приготовлю. Так что до понедельника !
У меня как правило, суббота и воскресенье - это выходные от кухни и вообще от домашних забот Буду отдыхать	ХОРОШЕЕ ПРАВИЛО А У МЕНЯ НАОБОРОТ ПОЛУЧАЕТСЯ-ВЫХОДНЫЕ КАК ДОПОЛНИТЕЛЬНАЯ ВАХТА
Девочки, мы уже на 100 страниц наели, где ж тут не поправиться	А я уже поправилась... где-то на 92-страничке!
"Люсичка , а я не могу себя настроить на разгрузку ...Только подумаю: "" Все, сегодня не ем (хотя бы мучного )""...а на деле не получается..."	Томита, а тебе-то зачем! Ты и так стройненькая, как берёзка!
да я не о фигуре пекусь , просто знаю , что иногда поголодать полезно	Успокойся, для здорового человека, не отягощёного лишним весом, аллергией и ненужными солями в разных местах голодание совсем необязательно!
