fist_phrase	reply
Это ж какую силу воли нужно иметь, чтобы дотерпеть до следующего дня и не захлебнуться слюной! Я думаю, что это безумно вкусно!Это два моих любимых сочетания в одном десерте: тирамису и вишня с шоколадом.	Обязательно приготовлю, большое спасибо за рецепт!
только с изюмом, вымоченном в роме, но мой любитель рома и изюма потребовал больше рома	Елена, а как ром сочетается со сгущенкой? Нормально гармонирует?
вот ромовый изюм с коровкой - вкусно, по-рождественски, только от рома легкий приятный аромат больше, чем вкус.	Как здОрово!
"Я капаю в тарелку с холодной водой - как только сразу застывает и ""на зубок"" становится как тянучка, не совсем мягкая, а вроде как ""аль денте"" - готово."	Да, можно и такую пробу делать.
оставлю кусочек на хранение, посмотрю как на вкус в новом году будет	Думаю, всё-таки, она подсохнет. Хотя в полиэтиленовом мешочке или в пищевой пленке, возможно, сохранится.
В пленке и коробочке в дороге нормально будет?	Думаю, да. Конфеты, конечно, не испортятся, могут только подсохнуть немного, но это не страшно.
Спасибо, рецепт заинтересовал!	На здоровье!
С наступающим Новым Годом!	Спасибо, Мила! И тебя тоже с праздником!!!
С прошедшим вас!	Спасибо! Тебя тоже!!! Всех благ в наступившем году!
И еще 1 раз они у меня как ириска получились,	Бывают такие накладки.
Хочу выразить огромную благодарность за Ваш превосходный рецепт.	Спасибо большое!
Получилось все с первого раза. Вкус - Божественный!!!	Дарья, ты не представляешь, как я рада. Я всегда очень переживаю, если конфеты не получаются, как надо.
Спасибочки	Лилия, на здоровье!
У меня наконец получились Коровки, а не ириски! Ураа! Спасибо еще раз за рецепт Буду делать еще	ЗдОрово!!!
делала второй раз, вернее третий. Первый раз получились, а потом ириски. В чем дело?	Лилия, вот это и для меня загадка. Раньше недоумевала, почему у девочек получаются ириски, пока такое, однажды, не приключилось и со мной. Мне показалось, что это из-за того, что смесь очень долго бурно кипела.
Лилия, вот это и для меня загадка. Раньше недоумевала, почему у девочек получаются ириски, пока такое, однажды, не приключилось и со мной. Мне показалось, что это из-за того, что смесь очень долго бурно кипела.	Может, ещё стоит, немного увеличить количество сливочного масла? Знала бы причину, то, конечно, подсказала бы.
Но я еще попробую с сухим молоком,	Возможно это поможет сделать конфеты более рассыпчатыми.
Уже в закладочках, после праздников будем пробовать	Только не ругайте меня сильно, если получатся ириски.
Возможно это поможет сделать конфеты более рассыпчатыми.	Лилия, так хочу, чтобы у тебя всё получилось!
Попробовала с молоком,но в холодильнике стали как камень,при комнатной температуре ириски	Ужас!
Придется снова по твоему рецепту делать,хоть четверть нормы	Я подправила количество сливочного масла в рецепте, думаю, небольшое увеличение пойдет на пользу.
Свет, попробуй! Это вкусняшка! А у меня все любят и бананы и мороженое!!!Так , что точно всем понравится!!!!!	sveta1601
А у меня все любят и бананы и мороженое!!!	Можно еще сверху шоколадом тертым посыпать.
Я ни разу не жарила бананы	Попробуй обязательно!
Это ооооооочень вкусно! Иришка! Супер бананчики! Спасибо! Мой сын любит еще такой вариант: положить жареный бананчик в блинчик и полить растопленным шоколадом!	Ириshа
положить жареный бананчик в блинчик и полить растопленным шоколадом!	Я такой вариант тоже люблю! .
то зажаренные они уйдут на ура! Эт точно! Мы еще когда на шашлычки едем, берем с собой несколько баначиков и ложем на уголечки. Это нечто!	Ириshа
Мы еще когда на шашлычки едем, берем с собой несколько баначиков и ложем на уголечки.	Спасибо! Буду тоже теперь с бананами ездить
Жареные бананы?	Очень-очень вкусняцко!
Ну чтож, стоит рискнуть	Тогда сразу шомпанского на стол поставь
Иришка! Супер бананчики! Спасибо! Мой сын любит еще такой вариант: положить жареный бананчик в блинчик и полить растопленным шоколадом!	Ну вы блин девченки даете Такое слюноотделение пошло!!!!!!!!!!!!
но сам рецепт я знаю уже давно, это оооооооооооооооооочень вкусно	Ага!
