fist_phrase	reply
сразу догадалась, чьё это произведение!	благодарю,дорогая!
Какое аппетитное рагу, да ещё и с моими любимыми кальмарами!	Наташа, а что это за такие колбаски чоризу? Они остренькие?
что это за такие колбаски чоризу? Они остренькие?	они разные бывают и остренькие и нет,копченые
Это блюдо продают в торговых центрах в Португалии,там где разные ресторанчики? Я не ошиблась?	что-то похожее продают из кальмаров,не обращала внимания,но думаю без картошки
что-то похожее продают из кальмаров,не обращала внимания,но думаю без картошки	а вот в ресторанах подают Значит это очень вкусно,обязательно приготовлю.Пробовали действительно без картошки.
Значит это очень вкусно,обязательно приготовлю.Пробовали действительно без картошки.	Марина,попробуй обязательно.Если покупной понравился,приготовленный в домашних условиях вдвойне.Удачи!
вы интересные рецепты выкладываете, я уже второй день как книжку на ночь читаю! жаль, что нельзя вас целиком в закладки добавить!	спасибо!
Я,благодаря Вашим интереснейшим рецептам, то на рынок, то в магазин...!!!	это совмещение полезного с приятным
Кальмары говорите..... в воскресенье на семейный обед!	ах,какой обед будет воскресный!
Воскресный обед пришлось перенести на субботу!	Блюдо превосходное!Вкуснота, пальчики оближешь, объедени
Блюдо превосходное!Вкуснота, пальчики оближешь, объедени	здорово,я рада,что рецепт не разочаровал
Некоторые Ваши рецепты стали частыми и любимыми блюдами нашей самьи. Спасибо Вам, Наташенька, большое!	Оленька и тебе спасибо за доверие и добрые слова
Вместо картошки добавили баклажанчик беленький и кабачек молоденький!Очень они не помешали блюду	не сомневаюсь,эти овощи отлично вписываются в этот рецепт
ринимайте отчет о вкусняшке, от которой остались лишь фотографии!	а какая фотография!!!
Ну любят мои дети и муж рагу из кальмаров!!	как я рада,что рецепт полюбился
Спасибо,Натулечка, что выдали такой прекрасный сезонный рецепт!	Оленька,на здоровье всей твоей семье.
"Правда кальмаров ""бейбиков"" не нашла, пришлось довольствоваться обычными."	главное,что разницы во вкусе нет
я аааабажаю омлетик с креветками )в субботу буду делать опять или снова?!!!!!!	еще одна радость для меня!
сразу догадалась, чьё это произведение!	благодарю,дорогая!
Какое аппетитное рагу, да ещё и с моими любимыми кальмарами!	Наташа, а что это за такие колбаски чоризу? Они остренькие?
что это за такие колбаски чоризу? Они остренькие?	они разные бывают и остренькие и нет,копченые
Это блюдо продают в торговых центрах в Португалии,там где разные ресторанчики? Я не ошиблась?	что-то похожее продают из кальмаров,не обращала внимания,но думаю без картошки
что-то похожее продают из кальмаров,не обращала внимания,но думаю без картошки	а вот в ресторанах подают Значит это очень вкусно,обязательно приготовлю.Пробовали действительно без картошки.
Значит это очень вкусно,обязательно приготовлю.Пробовали действительно без картошки.	Марина,попробуй обязательно.Если покупной понравился,приготовленный в домашних условиях вдвойне.Удачи!
вы интересные рецепты выкладываете, я уже второй день как книжку на ночь читаю! жаль, что нельзя вас целиком в закладки добавить!	спасибо!
Я,благодаря Вашим интереснейшим рецептам, то на рынок, то в магазин...!!!	это совмещение полезного с приятным
Кальмары говорите..... в воскресенье на семейный обед!	ах,какой обед будет воскресный!
Воскресный обед пришлось перенести на субботу!	Блюдо превосходное!Вкуснота, пальчики оближешь, объедени
Блюдо превосходное!Вкуснота, пальчики оближешь, объедени	здорово,я рада,что рецепт не разочаровал
Некоторые Ваши рецепты стали частыми и любимыми блюдами нашей самьи. Спасибо Вам, Наташенька, большое!	Оленька и тебе спасибо за доверие и добрые слова
Вместо картошки добавили баклажанчик беленький и кабачек молоденький!Очень они не помешали блюду	не сомневаюсь,эти овощи отлично вписываются в этот рецепт
ринимайте отчет о вкусняшке, от которой остались лишь фотографии!	а какая фотография!!!
Ну любят мои дети и муж рагу из кальмаров!!	как я рада,что рецепт полюбился
Спасибо,Натулечка, что выдали такой прекрасный сезонный рецепт!	Оленька,на здоровье всей твоей семье.
"Правда кальмаров ""бейбиков"" не нашла, пришлось довольствоваться обычными."	главное,что разницы во вкусе нет
я аааабажаю омлетик с креветками )в субботу буду делать опять или снова?!!!!!!	еще одна радость для меня!
, ну как всегда просто СУПЕР!!!! Выглядит очень аппетитно!!! Как решусь сделать -обязательно выставлю фотоотчет!!!!	Катюша,спасибо,что заглянула. Буду рада,если воспользуешься рецептом и не разочаруешься.
"Отчитываюсь! Была суббота и естественно были омлетики! и салатик с селедочкой ""Отпад""!"	немецкие булочки с секретом, рагу из кальмаров и родственники (любители вкусно покушать..)
немецкие булочки с секретом, рагу из кальмаров и родственники (любители вкусно покушать..)	вот это да!!!
Спасибо, Натулечка, огромное за рецептики, без Вашей помощи праздник бы не удался....	на здоровье всей твоей семье!
Я немного дополнила рагу креветочками и добавила побольше помидор и сока, получилось что-то типа густого супа. Оооочеень вкусно!!	Буде теперь готовить однозначно!!
Спасибо!!!!!!!!! Что-то новенькое, вкусненькое)))))) В закладочках уже	Екатерина,готовьте на здоровье!
Нарисовался вопрос: а помидоры сразу и те и другие добавлять, вместе с соком?	сразу добавлять и слегка протушить
Нигде не могу найти соус Табаско (((( Чем можно заменить?Может перчиков острых покрошить?	смело можно использовать острый перчик
спешила к тебе поделиться новыми вкусовыми качествами любимого блюда, глянула на твое фото с рагу и поняла свою стратегическую ошибку ....забыла положить зеленушк	Оленька,рада тебя снова видеть в этой теме.
Хвастаюсь- у нас сегодня почти испанское рагу, девочка наша привезла из Испании Chorizo picante специально, вкус хочу тебе доложить совсем другой, чем с нашей кабасой!	о,класс!молодчинка дочурка
От всех нас большое спасибо!	на здоровье вам всем,дорогая!
а отсутствие зеленушки ничего не скажу, так как была сосредоточена на вкусе!Ну а вкус действительно другой!А	понятно,не до того было
большое есть с раками и лобстерами...	ага,знаю,знаю такое
Ух ты ж! Красивое! У меня что-то в этом роде!	у тебя прямоугольная,квадратная или круглая?
Это они,наверное, из одной серии...но мое уже старенькое...	красивое блюдо!
я, какое красивое рагу!!! и могу представить какое вкусное!!! Супер!	спасибо,Ирина,что заглянула
Это блюдо бесподобное просто Нам так понравилось К	Анечка,я рада,что блюдо не оставило равнодушным.
Кстати, вино придает очень пикантную нотку Я раньше его не добавляла в подобные продукты, и зря	именно,но почему-то многие не решаются его использовать в рецептах,а зря,как правильно ты заметила
очень много ссылок получилось	эх..Наталья, что же вы со мной делаете? Скоро я точно лопну от всей вкуснотищи, а еще лопнут со мной мои закладки
у вас там как обстоят дела с морепродуктами?	у нас все есть и все свежее рядом с морем и океаном живем
Скоро я точно лопну от всей вкуснотищи, а еще лопнут со мной мои закладки	я не лопнула и ты не лопнешь
у нас все есть и все свежее рядом с морем и океаном живем	я так и подумала,здорово!
это то что мне нужно.Подборка просто класс!Все блюда с вином,завтра буду изичать.Спасибо тебе огромное	на здоровье
Спасибо за рецепт	Очень, очень вкусно
Сначала думала колбаску убрать, но не стала, и не пожалела Она придает подкопченый аромат	да,колбаса,а точнее чоризо придает особый вкус
на здоровье	буду рада,если найдешь рецепты по душе и вкусу
еще бы не выбрать из такого шикарного списка!	все до единого хочется опробовать
Я тебе еще не надоела со своими отчетиками?	Оль,та ты шо?!
Пока в холодильнике есть shorizo нужно приготовить что? Правильно....рагу из кальмаров	правильно,лови момент как говорится
Вкуснотища неймоверная, ужин удался! Спасибочки, дорогая!	Фотка рабочего процесса...еще булькает...
Vkusnyatina kakaya.Begu gotovit.Muj obojaet seafood, a tut ewe I ego lubimie perchik I pomidorki.Spasibo bolwoe	Ирина,готовь на здоровье!
Ну это ОЧЕНЬ вкусно!!! год назад оставила вам коммент, что обязательно приготовлю и вот наконец решилась!!	во-первых одно удовольствие готовить это блюдо, насколько все гармонично в нем , а во-вторых оно получается очень вкусным!!! Я очень переживала испортить кальмаров, но нет...все получилось идеально!!! готовила строго по-рецепту, кальмаров тушила ровно 2 минуты!
во-первых одно удовольствие готовить это блюдо, насколько все гармонично в нем , а во-вторых оно получается очень вкусным!!! Я очень переживала испортить кальмаров, но нет...все получилось идеально!!! готовила строго по-рецепту, кальмаров тушила ровно 2 минуты!	Катюша,как здорово,что не только вкус не разочаровал,но и сам процесс приготовления этого блюда понравился
рада слышать хвалебные слова от профессионала)))) ну надо же ты помнишь что мы картофель не едим)))) обалдеть у тебя память))) очень приятно))))	Иечка,а как же,я многое помню!
знаешь с кабачками и фаршем получилось просто улетно теперь это будет одно из очень частых блюд в моем меню ))))	представляю какая вкуснятина!
Обожаю твои рецепты!!!!!!!!!	Спасибо тебе огромное!!!
да как же про тебя забыть то???? Ты же мой кулинарный Ангел)))) я искренне восхищаюсь твоими рецептами и пользуюсь ими постоянно)))	Иечка,дорогая,спасибо за такие теплые слова!
вот как доказательвто фотография очередной порции рагу с кальмарами))) полюбилось нам блюдо так что пока кальмары не закончатся в морозилке я буду их готовить)))))	на этот раз подавала на перловке - удивиетльно вкусно и сытно
Еще раз спасибо тебе	на здоровье!
Наташ, и сюда загляну отчитаться.	Твоё рагу - вкуснятина!
В закладочки))))	nata69
Очень заинтересовало в этом блюде сочетание кальмаров, копчёных колбасок и картофеля. Попробовали приготовить на днях. Всё получилось, но, на наш вкус, картофель забивает вкус кальмаров. Возможно, попробуем как- нибудь приготовить без картофеля, а на гарнир к рису.	на вкус и цвет как говорится
Наташа, я живу в Португалии и готовлю португальскую кухню только по вашим рецептам. Помогите, пожалуйста, разобраться с названием кальмара. Это lula или pota? Как по-португальски будут каракатицы? Запуталась я в них совсем	Татьяна,привет!
Наташа, спасибо огромное. Т.е. в этом рецепте лучше использовать lulas. Сколько минут их тушить, чтобы они не были жесткими?	Тань,не за что!
Наташа, вчера приготовила на ужин, получилось очень вкусно. Спасибо! Правда, без шафрана, подожду скидок lulas тушила 15 минут, получилось самое то. А теперь вопрос непрофессионала: lulas купила замороженных, маленьких. Только дома поняла, что они не очищены или полуочищенны. Были голова и внутренности белые. Я их очистила от верхней пленки, вынула внутренности и от головы использовала только щупальца. Не знаю, правильно почистила или что съедобное выбросила?	Тань,конечно лучше всего покупать очищенные,чтобы не заморачиваться
Да, теперь буду внимательнее. Все только очищенное, экономия времени и денег.	Раньше все выпечкой увлекалась (твой хачапури у нас был хитом), а теперь с со всей кулинарией завязала
Раньше все выпечкой увлекалась (твой хачапури у нас был хитом), а теперь с со всей кулинарией завязала	мне не завязать,т.к.мои выпечку обажают и просят
На очереди choquinhos, благо теперь знаю, что это такое	каракатиц пробовала уже?
Наташа, привет. На днях пробовала choquinhos fritos в ресторане, ну очень понравилось.Мангала, к сожалению, не имею, а на сковороде гриль вряд ли пожаришь. А как делаешь в кляре?	А выпечку мои тоже требуют, но за отсутствием времени и помощи больше ко мне не обращаться да и для фигуры как полезно
очень оригинальный рецепт-ни разу не готовила такое,разве только салат из кальмаров.	удачи,если надумаете приготовить!
	а в кляре проще некуда...
Спасибо большое, буду делать.	удачи!
Зашла на форум, мучимая мыслью что хочется вкусного а чего не знаю. Вижу привлекательную картинку, открываю и уже даже не удивляюсь чей рецепт) Пошла за кальмарами, другого выхода нет	Наташ,ну как,приготовила?
nata69	Леночка,какая красота!
Можно взять любую рыбу, получается очень вкусно и не жирно,	То есть скумбрию тоже можно?
Спасибо большое за рецепт. Никогда не делала скумбрию а сейчас купила и ломала голову как ее приготовить. Так что обязательно попробую.	Любаша! Буду рада, если этот вариант приготовления скумбрии придется по вкусу! А вообще на форуме очень много рецептов приготовления скумбрии, так что рекомендую ознакомиться со всеми и периодически пробовать что-то новое.
спасибо за очередной вкусный рецепт! Сейчас только скушали вашу рыбку! Приготовила точно по рецепту, но фоткать было уже нечего, всю съели, а делала сразу 2! очень вкусно, рекомендую любителям рыбки! Еще раз СПАСИБО!	Валюша, на доброе здоровье! Я очень рада, что, доверившись рецепту, ты не разочаровалась, а насладилась вкусом рыбы!
Муж солил скумбрию, и одна не поместилась в емкость, вот я её быстренько и запекла по Вашему рецепту.	Наташенька! Так было нужно и благодаря этому вы смогли опробовать новый вариант приготовления скумбрии.
При минимальных затратах получилось очень-очень вкусно. Прямо пожалела, что была всего одна рыбка. Засоленная тоже отлично получилась, но эта - вне конкуренции.	Ничего страшного! Сейчас это были, так сказать, пробы пера, а в след.раз ты уже приготовишь больше, коль скоро рыбка понравилась.
Спасибо за отличный рецепт.	На доброе здоровье! И тебе моя благодарность за великолепный отчет! Рыбка очень аппетитная!!!
Спасибо! Приготовила на ужин. Рыбка восхитительная!	Танечка! Мне очень приятно, что рыбка понравилась! На доброе здоровье! Благодарю за доверие к рецепту!!!
Очень вкусная ароматная рыбка!!!!!!	Малгося! Какая замечательная и аппетитная рыбка! Ты молодчинка! Я рада, что рыба понравилась! На доброе здоровье!!!
сегодня день рыбных котлеток как я посмотрю	главное, что, если вкусно, то их много не бывает
ах,кто бы такой котлеткой угостил	понимаю значит, надо готовить
но масло сливочное не трется в фарш, а добавляется в виде колбасок(по типу приготовления зраз),	мне тоже очень хорошо знаком такой способ раньше именно так и делала , но вот в последнее время либо из-за постоянной нехватки времени, либо просто врожденная лень замучила , но перешла на такой упрощенный способ и пользуюсь им постоянно - на рыбных и куриных котлетах особой разницы с традиционным не обнаружила, а вот экономия времени существенная я правда когда формирую уже котлетки, если вижу, что где-то кусочек масла сверху оказывается, так его внутрь немного вдавливаю, чтоб все соки внутри остались и жарить конечно надо на хорошо разогретой сковороде, чтобы сразу корочка схватилась и масло не вытекало
