fist_phrase	reply
Долго я собиралась приготовить поленту,	Юленька,я тоже вот собираюсь,и все никак ...........
вижу ,что и не очень калорийное блюдо!!!	думаю, да, но только зависит сколько съесть я вчера оторвалась по полной
Так-как, пришлось сесть мне на низкокалорийную диету!!!	надеюсь ничего серьезного, а только профилактика перед праздниками
Спасибо большое ,за рецепт,Юленька.	На здоровье, Лика!
надеюсь ничего серьезного, а только профилактика перед праздниками	При моем росте 1.78 см ,вес мой в пределах нормы.
При моем росте 1.78 см ,вес мой в пределах нормы.	не рост, а мечта!
Но с переездом в Испанию поправилась на 5 кг.	ох..ну это не удивительно, если учесть, что Вы хотя бы пробуете все, что готовите у вас же все такое аппетитное но это же не страшно...и все поправимо и давно вы,Лика, живете в Испании?
и давно вы,Лика, живете в Испании?	"Юленька,со мной можно на ""ты"""
ох..ну это не удивительно, если учесть, что Вы хотя бы пробуете все, что готовите girl_in_love у вас же все такое аппетитное nyam2 nyam2 nyam2	Стараюсь готовить для любимого мужа
но это же не страшно...и все поправимо	Да,Юленька ,скинуть лишний вес для меня не проблема,за три дня овощной диеты у меня уже есть результат -2 кг
"Юленька,со мной можно на ""ты"	спасибо, Лика
В Испании живу один год и два месяца	Стараюсь готовить для любимого мужа
Стараюсь готовить для любимого мужа	скинуть лишний вес для меня не проблема,за три дня овощной диеты у меня уже есть результат -2 кг
скинуть лишний вес для меня не проблема,за три дня овощной диеты у меня уже есть результат -2 кг	вот это здорово..эх...а я что-то давно не делала ни разгрузочных дней, ни диет... после НГ тоже нужно будет сделать..для профилактики...а то с этим восхитительным сайтом ...все хочется попробовать и приготовить..ух
как побывала в Италии У меня те же эмоции.	Амритана
смс от мамы	****************
Нашла как то давно в инете, как варить рис.	Я варю рисовую кашу уже лет 20 так- - очень вкусная кашка получилась. Всем спасибо за рецептики.
Я варю рисовую кашу уже лет 20 так- - очень вкусная кашка получилась. Всем спасибо за рецептики.	Амритана
алёнка88	Алена, спасибо! Классное пюре!!! Забираю!
Какая умница! Пюре гороховое, как тебе в голову-то пришло!	А для системы просто находка! Туда можно еще 50г сыра добавить тертого!
Замечательный рецепт Валечка, ооочень красивая посуда, из нее всё вкусно будет. А уж такая каша тем более	Машенька, спасибо за отзыв! Посуда моя слабость
Валечка, вкусная каша, спасибо тебе за рецепт и новое для меня сочетание, как красиво сервировано	Танюш, спасибо! Попробуй такое сочетание, это, ооочень вкусно.
Какое хорошее блюдо Это должно быть очень вкусно Валюш, обязательно буду иметь в виду рецепт	Кариш, для моих мужчин это как гарнир, а для меня полноценное блюдо
"Мы не очень любим гречку, поэтому стараюсь ""обманывать"" своих подобными рецептами."	Оля, у меня в семье тоже не очень жалуют разные каши, но эту едят с удовольствием. Попробуй приготовить так, с яйцом и жареным луком.
Рецепт такой каши и способ приготовления нашла очень давно в своей кулинарной книжке и варю так уже много-много лет.	Я вот вроде и живу достаточно давно, но не знала о таком способе. Попробую так приготовить, вкусно ведь.
я именно такую всегда варю гречневую кашу и именно такую мы любим, с яйцом и жареным луком.	Лариса, я варю разные варианты гречневой каши, но этот , с яйцом мне оочень нравится. Рада, что твоя семья тоже является поклонником именно этого варианта.
Валя, спасибо, что поделилась рецептом вкусной каши. Горшочек изумительный!	Я просто была удивлена, что на нашем сайте не было такого рецепта, поэтому на скорую руку организовала фотоссесию
Попробую так приготовить, вкусно ведь.	Олечка, обязательно попробуй! Это, правда, вкусно
Валя,каша вкуснятина!	просто яйца с луком еще не добавляла,хотя гречку обожаю и с чем только не готовлю
Сегодня делала кашу	Вкуснооо, не то слово
Я просто была удивлена, что на нашем сайте не было такого рецепта, Есть похожий рецепт у Ирочки, я ей даже пару отчетов принесла, но у неё еще более роскошный вариант гречки, с грибами и беконом. http://forum.say7.info/topic28062.html	Багира-Манго
Есть похожий рецепт у Ирочки, я ей даже пару отчетов принесла, но у неё еще более роскошный вариант гречки, с грибами и беконом.	Лариса, и правда у Иры роскошный вариант! Тоже беру на заметку
Вариант самостоятельный, достойный, буду делать часто	Танечка, очень рада, что вариант такой каши тебе пришелся по вкусу.
А что это отзывов нет? Все картошку едят? Обожаю булгур,обязательно сделаю такую красоту.Светочка.а воду при тушении надо добавлять?	Таня,спасибо!! Нет,я не добавляла- булгур же замочен был
Я тоже очень люблю булгур, делаю Табуле.	Светлана, огромное спасибо за рецепт, обязательно приготовлю.
Светлана, огромное спасибо за рецепт, обязательно приготовлю.	на здоровье!!!
Светик, привет! С Праздником тебя!	Кариночка, взаимно!!!
Делала сегодня твой булгур, очень понравился Вкусно, сытно, полезно, отличный рецепт	вау- как красиво!!! Спасибо за отчеик и на здоровье!!!
Занесла в закладки, буду готовить. ПС: булгур обожаю!	буду рада если пригодится рецепт!!!
Девочки, всем рекомендую! Первый раз решила приготовить булгур, и спасибо, что нашла Ваш рецепт! Очень вкусно получилось! Действительно, похоже на рис, но не такой мягкий. Я добавила все специи, которые указаны в рецепте-ничего лишнего! Спасибо огромное за рецепт, Светлана! И всем обязательно готовить!	Мария, спасибо за приятный отзыв и на здоровье
Светлана, большое спасибо за вкусный рецептик!	Лена,на здоровье!!!
Впервые купила булгур и ломала голову что постного из него приготовить. Выбор пал на ваш рецепт, в том числе из-за минимума необходимых продуктов Результат получился обалденный	Я очень рада
муж-нелюбитель круп ел его несколько дней , понравился булгур ему больше риса	это хорошо
Ждем окончания поста, чтобы приготовить подобный плов из булгура с мясом	да,и с мяском тоже будет вкусно
Ира86	ИРА, булгур набухнет и вберет в себя воду. Если еётам немного останется добавляйте к овощами. А в конце посмотрите если много жидкости то просто выпарите ее
Огромное спасибо за оперативность! Надеюсь, что этот гарнир приживется в нашей семье!	и я надеюсь
Вкуснятина!!!Спасибо большое за рецепт!	На здоровье- рада что понравился
Обожаю делать рис по-турецки ,использую помидоры и том.пасту,вкус получается более насыщенный.	Ляночка08
Светлана, первый раз готовила булгур. Делала всё по вашему рецепту. Результат очень понравился - так, что даже сфотографировать не успела. Мои мужчины сначала подумали, что это овощной плов, но были удивлены, что ели пшеницу Спасибо за рецепт. Буду готовить ещё.	Дарья, на здоровье вам!!Рада что понравился рецепт!
Вкусненько. Муж ел с запеченной бараниной (на фото), а я себе добавила зерненый творог. Выглядело странно, даже фото не стала делать, но мне очень понравилось. Специи добавила все по списку. Спасибо за отличный быстрый рецептик.	на здоровье. да, с творогом- интересно но главное что понравилось
Я первая на вкусняшку!	Рассыпчатая, соблазнительная кашка, я гречку очень люблю.
ИрулькаМожно без слов?????!!!!!	Надюшик, можно!!!!
Ёлки-зеленые растерялась,одурманенная твоей аватаркой,очарованная горшочками,забыла ,что хотела поговорить о кашке Кашка,чудесная,Ируля попробую сделать,очень приглянулась	Ленусик, радует всё-же , что о каше ты вспомнила!!! Готовь, дорогусик, на здоровье!!!
Ну ,а ВЫ леди думаю с обложки журнала!!! Красотка-супер-пупер!!!!	Фоточки такие красивые ,такая посудка красивучая,с таким вкусом выстроена композиция!!! ВОобщем,покорила и убила наповал
Иришенька, и вновь я сражена!!! Какие потрсающие фотографии, а кашка!!! Мне даже аромат через монитор передается... Очень красиво и знаю, что вкусно!!! Гречку обожаю!!! Пробовала как-то ее заваривать в термосе...Но потом ее было неудобно оттуда выковыривать... А тут все так просто и удобно!!!	Ириша, непременно попробую! Огромное тебе спасибо!
Ой, что ни день, так новая аватарка! И всё краше, и краше.	Светочка, ну я настолько не чащу
Рецепт вкуснющий	Спасибо большое!!!
Ирусь, фоты - отпад, кашка - вкусняшка!!!!! УМНИЧКА, МОЙ СОЛНЦ!	ПАСИБ, ОЛЮСЬ!!! Пользуйся рецептиком на здоровье, роднусик!!!
Ира,ты, прямо Элизабет Тэйлор!!!! Очень красиво и,видно где-то-пылает камин!!!!	Дааа, это конечно мечта!!! Но камина в данном случае, к сожалению, не было Спасибо Светочка, за комплимент!!! Мне оочень приятно!!!
Спасибо за красивый и вкусный рецепт!!!!	И Вам СПАСИБО за внимание к нему, дорогая!!!
Ириш, именно так не пробовала готовить гречку! Очень интересно и заманчиво!!!	Ирусик, пробуй!!! Надеюсь, тебе понравится!!!
( Не узнала тебя на аватарке)	Хочу быть богатой!!!!!!
Хочу быть богатой!!!!!!	Ирочка, будешь, однозначно! Я тоже не узнала! Ты - звезда!!!
