fist_phrase	reply
-Сашка, ты скоро? Завтракать собираешься?	Лина ждёт тебя голодная. -Спасибо.
СМЕЁТСЯ Ладно, завтракайте.	Приятного аппетита.
-А я чай недавно пила.	-Правда. Я воду из фильтра брала.
-А борщ-то не сварен. -Хватит издеваться.	Да, борщ-то и не сварен.
Да, борщ-то и не сварен.	Сегодня котлеты на ужин.
Сегодня котлеты на ужин.	Хочешь поболтать - поехали со мной. -Поехали.
-Тоже воду из-под крана пила? -Чай.	-Нет отравления. Сейчас поедем в больницу,
Теперь прошу попить-покушать.	Извини за вопрос, но всё равно спрошу.
-А пить хочешь? -Выпил бы, если честно.	-Ну вот, верные симптомы бешенства. -Угу.
-Надо много пить и не двигаться. -Это гадюка, я со школы помню.	-Давай. -Да, видели твою обидчицу.
-Поэтому не пьёшь? Типа спортсмен?	-Нет, со спортом давно завязал.
На рынке абрекам фрукты-овощи поднеси, отнеси.	Или очко кому новое выкопаешь за литрашку или даже полтора.
Вы чай с сахаром пьёте? -Без.	ТРЕВОЖНАЯ МУЗЫКА
-Да вижу я, что отравление. Что ели, пили, когда?	-Ну выпили мы немного, честное слово, немного, грамм по сто.
нечего было пить за рулём. И этих дураков слушать.	-Вы поймите, если мы составим грамотно иск, вы можете получить
Ко мне сегодня поступил пациент, съевший рыбу, которую выловил	из реки, чуть выше водозабора очистных сооружений.
-Я не пью. И Зина тоже.	Мы вместе закодировались, когда решили Ваську запланировать.
-А вы любите вчерашний борщ?	-Обожаю, но не сегодня.
Кушайте на здоровье -Спасибо, Люба.	-Пожалуйста, Оленька.
-Приглашаете малознакомого мужчину на борщ...	А потом, я не верю, чтобы красивая женщина в вашем возрасте
-Так я же ничего не сказал -Зато я сказал. Пей компот.	-Алён, дай сказать два слова. Пожалуйста.
-Может быть, зайдёте на ужин?	-Всё-таки решили затмить борщом школьный рассольник тёти Любы?
-Всё-таки решили затмить борщом школьный рассольник тёти Любы?	-Спасибо.
-Вы ешьте. Борщ остынет.	-Извините, я не могу.
что для того, чтобы ребёнок родился здоровым, вы бросили пить.	До этого вы употребляли. -Вы что, издеваетесь, что ли?!
-Слушай, ты в борщ чабрец-то положила?	-Нет.
-Всё! Считай, пропал борщ. -Думаете?	-Ну! Ты кушай, кушай. Мне это не мешает.
-Ну! Ты кушай, кушай. Мне это не мешает.	Только без чабреца борщ не борщ.
Только без чабреца борщ не борщ.	Я тебе в следующий раз принесу... -Извините, как вас?
закроем тему борща. Что там у вас произошло? Говорите.	-Так вот. В тот день, когда Васеньку-то убили...
Борщ без чабреца варить!	Значит, он в дерево ножи кидает.
что тебе тарелку борща выхлебать.	-Боялись, но всё же пришли?
пьёт утренний кофе в нашем ресторане. Какими судьбами?	-У меня дела неподалёку.
-Спасибо. -А что Пузырь? Завтракал?	-Да. У него полноценный рацион.
-Сытый, значит. А что ж он обувь-то жрёт?	-Это не Пузырь.
-Старик, ну что сидишь? Насыпь даме каши.	-Дамы у вас в карточной колоде.
Мясо невозможно жрать - оно же сухое!	-Нормальное мясо. Что ты придираешься?
-Нормальное мясо. Что ты придираешься?	-Я ещё даже не начинал придираться. Я не хочу нормального.
-Серьёзно. Примеси совсем незначительные, можно хоть пить.	-Э, не надо, не надо. Верю.
-Суховата. Досадно. Но на банкете этого блюда не будет,	повару сделаем выговор.
-Сегодня не могу. Нужно кормить будущего мужа ужином.	-Да, верно. Тогда вот вам моя визиточка. Звоните.
За тортиком сейчас сбегаю. -А пирожки с мясом в пекарне есть?	-И с мясом, и с капустой - всё есть. -Прищепочку снимите.
-И с мясом, и с капустой - всё есть. -Прищепочку снимите.	-Да. Только за ним посмотрите. -Хорошо, хорошо.
-Саша, привет. У нас с тобой сегодня будет праздничный ужин,	так что не задерживайся.
живота не будет. У меня романтический ужин намечается,	а мне столько надо приготовить. -Хорошо, я тебя поняла. Целую.
Ну чего у нас на ужин? -Старик.	-Минутная готовность.
-Вот-вот. Давай дуй. Как говорится, самим жрать нечего.	-Петя, ну что ты за адвокат такой?
Вот. Я смонтировал, только как он сидит как истукан, пьёт,	иногда сам с собой разговаривает.
-Где борщ?	-Кончился.
Хорошенько отдохнуть, и желательно без выпивки.	-Но ведь кома у неё невозвратная! Жена этого мента никогда не очнётся!
У них там скоро жрать нечего будет, недаром там марсоход катается,	все попрятались. Вот они своих гадёнышей нам и перекидывают.
-А есть чего покушать? Котлетки у тебя есть?	Пойдём.
Ладно, садись завтракать.	-Хорош.
