fist_phrase	reply
"-Кать,"" оставайтесь с нами на ужин."	"Андрея всё равно нет. Поужинаете у нас."",,,,,,"
Андрея всё равно нет. Поужинаете у нас.	Подождёте здесь. -Спасибо, конечно, за приглашение,,,,,
"-Не понял. -Катя,"" оставайтесь с нами на ужин."	"А дайте поцелую вашу ручку."",,,,,,"
"Ты что,"" едой не хочешь делиться? -Я тобой не хочу делиться."	"-Ты что"", ревнуешь? Мне так нравится, когда ты ревнуешь.,,,,"
"-Ничего,"" сейчас у них обед."	"Обходить нам"", что ли?,,,,,"
А пока пообедаем в вашем ресторане за ваш счёт.	-Знаете что, а вот это уже хамство. Вы хотите, чтобы я вызвала полицию?,,,,,
-А вызывайте. А мы пока пообедаем. Официант!	-Хорошо, что всё без особых проблем прошло.,,,,,,
"#NAME?,"" конечно. Только сначала пообедаем."	"-Ну"", что у нас там сегодня?,,,,,"
-Это ошибка какая-то. Мы пришли сюда пообедать.	А что, нельзя?,,,,,,
-Вообще-то я тебе ужин приготовила.	Вино купила.,,,,,,,
"и варишь борщ! Ибо это непристойное предложение,"" ясно?"	"-Очень непристойное. Именно поэтому я ему сказала"", что мы придем вдвоём.,,,,,"
"решила мужу ужин приготовить. И пусть это звучит банально,"""	"но у меня закончилась соль."",,,,,,"
Пузырь потом месяц будет доедать недоеденную еду.	-Ну, он-то точно не откажется, тем более за здоровье молодых.,,,,,
"-На кефире надо делать,"" мягкое мясо получается."	"-На кефире только в Москве замачивают. На вине!"",,,,,,"
-А для меня в шашлыке самое главное - мясо.	-О, к кому-то девчонки приехали.,,,,,,
"Правда,"" у нас сейчас обед."	"-Я думал"", всё, кранты.,,,,"
"#NAME?,"" а завтрак?"	"-Ох ты мой красавец!"",,,,,,"
Она просто сама приехала и еды привезла с ресторана.	Ну там просто знают её все.,,,,,,,
Курица или пирог? -Курица!	-Спасать надо курицу. Муж без обеда - вот это ЧСка, да, Саидыч?,,,,,
"-Спасать надо курицу. Муж без обеда - вот это ЧСка, да,"" Саидыч?"	"Ну что"", петли будем резать? -Всё-то тебе резать.,,,,"
Ваш товарищ голоден и пить хочет. -Мы мигом.	-Скажи, что ты сейчас чувствуешь?,,,,,,
"-Спасибо. -Вы кушайте,"" кушайте."	"-Спасибо."",,,,,,"
"Может, позвонить в ресторан,"" чтобы ещё прислали закуски?"	"-Вроде всего хватает. Люди довольны."",,,,,"
Кушать будешь? -Потом.	-Ну и ладно.,,,,,,,
"#NAME?, они же живые. Они и дышат,"" и водичку пьют."	"-А под землёй же нет воздуха. Они ж там задохнутся."",,,,,"
Завтракать будешь? -А...	Да. Александр, извините, я вчера...,,,,,
Сейчас будет обед.	Всё по распорядку.,,,,,,,
"Ну,"" я вернусь к 2-м. Я еду в Правление."	"В Правление?"",,,,,,"
"#NAME?,"" Бетти. - Оставайтесь на обед."	"Может быть завтра. Нужно идти."",,,,,,"
"- Едешь на выходные? - Нет,"" я еду в Сан Диего."	"Сан Диего? Правда? Надолго?"",,,,,,"
"мясо раздавать. -Что ты хотель,"" Федя!"	"Это не твои соседи. Значит так. Завтра берешь этого барана"",,,,,,"
"-Да нет, не понял,"" за Василича... -Он не пьет."	"-Так за Василича! -Совсем не пьет."",,,,,"
-Так за Василича! -Совсем не пьет.	Вов, на секундочку можно тебя? -Куда?,,,,,,
"-И не пьешь? -Нет,"" не пью."	"-Молодец. Я"", когда на пенсию выйду, тоже брошу.,,,,"
"Вот я подлечился. Не пью,"" не курю."	"-Соврал я."",,,,,,"
на Тимирязевскую машину с бараниной привезли.	Дешевое мясо. -Полезная информация.,,,,,,,
Дешевое мясо. -Полезная информация.	Только к делу не относится. Все, тупик. Сидеть твоему Фархуту.,,,,,,
-Сам готовиль. Кушай.	Мне работать надо. -Спасибо.,,,,,,,
"что они пили? -""Водку пили"", - сказал."	-Водку? -Он умрет?,,,,,,,
"А ты не видела,"" Каленый тоже пил? -Какой Каленый?"	"-Он такой был"", с собакой, большой, красивый.,,,"
-Что вы пили? -А с какой целью интересуетесь?	-Как себя чувствуешь? Голова как? -Нормально.,,,,,,,
"жить,"" понимаешь? Я тебе буду готовить каждый день. Я 18 блюд из яиц знаю"	"теперь. -19. 19-е горит уже."",,,,,,"
"Ну, при таком отце она еще и пить начнет,"" серьгу в нос вставит."	"СОБАКА ЛАЕТ И как я прожила с тобой столько"",,,,,"
"-Почему пытали? Коля бухой брюки гладил,"" сок пил. Обжегся и убежал."	"-Слушайте"", что вы за люди! Человек пропал, а вам все равно.,,,,"
-Меньше водку надо жрать. -Да ему подсыпали что-то в водку.	-Ты-то откуда знаешь? -Я врач.,,,,,,,
"-Да пить не умеет,"" черт нерусский. Мы-то все втроем нормальные."	"-Да? -Федьку посошок срубил."",,,,,,"
"-Значит, надо узнать, с кем они пили,"" что это за фирма такая."	"-Я прислушаюсь. У тебя номер дома какой?"",,,,"
"Слушай,"" дай сахарку. Не могу я твою бурду без сахара пить."	"-Кто зеленый чай с сахаром пьет? Вот"", кушай инжир.,,,,,"
"-Кто зеленый чай с сахаром пьет? Вот,"" кушай инжир."	"-Ну сходи за сахаром. -Про белую смерть слышал?"",,,,,,"
"А ты... А ты почему ничего не кушаешь,"" а?"	"Я самый лучший повар из Таджикистана привез. Стесняешься?"",,,,,,"
"Парни! Вечером гуляем! Федя шашлыки маринует,"" я за выпивкой."	"Деньги - во"", пять штук. -Ого! Красавец!,,,,,"
