cleaned_text	lemm_text
<i>Каждому нужен друг, даже старому дереву.</i>	i каждый нужный друг старый дерево </ i
<i>Хорошо, теперь берем нашу тонкую кисть.</i>	i брать наш тонкий кисть </ i
<i>Растворитель.</i>	i растворитель </ i
<i>Хочу сделать пожиже.</i>	i хотеть сделать жидкий </ i
<i>Развести коричневый пожиже.</i>	i разводить коричневый жидкий </ i
<i>Очень жидко. Много растворителя.</i>	i очень жидко растворитель </ i
<i>Нарисуем одну или две небольшие веточки. ….</i>	i нарисовать небольшой веточка …. </ i
<i>Может, у этого старого дерева совсем нет листьев.</i>	i мочь старый дерево лист </ i
<i>Может, оно уже отошло ко сну… до следующего года.</i>	i мочь оно отходить ко сон … следующий год </ i
Алло?	але
Привет, это я.	привет это
Привет. Что происходит?	привет происходить
Все в порядке?	порядок
Могу я рассказать тебе кое-что?	мочь рассказывать кое-что
О, да, конечно.	
Ладно. Итак, в хостеле есть немец	ладно итак хостел немец
по имени Отто.	имя отто
О, да? Он милый?	милый
В общем...	общий ...
он рассказал мне о руинах древнего храма.	рассказывать руины древний храм
На самом деле, он без конца говорил о нем	самый дело конец говорить
до полчетвертого утра, пока я пыталась заснуть,	полчетвертого утро пока пытаться заснуть
и мне хотелось разбить ему голову	хотеться разбивать голова
путеводителем “Одинокая планета”.	путеводитель  “ одинокий планета ”
Но это звучало довольно круто.	это звучать довольно круто
Эти, хм… руины храма?	хм … руины храм
Да, он был сожжен захватчиками дотла	сжигать захватчик дотла
лет 100 назад.	год 100 назад
Я спросила Отто, могу ли я пойти с ним,	спрашивать отто мочь пойти
и он сказал - да.	сказать
Это место было диким, пустым.	это место дикий пустой
Это была большая святыня.	это большой святыня
Ладно, в общем, Аат, наш гид,	ладно общий аат наш гид
он привел нас к этому дереву, и в нем была...	приводить дерево немой ...
в нем была голова Будды из песчаника.	голова будда песчаник
И корни дерева обросли вокруг нее,	корень дерево обрастать вокруг
и покрыли все, кроме лица.	покрывать весь кроме лицо
И...	...
Аат заставил нас опуститься на четвереньки,	аат заставлять опускаться четвереньки
когда мы приблизились к нему,	приближаться
потому что нельзя смотреть на Будду сверху.	смотреть будда сверху
Ты должен быть почтительным,	должный почтительный
так что мы подползли к нему,	подползать
и я протянула руку и коснулась корней,	протягивать рука касаться корень
и Аат поклонился до земли,	аат поклониться земля
и мы тоже.	
И мы не то чтобы поклонялись Будде	поклоняться будда
или статуе, понимаешь?	статуя понимать
Это было как...	это ...
больше поклонение дереву...	поклонение дерево ...
тому, что оно сделало,	оно сделать
и… сожженным камням и траве.	… сжигать камень трава
В общем, начался дождь.	общий начинаться дождь
И когда я уткнулась лбом в грязь,	утыкаться лоб грязь
я думала о папе...	думать папа ...
как будто он все еще со мной.	
Просто как-то по-другому.	просто как-то по-другому
О, милая, это прекрасно.	милый это прекрасный
Это довольно круто.	это довольно круто
