cleaned_text	lemm_text
НАПРЯЖЁННАЯ МУЗЫКА	напряженный музыка
ГУДОК МАШИНЫ	гудок машина
-Надоела дача твоей мамы. Все выходные коту под хвост.	надоедать дача твой мама весь выходной кот хвост
-А ты хотел бы валяться на диване? Ребёнку свежий воздух нужен.	хотеть валяться диван ребенок свежий воздух нужный
-Я лучше бы с ней в поход сходил. -Ты же не пойдёшь,	поход сходить пойти
языком только ля-ля-ля.	язык ля ля ля
-Всё, сил нет уже. -Серёж, ну не гони ты так!	сила сережа гнать
Аккуратнее можно? -Не действуй мне на нервы!	аккуратно действовать нерв
-Серёжа!	сережа
ВИЗГ ТОРМОЗОВ	визг тормоз
УДАР	удар
НАПРЯЖЁННАЯ МУЗЫКА	напряженный музыка
МУЗЫКАЛЬНАЯ ЗАСТАВКА	музыкальный заставка
МУЗЫКАЛЬНАЯ ЗАСТАВКА	музыкальный заставка
-Вызывайте скорую.	вызывать скорый
-Скорая, срочно пришлите машину на 39-й километр.	скорый срочно присылать машина 39 й километр
Здесь серьёзная авария.	серьезный авария
-Мама...	мама ...
-Тут ещё женщина и ребёнок. -Ещё женщина и ребёнок.	женщина ребенок женщина ребенок
-Похоже, мы сами его не вытащим. -Все живы?	похоже вытаскивать весь живой
-Нужно спасателей вызывать.	нужно спасатель вызывать
-Лин, ты дома? -Да.	лин дома
-Я отпросился ненадолго,	отпрашиваться ненадолго
чтоб тебе сказать... -Саш, я уже не могу ничего изменить.	сказать ... саша мочь ничто изменить
Мы оформили сделку. -Я не об этом.	оформлять сделка это
Если тебе удалось убедить мою мать,	удаваться убеждать мать
то это классная идея.	это классный идея
В общем, я больше не лезу в твой бизнес,	общий лезть твой бизнес
и ты имеешь право заниматься тем, что тебе нравится.	иметь право заниматься нравиться
Если нужна какая-то моя помощь, то я готов. И самое главное.	нужный какой-то помощь готовый самый главное
Если бы ты заключила сделку с кем-нибудь другим,	заключать сделка кто-нибудь
я бы так не отреагировал.	отреагировать
Прости.	прощать
-И ты меня прости.	прощать
Я не должна была тайком всё это делать.	должный тайком весь это делать
Просто я боялась, что ты не согласишься именно из-за Бориса.	просто бояться соглашаться именно из-за борис
-Так бы и было.	
И кто-нибудь другой бы купил ресторан,	кто-нибудь купить ресторан
а это очень выгодная сделка. Я бы наконец-то бы занялась	это очень выгодный сделка заниматься
своим делом и перестала сидеть у тебя на шее.	свой дело переставать сидеть шея
-Да моя шея создана для того, чтобы ты там сидела.	шея создавать сидеть
-Спасибо.	спасибо
ВЫЗОВ	вызов
-Отряд 42-21. Дежурный майор Гиреев. Что у вас?	отряд 42 21 дежурный майор гирей
На 39-м километре ДТП. Есть раненые. Скорую мы уже вызвали.	39 м километр дтп раненый скорый вызывать
Но парня зажало, мы его сами вытащить не сможем.	парень зажимать вытаскивать смочь
Приезжайте скорее.	приезжать скоро
-Понял, ждите нас. Внимание, срочный вызов.	понимать ждать внимание срочный вызов
Шароль, подмени меня. Я с Петровым на вызов.	шароль подменивать петров вызов
-Мама. -Привет, красавица.	мама привет красавица
Да, мама придёт потом.	мама прийти
-Девушка, девушка, вы как?	девушка девушка
-Серёжа!	сережа
-Мама! -Придёт мама.	мама прийти мама
Пойдём. -Пустите. Я хочу к маме и папе. Мама!	пойти пускать хотеть мама папа мама
-Сейчас мама придёт. Сейчас придёт.	мама прийти прийти
-Серёжа! Что с Серёжей? Что с моим мужем?	сережа сережа муж
-Девушка, мы вызвали скорую и спасателей.	девушка вызывать скорый спасатель
-Серёжа! -Девушка, пойдёмте,	сережа девушка пойти
вы должны успокоить вашу дочь. -Серёжа!	должный успокаивать ваш дочь сережа
-Выходите, выходите. Аккуратней.	выходить выходить аккуратно
Сейчас придут спасатели и скорая, и его вытащат.	прийти спасатель скорый вытаскивать
-Ай! -Ой!	ай ой
-Чёрт! -Извините.	черт извинять
-Вы меня чуть не убили. -Извините, пожалуйста.	убивать извинять пожалуйста
Я неотёсанный мужлан, чуть было не убил	неотесанный мужлан убивать
такую хрупкую девушку. Извините. -Стойте. Подождите.	хрупкий девушка извинять стоять подождать
Подождите. Вы Саша Грек.	подождать саша грек
Вы молодой человек моей подруги Лины и коллега Балашова, да?	молодой человек подруга лина коллега балашов
-А, да, это я. Простите, мне пора.	это прощать пора
-Вы просто так от меня не отделаетесь.	просто отделываться
Меня зовут Катя, я ваша новая соседка, прошу любить.	звать катя ваш новый соседка просить любить
-И жаловать? -Да.	жаловать
-А! Вы подруга моей подруги Лины?	подруга подруга лина
-Да, да.	
-Лина, к сожалению, уже убежала. -Да ладно.	лина сожаление убегать ладно
А я к вам собиралась в гости зайти. Какая она у вас ранняя пташка.	собираться гость зайти ранний пташка
-Будет только вечером. Мне правда пора, извините.	вечер правда пора извинять
-Конечно, конечно, нужно спасать людей.	нужно спасать человек
-До свидания. -До свидания. До свидания.	свидание свидание свидание
Надеюсь, оно у нас скоро случится.	надеяться оно скоро случаться
-Ты точно в порядке? Не отрубишься, как вчера?	точно порядок отрубиться вчера
-Да нормально всё. Отлежался и таблеток наглотался.	нормально отлеживаться таблетка наглотаться
Балашов всё-таки соображает, молодец.	балашов все-таки соображать молодец
-Угу.	угу
-Заправиться бы не помешало. -Какого лешего вчера не заправили?	заправляться помешать леший вчера заправлять
-А кто вчера был за рулём?	вчера руль
-Я вчера был за рулём. -И что?	вчера руль
-И всё.	
-Не идёт, зараза. Попробуй правую.	идти зараза попробовать правый
-Ага, правую.	ага правый
-Никак?	никак
-Заклинило. Не-а.	заклинивать
Бесполезно.	бесполезно
-Здравствуйте. Я прошу прощения за опоздание.	здравствовать просить прощение опоздание
-Лина! -Вероника, привет.	лина вероника привет
А ты что здесь делаешь? -Что я здесь делаю?	делать делать
Что я здесь делаю? Тварь московская. Пригрела змею на груди.	делать тварь московский пригревать змея грудь
Я тебя с нужными людьми познакомила, а ты мне нож в спину?	нужный человек познакомить нож спина
-Я тебе всё объясню. -Что ты объяснишь?	объяснять объяснять
Может, ещё мне яду нальёшь в стакан?	яд наливать стакан
Я тебе доверила коммерческую информацию,	доверять коммерческий информация
а ты у меня сделку увела. -Перестань на меня орать.	сделка уводить переставать орать
-Я тебя уничтожу. И тебя, и твой краденый бизнес.	уничтожать твой краденый бизнес
-Теперь вы поняли, что я и есть новый владелец ресторана.	понимать новый владелец ресторан
Чаю хотите? -Да, будьте добры.	чай хотеть добрый
-Плохо дело. Парень-то реально весь в крови.	плохо дело парень реально весь кровь
-Может, мы его через заднюю дверь вытащим?	задний дверь вытаскивать
-Давай.	давать
Тяжёлый, чёрт.	тяжелый черт
-Подожди, не тяни.	подождать тянуть
Ну, теперь понятно, откуда столько крови.	понятно откуда столько кровь
Ему ноги зажало. -Ага.	нога зажимать ага
Давай, аккуратно.	давать аккуратно
Вот так.	
-Ну, знаешь, гулять ты не хочешь, есть ты не хочешь.	знать гулять хотеть хотеть
Играть ты тоже не хочешь.	играть хотеть
Короче, мне помощь нужна. Помочь можешь?	короче помощь нужный помогать мочь
У меня в детстве мечта была - кукла,	детство мечта кукла
я её в журнале одном увидела.	журнал увидеть
Но таких тогда в наших магазинах не продавалось.	наш магазин продаваться
А вот сегодня зашла в магазин и решила себе подарок сделать.	сегодня зайти магазин решать подарок сделать
Вот, купила две, только вот не могу понять,	купить мочь понимать
какая больше на меня похожа.	похожий
Вот эта вот, с глазами, или вот эта вот?	глаз
А эта, кстати, на тебя вроде похожа.	кстати вроде похожий
-Привет! -Привет. Здорово.	привет привет здорово
-Давай дружить. Тебя как зовут? Меня зовут Сабина. А тебя как?	давать дружить звать звать сабина
-Меня зовут Маруся. -Пойдём гулять!	звать маруся пойти гулять
-Пойдём.	пойти
-Должно быть где-то здесь.	должно где-то
Посмотри, что с ними.	посмотреть
-Врач не нужен? -Нет, спасибо.	врач нужный спасибо
-Там парню ноги зажало, мы не смогли его вытащить.	парень нога зажимать смочь вытаскивать
-А скорая ещё где-то тащится. И гаишников не видно.	скорый где-то тащиться гаишник видно
-Скорая будет скоро. -Я не виноват. Не понимаю, как...	скорый скоро виноватый понимать ...
-Подожди. Саидыч, там нормально всё. -Я нормально ехал...	подождать саидыч нормально нормально ехать ...
-Помолчи. Болгарку и ножницы. Бегом.	помолчать болгарка ножницы бегом
-Ой, что это за запах такой?	ой это запах
О-о...	...
Граф, ну как тебе не стыдно.	граф стыдно
Фу. Ну, только что с прогулки. Ну чего ты? Безобразие.	фу прогулка безобразие
Что это? Ой, какая вонь-то. Фу. Как воняет-то.	это ой вонь фу вонять
А что это такое? А ну-ка, Граф, за мной.	это ну-ка граф
Граф, выходи.	граф выходить
КАШЛЯЕТ	кашлять
Ой, фу!	ой фу
Анатолий Владимирович, здравствуйте. -Здрасте.	анатолий владимирович здравствовать здрасте
-Что происходит? Что за вонь? -И у вас этот запах?	происходить вонь запах
-Ещё больше, чем здесь. -Слушайте, я ничего не понимаю.	слушать ничто понимать
Может, строители чего творят?	строитель творить
-Наташ, здравствуй. -Вонь невыносимая, а у меня астма.	наташа здравствовать вонь невыносимый астма
-Строители в подвале. Они нас что, потравить решили?	строитель подвал потравить решать
Нужно звонить в ЖЭК.	нужно звонить жэк
-Не-не, надо спасателей вызывать. Спасателей.	спасатель вызывать спасатель
Вот они точно миндальничать не будут. -Чего стоишь-то? Ну, звони, звони.	точно миндальничать стоять звонить звонить
-Они вот тут хвостов накрутят. И строителям, и ЖЭКу...	хвост накручивать строитель жэк ...
-Закроем. Ой... за мной. За мной.	закрывать ой ...
ВИЗГ ПИЛЫ	визг пила
-Есть!	
-Разом! Вот так, вот так.	разом
-Тяжёлый случай. Живой, слава богу.	тяжелый случай живой слава бог
Я за жгутом. -Давай.	жгут давать
Где же эта скорая?	скорый
-Да сейчас. Пять минут - и починим уже.	пять минута починять
Люсь, да я понимаю, что там человек.	люся понимать человек
Ты лучше не мне звони, а начальству.	хороший звонить начальство
Чтобы они нам нормальную машину выбили.	нормальный машина выбивать
Да я не говорю, что ты виновата. Ну, высылай замену тогда.	говорить виноватый высылать замена
СИГНАЛ ВЫЗОВА	сигнал вызов
-Поисково-спасательный отряд 42-21, капитан... старший лейтенант Шароль.	поисково-спасательный отряд 42 21 капитан ... старший лейтенант шароль
-Это спасатели? -Да.	это спасатель
-Приезжайте скорее, у нас какой-то газ во всём доме.	приезжать скоро какой-то газ весь дом
Невозможно дышать, людям плохо становится.	невозможно дышать человек плохо становиться
-Назовите ваш адрес. -Озёрная, 11.	называть ваш адрес озерный 11
-Улица Озёрная, 11. Ваш вызов принят. Конец связи.	улица озерный 11 ваш вызов принимать конец связь
Старик, подмени меня на пульте. Я на выезд.	старик подменивать пульт выезд
-Это Гиреев, меня кто-нибудь слышит?	это гирей кто-нибудь слышать
-Слышу вас отлично, товарищ майор. -Не умничай. Балашов рядом?	слышать отлично товарищ майор умничать балашов рядом
-Ответьте командиру. -Здесь, товарищ майор.	отвечать командир товарищ майор
-У нас парня зажало в машине. Открытый перелом голени.	парень зажимать машина открытый перелом голень
Скорая никак не идёт. И ещё меня беспокоит большое количество крови.	скорый никак идти беспокоить большой количество кровь
-Скорее всего, повреждена артерия.	скоро повреждать артерия
Вы наложите тугой жгут выше перелома, чтобы остановить кровотечение.	налагать тугой жечь высоко перелом останавливать кровотечение
