cleaned_text	lemm_text
"""А Вы не думаете, что от любви можно умереть?"	а вы думать любовь умереть
"""Вы говорили, что любите меня."	вы говорить любить я
"""Но что это за мир?"	но это мир
"""Вы должны презирать женщин которые принимают Вас таким..."	вы должный презирать женщина который принимать вы такой
"""Которые прогоняют своих пылких возлюбленных, чтобы обольщать Вас."""	который прогонять свой пылкий возлюбить обольщать вы
"""Вы должны презирать женщин которые принимают Вас таким..."	вы должный презирать женщина который принимать вы такой
"""Которые прогоняют своих пылких возлюбленных, чтобы обольщать Вас."""	который прогонять свой пылкий возлюбить обольщать вы
Над этим ещё нужно работать.	над это ещё нужно работать
Пока это не совсем верно.	пока это верно
Хочешь выйти на лодке в море?	хотеть выйти лодка мор
Думаю, может быть ей лучше...	думать хороший
Мне дали лодку только на один день.	я дать лодка день
Мы пойдём к большому острову, ты хочешь?	мы пойти большой остров хотеть
Но я её привезу вечером.	но её привезти вечером
Мы подождём тебя.	мы подождать ты
Должно быть, жарко тебе во всём этом.	должный быть жарко ты весь это
Мы будем ждать. Быстрее переодевайся.	мы быть ждать быстрый переодеваться
Вечером я её привезу.	вечером её привезти
Только пораньше, а то мы будем волноваться.	только ранний быть волноваться
Я вижу, в летних лагерях всё строго - как и раньше.	я видеть летний лагерь весь строго ранний
Сейчас будет обед.	сейчас обед
Всё по распорядку.	весь распорядок
Пойдём, Сюзанна.	пойти сюзанна
Я её привезу.	я её привезти
- Взяла пьесу? - Да, буду повторять в лодке.	взять пьеса да быть повторять лодка
Желаю хорошо провести время.	желать провести время
Посмотри на неё.	посмотреть она
Красавица у меня сестра.	красавица сестра
Сюзанна, нет! Ты ещё не выучила свою роль!	сюзанна нет ты ещё выучить роль
Ты слишком самоуверена! Ты должна быть осторожнее!	ты слишком самоуверить ты должный осторожный
Почему?	почему
Тебе 16 лет - и ты не веришь в любовь.	ты 16 год верить любовь
А ты веришь?	а верить
Сюзанна, твоя роль!	сюзанна твой роль
Хорошая вода.	хороший вод
Я уже наглоталась.	я наглотаться
- Тебе надолго дали лодку? - Только на день.	ты надолго дать лодка только день
"<i>""С любовью не шутят.""</i>"	iс любовь шутятi
"""Мы играли с жизнью и смертью, но наши сердца чисты."	мы играть жизнь смерть наш сердце чистый
"""Не дай Розетте умиреть. Я всё сделаю для нее."	не дать розетта умиреть я весь сделать нея
"""Она молода. Она будет богата и счастлива."	она молодой она богатый счастливый
"""Но что это, Камилла?"""	но это камилла
"<i>""Она мертва. Прощай, Пердикан.""</i>"	iон мёртвый прощать пердиканi
Но это нельзя так произносить. Лучше так ...	но это произносить хороший
Посмотри на тот маленький домик.	посмотреть маленький домик
Там?	там
Не пойти ли нам туда?	не пойти мы туда
Переживаешь из-за спектакля?	переживать изз спектакль
"""О, Боже."	о бог
"""Когда я пришла сюда, Я поклялась в верности Вам."	когда пришлый сюда я поклясться верность вы
"""Почему Вы покинули меня?"	почему вы покинуть я
"""Почему даже правду превращаете в ложь?"	почему правда превращать ложь
"""Я не могу больше молиться."	я мочь молиться
"<i>"" Это - гордость. </i>"	i это гордость i
"""Почему она стоит между этой девушкой и мной?"	почему стоить девушка я
"""Такой бледной и трепещущей... Возможно, она полюбила меня."	такой бледный трепещущий возможно полюбить я
"""Мы созданы друг для друга."	мы создать друг друг
"""Кто здесь? Кто это говорит?"	кто здесь кто это говорить
