cleaned_text	lemm_text
НАД СУБТИТРАМИ РАБОТАЛИ: О.КУЛАГИН, С.АРТЕМОВ, А.ПРЯХА	над субтитр работать окулагин сартем апряха
-85 слонов... 86 слонов...	85 слон 86 слон
МЕЛОДИЯ С ВОСТОЧНЫМ КОЛОРИТОМ	мелодия с восточный колорит
87 слонов...	87 слон
88 слонов...	88 слон
89 слонов...	89 слон
90 слонов...	90 слон
91 слон...	91 слон
-Доброе утро. -Здрасте.	добрый утро здравствовать
-Эй, ты, слышишь?! -Что вам надо?	эй ты слышать что надо
-Время знаешь сколько? Люди везде спят.	время знаешь сколько человек везде спать
-Можно. -Чего - можно?	можно что можно
-Время - 6 часов. Можно убирать. -Нельзя убирать. Блин, я тебе говорю,	время 6 часы можно убирать нельзя убирать блин ты говорить
нельзя убирать! Иди вон там убирай!	убирать идти вон убирать
ВЫСТРЕЛ, СОБАКА СТОНЕТ	выстрел собака стонать
Пиночет!	пиночет
Пиночет!	пиночет
Пиночет!	пиночет
Пиночет!	пиночет
Пиночет!	пиночет
ЗОВЕТ СОБАКУ СВИСТОМ	звать собака свист
Пиночет! -Владимир Сергеевич!	пиночет владимир сергей
Там собаку застрелили!	там собака застрелить
-Давайте позовем ветеринара! Позвоните в ветеринарку.	давать позвать ветеринар позвонить ветеринарка
-Пиночет! Дурища! Ты где ходишь, а? Напугал меня.	пиночет дурища ты ходить а напугать я
Эх ты, морда!	эх ты морда
-Я все видел! Я сам все видел. -Чего?	я видеть я видеть что
-Это в меня стреляли!	это стрелять
-Публика собралась уже. -Ну да.	публика собраться уже ну да
-Да неужели! Значит, пока у нас тут на районе отстреливают бездомных	да неужели значит пока район отстреливать бездомный
собак, товарищ капитан... -Здравствуйте.	собака товарищ капитан здравствовать
-Товарищ майор. -...то у вас... товарищ майор,	товарищ майор то вы товарищ майор
и статьи такой, значит, нет? И вам нужно было дождаться...	статья такой значит нет и нужно дождаться
-Подождите. Не верещите. Где труп? -Труп - на вашей совести,	подождать не верещать где труп труп ваш совесть
товарищ майор. И еще Ляля. -Подождите. Где труп?	товарищ майор и ляля подождать где труп
-Дома. Домой ее унесли. -Как?!	дом домой унести как
-Ее ранили. -Но она сдохла, пока вас ждала.	она ранить но сдохнуть пока ждать
-Подождите. Где ранили? -Ее ранили там. И она подбежала	подождать где ранить она ранить там и подбежать
вот сюда и упала. -Вы знаете, таксы, они такие умные!	сюда упасть вы знаете такса такой умный
-Да.	да
-Командир! Командир! Я все видел. Я все могу тебе рассказать.	командир командир я видеть я мочь ты рассказать
Командир, я был здесь. Вот здесь. Вот.	командир здесь вот здесь вот
Снег чищу. А такса рядом... вот здесь.	снег чистить а такса ряд здесь
И прям с крыши - ба-бах! И как она заплачет!	и прям крыша бабах и заплакать
-Ты видел, что стреляли с крыши? -Каленый сказал, что с крыши.	ты видеть стрелять крыша калёный сказать крыша
Значит, это с крыши.	значит это крыша
-Стреляли из мелкашки. -Девушка, вы что,	стрелять мелкашка девушка что
эксперт в баллистике? -Нет.	эксперт баллистика нет
-Это нам сказал Каленый Владимир Сергеевич.	это мы сказать калёный владимир сергей
-Да, он очень вас ждал... -Но не дождался. Я ему, между прочим,	да очень ждать но дождаться я он прочить
говорила о том, что у нас на районе эти безобразия, что у нас	говорить тот район безобразие
отстреливают собак. И это не первый случай.	отстреливать собака и это один случай
-Не первый случай. -Да. Я ему сказала, что я вам	не один случай да я сказать
сигнализировала и что вы не реагируете.	сигнализировать реагировать
-Товарищ майор, разрешите обратиться? -Да.	товарищ майор разрешить обратиться да
-Я думаю, нам надо осмотр начать с крыши.	я думать мы осмотр начать крыша
-Ты адрес хозяйки узнал? -Зачем?	ты адрес хозяйка узнать зачем
-Затем! Чтобы труп собаки отвезти на экспертизу, показания снять.	затем чтобы труп собака отвезти экспертиза показание снять
Думал он!..	думать он
-Пиночет, место! Место, сказал.	пиночет место место сказать
-Ты чего такой холодный?	ты холодный
ТЯЖЕЛО ВЗДЫХАЕТ	тяжело вздыхать
ЗВОНОК В ДВЕРЬ	звонок в дверь
ЛАЙ СОБАКИ	лай собака
-Володя...	володя
НАСТОЙЧИВО ЗВОНЯТ В ДВЕРЬ	настойчиво звонить в дверь
Володя, там пришел кто-то.	володя прийти ктоть
ЗВОНОК В ДВЕРЬ	звонок в дверь
Володя, там полиция.	володя полиция
Володя!	володя
-Обыкновенный крысиный яд. И вот так - в мясо, колбасу -	обыкновенный крысиный яд и мясо колбаса
в то, что собаки любят. Разбрасывают по паркам, по скверам, где собаки	то собака любить разбрасывать парка сквер собака
любят гулять. -Нет, ну наш-то ничего с пола	любить гулять нет наштый полый
не берет. Он даже у меня не берет. Вот.	брать он брать вот
Пиночет, на.	пиночет на
Вот. Пока Володя не скажет, что можно, не возьмет. Молодец!	вот пока володя сказать можно взять молодец
-Но вы не волнуйтесь, в нашем округе пока таких происшествий не было.	но волноваться наш округа пока такой происшествие быть
А по всей Москве... о, собак травят, что вы! И домашних, и бездомных.	а весь москва о собака травить вы и домашний бездомный
Называют себя... догхантеры.	называть себя догхантеры
"Это ""охотники за собаками"" в переводе. У них даже в интернете"	это охотник собака перевод у интернет
преступное сообщество есть. -Да в этом интернете вообще жах!	преступный сообщество есть да интернет вообще жах
А там еще и люди знакомятся. У меня одна подруга познакомилась	а человек знакомиться у один подруга познакомиться
в интернете с мужчиной. Переписывалась, переписывалась,	интернет мужчина переписываться переписываться
потом замуж за него вышла и к вам в Москву приехала. Я говорю:	замуж выйти москва приехать я говорить
"""Ты не боишься? А вдруг он какой-нибудь маньяк, убийца"	ты бояться а какойнибудь маньяк убийца
"или такой, как у вас, собак травит?"" А я поездила, знаю, какие люди"	такой вы собака травить а поездить знать какой человек
