cleaned_text	lemm_text
Почему он не реагирует на команды?	почему реагировать команда
Не знаю. Похоже какое-то нарушение в матрице.	не знать похоже какоеть нарушение матрица
Помогите!	помочь
Помогите!	помочь
Доктор Финли!	доктор финли
Назад, я сам разберусь!	назад разобраться
Беги к машине!	бежать машина
- Но майор! - Быстрее!	но майор быстрый
Бесполезно, Гордон, нужно уходить!	бесполезный гордон нужно уходить
Уходим!	уходить
Садись в машину!	садиться машина
Эта штука не остановится!	этот штука остановиться
Быстрее, залезайте!	быстрый залезать
Поехали! Поехали!	поехать поехать
Быстрее!	быстрый
Смотрите!	смотреть
Сукин сын!	сукин сын
Майор, он нас догоняет!	майор догонять
Какова его максимальная скорость?	каков максимальный скорость
Не знаю.	не знать
Тогда лучше спросить, какова наша максимальная скорость?	тогда спросить каков наш максимальный скорость
Дави на газ, Майор!	давить газ майор
Пистолет его не берёт, кинь гранату!	пистолет брать кинуть гранат
Есть, сэр!	есть сэр
Сукин сын!	сукин сын
Он нас догоняет!	он догонять
Держитесь!	держаться
Быстрее, дави на газ, майор!	быстрый давить газ майор
Уводи доктора.	уводь доктор
- Но сэр... - Быстрее!	но сэр быстрый
Есть, сэр!	есть сэр
Пора уходить, пока эта штука не вернулась за нами!	пора уходить пока этот штука вернуться мы
Пошли.	послать
Что будем делать?	что быть делать
Вы меня спрашиваете? Это ваш робот.	вы спрашивать это ваш робот
Похоже что-то случилось. Он на это не запраграмированн.	похоже чтоть случиться он это запраграмированна
Да что вы? Вы не можете её отключить?	да вы вы мочь её отключить
Когда мы перезагружаем программу, она выбирает себе новую.	когда перезагружать программа выбирать новый
Что это значит?	что это значит
Единственный выход, уничтожить её.	единственный выход уничтожить её
Он не остановится пока не найдёт нас.	он остановиться пока найти мы
Пока не убьёт нас?	пока убить мы
у вас есть идеи как можно уничтожить этого робота?	идея уничтожить робот
Невероятно. Его невозможно уничтожить.	невероятно он невозможно уничтожить
Вы построили гигантского робота, вооружили его новейшим оружием,	вы построить гигантский робот вооружить новый оружие
а теперь удивляетесь.	удивляться
Ваш сарказм не уместен.	ваш сарказм уместный
Извините, я вхожу во вкус, когда начинаю стрелять.	извинить входить вкус начинать стрелять
Послушайте, мы должны выбраться отсюда живыми.	послушать должный выбраться отсюда живой
Вы мне говорите. Этот робот реагирует на каждый наш шаг.	вы говорить этот робот реагировать каждый наш шаг
Этот робот,	этот робот
самый продвинутый искусственный интеллект во всём мире.	самый продвинуть искусственный интеллект весь мир
Мне надоело слышать о его достоинствах.	я надоесть слышать достоинство
Расскажите мне о его недостатках.	рассказать недостаток
Их почти нет.	они нет
Отлично, ладно, если нам не сбежать, то как его остановить?	отлично ладный мы сбежать остановить
У вас случайно нет бомбочки в кармане?	у случайно бомбочка карман
Забыл в других штанах.	забыть другой штаны
Ладно.	ладный
Я его отвлеку, а вы убегайте.	я отвлечь убегать
- Но... - Делайте, что говорят.	но делать говорят
Бегите!	бежать
Синетель Филмс, представляет:	синетель филмс представлять
УДАРНАЯ ВОЛНА	ударный волна
