cleaned_text	lemm_text
- Одну розу для девушки. - Вы можете доставить её по адресу?	один роза девушка вы мочь доставить её адрес
- Мы не занимаемся доставкой таких мелких заказов.	мы заниматься доставка такой мелкий заказ
- Ну, пожалуйста! Я хочу отметить одну встречу.	ну пожалуйста я хотеть отметить один встреча
Это будет сюрпризом! И потом, скоро его день рождения.	это сюрприз и потом скоро день рождение
Пожалуйста!	пожалуйста
ЛЮБИТ - НЕ ЛЮБИТ	любить не любить
- Для доктора Лё Гаррека.	для доктор лё гаррека
Доктор Лё Гаррек?	доктор лё гаррека
ДОКТОР ЛЁ ГАРРЕК, КАРДИОЛОГ	доктор лё гаррека кардиолог
- Анжелик! Разве это на него похоже? - Нет. Но он всё равно красивый!	анжелика разве это похоже нет но весь равно красивый
Разве он не красив?	разве красить
- Да, может быть... Но перед тобой модель.	да быть но ты модель
Начни сначала.	начать сначала
До среды, встретимся в музее.	до среда встретиться музей
Подожди, Анжелик, надо поговорить.	подождать анжелика поговорить
Получен результат конкурса Анэка. Ты выиграла!	получить результат конкурс анэк ты выиграть
На этот раз, ты будешь делать всё по правилам.	на раз быть делать весь правило
Они заказывают тебе 15 полотен для сентябрьской выставки в Париже.	они заказывать ты 15 полотно сентябрьский выставка париж
Это займёт у тебя всё лето.	это занять весь лето
Я говорила с директором - школа даёт тебе деньги на дорогу и на жильё.	я говорить директор школа давать ты деньга дорога жильё
Начинай, когда захочешь.	начинать захотеть
- Спасибо. - Твой папа был бы счастлив!	спасибо твой папа счастливый
- Ты что, свихнулась? - Есть! Меня взяли!	ты что свихнуться есть я взять
- Гениально! Вот здорово!	гениально вот здорово
- Анжелик! - Ты что здесь делаешь?	анжелика ты делать
- Мама опять уехала, я теперь с Элоиз. - Как и всегда!	мама уехать элоиза как всегда
- Мадмуазель, пожалуйста... - Да.	мадмуазель пожалуйста да
- Значит, ты будешь знаменитой?	значит быть знаменитый
- Может, и не знаменитой, но мои картины будут видеть много людей.	мочь знаменитый мой картина быть видеть человек
- С таким чудным обслуживанием всё совсем недорого.	с такой чудный обслуживание весь недорого
- Кто это?	кто это
- Новенький. Он уже в третий раз приходит.	новенький он три приходить
- И что теперь?	и теперь
- Завтра вечером ты сможешь посидеть со мной?	завтра вечером смочь посидеть я
- Вот так. Кроссовки мы тебе купили.	вот так кроссовок ты купить
Пока!	пока
- Ты придешь сегодня ночевать? - Сегодня - нет. Я поеду в Лоику.	ты прийти сегодня ночевать сегодня нет я поехать лоик
- Опять?	опять
- Скоро мы совсем тебя не будем видеть. Всё, до завтра!	скоро быть видеть весь завтра
- До завтра.	до завтра
- Это очень редкое растение - оно из пустыни. Нам подарили его на свадьбу 6 лет назад.	это очень редкий растение оно пустынь мы подарить свадьба 6 год назад
Оно очень чувствительно к климату.	оно очень чувствительно климат
И должно всегда оставаться в этом укрытии при постоянной температуре.	и должный оставаться укрытие постоянный температура
- Я буду беречь его, как зеницу ока.	я быть беречь он зеница око
- Я бы взяла его с собой, но оно не перенесёт поездки.	я взять себя оно перенести поездка
Я очень рада, что Вы согласились приглядеть за домом.	я очень рада вы согласиться приглядеть дом
Вы всё здесь знаете, и я Вам полностью доверяю.	вы весь знаете вы полностью доверять
- Это я должна благодарить Вас.	это должный благодарить вы
- Вам не будет здесь слишком одиноко? - Нет-нет, не волнуйтесь.	вы слишком одиноко нетнуть волноваться
- Хуго.	хуго
- Надеюсь, Вам понравится в Вашингтоне. - Это всего лишь на год - я на это надеюсь.	надеяться вы понравиться вашингтон это лишь год это надеяться
До свидания, Анжелик. - До свидания.	до свидание анжелика до свидание
Я обо всём позабочусь. Доброго пути!	я о весь позаботиться добрый путь
- Надеюсь поступить в Руэни. А ты? - Я останусь здесь.	надеяться поступить руэнить а ты я остаться здесь
У Эбэра есть для меня место. Неплохое... Подожди, извини.	у эбэр место неплохой подождать извинить
Привет, красавица!	привет красавица
А где твой кардиолог?	а твой кардиолог
- Он там с коллегами говорит о работе.	он коллега говорить работа
- Он неосторожен, оставляя тебя в одиночестве.	он неосторожный оставлять одиночество
- Дело в том, что все знают его жену. - Его жену? Так он женат! Отлично!	дело тот знать жена он жена так женатый отлично
- Да, она адвокат. У них всё плохо. Он от неё уйдёт. Просто надо немного подождать.	да адвокат у весь плохо он она уйти просто немного подождать
Извини, я на пять минут.	извинить пять минута
- Пока. - Пока.	пока пока
Давид?	давид
- Я принёс тебе твой бокал. - Спасибо.	я принести ты твой бокал спасибо
О, нет, спасибо. Я ухожу. В следующий раз!	о нет спасибо я уходить в следующий раз
(звучит песня Фрэнка Синатры)	звучать песня фрэнк синатр
(звонит телефон)	звонить телефон
- Да.	да
Сюрприз?	сюрприз
Ты знаешь, который час? Пять часов!	ты знаешь который час пять часы
КАРДИОЛОГ ЛЁ ГАРРЕК	кардиолог лё гаррека
"""Для доктора Лё Гаррека""."	для доктор лё гаррека
- ...Модель прекрасна, она без изъянов.	модель прекрасный изъян
(СЕКРЕТАРША): - Кабинет врача, здравствуйте.	секретарша кабинет врач здравствовать
- Здравствуйте. Я - приятельница доктора Лё Гаррека.	здравствовать я приятельница доктор лё гаррека
И хотела бы узнать, получил ли он мою картину?	и хотеть узнать получить мой картина
(СЕКРЕТАРША): - Да, конечно. Он повесил её у себя в кабинете.	секретарша да конечно он повесить её кабинет
Она прекрасна. Сейчас он занят. Вам перезвонить?	она прекрасный сейчас занятый вы перезвонить
- Нет-нет, я увижу его вечером - у него сегодня день рождения.	нетнуть увидеть вечером сегодня день рождение
Передайте ему, что я его целую.	передать он целовать
- Хорошо.	хорошо
(звучит песня Фрэнка Синатры)	звучать песня фрэнк синатр
(слышен лай собаки)	слышный лай собака
(звучит пронзительная музыка)	звучать пронзительный музыка
- И ты все это сносишь? - Знаешь, он еще сам не уверен.	и это сносить знаешь уверенный
