cleaned_text	lemm_text
ФИЛЬМСОНОР представляет	фильмсонора представлять
новое издание фильма, принадлежащего классике кинематографа	новое издание фильм принадлежащий классика кинематограф
СВОБОДУ НАМ выпуск 1931 г.	свобода мы выпуск 1931 год
Сценарий и постановка: Рене Клер Композитор: Жорж Орик	сценарий постановка рен клер композитор жорж орик
Костюмы: Рене Юбер Продюсер: Франк Клиффорд	костюм рен юбер продюсер франк клиффорд
АНРИ МАРШАН	анри маршан
РАЙМОН КОРДИ	раймона корди
Ролла Франс	ролл франс
Поль Оливье	поль оливья
а также: Жак Шелли, Анри Мишо, Жермен Осе, Леон Лорен, Вильям Бюрк, Венсен Испа	также жак шелли анри мишо жермен оса леон лорен вильям бюрк венсный исп
в фильме Рене Клера	фильм рен клер
СВОБОДУ НАМ	свобода мы
"<i>""Свобода - удел счастливых,</i>"	iсвобода удел счастливыхi
<i>для них любовь и голубое небо.</i>	iдлить любовь голубой небоi
<i>Но для виновных не больше, чем они -</i>	iно виновный большой i
<i>для плохих парней </i>	iдлить плохой парный i
"<i>есть тюрьма.""</i>"	iбыть тюрьмаi
В чем дело? Молчать!	в дело молчать
"<i>""Еще один день позади,</i>"	iещё день позадиi
<i>еще один день каторги,</i>	iещё день каторгиi
<i>где единственный горизонт - решетка.</i>	iгде единственный горизонт решеткаi
<i>Пожалейте же тех, кто в тюрьме.</i>	iпожалеть тот тюрьмеi
"<i>""Свобода - это смысл жизни,</i>"	iсвобода это смысл жизниi
<i>но люди выдумали тюрьмы,</i>	iно человек выдумать тюрьмыi
<i>правила, законы, приличия,</i>	iправило закон приличияi
<i>работу, офисы и дома.</i>	iработа офис домаi
<i>Я прав? Тогда споем:</i>	iя право тогда споемi
<i>Мой старый друг, жизнь прекрасна,</i>	iмыть старый друг жизнь прекраснаi
<i>если ты знаешь, что такое свобода.</i>	iести знаешь такой свободаi
<i>Не будем ждать, устремимся к ней,</i>	iне быть ждать устремиться нейi
<i>свежий воздух полезен для здоровья.</i>	iсвежий воздух полезный здоровьяi
<i>Говорят, что повсюду, повсюду можно мечтать и петь!</i>	iговорить повсюду повсюду мечтать петьi
<i>Повсюду можно любить и петь!</i>	iповсюду любить петьi
"<i>Так свободу, свободу нам!""</i>"	iтак свобода свобода намi
Беги, Луи!	бежать луи
Беги, не жди меня!	бежать ждать я
Спасибо, Эмиль!	спасибо эмиль
<i>А вот и лидер!</i>	iа лидерi
<i>Сюда, скорее, следуйте за ним, сюда, это он!</i>	iсюда скорее следовать он сюда это онi
<i>Скоро уже финиш! Давай, друг, жми!</i>	iскоро финиш давать друг жмиi
<i>Мы почти прибыли, скоро конец!</i>	iмы прибыть скоро конецi
<i>А вот и лидер! Да здравствует победитель!</i>	iа лидер да здравствовать победительi
- Ну как, хорошо сидят? - Как перчатки!	ну как сидеть как перчатка
Прошу прощения, месье.	просить прощение месье
- Вот в чем дело. - Я сделаю Вам это за восемь франков.	вот дело я сделать вы это восемь франк
- Нет, чересчур дорого.	нет чересчур дорого
- Ну, семь пятьдесят. -Семь франков! - Ну, только потому, что это для Вас...	ну семь пятьдесят семь франк ну потому это вы
- Вот десять франков... - ... и сдача: восемь, девять, десять.	вот десять франк сдача восемь девять десять
Всего доброго.	всего добрый
Хозяин! У вас имеются носовые платки?	хозяин у иметься носовой платок
- Платки? Да. - Новые!	платок да новое
- Ах, новые? Сейчас посмотрю...	ах новое сейчас посмотреть
Помогите!	помочь
Помогите! Помогите!	помочь помочь
Что случилось?	что случиться
- Где он? Куда он делся? - Там... Туда...	где он куда деться там туда
Держи вора!	держать вор
Что случилось? - Кассу украли. В какую сторону он побежал?	что случиться касса украсть в какой сторона побежалый
Месье! Вы уронили бумажник! - Спасибо! - Не за что!	месье вы уронить бумажник спасибо не что
Мадам, если Вам интересно... У нас внутри самые последние модели.	мадам вы интересно у внутри самый последний модель
Продавец! Взгляните, мадмуазель! За показ денег не берем! Сами убедитесь!	продавец взглянуть мадмуазель за показ деньга брать сам убедиться
Ты почему не на работе? Ты разве не знаешь, что...	ты почему работа ты знаешь что
труд является обязанностью,	труд являться обязанность
так как труд - это свобода.	труд это свобода
"""Труд является обязанностью, так как труд - это свобода."""	труд являться обязанность труд это свобода
Я хочу выйти!	я хотеть выйти
<i>Бывают счастливые встречи с еще неведомой любовью,</i>	iбывать счастливый встреча неведомый любовьюi
<i>с любовью, что еще не пришла,</i>	iс любовь пришлаi
<i>но которую надеешься встретить на еще неведомом пути.</i>	iно который надеяться встретить неведомый путиi
<i>Приди же ты, кто меня полюбит,</i>	iприйти ты полюбитi
<i>ты, кого я давно люблю,</i>	iты кто давно люблюi
<i>ты, кого я люблю, не зная,</i>	iты кто любить знаяi
<i>ты, кого я зову и жду.</i>	iты кто звать ждуi
<i>Любовь жива безумием и надеждой,</i>	iлюбовь живой безумие надеждойi
<i>одного взгляда довольно для счастья.</i>	iодный взгляд довольно счастьяi
<i>Приди же ты, кто изменит мою жизнь,</i>	iприйти ты изменить мой жизньi
"<i>ты, который похитит мое сердце. ""</i>"	iты который похитить мой сердце i
"<i>""Приди, мой возлюбленный.</i>"	iприйти возлюбленныйi
<i>Я хочу прочесть в твоих глазах</i>	iя хотеть прочесть твой глазахi
"<i>слова вечной поэ... ""</i>"	iслово вечный поэ i
Вам нельзя здесь быть... Мой дядя сейчас вернется.	вы быть мой дядя вернуться
А когда я смогу Вас увидеть?	а смочь вы увидеть
И это все, на что Вы способны? Вы лучше уберите отсюда картошку!	и это весь вы способный вы убрать отсюда картошка
У Вас не спросил... Да Вы знаете, с кем Вы говорите?	у вы спросить да вы знаете кто вы говорить
Ну ладно, ладно...	ну ладный ладный
Прошу прощения, месье... Оставьте меня в покое!	просить прощение месье оставить покой
Я запрещаю Вам разговаривать с моей племянницей! Пошли!	я запрещать вы разговаривать мой племянница послать
<i>Повернитесь и шаг вперед.</i>	iповернуться шаг впередi
<i>Вы получите работу!</i>	iвы получить работуi
<i>Вы, соискатели рабочих мест,</i>	iвы соискатель рабочий местi
<i>назовите ваше имя и возраст.</i>	iназвать ваш имя возрастi
<i>Оставьте отпечатки ваших пальцев,</i>	iоставить отпечаток ваш пальцевi
<i>Повернитесь и шаг вперед,</i>	iповернуться шаг впередi
<i>вы получите работу!</i>	iвы получить работуi
- Куда это Вы? -Нет, я лучше пойду... - Тогда зачем Вы пришли?	куда это вы нет пойти тогда вы прислать
Оставайтесь-ка... Сами не знаете, чего хотите.	оставайтеська сам знаете хотеть
Встаньте сюда. Стойте как все, в конце концов!	встать сюда стоять весь конец конец
Стоять здесь! Как все!	стоять здесь как весь
Как, Вы еще здесь? - Пустите! - Идите отсюда, раз Вы этого хотите!	как вы здесь пустить идти отсюда вы хотеть
Оставьте его!	оставить он
Стой!	стоять
Внимание! Вперед шагом марш!	внимание вперёд шагом марш
Раз, два, раз, два...	раз два раз два
Извини, старина, я не нарочно...	извинить старина нарочно
Ну нет... Нет, и нет! Моя деталь! Шеф об-орётся...	ну нет нет нет мой деталь шеф обораться
- Смотри, вот так... Ох... - Ну нет! - Извини!	смотреть так ох ну нет извинить
- Да что вы делаете?	да делать
Смотрите, что вы натворили...	смотреть натворить
Жанна! Оставьте меня в покое!	жанна оставить покой
Детка, со мной надо быть полюбезнее. Жанна!	детка я любезный жанна
Мадмуазель, Вы только посмотрите на них... Сумасшедшие!	мадмуазель вы посмотреть они сумасшедший
Что с Вами?	что вы
Вы плачете...	вы плакать
Что тут произошло? Понятия не имею.	что произойти понятие иметь
Вы что-нибудь видели? Не знаю, они все на меня набросились...	вы чтонибыть видеть не знать наброситься
А Вы что можете сказать? Они мне помешали вставить деталь.	а вы мочь сказать они помешать вставить деталь
Мне пришлось бежать туда, чтобы догнать...	я прийтись бежать туда догнать
Ну-ну... А Вы что скажете? Это он мне помешал вставить деталь.	нуна а вы сказать это помешать вставить деталь
Так... А Вы?	так а вы
Они на меня навалились втроем. Втроем? - Да.	они навалиться втроём втроём да
Так, значит, Вы один из троих... Я тут ни при чем. Это они оба...	так значит вы трое я чем это оба
