cleaned_text	lemm_text
-=MX Labs HD™=- Субтитры от akaClient	mx labs hd™ субтитр akaclient
Уорнер Бразерс Пикчерс	уорнер бразерс пикчерс
и Лайв Нэйшн Продакшнс	лайва нэйшн продакшнс
Широко открыты черные глаза Пришла пора признать	широко открытый чёрный глаз пришлый пора признать
И нет возможности солгать А все вокруг ждут тебя	и возможность солгать а вокруг ждать
И я растворяюсь, сидя с телефонной трубкой	и растворяться сидеть телефонный трубка
Я один, как будто на обочине дороги	я один обочина дорога
Я растворяюсь, сидя с телефонной трубкой	я растворяться сидеть телефонный трубка
Совсем одинок на этой дороге	совсем одинокий дорога
фильм Брэдли Купера ЗВЕЗДА РОДИЛАСЬ	фильм брэдлить купер звезда родиться
Быть может, именно сейчас Забыть про все, что было	быть мочь именно забыть весь
Быть может, именно сейчас Все старое отринуть	быть мочь именно весь старое отринуть
Но нужно многое, чтобы измениться, Черт, да чтоб хотя бы попытаться	но нужно многий измениться черта хотя попытаться
Возможно, стоит распрощаться с прошлым	возможно стоить распрощаться прошлое
Никто не знает, что там - после смерти	никто знать смерть
Никто не знает, что ждет нас после смерти	никто знать ждать смерть
Некоторые простаки просто верят в то,	некоторый простак просто верить то
Что они слышали или читали	что слышать читать
Но никто не знает, что ждет после смерти	но никто знать ждать смерть
Я рад тому, что не могу назад вернуться	я рад тот мочь назад вернуться
Я рад тому, что эти дни прошли К лучшему, прошли..	я рад тот день пройти к хороший пройти
Но если б было можно призраков былого Из прошлого перенести в сегодня	но б призрак былой из прошлое перенести сегодня
Я это сделал бы И ты об этом знаешь	я это сделать и знаешь
Скажи мне вот что, мальчик мой	сказать что мальчик
Tы не устал в попытках заполнить пустоту?	tы устать попытка заполнить пустота
Или тебе нужно её больше?	или ты нужно её большой
Неужели тебе не тяжко жить с ней?	неужели ты тяжко жить она
Я падаю...	я падать
Когда всё хорошо, я ищу	когда весь хорошо искать
Перемен	перемена
Подо мной бездна	под я бездна
Смотри, я погружаюсь	смотреть погружаться
Но мне не достать до дна	но достать дно
Пробьемся сквозь воду	пробиться сквозь вода
Где никто нас не ранит	где никто ранита
От отмели мы уже так далеко	от отмель далеко
Я говорил умирающему отцу, Что уезжаю прочь	я говорить умирать отец что уезжать прочь
Смотрел в глаза ему Сказал, другого нет пути	смотреть глаз сказать другой путь
Поэтому, женщина, если говорю Люблю значит так и есть!	поэтому женщина говорить любить значит есть
Ведь я не лгу	ведь лгать
Не стал бы лгать..	не стать лгать
Без алиби	без алиби
Потому что не лгу	потому лгать
И не стану лгать	и стать лгать
Если не имею алиби	если иметь алиби
Расскажи мне, моя девочка	рассказать я девочка
Счастлива ли ты в этом нашем мире?	счастливый наш мир
Или тебе нужно нечто большее?	или ты нужно нечто больший
Есть ли что-то, что ты ищешь?	есть чтоть искать
Я падаю...	я падать
Когда всё хорошо, я жажду	когда весь хорошо жажда
Перемен	перемена
А если вдруг плохие времена, я боюсь себя	а плохой время бояться
Расскажи мне, мальчик мой	рассказать я мальчик
Ты не устал пытаться заполнить пустоту?	ты устать пытаться заполнить пустота
Или тебе нужно её больше?	или ты нужно её большой
Неужели тебе не тяжко жить с ней?	неужели ты тяжко жить она
Падаю	падать
Когда всё хорошо, ищу я	когда весь хорошо искать
Перемен	перемена
А если плохо, тогда боюсь себя...	а плохо бояться себя
Подо мной бездна Смотри, я погружаюсь	под я бездна смотреть погружаться
Но мне не достать до дна	но достать дно
Пробьемся сквозь воду Где нас не ранят	пробиться сквозь вода где ранить
От отмели мы уже далеко	от отмель далеко
От отмели мы так далеко	от отмель далеко
Подо мной бездна Смотри, как я погружаюсь	под я бездна смотреть погружаться
Но мне не достать до дна	но достать дно
Пробьемся сквозь воду Там нас не тронут	пробиться сквозь вода там тронутый
От отмели мы уже далеко	от отмель далеко
Мы так далеко от отмели	мы далеко отмель
APИЗOHA Граница Штата	apизoha граница штат
Я дома совсем одна	я дом один
Не спрашивай меня про завтра	не спрашивать завтра
И не говори о моём прошлом	и говорить мой прошлое
Можешь одолжить моё сердце	мочь одолжить мой сердце
Но ничего не будет длится вечно..	но длиться вечно
И я не лгу	и лгать
Быть может, именно сейчас Забыть про все, что было	быть мочь именно забыть весь
Быть может, именно сейчас Все старое отринуть	быть мочь именно весь старое отринуть
Но нужно многое, чтобы измениться, Черт, да чтоб хотя бы попытаться	но нужно многий измениться черта хотя попытаться
Возможно, стоит попрощаться с прошлым	возможно стоить попрощаться прошлое
Никто не знает, что там - после смерти	никто знать смерть
Некоторые простаки просто верят в то,	некоторый простак просто верить то
Что они слышали, ну, или прочитали	что слышать ну прочитать
Но никто не знает, что там - после смерти	но никто знать смерть
Я рад тому, что не могу назад вернуться	я рад тот мочь назад вернуться
Я рад тому, что эти дни прошли И к лучшему, прошли..	я рад тот день пройти и хороший пройти
Но если б было можно призраков былого Из прошлого перенести в сегодня	но б призрак былой из прошлое перенести сегодня
Я это сделал бы И ты об этом знаешь	я это сделать и знаешь
Как это небо Аризоны	как это небо аризона
Пылает в твоих глазах,	пылать твой глаз
Ты смотришь на меня, любимый И я медленно сгораю	ты смотреть я любимый и медленно сгорать
