cleaned_text	lemm_text
"""ЕВРОПАКОРП"" представляет"	европакорп представлять
"Совместное производство ""ЕВРОПАКОРП"" и ""КАНАЛ ПЛЮС"""	совместный производство европакорп канал плюс
НАСТАСЬЯ КИНСКИ	настасья кинск
КРИСТОФЕР ЛАМБЕРТ	кристофер ламберт
ОДРИ ДЕВИЛЬДЕР	одри девильдёр
"""ТОЧНАЯ КОПИЯ"""	точный копия
Фильм снят по роману Л. Л. Ламбрике	фильм снятой роман литр литр ламбрик
Фильм АРУНА ВИЛЬЕ	фильм арун вилья
Спасибо. Спасибо, доктор.	спасибо спасибо доктор
- Как ты? - Ужасно устал.	как ты ужасно устать
Ты принимаешь всё слишком близко к сердцу.	ты принимать весь слишком близко сердце
Слушай, ты собираешься работать с Кардозом?	слушай собираться работать кардоз
Да, он мне предложил, но ты же знаешь, генетика - это не моё.	да предложить знаешь генетика это мой
Забавно, 4 года, что мы работаем вместе, это я слышу чаще всего.	забавно 4 год работать вместе это слышать чаща всего
Возможно, я невропат.	возможно невропат
Высоко. Нет.	высоко нет
Закрой глаза и вперёд.	закрыть глаз вперёд
Нет, не могу, простите.	нет мочь простить
- Ну же, давай. - Нет, это безумие.	ну же давать нет это безумие
Нет, не могу, я боюсь высоты.	нет мочь бояться высота
Вот именно. Это лучший способ преодолеть страх. Это как роды.	вот именно это хороший способ преодолеть страх это роды
Да, да. В другой раз. Всё, чао, я пошёл.	да да в раз весь чао пойти
- Жаль, он даже не попробовал. - Ну, что будем делать?	жаль попробовать ну быть делать
А я прыгну, я готова.	а прыгнуть готовый
- Что случилось? - Ваша машина!	что случиться ваш машина
О, нет!	о нет
Чёрт, я забыл поставить на ручник!	чёрт забыть поставить ручник
- Простите меня. - Вы тут ни при чём.	простить я вы что
- У вас что случилось? - То же самое. Сломалась.	у случиться то самый сломаться
- И у меня тоже. - И вы тоже.	и тоже и тоже
- Матильда. - Тома.	матильда том
- Нормально? - Да.	нормальный да
- Вы здесь живете? - Да, остановился здесь, жду.	вы жить да остановиться здесь ждать
- Чего ждёте? - Сам не знаю.	что ждать сам знать
Спасибо. Здесь хорошо.	спасибо здесь хорошо
Ну, ладно, пока вы тут ждёте, я, пожалуй, поеду. Спасибо вам.	ну ладный пока ждать я пожалуй поехать спасибо вы
Простите за машину.	простить машина
Её давно надо отправить на свалку.	её давно отправить свалка
Неправда, надо было попробовать. Перчатка.	неправда попробовать перчатка
- Счастливо. - До свидания.	счастливо до свидание
За этим будущее, Тома, и вам пора бы им заинтересоваться.	за это будущее том пора заинтересоваться
Да, но про клонирование сказано много негативного.	да клонирование сказать негативный
Мне кажется, это против законов природы.	я кажется это против закон природа
То же говорили Галилею, когда он утверждал, что Земля круглая.	то говорить галиля утверждать земля круглый
- Это не одно и тоже. - Одно и тоже. Это же революция.	это один тоже один тоже это революция
Сами решайте, к кому присоединяться.	сам решать кома присоединяться
- Итак? - Ну, я согласился.	итак ну согласиться
Это лучшая новость за день. Я боялась, что он убедит тебя.	это хороший новость день я бояться убедить ты
Слушай, я всё-таки пытаюсь соблюсти этику.	слушай всётаки пытаться соблюсти этика
Мило, что вы зашли за мной.	мило заслать я
Я решила заняться вашей машиной.	я решить заняться ваш машина
Ваша развалина стоит за углом, как новенькая.	ваш развалина стоить угол новенький
Спасибо. Но не стоило беспокоиться.	спасибо но стоить беспокоиться
Может, выпьем по стаканчику или даже поужинаем?	мочь выпить стаканчик поужинать
Так, в качестве благодарности.	так качество благодарность
Вообще-то, я хотела попросить вас об одной услуге.	вообщеть хотеть попросить один услуга
