cleaned_text	lemm_text
-Ну что? Мы здесь уже 2 часа! -Я тебе говорю, она скоро пройдет.	ну что мы 2 час я ты говорить скоро пройти
Ты должен был взять ее координаты. Так не проще?	ты должный взять координата так простой
Вот она! Не смотри!	вот она не смотреть
-Блондинка? -Да. Не смотри, я сказал!	блондинка да не смотреть сказать
Хорошенькая!	хорошенький
-Пошли? -Что ты делаешь?	послать что делать
-Возвращаемся... -Возвращаемся? Куда?	возвращаться возвращаться куда
-В Париж. -Что?	в париж что
Уже 3 месяца ты мне твердишь про свою Флоранс Арно!	уже 3 месяц твердить флоранс арно
Мы проехали 500 км, чтобы ее увидеть! А ты не сказал ей слова!	мы проехать 500 километр увидеть а сказать слово
Я никогда не хотел с ней говорить. Я хотел ее видеть и увидел.	я хотеть говорить я хотеть видеть увидеть
Он - ненормальный!	он ненормальный
В следующий раз, научишься водить и купишь себе машину. Ладно?	в следующий раз научиться водить купить машина ладный
Ты ее видел? Если видел, то понял, что у меня нет шансов...	ты видеть если видеть понять шанс
Раз ты так настроен, то да!	раз настроить да
К счастью, ты не каждый день влюбляешься.	к счастие каждый день влюбляться
Когда я влюблен, я теряюсь. Ты знаешь.	когда влюбить теряться ты знаешь
Замолчи, ты меня нервируешь!	замолчать нервировать
-Ты куда?! -Псих!	ты куда псих
-Ты, не посмотрев, подал назад. -Оставь меня в покое!	ты посмотреть подать назад оставить покой
Что я люблю в Ваших полотнах?	что любить ваш полотно
Это контраст между игровой стороной сюжета и отработанной техникой...	это контраст игровой стороной сюжет отработать техника
Идемте, я Вам представлю художника...	идти вы представить художник
-Вы знакомы, конечно? -Да.	вы знакомый конечно да
Это восхитительно, Ян! Действительно!	это восхитительно ян действительно
Спасибо.	спасибо
Я обожаю! Надеюсь, это стоит целое состояние!	я обожать надеяться это стоить целое состояние
Это - художник. Спорю, он даже не знает, сколько стоят его картины.	это художник спорить знать сколько стоять картина
Видно, он плохо знает художников.	видно плохо знать художник
О! Что ты здесь делаешь?	о что делать
Какой негодяй! Мы тебя ждали у Софи, нахальства тебе не занимать.	какой негодяй мы ждать софи нахальство ты занимать
Что это за история? Как давно Вы знакомы?	что это история как давно вы знакомый
Ты заинтригован, ладно... Мы с Флоранс были очень близки...	ты заинтриговать ладный мы флоранс очень близкий
