cleaned_text	lemm_text
(слышно пение птиц)	слышный пение птица
Ну, мне пора в гнездо.	ну пора гнездо
До свидания, мартышка! Всего хорошего, удав! Слонёнок, пока!	до свидание мартышка всего хороший удав слонёнок пока
- А что у тебя в гнезде? - Там у меня всё.	а гнездо там весь
- А ты скоро вернёшься? - Вряд ли! Гнездо - оно далеко.	а скоро вернуться вряд ли гнездо оно далеко
Сначала я пойду туда, туда, туда. Потом там...	сначала пойти туда туда туда потом там
Потом обратно, обратно, обратно... Приду послезавтра.	потом обратно обратно обратно прийти послезавтра
Счастливо оставаться!	счастливо оставаться
А почему, извините, он пошёл пешком?	а почему извинить пойти пешком
- Ха-ха! На ком же он поедет? - Не на ком. А почему он не полетел?	хах на ком поехать не ком а почему полететь
Действительно!	действительно
- О! Надо ему сказать! - Его надо вернуть!	о надо сказать он вернуть
Вернуть? Пожалуйста!	вернуть пожалуйста
Стр-р-ранно... Кажется, я... хе-хе... заблудился.	стррранно кажется я хех заблудиться
Послушай, попугай, а почему бы тебе не полететь?	послушать попугай почему ты полететь
- Почему бы мне не... Что? - Не полететь. Раз, раз и там.	почему не что не полететь раз там
- Как это? - Полетел, полетел и сел.	как это полететь полететь сесть
Вы что, вы с ума сошли, да?	вы что ум сойти да
Ну, у тебя же есть, извините, эти...	ну есть извинить этот
"- Какие ""эти""? - Ну, эти..."	какой этот ну этот
А-a! К-к-крылья? Есть! Ну и что?	аa кккрыло есть ну что
- Так лети! - Лети!	так лететь лететь
- Куда? - В гнездо. Раз, раз и там.	куда в гнездо раз там
Нет, нет, нет, спасибо! Спасибо, я лучше пешком.	нет нет нет спасибо спасибо пешком
Может, ты не умеешь?	мочь уметь
- Я? - Ты!	я ты
- Не знаю, я не пр-р-робовал. - А ты попробуй.	не знать пррробовать а попробовать
- Боюсь. - Что ты боишься?	бояться что бояться
- А вдруг получится. - Это совсем не страшно.	а получиться это страшно
- Да? Не страшно? А ты, ты, ты, ты пробовал?	да не страшно а ты ты ты пробовать
Я? Нет.	я нет
Ах, нет, а ты попробуй! Попробуй, а потом скажешь - как?	ах нет попробовать попробовать сказать как
А я знаю - как? Нужно подпрыгивать.	а знать как нужно подпрыгивать
И махать крыльями вот так, вот так.	и махать крыло так так
Давай, давай, давай, давай!	давать давать давать давать
Ну, ну и что?	ну что
Пусть он сначала разбежится.	пусть сначала разбежаться
Нет, давайте его сталкивать.	нет давать сталкивать
- Как сталкивать? - Со слонёнка.	как сталкивать с слонёнок
Я не хочу сталкиваться, я упаду!	я хотеть сталкиваться упад
- Ты полетишь! - Почему вы так думаете?	ты полететь почему думать
Потому что мы верим в тебя.	потому верить ты
"(песня): - ""Запомните, как навсегда В себя поверить важно."	песня запомнить навсегда в поверить важный
Не сомневайся никогда, Не бойся быть отважным.	не сомневаться никогда не бояться отважный
А если сомневаешься И сделать не решаешься?	а сомневаться и сделать решаться
То надо же, то надо же Когда-нибудь начать.	то же когданибудь начать
- Давай, не надо мучиться. - Попробуй и получится.	давать мучиться попробовать получиться
"- А вдруг да не получится? - Попробуешь опять!"""	а получиться попробовать опять
Эй, я сам! Я сам, сам, сам, сам! Ай!	эй сам я сам сам сам сам ай
Хех, ха-ха-ха-ха! Ну вот, а ты боялся!	хех хахахах ну вот бояться
Попробуем ещё раз.	попробовать ещё раз
Три, два, один! Пускай!	три два один пускай
- Крыльями! - Крыльями!	крыло крыло
Ну, ну, ну, ну, ну! Ещё! Ещё!	ну ну ну ну ну ещё ещё
Летит!	лететь
- Летит! - Парит наш орёл!	лететь парить наш орёл
А что же ты не полетел в гнездо?	а полететь гнездо
А я уже... раз-раз... обратно прилетел!	а уже разраза обратно прилететь
Ну, пожалуйста! Ну, прошу тебя - полетай ещё.	ну пожалуйста ну просить полетать ещё
Хватит, хватит!	хватить хватить
Главное - повер-р-рить в себя. А я в себя уже поверил!	главный поверррить себя а поверить
По вопросам приобретения видеодисков с субтитрами обращайтесь по адресу в Интернете www.DeafNet.ru	по вопрос приобретение видеодиск субтитр обращаться адрес интернет wwwdeafnetru
Checked with Subtitle Workshop	checked with subtitle workshop
