cleaned_text	lemm_text
Одиннадцать.	одиннадцать
Двенадцать.	двенадцать
Тринадцать.	тринадцать
Кто ето?	кто этот
Странные фигуры.	странный фигура
Двое вышли из леса.	двое выйти леса
Прямо привидения какие-то.	прямо привидение какиеть
16, товарищ старшина.	16 товарищ старшина
Вижу.	видеть
Давай к Осяниной, чтобы бойцов на запасную позицию отводила.	давать осянин боец запасный позиция отводить
Бричкину ко мне пришлешь.	бричкин к прислать
Ползком, товарищпереводчик. Теперь ползком жить будем.	ползком товарищпереводчик теперь ползком жить быть
Товарищ старшина.	товарищ старшина
Веселей дыши, Бричкина.	веселеть дышать бричкин
-Дорогу назад хорошо помнишь? -Да.	дорога назад помнить да
- Главное - болото. -Да знаю я.	главный болото да знать я
Погоди, Елизавета, не гоношись.	погодить елизавета гоношиться
Брод узкий, влево, вправо ни-ни.	брод узкий влево вправо ниня
- Пройду. - На островке отдышись.	пройда на островок отдышаться
Доложишь Кирьяновой, что обстановка изменилась.	доложить кирьяновый обстановка измениться
Своими силами не управимся.	свой сила управиться
Все оставь, налегке иди.	весь оставить налегке идти
Слегу перед болотом не забудь.	слега болото забыть
-Дуй, Елизавета батьковна! - Патроны оставлю?	дуть елизавета батьковен патрон оставить
Хорошо, что перебрались.	хорошо перебраться
Плохо дело, девчата... плохо.	плохо дело девчата плохо
Стало быть, 16 их...	стать быть 16 они
И будут они здесь часа через три, так надо судить.	и быть час три судить
Бричкину я в расположение послал.	бричкин расположение послать
На помощь только к вечеру можно надеяться.	на помощь вечер надеяться
Ежели в бой ввяжемся, то не выдержать нам.	ежели бой ввязаться выдержать мы
Ни на какой позиции не выдержать, потому как у них 16 автоматов.	ни позиция выдержать 16 автомат
Смотреть, как они мимо пройдут?	смотреть мимо пройти
Нельзя их тут, через гряду пропустить. Надо с пути сбить.	нельзя тут гряда пропустить надо путь сбить
В обход, вокругЛегонтова озера направить. А как?	в обход вокруглегонтовый озеро направить а как
Нет, не для боя немцы сюда забрались.	нет бой немец сюда забраться
Осторожно идут, глухоманью, чтобы противник не обнаружил.	осторожно идти глухомань противник обнаружить
Чтоб тихо, незаметно просочиться к своей цели.	чтоб тихо незаметно просочиться свой цель
Может, нужно, чтобы они нас увидели,	мочь нужно увидеть
а мы их вроде и не заметили?	вроде заметить
Тогда, возможно, отойдут и вокругЛегонтова озера затопают.	тогда возможно отойти вокруглегонтовый озеро затопать
А вокруг-то сутки ходьбы.	а вокругто сутки ходьба
А кого я им покажу? Себя да вас четверых?	а кто показать себя четверо
Разведка обнаружит, что нас пятеро.	разведка обнаружить пятеро
Окружат и без единого выстрела, в пять ножей снимут всех пятерых.	окружить единый выстрел пять нож снять пятеро
Давай, Рит!	давать рита
Товарищ старшина, а если они лесорубов встретят?	товарищ старшина лесоруб встретить
Каких лесорубов, где? Леса пустые, война ведь.	какой лесоруб где леса пустой война ведь
Так сейчас бабы лес валят.	так баба лес валить
Верно, девчата! Тонко придумали.	верно девчата тонко придумать
Мы им устроим представление, и местечко я знаю подходящее.	мы устроить представление местечко знать подходящий
Побойчее, времени в обрез.	бойкий время обрез
Девчата наши идут!	девчата наш идти
- Погоди, перенесу. -Да что вы, не надо.	погодить перенести да вы надо
Из тебя еще хворь не вышла.	из хворь выйти
Идут, товарищ старшина.	идти товарищ старшина
- Водичка холодная. - Подол подними.	водичка холодный подол поднять
Не из устава команда.	не устав команда
Военные слова на время забудем. У них тоже переводчики имеются.	военный слово время забыть у переводчик иметься
Как с маленькой вы...	как маленькая вы
Микстуры захотелось?	микстура захотеться
По сырому не бегай. Девочки, живенько!	по сырой бегать девочка живенько
Нам еще мероприятие надо провести.	мы мероприятие провести
С Лизиным платком вы ловко удумали.	с лизин платок ловко удумать
-Жаль, порвали. - Мы ей новый подарим.	жаль порвать мы новый подарить
Бельишко пригодилось.	бельишко пригодиться
Ей бы только покрасоваться!	она покрасоваться
Прикройся пока, со мной будешь. Девчата, начинать пора.	прикрыться пока я быть девчата начинать пора
Костры палить подымнее, сучья палками рубить пошумнее.	костра палить подымный сучий палка рубить шумный
Не высовывайтесь только.	не высовываться только
Мелькайте там, показывайтесь. Вот ето верно, но не очень...	мелькать там показываться вот этот верно очень
- Прасковья! - Чего?	прасковья что
- Топор бери! - Взяла уж!	топор брать взять уж
Помогай!	помогать
Помогаю! Ех, раз, еще раз! Давай подмогну!	помогать ех раз раз давать подмогну
Не зажигается, сырой, наверное.	не зажигаться сырой наверное
Ау меня хорошо горит!	ау гореть
Еще! Взяли! Не поддается!	ещё взять не поддаваться
Еще! Ой, еще!	ещё ой ещё
- Берегись! - Пошло!	беречься пошло
Сучья рубить, живо!	сучий рубить живо
Прасковья, за мной!	прасковья я
Маша, картошку почистила?	маша картошка почистить
Да все! Руки чуть не отвалились!	да весь рука отвалиться
Поберегись!	поберечься
Девчата, помогайте!	девчата помогать
Пошел!	пойти
Из района звонили, подводы должны прислать.	из район звонить подвод должный прислать
Обедать-то скоро будем?	обедатьто скоро быть
Картошка сварится, пообедаешь!	картошка свариться пообедать
Девчата.	девчата
Остерегайтесь, очень вас прошу.	остерегаться очень просить
За деревьями мелькайте, не за кустами.	за дерево мелькать куст
Ето дерево сами повалите.	этот дерево сам повалить
Комелькова, за мной.	комельков я
Держи, Галка.	держать галка
Анюта, отдай топор!	анюта отдать топор
Свой поищи. Етот топор мой, мне нужен еще!	свой поискать этот топор мой нужный ещё
Девчата, сучья подносите!	девчата сучий подносить
Девчата, помогите!	девчата помочь
Может, ушли?	мочь уйти
Леший их ведает, может, и ушли.	леший ведать мочь уйти
Они тоже птицы стреляные, на такое дело не пошлют кого ни попадя.	они птица стреляный такой дело послать кто попадить
- Шур, помоги! - Подожди ты...	шура помочь подождать ты
Годи!	годить
Вижу.	видеть
Жми, жми, ну! Повалили!	жать жать ну повалить
Хорошо подгадали.	хорошо подгадать
Разведка.	разведка
Решились все ж таки.	решиться таки
Сейчас переправятся, и все к черту.	сейчас переправиться черта
Ежели поймут, что обнаружены,	ежели понять обнаружить
пересчитают нас по пальцам, и крышка тогда.	пересчитать палец крышка тогда
Так...	так
Етих двух я прищучу.	этот два прищучить
А пока они по мне из автоматов шарахнут,	а пока автомат шарахнуть
вы, возможно, уйти успеете, укрыться.	вы возможно уйти успеть укрыться
Иди, Комелькова, иди к девчатам. Прикрою я вас.	идти комельков идти девчата прикроить вы
Рая!	рая
Вера! Идите купаться!	вера идти купаться
Стой! Назад!	стоять назад
Расцветали яблони и груши,	расцветать яблоня груша
Поплыли туманы над рекой.	поплыть туман река
Выходила на берег Катюша,	выходить берег катюша
На высокий берег на крутой.	на высокий берег крутой
Выходила на берег Катюша,	выходить берег катюша
На высокий берег на крутой.	на высокий берег крутой
Выходила, песню заводила	выходить песня заводила
Про степного сизого орла, Про того...	про степной сизый орёл про тот
Ванюша, где ты?	ванюша ты
Девчата, айда купаться!	девчата айда купаться
- Сейчас, Женя! - Идем!	сейчас женя идти
Погоди нас!	погодить мы
Куда? А кто работать будет? Вот я вам покупаюсь!	куда а работать быть вот покупаться
Работа - не волк, в лес не убежит!	работа волк лес убежать
Подождет!	подождать
А ну, берегись!	а ну беречься
Женька, там камни острые!	женька камень острый
Я вам покажу бездельничать!	я показать бездельничать
Купаться после работы будете!	купаться работа быть
На мою позицию идите. Прикроете.	на мой позиция идти прикрыть
Живо сучья рубить!	живо сучий рубить
Ванюша, где же ты?	ванюша ты
Жень, вода-то, наверное, холодная?	женя водато наверное холодный
Где ты там прохлаждаешься?	где прохлаждаться
Не хотите, как хотите!	не хотеть хотеть
Я вылезаю!	я вылезать
Что, девчата, пойдем купаться?	что девчата пойти купаться
Иду, иду!	идти идти
Из района звонили, сейчас машины придут, так что одевайся.	из район звонить машина прийти одеваться
Да ты что?	да что
Уходи отсюда, Комелькова!	уходить отсюда комельков
Купаться-то боишься, Ванюша?	купатьсять бояться ванюша
Ваня!	ваня
Я больше не могу. Сейчас пойду и буду стрелять.	я мочь сейчас пойти быть стрелять
Нельзя, Соня.	нельзя соня
Что ты делаешь? Вот я тебя...	что делать вот ты
Иван Иванович, подводы пришли! Ждут вас, скорей!	иван иван подвод прислать ждать вы скорый
Хватит с огнем играться!	хватить огонь играться
Одевайся.	одеваться
Согрейте ее.	согреть она
Успокойся, успокойся.	успокоиться успокоиться
Уходят они, Женя, уходят.	уходить они женя уходить
Здорово мы их обманули!	здорово обмануть
Ну, Евгения, все ж искупала ты меня.	ну евгений искупать я
- Она не нарочно. - Чего?	она нарочно что
Не нарочно.	не нарочно
Ой, юбку прожгла! Девчонки, смотрите!	ой юбка прожечь девчонка смотреть
Ничего, мы тебе новую выдадим. Ну, теперь все.	ничто ты новый выдать ну весь
Теперь вы их надежно вокруг озера наладили, деваться им некуда.	теперь надёжно вокруг озеро наладить деваться некуда
Ежели, конечно, Бричкина вовремя прибежит.	ежели конечно бричкин вовремя прибежать
Прибежит, она быстрая.	прибежать быстрый
Ну что, девчата, выпьем, что ли, по маленькой за ето дело?	ну что девчата выпить ли маленькая этот дело
Выпьем за ее быстрые ножки.	выпить быстрый ножка
За ваши светлые головы.	за ваш светлый голов
Самое страшное позади.	самый страшный позади
Как вернемся, всех вас на медали представлю.	как вернуться медаль представить
АЖеньку к ордену.	аженька орден
Правильно, не возражаю.	правильно возражать
А пока благодарю вас за службу.	а пока благодарить служба
Служим Советскому Союзу!	служить советский союз
Чуешь?	чуять
Подвела немца культура. Кофею захотелось.	подвести немец культура кофей захотеться
Почему так думаете?	почему думать
Дымком тянет, значит, завтракать уселись.	дымок тянуть значит завтракать усесться
Только все ли шестнадцать?	только шестнадцать
Придется их подсчитать, Маргарита.	прийтись подсчитать маргарита
Ежели стрельба начнется,	ежели стрельба начаться
забирай девчат и уходите на восток аж до канала.	забирать девчата уходить восток аж канал
Там насчет немцев доложишь, но мыслю я,	там насчёт немец доложить мыслить я
Лизавета уж до наших доберется.	лизавета наш добраться
- Приказ ясен? - Нет. А вы?	приказ ясный нет а вы
Ты ето, Осянина, брось. Не по грибы и по ягоды ходим.	ты этот осянин бросить не гриб ягода ходить
- Что должна отвечать? -Ясен, должна отвечать.	что должный отвечать ясный должный отвечать
После споем с тобой, Лизавета.	после спой ты лизавета
Вот выполним боевой приказ и споем.	вот выполнимый боев приказ спой
Помогите! Помогите!	помочь помочь
Женя, тебе страшно было?	женя ты страшно быть
Да нет, потом только.	да нет только
Если бы одна была, а тут вы рядом.	если один быть ряд
Недаром говорится: на миру и смерть красна.	недаром говориться мир смерть красный
Не ушли они, лагерем стали. Расположение менять будем.	не уйти они лагерь стать расположение менять быть
Слава Богу, что у немцев нет настоящего охотника-промысловика.	слава бог немец настоящий охотникапромысловик
-А что? -Я вас давно чую.	а что я давно чуять
Кисет-то мой принесла?	кисетто принести
Миленький Федот Евграфович, забыла!	миленький федот евграф забыть
Да ладно уж, махорка имеется.	да ладный уж махорка иметься
Спасибо, сидор мой не забыли.	спасибо сидор забыть
Кисет памятный, жалко.	кисет памятный жалко
- Куда ты? -Я знаю, где он!	куда ты я знать он
Стой! Сядь! Назад!	стоять сесть назад
Сядь!	сесть
Сапоги надо будет заменить ей, топают,	сапог заменить она топать
потому как номера на два больше.	номер большой
Нам сейчас главное - себя не обнаружить.	мы главный обнаружить
Так что сидора как следует уложить, чтоб не брякали.	так сидор следовать уложить брякать
По всему, Лиза Бричкина до наших уже добралась.	по весь лиза бричкин наш добраться
Как только мы подмогу на след наладим,	как подмога след наладить
я вас всех за скалы отведу.	скала отвести
Почему?	почему
Подальше, чтобы мата не слыхали.	далёкий мат слыхать
Без рукопашной тут не обойдется.	без рукопашный обойтись
- Ничего, мы потерпим. - Не встревай!	ничто потерпеть не встревать
Сейчас замаскируемся и будем вести наблюдения на все стороны.	сейчас замаскироваться быть вести наблюдение сторона
Не чихать!	не чихать
И не кашлять! Потому чих далеко разносится.	и кашлять потому чих далеко разноситься
Кажись, Гурвич крикнула?	казаться гурвич крикнуть
Нет, показалось.	нет показаться
Комелькова, за мной. Остальным ждать.	комельков я остальной ждать
За мной.	за я
Немцы?	немец
Молчи. Не аккуратно... Не аккуратно...	молчать не аккуратно не аккуратно
Вот почему крикнуть успела.	вот почему крикнуть успеть
Удар у него на мужика был поставлен.	удар мужик поставить
Не дошел до сердца с первого раза.	не дойти сердце первое раз
Погубил я тебя.	погубить ты
Полежи тут покуда, Сонечка.	полежать покуда сонечка
Некогда трястись, Комелькова!	некогда трястись комельков
Отдышись.	отдышаться
Тут они.	тут они
Близко. Двое их.	близко двое они
Сейчас на гряду подниматься будут, рядом пройдут.	сейчас гряда подниматься быть ряд пройти
Вон за той скалой будь.	вон тот скала быть
Как они с етой сосной поравняются, шумни чем-нибудь.	как этот сосна поравняться шумять чемнибыть
Не раньше, не позже.	не ранний поздний
Стрелять нельзя, остальные сбегутся. Давай.	стрелять нельзя остальной сбежаться давать
Молодец, Комелькова.	молодец комельков
Благодарность тебе объявляю.	благодарность ты объявлять
Отойдите. Ой, Господи, что же ето?	отойти ой господь этот
Преступили они законы человеческие.	преступить закон человеческий
И тем самым сами вне всяких законов оказались.	и самый сам вне всякий закон оказаться
Может, ополоснешься?	мочь ополоснуться
Я понимаю. Тут привыкнуть надо, душой зачерстветь.	я понимать тут привыкнуть надо душа зачерстветь
Здоровенные мужики, и те...	здоровенный мужик тот
Покуда совесть на новый лад не перекроишь...	покуда совесть новый лада перекроить
Наших сама найдешь?	наш сам найти
Ну, ступай. К Соне приходите, туда, значит...	ну ступать к соня приходить туда значит
Прощайтесь.	прощаться
Без истерик тут!	без истерик тут
Круглая отличница была.	круглый отличница быть
И в школе, и в университете.	и школа университет
Да...	да
Стихи читала.	стих читать
А главное, детишек могла бы нарожать.	а главный детишки мочь нарожать
А они бы внуков и правнуков.	а внук правнук
И не оборвалась бы ниточка.	и оборваться ниточка
А они по етой ниточке ножом...	а этот ниточка нож
Обувайся.	обуваться
Зачем вы ето сделали?	зачем этот сделать
Затем, что боец босой, вот зачем. Не в цацки играем.	затем боец босой зачем не цацка играть
О живых думать надо. На войне только етот закон.	о живой думать надо на война этот закон
Приказываю надеть сапоги.	приказывать надеть сапог
Нельзя. Как вы можете? Я...	нельзя как мочь я
Я родителям напишу.	я родитель написать
Хватит врать! Нет у тебя родителей, и не было!	хватить врать нет родитель быть
Подкидыш ты, и нечего тут выдумывать!	подкидыш ты нечего выдумывать
Зачем ты так? Нам сейчас без злобы надо.	зачем так мы злоба надо
Ато остервенеем все, как немцы.	ато остервенеть весь немец
Держи.	держать
Длинно не стреляй, вверх задирает.	длинно стрелять вверх задирать
-Я знаю. - Коротко жаль.	я знать коротко жаль
Значит, так. Лишние вещи здесь спрячем.	значит так лишний вещий спрятать
Все оружие взять с собой.	весь оружие взять себя
Рассыпайсь!	рассыпайся
Ко мне! Уходят.	к я уходить
Задело вас?	задеть вы
Нет, камушками посекло.	нет камушек посечь
Спасибо тебе, младший сержант, за секундочку, что мне дала.	спасибо ты младший сержант секундочка дать
За ту секундочку до гробовой доски положено водкой поить.	за тот секундочка гробовой доска положить водка поить
- Чудом спаслись. -Я везучая.	чудом спастись я везучий
Везучая... Счастье, что первым их увидел.	везучий счастие один увидеть
Тут побудьте.	тут побыть
Мы с ней, как с человеком, а она...	мы она человек она
Комсомолка! Тут каждый боец на счету.	комсомолка тут каждый боец счёт
Товарищ старшина, вы коммунист?	товарищ старшина коммунист
Ясное дело.	ясный дело
Просим быть председателем на комсомольском собрании.	просить председатель комсомольский собрание
И какая же повестка дня предполагается?	и повестка день предполагаться
О недостойном поведении в бою члена ВЛКСМ.	о недостойный поведение бой член влксм
О трусости.	о трусость
Мероприятие, значит, проведем?	мероприятие значит провести
Осудим товарища Четвертак, протокол напишем?	осудить товарищ четвертак протокол написать
А фрицы нам на етот протокол резолюцию наложат, годится?	а фриц мы этот протокол резолюция наложить годиться
Не годится.	не годиться
Поетому как старшина и как коммунист,	поетом старшина коммунист
отменяю на данное время все собрания.	отменять данный время собрание
А что до трусости, так ее не было.	а трусость быть
Трусость только во втором бою видна.	трусость второе бой видный
А ето растерянность, просто от неопытности.	а этот растерянность просто неопытность
Верно, боец Четвертак?	верно боец четвертак
Слезы и сопли утереть приказываю.	слеза сопля утереть приказывать
Осянина, выдвинись вперед, следи за лесом.	осянин выдвинуться вперёд следить лесом
Остальным бойцам принимать пищу и отдыхать по мере возможности.	остальной боец принимать пища отдыхать мера возможность
Поешь, Четвертачок.	поесть четвертачок
- Ешь. - Спасибо.	есть спасибо
Почему они от боя уклонились, как думаешь?	почему бой уклониться думать
Не знаешь. Вот и я не знаю.	не знаешь вот знать
А врага понимать надо.	а враг понимать надо
Война - ето ведь не просто, кто кого перестреляет.	война этот просто кто перестрелять
Война - ето, кто кого передумает.	война этот кто передумать
Передохнуть бы вам.	передохнуть вы
Нельзя, Маргарита, в поиск надо идти. Сил нет, а надо.	нельзя маргарита поиск идти сила нет надо
С кем пойдете?	с кто пойти
Хороший ты боец, Осянина, а устава не знаешь.	хороший боец осянин устав знаешь
Аустав... в уставе что сказано?	аустать устав сказать
Командир - не только военачальник.	командир военачальник
Он еще и воспитателем быть обязан.	он воспитатель обязать
Не надо. Лучше с Женькой.	не надо хороший женька
Конечно, лучше.	конечно хороший
Не можем мы допустить, чтоб человек сам себя уважать перестал.	не мочь допустить человек уважать перестать
Следуйте на большой дистанции, налегке, только с оружием.	следовать большой дистанция налегке оружие
Выстрелы услышите или два кряка,	выстрел услышать кряк
затаитесь и ждите, пока подойдем.	затаиться ждать пока подойти
А коли не подойдем, отходите,	а коли подойти отходить
скрытно, через прежние позиции, на восток, до первых людей.	скрытно прежний позиция восток один человек
- Тебе сколько лет-то? - По правде? Семнадцать.	ты сколько летто по правда семнадцать
Наврала, что ли, в военкомате?	наврать ли военкомат
Наврала, что родителей немцы убили.	наврать родитель немец убить
Вот ето да!	вот этот да
Но ведь были же у меня родители?	но родитель
Фамилию в детдоме дали?	фамилия детдом дать
-Завхоз придумал. -Хорошая фамилия.	завхоз придумать хороший фамилия
- Вам нравится? - Мал золотник, да дорог.	вы нравиться маленький золотник дорога
Замри! Нету тебя тут!	замереть нету тут
Мама!	мама
Первое отделение, с тылу заходи!	первое отделение тыл заходить
Остальные за мной!	остальной я
За нашу Советскую родину, ура!	за наш советский родина ура
Бежим, Рита, бежим, ведь вдвоем они!	бежать рита бежать вдвоём они
Нельзя, Женя, приказ есть приказ.	нельзя женя приказ приказ
Окружай их, ребята! Бей фашистских гадов!	окружать они ребята бить фашистский гад
За мной! Вперед!	за я вперёд
По фашистским гадам огонь!	по фашистский гад огонь
Ну, как хочешь. Тогда я одна пойду.	ну хотеть тогда один пойти
Боец Комелькова, ето тебе не казаки-разбойники, ето война!	боец комельков этот ты казакиразбойник этот война
За Сталина! Вперед!	за сталин вперёд
Слышишь?	слышать
Уводит он их от нас и Галки.	уводить галка
Он к завтрему вернуться обещал.	он завтрем вернуться обещать
Еще чайку попьем?	ещё чайка попить
Вшестером они.	вшестером они
Справятся.	справиться
Ночи какие светлые...	ночь какой светлый
Светлые, да холодные.	светлый холодное
Север.	север
Не застудились бы девчонки-то.	не застудиться девчонкито
Как же ето сталось с тобой, Лизавета?	как этот статься ты лизавета
Торопилась я.	торопиться я
- Федот Евграфыч! - Федот Евграфыч!	федот евграфыча федот евграфыча
Товарищ старшина!	товарищ старшина
- Федот Евграфыч, ето мы! - Мы здесь!	федот евграфыча этот мы мы здесь
Миленький! Федот Евграфыч!	миленький федот евграфыча
Живой!	живой
Родненький! Дождались! Дождались!	родненький дождаться дождаться
Ну что вы, девчонки! Что вы!	ну вы девчонка что вы
Съели хоть кусочек, спали-то хоть в полглазика?	съесть кусочек спалить полглазик
Не хотелось, товарищ старшина.	не хотеться товарищ старшина
Какой я теперь товарищ старшина, сестренки? Я вам вроде как брат.	какой товарищ старшина сестрёнка я вроде брат
Так зовите меня Федот или просто Федя, как маманя звала.	так звать федот просто федя маманя звать
Имечко-то у меня не круглое, ну да уж какое есть.	имечкото круглый какой есть
Галю мы похоронили.	галя похоронить
Пали смертью храбрых наши товарищи.	пасть смерть храбрый наш товарищ
Галя Четвертак в перестрелке.	галя четвертак перестрелка
АЛиза Бричкина в болоте утопла.	ализ бричкин болото утопнуть
Выходит, с Соней вместе троих мы уже потеряли.	выходить соня вместе трое потерять
Ето так.	этот так
Но ведь зато сутки противника здесь кружим, сутки.	но зато сутки противник кружить сутки
Так что помянем сестренок наших.	так помянуть сестрёнка наш
Добром помянем.	добром помянуть
Почему приказ не выполнили?	почему приказ выполнить
Какой приказ?	какой приказ
Приказал я вам на восток отходить?	приказать восток отходить
Так мы и отошли.	так отойти
- Отошли... - Имущество собрали все.	отойти имущество собрать весь
За имущество спасибо. Атеперь слушай новый приказ.	за имущество спасибо атеперь слушай новый приказ
Заправляйтесь, укладывайтесь и шагом марш отсюда.	заправляться укладываться шагом марш отсюда
Помощи нам теперь ждать неоткуда.	помощь мы ждать неоткуда
А немцы сюда идут. Так что рассиживаться некогда.	а немец сюда идти так рассиживаться некогда
Аты, Федот?	ата федот
Теперь мой черед сутки выигрывать.	теперь черёд сутки выигрывать
Троих, которых не вернешь,	трое который вернуть
мне до конца моих дней хватит.	конец мой день хватить
Что потерял, Федя?	что потерять федя
Остался я без артиллерии. Запал сгинул.	остаться артиллерия запасть сгинуть
А граната без запала - кусок железа.	а гранат запасть кусок железо
Булыжник и тот больше стоит.	булыжник стоить
Ничего, Федот, отобьемся.	ничто федот отбиться
Отобьемся, товарищ старшина.	отбиться товарищ старшина
А ну, чтобы духу вашего здесь не было! Три минуты даю!	а ну дух ваш быть три минута давать
Никуда мы отсюда не уйдем!	никуда отсюда уйти
Да я вас за неисполнение... под трибунал!	да неисполнение трибунал
Что же вы со мной делаете, девоньки?	что я делать девонька
Мы тоже очень волнуемся, товарищ третий.	мы очень волноваться товарищ три
Более двух суток.	более два сутки
Ни слуху, ни духу.	ни слух дух
Никого не прислал. Не прислал, говорю, никого!	никто прислать не прислать говорить никто
Маршрут примерно знаю.	маршрут примерно знать
Есть немедленно прибыть!	есть немедленно прибыть
Товарищи бойцы!	товарищ боец
Противник, вооруженный до зубов, движется в нашем направлении.	противник вооружённый зуб двигаться наш направление
Соседей нет у нас ни справа, ни слева.	сосед справа слева
И помощи нам ждать неоткуда.	и помощь мы ждать неоткуда
Поетому приказываю всем бойцам	поетом приказывать весь боец
и себе лично держать фронт.	лично держать фронт
Держать. Даже когда сил не будет, все равно держать.	держать даже сила быть равно держать
На етой стороне немцам земли нету!	на этот сторона немец земля нету
Потому что за спиной у нас Россия.	потому спина россия
Родина, значит, проще говоря.	родина значит простой говорить
Любо, братцы, любо,	любо братец любо
Любо, братцы, жить.	любо братец жить
С нашим старшиною Не приходится тужить!	с наш старшина не приходиться тужить
Стрелять будете только тогда, когда фрицы в воду полезут.	стрелять быть тогда фриц вода полезть
Адо етого дышать через раз, чтобы птицы не замолкали, поняла?	адо этот дышать раз птица замолкать понять
Поняла.	понять
Держи, но через речку из карабина стреляй, автомат прибереги.	держать речка карабин стрелять автомат приберечь
Как форсировать начнут, он очень даже пригодится, поняла?	как форсировать начать очень пригодиться понять
- Поняла. - Обожди.	понять обождать
Туда поглядывай. Смотри, чтобы не обошли.	туда поглядывать смотреть обойти
-Ясно. -Давай.	ясно давать
Товарищ старшина.	товарищ старшина
Скорее! Рита!	скорее рита
Сюда.	сюда
- Чем? - Граната.	чем гранат
Пить... пить...	пить пить
- Сейчас. - Нельзя.	сейчас нельзя
Тряпки давай! Белье!	тряпка давать бельё
Живей!	живой
-Да не шелк, льняное давай! - Нету.	да шёлк льняной давать нету
Спасибо, Женя.	спасибо женя
Немцы? Где немцы?	немец где немец
Иди... иди.	идти идти
- Прикроешь нас? -Угу.	прикрыть мы угу
Ничего... ничего... Рита.	ничто ничто рита
Осколки поверху прошли. Заживет.	осколок поверху пройти зажить
Иди... туда иди. Женька там.	идти туда идти женька там
Куда торопитесь?	куда торопиться
Уводит она их. За собой уводит.	уводить они за себя уводить
Брось меня.	бросить я
Брось.	бросить
Окружай их! За мной!	окружать они за я
Он говорил мне -	он говорить
Будь ты моею,	быть моя
И стану жить я,	и стать жить я
Страстью сгорая.	страсть сгорать
Прелесть улыбки,	прелесть улыбка
Нега во взоре	нега взор
Мне обещают	я обещать
Радости рая.	радость рая
То улыбался,	то улыбаться
То слезы лил он,	то слеза лить он
То улыбался,	то улыбаться
То слезы лил он!	то слеза лить он
Ах, не любил он меня...	ах любить я
Бедному сердцу Так говорил он...	бедный сердце так говорить он
Ох, сволочи! Ну, идите сюда, заразы!	ох сволочь ну идти сюда зараза
Бедному сердцу Так говорил он,	бедный сердце так говорить он
Но не любил он, Нет, не любил он...	но любить он нет любить он
Не любил он!	не любить он
Кончились... Меня!	кончиться я
Он обещал!..	он обещать
Интересно.	интересно
Ей, вы!	она вы
За Риту! За Галку! За Соню! За Лизу!	за рита за галка за соня за лиза
Он говорил мне -	он говорить
Яркой звездою	ярка звезда
Хладную душу	хладный душить
Ты озарила!	ты озарить
Ты мне надежду...	ты надежда
В сердце... вселила!..	в сердце вселить
Идите сюда!	идти сюда
Ну, идите!	ну идти
А, боитесь?	а бояться
Гады!	гад
Сразу умерла?	сразу умереть
Сразу.	сразу
Затаиться могла, не захотела.	затаиться мочь захотеть
А немцы где?	а немец где
Ушли они, за взрывчаткой, видно.	уйти они взрывчатка видно
Не победили они нас! Понимаешь? Не победили.	не победить мы понимать не победить
Болит?	болеть
Здесь вот у меня болит.	здесь болеть
Положил ведь я вас, всех пятерых положил.	положить вы пятеро положить
Аза что? За десяток фрицев?	аз что за десятка фриц
Ну зачем так?	ну так
Все же понятно... война.	весь понятно война
Пока война - понятно.	пока война понятно
А потом, когда мир будет?	а потом мир быть
Будет понятно?	быть понятно
Что ответить, когда спросят:	что ответить спросить
что же ето вы, мужики,	этот вы мужик
мам наших от пуль сберечь не могли?	мама наш пуля сберечь мочь
Не надо, мы родину защищали, ее.	не надо родина защищать она
Не мучь себя.	не мучить себя
Полежи тут, покуда я вокруг погляжу.	полежать тут покуда вокруг поглядеть
Два патрона, правда, осталось.	два патрон правда остаться
Ну все-таки, спокойнее с ним.	ну всетаки спокойный он
Погоди.	погодить
Сюда иди.	сюда идти
Помнишь, я на немцев у разъезда наткнулась?	помнить немец разъезд наткнуться
Я тогда к маме в город бегала.	я мама город бегать
Сынок у меня там, Игорь, три года.	сынок там игорь год
Мама очень больна.	мама очень больной
Не тревожься, Рита, понял я все.	не тревожиться рита понять весь
Спасибо тебе.	спасибо ты
Я сейчас разведку произведу и вернусь.	я разведка произвести вернуться
К ночи до своих доберемся.	к ночь свой добраться
Поцелуй меня.	поцелуй я
Колючий...	колючий
Иди. Завали меня ветками и иди.	идти заваль ветка идти
И обязательно дойди.	и обязательно дойти
Вместе дойдем.	вместе дойти
Что ж ты наделала, девонька? Что ж ты наделала?	что наделать девонька что наделать
Хенде хох!	хенд хох
Лягайт!	лягайта
Лягайт! Лягайт!	лягайта лягайта
