cleaned_text	lemm_text
О, БОГИНЯ!	о богиня
О, БОГИНЯ!	о богиня
 О любовь, ты совсем не то	о любовь
Что возникнет из пустоты.	что возникнуть пустота
Из мозаики выйдешь - ты	из мозаика выйти
Но сложить ее - очень нелегко!	но сложить очень нелегко
По весне - улетим к морям,	по весна улететь море
Я оденусь, как в летний зной	я одеться летний зной
Мы укроемся любя	мы укрыться любя
И я вечно буду с тобой!	и вечно быть ты
My heart - не дает сказать:	my heart давать сказать
"""Please Kiss - о, где твои глаза?"""	please kiss о твой глаз
"""Day Dream"" - мечты мои растут, да,"	day dream мечта мой расти да
И плывут, уносясь, к небесам...	и плыть уноситься небо
Любая может, да, отыскать мечту	любой мочь да отыскать мечта
И стоит счастье ей найти,	и стоить счастие найти
Ты заметишь - её вокруг	ты заметить её вокруг
Сияет свет любви!	сиять свет любовь
Бывает, слезы так текут из глаз...	бывать слеза течь глаз
И часто сердце давит грусть...	и часто сердце давить грусть
Думая о тебе сейчас,	думать ты сейчас
Я снова улыбнусь!	я снова улыбнуться
Во имя любви богини	в имя любовь богиня
Ты что, не понял?...	ты что понять
Зачем, как ты думаешь, я установила этот барьер?	зачем думать установить барьер
Извини. Но я не могу позволить тебе увидеть сестру.	извинить но мочь позволить ты увидеть сестра
"Ты слышал слова ""...отзыв обратно..""? Что бы это означало?"	ты слышать слово отзыв обратно что это означать
Я не знаю.	я знать
Похоже, Беллданди тоже не знает причины.	похоже беллданди знать причина
Она сказала, что на Небе что-то происходит...	она сказать небо чтоть происходить
...и она не может не подчиниться Владыке.	и подчиниться владыка
Ну ладно.	ну ладный
Тогда я сама спрошу у Владыки.	тогда сам спросить владыка
Это Урд, богиня 2 класса, ограниченная лицензия.	это урд богиня 2 класс ограниченный лицензия
Соедините меня с Ним.	соединить он
Скажите что-нибудь!	сказать чтонибыть
Вы знаете, кто я?!	вы знаете я
Отвечайте!	отвечать
Бесполезно.	бесполезный
Меня не соединяют.	я соединять
Беллданди...	беллданди
Прости, что я вышел из себя.	простить выйти себя
Наверное, у тебя была веская причина так говорить.	наверное веский причина говорить
Я буду ждать тебя...	я быть ждать ты
...вернешься ты или нет.	вернуться нет
Кейичи...	кейй
Наконец-то я могу вернуться на Небо с Беллданди.	наконецтый мочь вернуться небо беллданди
Чему ты так радуешься?	что радоваться
Бедная девочка теперь будет вечно подавленной!	бедный девочка вечно подавить
Ты счастлива видеть её такой?	ты счастливый видеть её такой
Ну...	ну
Значит ты поможешь мне?	значит помочь я
Ч-что ты собираешься делать?	ччто собираться делать
Видишь ли...	видеть ли
...багов притягивает энергия, запечатанная в этом дереве вишни.	баг притягивать энергия запечатать дерево вишня
Вот почему они появляются здесь.	вот почему появляться здесь
И Беллданди должна вернуться именно потому,...	и беллданди должный вернуться именно потому
... что баги вызывают помехи в системе.	баг вызывать помеха система
Ей не нужно будет возвращаться, если мы стабилизируем систему...	она нужно возвращаться стабилизировать система
...отрезав энергию, которая привлекает багов.	отрезать энергия который привлекать баг
Так мы убъём ТРЕХ зайцев одним выстрелом.	так убъём три зайцев один выстрел
Это не так просто!	это просто
Как ты собираешься сломать печать?	как собираться сломать печать
Насколько я могу судить, она весьма сильная.	насколько мочь судить весьма сильный
Это просто!	это просто
Ударить в неё таким же количеством энергии и нейтрализовать её.	ударить она такой количество энергия нейтрализовать её
Ну и где мы возьмём столько энергии?	ну взять столько энергия
Неужели ты думаешь о Наивыс...	неужели думать наивысый
Не так громко.	не громко
Это серьезный проступок -	это серьёзный проступок
