cleaned_text	lemm_text
Все индийские новинки на Www.BwTorrents.Ru	весь индийский новинка wwwbwtorrentsru
Перевод: margosha	перевод margosha
Релиз трекера: Www.BwTorrents.Ru	релиз трекер wwwbwtorrentsru
"""Приди, посмотри.."""	прийти посмотреть
"""..Кто смелый."""	кто смелый
"""Легче на поворотах.."	лёгкий поворот
"..мой друг."""	мой друг
"""Мой друг, мой друг."""	мой друг друг
"""Друг."""	друг
"""Друг""."	друг
"""Ты не можешь нас остановить."""	ты мочь остановить
"""Никогда нас не сломаешь."""	никогда сломать
"""Потому что ты со мной."""	потому я
"""Лучше ты это запомни."""	хороший это запомнить
"""Приди, посмотри.."	прийти посмотреть
"""..кто смелый."""	кто смелый
"""Легче на поворотах.."	лёгкий поворот
"..мой друг."""	мой друг
"""Мой друг. Друг""."	мой друг друг
"""Мой друг, мой друг."""	мой друг друг
"""Друг""."	друг
Вход в этот лес запрещён, сынок.	вход лес запретить сынок
Доброе утро! Извини, Голу.	добрый утро извинить гол
У меня были проблемы, парень.	у проблема парень
Вот. Поешь.	вот поесть
Почему ты злишься?	почему злиться
Поешь это, доверься мне!	поесть это довериться я
Ешь.. вау!	есть вау
Птичка!	птичка
Пока.	пока
Я же сказал тебе.. по крайней мере 50 рывков..	я сказать ты крайний мера 50 рывок
Давайте поспорим? - Хорошо!	давать поспорить хорошо
У меня только эта шоколадка. Подойдёт? - Пойдёт!	у этот шоколадка подойти пойти
Скажи, сколько рывков? - Восемьдесят.	сказать сколько рывок восемьдесят
Убирайтесь.	убираться
Драндулет! Драндулет! Драндулет!	драндулет драндулет драндулет
Я прошу прощения, мистер Гхош.	я просить прощение мистер гхош
Я опоздал..	я опоздать
Я слишком много времени..	я слишком время
Вообще-то связь была ужасной..	вообщеть связь ужасный
Там не работали телефоны..	там работать телефон
А потом у меня украли камеру! - Рэй..	а украсть камера рэй
Позвони Ароре по этому номеру.	позвонить арора это номер
Мистер Aрора! Адвокат моего дедушки?	мистер aрор адвокат мой дедушка
Мне очень жаль, твой дедушка умер.. На прошлой неделе.	я очень жаль твой дедушка умереть на прошлый неделя
'Вот здесь, видоискатель. Посмотри, что ты видишь? - Цветок!'	вот здесь видоискатель посмотреть видеть цветок
