cleaned_text	lemm_text
ВОДА, ВЕТЕР, ПЫЛЬ	вод ветер пыль
Два года назад мой отец послал меня работать в отдалённый город.	два год назад отец послать работать отдалённый город
Время от времени я присылал ему деньги.	время время присылать деньга
Потом я понял, что озеро пересыхает.	потом понять озеро пересыхать
Я решил съездить к своей семье: отцу, матери, сестре	я решить съездить свой семья отец матерь сестра
и братьям, от которых давно не получал вестей.	брат который давно получать весть
Когда озеро пересыхает, люди оставляют эту местность.	когда озеро пересыхать человек оставлять местность
- И они тоже? - Кто?	и тоже кто
Моя семья.	мой семья
Кто мог, тот ушёл.	кто мочь уйти
Я должен отправиться на поиски своей семьи.	я должный отправиться поиск свой семья
Я купил им эту козу. Но она умрёт от жажды.	я купить коза но умереть жажда
Я оставлю её тебе на сохранение.	я оставить её ты сохранение
- Пойду их искать. - Удачи.	пойти искать удача
Салам. Живёт в этой местности ещё кто-нибудь?	сало жить местность ещё ктонибыть
Грязь.	грязь
- Чего тебе? - Ищу своих.	что ты искать свой
Нет здесь никого кроме меня и старухи.	нет никто кроме старуха
Я же тебе сказал, что мы здесь единственные обитатели.	я ты сказать единственный обитатель
- Не могли бы вы дать мне воды? - Подожди здесь.	не мочь дать вода подождать здесь
- Спасибо. - Бог с тобой.	спасибо бог ты
- Есть вода? - Да.	есть вод да
Дай мне её.	дать её
Наполни ещё раз.	наполнить ещё раз
Этот колодец - сокровище в этой пустыне.	этот колодец сокровище пустыня
Я тебе положу в сумку хлеба. Возьми.	я ты положить сумка хлеб взять
Тебе пригодится. Скорее всего, искать будешь долго.	ты пригодиться скорее всего искать быть долго
Надеюсь, что тебе удастся найти свою семью.	надеяться ты удаться найти семь
Эй! Это вода для питья, а не для мытья машин!	эй это вод питие мытьё машина
- Вы её тратите понапрасну. - Не лезь не в своё дело.	вы её тратить понапрасну не лезть свой дело
Это не твоя забота. Поехали.	это твой забота поехать
Мы молись и копали, как только могли.	мы молиться копать мочь
Но никакой воды. Теперь мы должны идти. До свидания.	но никакой вода теперь должный идти до свидание
Эй! Подожди!	эй подождать
Моему отцу нужна помощь - вытащить человека,	мой отец нужный помощь вытащить человек
погребённого под песком.	погрести песок
Иди сюда. Сам Бог тебя прислал! Дверь занесло песком.	идти сюда сам бог прислать дверь занести песок
Ещё живой.	ещё живой
Надо дать ему воды, а колодец отсюда далеко.	надо дать вода колодец отсюда далеко
Мы должны взять его с собой.	мы должный взять себя
Он умирает от жажды.	он умирать жажда
Мы должны дать ему воды.	мы должный дать вода
Есть здесь поблизости колодец?	есть поблизости колодец
Да, там внизу. Подождите меня.	да внизу подождать я
Где вы?	где вы
Где вы?	где вы
Сценарист, монтажёр, режиссёр Амир Надери	сценарист монтажёр режиссёр амир надрать
