cleaned_text	lemm_text
Садись.	садиться
Сколько? - 300,000 долларов.	сколько 300000 доллар
А что за тип?	а тип
Всё здесь.	весь здесь
Где и когда?	где когда
На следующей неделе он едет в Индию.	на следующий неделя ехать индия
Посмотри на фото. Это и есть твой заказ.	посмотреть фото это твой заказ
Сколько?	сколько
Считайте, что дело сделано.	считать дело сделать
Где? - Он приезжает в Калькутту в выходные.	где он приезжать калькутта выходной
Как дела? - В порядке! Давай скорее	как дело в порядок давать скорее
Мне нужно три ящика рыбы. Срочно.	я нужно ящик рыба срочно
Ты обычно покупаешь немного. Что стряслось?	ты обычно покупать немного что стрястись
Раньше для себя покупал, а теперь вся семья собралась.	ранний покупать весь семья собраться
Давай только рыбу, мы чистые вегитарианцы.	давать рыба чистый вегитарианец
А это тебе. Невестка подарочки передала.	а это ты невестка подарочек передать
Сколько дают? - 25 тысяч рупий.	сколько давать 25 тысяча рупия
Когда клиент приезжает? - На Дашеру.	когда клиент приезжать на дашер
Дело в шляпе.	дело шляпа
Есть и другие претенденты.	есть другой претендент
Таких профессионалов как мы, в Калькутте больше нет!	такой профессионал мы калькутта нет
<i>Непобедимый чемпион, он перед вами!</i>	iнепобедимый чемпион вамиi
<i>Мой разум в вечном поиске, в трудах! </i>	iмыть разум вечный поиск труд i
<i>Я с удовольствием веселью предаюсь,</i>	iя удовольствие веселие предаюсьi
<i>Но и работаю, признаться, с огоньком.</i>	iно работать признаться огонькомi
<i>Всех денег никогда не заработать, Но попытаться можно - это факт!</i>	iвсех деньга заработать но попытаться это фактi
<i>Бог дарит деньги тем, кто их достоин.</i>	iбог дарить деньга тем достоинi
<i>И солнце круглое для нас с небес сияет, подобно золотой монете!</i>	iи солнце круглый небо сиять подобно золотой монетеi
<i>Танцует солнце перед вашими глазами! Кидайте же цветы к его ногам!</i>	iтанцевать солнце ваш глаз кидать цвета ногамi
<i>Не будем помнить прошлого, друзья!</i>	iне быть помнить прошлое друзьяi
<i>День будущий не стоит наших слез.</i>	iдеть будущий стоить наш слезi
<i>Лишь то, что между ними есть - сегодня,</i>	iлить то они сегодняi
<i>Достойно размышления всерьез.</i>	iдостойно размышление всерьезi
<i>Жизнь нам дана, чтоб все познать по полной.</i>	iжизнь мы дать познать полнойi
<i>Не для сведенья счетов и долгов.</i>	iне сведение счёт долговi
<i>Моралью я совсем не озабочен.</i>	iмораль озабоченi
<i>И страх мне совершенно не знаком.</i>	iи страх совершенно знакомi
<i>Мой звездный час еще не наступил, но чувствую, что очень близок он.</i>	iмыть звёздный час наступить чувствовать очень близкий онi
<i>Непобедимый чемпион, он перед вами!</i>	iнепобедимый чемпион вамиi
<i>Мой разум в вечном поиске, в трудах! </i>	iмыть разум вечный поиск труд i
<i>Я с удовольствием веселью предаюсь,</i>	iя удовольствие веселие предаюсьi
<i>Но и работаю, признаться, с огоньком.</i>	iно работать признаться огонькомi
<i>Возможности для всех равны с рожденья.</i>	iвозможность равный рожденьяi
<i>Твоя звезда тебе укажет путь.</i>	iтвой звезда ты указать путьi
<i>Извилистой дороги не пугайся.</i>	iизвилистый дорога пугайсяi
<i>Достигнишь цели, если ты не трус.</i>	iдостигнить цель трусi
<i>Небес голубизна над головою. И под ногами зелень из травы.</i>	iнебо голубизна голова и нога зелень травыi
<i>А между ними - яркой паутиной проложены пути твоей судьбы.</i>	iа они ярка паутина проложить путь твой судьбыi
<i>Откинь свои заботы и сомненья.</i>	iоткинуть свой забота сомненьяi
<i>Ведь тот, кто смел, пройдет пешком по морю.</i>	iведь тот сметь пройти пешком морюi
<i>Преодолеет всякие преграды, Оставив позади несчастий груз.</i>	iпреодолеть всякий преграда оставить позади несчастие грузi
Ни с места!	ни место
Стреляйте!	стрелять
У тебя хорошее настроение. - Все благодаря тебе, сынок!	у хороший настроение весь благодаря ты сынок
Он еще заказ получил.	он заказ получить
Но больше никаких агентов.	но никакой агент
Теперь все заказы только напрямик с клиентом.	теперь заказ напрямик клиент
Так значит мы вдвое больше получим?	так значит вдвое получить
Только о деньгах и думаешь! - Ну извини, папа.	только деньга думать ну извинить папа
Смотри какой младший брат у тебя мастер дела.	смотреть младший брат мастер дело
Дай следующий заказ мне, и увидишь какой я мастер.	дать следующий заказ я увидеть мастер
Каким образом? - Каким!	какой образ какой
С помощью братца!	с помощь братец
Так я и думал.	так думать
Адаван, следующая работа заграницей.	адаван следующий работа заграницей
- Правда? Ну поехали!	правда ну поехать
Чуть позже попьешь соку.	чуть поздний попить сок
Ну это же бесплатно, я еще выпью.	ну это бесплатно выпить
Тот, кто вызвал нас в Мумбаи.	тот вызвать мумбай
Ты что-нибудь знаешь о нем?	ты чтонибыть знаешь немой
"Нас будет ждать человек с табличкой ""Амар Сингх"""	мы ждать человек табличка амар сингха
Он то нам все и расскажет.	он мы рассказать
Кто делает бизнес с незнакомыми людьми?	кто делать бизнес незнакомый человек
Нужно делать все, чтобы обезопасить себя.	нужно делать весь обезопасить себя
А того священника из США ты знал?	а священник сша знать
Как красиво ты его из под воды шлепнул! И у нас дела сразу пошли в гору.	как красиво вода шлёпнуть и дело сразу послать гора
Вот-вот полиция закроет это дело, так как нет никаких улик.	вотвота полиция закрыть это дело никакой улика
Сколько еще мы будем этим заниматься?	сколько быть это заниматься
Если нас поймают, нам светит пожизненное заключение.	если поймать мы светить пожизненный заключение
Только до тех пор, пока я построю маленький пятизвездочный отель.	только тот пора пока построить маленький пятизвездочный отель
Полиция еще не закрыла дело. Им пригодится эта информация.	полиция закрыть дело имя пригодиться этот информация
Вы оба арестованы.	вы оба арестовать
Сидите, сидите. Собрались прыгать с самолета?	сидеть сидеть собраться прыгать самолёт
Не беспокойтесь, я не полицейский.	не беспокоиться полицейский
Зачем же тогда вы записали наш разговор?	зачем записать наш разговор
Поговорим о деле.	поговорить дело
Вот ваши билеты на обратный путь.	вот ваш билет обратный путь
Когда приземлитесь в Мумбаи, отправляйтесь сразу в Калькутту.	когда приземлиться мумбай отправляться сразу калькутта
Нет, мы должны там кое-кого встретить.	нет должный коёкий встретить
Меня. Это я вас вызвал.	я это вызвать
