cleaned_text	lemm_text
Уснул что ли? Не слышишь я сигналю?	уснуть ли не слышать сигналить
Или ты оглох? Бесполезный идиот.	или оглохнуть бесполезный идиот
Мы собираем урожай! Времени нет даже вздремнуть!	мы собирать урожай время вздремнуть
О Боже. Только не он.	о бог только он
Козел.	козлы
Хороший котеночек.	хороший котёночек
Хороший котеночек.	хороший котёночек
Очень плохо, что вас не было на этой встрече.	очень плохо встреча
Но ничего серьезного, я справился и без вас. Как обычно.	но серьёзный справиться вы как обычно
Извините, две секунды... Сейчас вернусь...	извинить два секунда сейчас вернуться
Где он? Только что ушел. Сказал ненадолго.	где он только уйти сказать ненадолго
- Ушел? - Да, но сейчас вернется.	уйти да вернуться
Это продолжается уже два месяца и сейчас...	это продолжаться месяц сейчас
Он делает из нас дураков с этой дистанционной работой.	он делать дурак дистанционный работа
Ты с ума сошел?	ты ум сойти
- Продолжаем работать... - Какая работа?	продолжать работать какой работа
Запрещено распылять химикаты около дома.	запретить распылять химикат около дом
Кроме того, моя жена беременна.	кроме тот жена беременный
Невероятно!	невероятно
Эта гадость теперь повсюду.	этот гадость повсюду
- Месье Вивес? - Да, алло?	месье вивес да алло
Месье Сенак здесь и ждет вас.	месье сенак ждать вы
- Вивес? - Здравствуйте месье Сенак.	вивес здравствовать месье сенак
Вы живете в 30-ти минутах езды от Парижа электричкой, верно?	вы жить 30ть минута езда париж электричка верно
Да. Простите, плохая связь, я сейчас в туннеле.	да простить плохой связь туннель
Встречаемся в моем офисе в 12.30 или вы уволены.	встречаться мыть офис 1230 уволить
- Я уже в пути. - С меня хватит.	я путь с хватить
Какого черта он делает...	какой черта делать
Ублюдок!	ублюдок
- Можно меня в другую палату? - Посмотрим, посмотрим.	можно другой палата посмотреть посмотреть
А здесь неплохо.	а неплохо
Они пришли и забрали твой трактор.	они прислать забрать твой трактор
Твой ежемесячный платеж... Ты вообще платил по своему кредиту?	твой ежемесячный платёж ты вообще платить свой кредит
Когда берешь ссуду, нужно не забывать регулярно платить...	когда брать ссуда нужно забывать регулярно платить
Но нет, это не про тебя...	но нет это ты
Тебе бы только дрыхнуть да бездельничать.	ты дрыхнуть бездельничать
- Здесь? - Ничего.	здесь ничто
- Здесь? - Ничего.	здесь ничто
Таким образом, вызов для Стефана Эвертса	такой образ вызов стефан эвертс
в том, чтобы попытаться одержать четвертую победу подряд,	тот попытаться одержать четвертовать победа подряд
которая может поднять его, в зависимости от результатов Пишона,	который поднять он зависимость результат пишон
на первое место в чемпионате.	первое место чемпионат
Еще пройдут пять Гран-при. Намюр будет следующим (г. в Бельгии)	ещё пройти пять гранпереть намюр следующий год бельгия
и это один из моих любимых треков.	это мой любимый трек
Теперь, вы в состоянии сделать это один. Ваш сосед может.	теперь состояние сделать это один ваш сосед мочь
Близнецам можно уезжать. Больших улучшений не будет.	близнец уезжать больший улучшение быть
Хорошие новости, джентельмены. Вы - свободны.	хороший новость джентельмен вы свободный
Не теряйте надежду. Никогда не теряйте надежду.	не терять надежда никогда терять надежда
Наука прогрессирует каждый день. Что не убивает нас, то…	наука прогрессировать каждый день что убивать мы то…
Я удаляюсь. Я устал.	я удаляться я устать
Я похож на шар из автомата для игры в пинбол...	я похожий шар автомат игра пинбол
Качусь и качусь.	катиться катиться
Я похож на шар из автомата для игры в пинбол...	я похожий шар автомат игра пинбол
Качусь и качусь.	катиться катиться
Господи, какая жара.	господь жара
У тебя есть кондиционер (AC) в машине?	у кондиционер ac машина
А я непременно хочу, чтобы у меня он был.	а непременно хотеть быть
У моего шурина есть трактор...	у мой шурин трактор
с кондиционером. Но не у меня.	кондиционер но я
Так у тебя есть кондиционер?	так кондиционер
Хотя, он ведь ест много топлива. Ты прав.	хотя есть топливо ты право
Я купил автомобиль.	я купить автомобиль
У меня был выбор ABS или AC.	у выбор abs ac
Я выбрал безопасность.	я выбрать безопасность
AC... нет, ABS.	ac нет abs
7 тысяч франков! Я все еще думаю во франках.	7 тысяча франк я думать франк
Но никакого отрицания нет,	но никакой отрицание нет
с AC было бы тоже неплохо.	ac неплохо
Возможно в следующий раз.	возможно следующий раз
Ну и жара.	ну жара
Я вел трактор своего шурина на днях.	я вести трактор свой шурин день
Ставишь AC на 72. Все время на 72.	ставить ac 72 весь время 72
С утра до ночи, работать просто кайф.	с утро ночь работать просто кайф
Это чудесно. И время пролетает незаметно.	это чудесно и время пролетать незаметно
Если слишком жарко, уменьшаешь на одно деление.	если слишком жарко уменьшать один деление
Но не ниже чем 70 - 71, никогда не делай ниже.	но ниже 70 71 делать ниже
Потому что, можно простудиться когда выйдешь наружу.	потому что простудиться выйти наружу
Это дело выбора. Но кондиционер расходует топливо.	это дело выбор но кондиционер расходовать топливо
Я слышал, что он потребляет...	я слышать потреблять
добрый литр. Если дизель.	добрый литр если дизель
В любом случае, через 10 - 15 лет	в любой случай 10 15 год
AC будут получать автоматически.	ac быть получать автоматически
Даже выбора не будет. AC для всех.	даже выбор быть ac весь
Вот увидите. Так и будет.	вот увидеть так быть
Уверен в этом. Даже не сомневаюсь.	уверенный это даже сомневаться
Изабель?	изабель
Изабель?	изабель
Изабель?	изабель
А вот и коллега для вас.	а коллега вы
Ты что здесь делаешь?	ты делать
Ручка не пишет. Вот дерьмо!	ручка писать вот дерьмо
- В Хельсинки? Вы вместе? - Нет, нет	в хельсинки вы вместе нет
- А вы куда едите? - Намюр.	а есть намюр
Хорошо, я закажу вам билеты. Но, для особенных людей, подобно вам,	хорошо заказать билет но особенный человек подобно вы
нам потребуется 24 часа,	мы потребоваться 24 час
чтобы направить сюда кого-нибудь, кто позаботится о вас.	направить сюда когонибудь позаботиться вы
Понятно. Да, хорошо.	понятно да хорошо
- Паспорт, пожалуйста - Конечно.	паспорт пожалуйста конечно
- Вот он. - Спасибо.	вот он спасибо
Его паспорт.	он паспорт
Спасибо.	спасибо
Мы заказывали вчера билеты.	мы заказывать вчера билет
Один до Хельсинки, а другой в...	один хельсинки в
Намюр.	намюр
Код брони QTV...	код бронь qtv
или U... Я не помню... 7, ээ...	u я помнить 7 ээ
Без кода, я ничего не могу сделать. Извините.	без код мочь сделать извинить
Но мы же сказали вам, что были ограблены. Все украдено.	но сказать вы ограбить весь украсть
- Код брони, кредитки, деньги... - Я хотел бы, но не в силах помочь вам.	код бронь кредитка деньга я хотеть бы сила помочь вы
А можно сделать что-нибудь по имени?	а сделать чтонибыть имя
К сожалению, нет. Извините.	к сожаление нет извинить
- Две куриных ножки. - Две ножки.	два куриный ножка два ножка
- А что у вас на десерт? - Салат из свежих фруктов.	а десерт салат свежий фрукт
- А еще что? - Больше ничего.	а что большой ничто
Тода два салата.	тода салат
Держи бобы вот так.	держать боб так
Затем, разрежь их на три или четыре кусочка.	затем разрезать четыре кусочек
Упорно стой на своем, мой несмышленый малыш.	упорно стоять свой несмышлёный малыш
Вспомни Альберта Либертада. (фр. анархо-индивидуалист, инвалид)	вспомнить альберт либертад фр анархоиндивидуалист инвалид
Во времена Изящной Эпохи,	в время изящный эпоха
этот скандально-известный маленький калека,	скандальноизвестный маленький калека
произвел революцию во всем своем мире.	произвести революция весь свой мир
Хромая на своих костылях, он без приглашения ходил	хромать свой костыль приглашение ходить
на различные политические собрания и мероприятия.	различный политический собрание мероприятие
Поднимался на подиумы, выходил на трибуну	подниматься подиум выходить трибуна
и своими костылями, он ловко сбивал с ног любого,	свой костыль ловко сбивать нога любой
кто пытался вышвырнуть его оттуда.	пытаться вышвырнуть оттуда
Он даже призывал к дезертирству!	он призывать дезертирство
Он пел на улицах,	он петь улица
а также на конференциях, где побуждал прекратить бесполезную деятельность.	также конференция побуждать прекратить бесполезный деятельность
Он сжигал любое удостоверение личности, которое попадало в его руки.	он сжигать любой удостоверение личность который попадать рука
Он неожиданно поднимался в церквях,	он неожиданно подниматься церковь
прямо посреди мессы	прямо посреди месса
"и назвал священников у алтаря - ""мешками с дерьмом"","	назвать священник алтарь мешок дерьмо
"а верующих, стоящих на коленях - ""ослами""."	верующий стоящий колено осёл
Он разрушал кладбища,	он разрушать кладбище
и громко проповедовал против,	громко проповедовать против
почитания мертвых и культа мертвого мяса.	почитание мёртвый культ мёртвый мясо
Он высмеивал консервативный буржуазный брак,	он высмеивать консервативный буржуазный брак
сожительствуя с монашками.	сожительствовать монашка
Да здравствует Альберт Либертад!	да здравствовать альберт либертад
Месье?	месье
- Солидарность между байкерами. - Нет.	солидарность байкер нет
Могу подать тебе 3 или 4 евро.	мочь подать ты 3 4 евро
50! - У меня нет столько. 50 евро! - У меня нет 50-ти евро.	50 у столько 50 евро у 50ть евро
Месье, извините, можно вас спросить?	месье извинить спросить
Бессердечный идиот. Ты никогда не знал ни голода ни холода.	бессердечный идиот ты знать голод холод
- Дайте мне уйти! - Ты кусок дерьма!	дать уйти ты кусок дерьмо
Отдай мне твои деньги!	отдать твой деньга
- Придурок! - Помогите!	придурок помочь
Помогите!	помочь
- Я могу помочь вам? - Да, пожалуйста.	я мочь помочь вы да пожалуйста
- Что мне конкретно сделать? - Тяните.	что конкретно сделать тянуть
- Помогите! - Он нарочно это делает.	помочь он нарочно это делать
- Кто нарочно делает? - Он.	кто нарочно делать он
Зацепился вот здесь...	зацепиться здесь
Знаете, а он ведь жмет на тормоз.	знаете жать тормоз
Он на тормоз нажал. И как мы сможем...?	он тормоз нажать и смочь
- Я уже устала. - Помогите!	я устать помочь
Месье... Пожалуйста, помогите мне. Спасибо.	месье пожалуйста помочь я спасибо
- Ну, что сделаешь против его воли... - Тогда поговорите с ним.	ну сделать против воля тогда поговорить он
- Я его не знаю. - А вы думаете, я знаю?	я знать а думать знать
Ну и что теперь делать?	ну делать
Извините Месье. Можно вас спросить?	извинить месье можно спросить
- Пожалуйста. - Эта улица...	пожалуйста этот улица
Ты кусок дерьма!	ты кусок дерьмо
Ты когда - нибудь испытывал голод или холод?	ты испытывать голод холод
Зачем вы это делаете?	зачем это делать
