cleaned_text	lemm_text
Того, кто пойдет со мной, того, кто станет моим единомышленником... того я наделю своей мощью.	тот пойти я тот стать мой единомышленник наделить свой мощь
О ты, скрывающийся от гнева богов, почему ты решил встретиться со мной?	о ты скрываться гнев бог почему решить встретиться я
Ты поймешь. Если откроешь мне свое сердце...	ты понять если открыть свой сердце
"""О, Богиня!"""	о богиня
Верданди....	верданди
Верданди ....	верданди
Верданди?	верданди
Верданди...	верданди
Ты не видел Верданди?	ты видеть верданди
Как красиво...	как красиво
Правда, она мастерица на все руки?	правда мастерица рука
А ты думала? Как-никак, Богиня Первого Ранга. Это естественно.	а думать какникак богиня первое ранг это естественно
Я тоже хочу так петь...	я хотеть петь
"""Я обрела великую любовь..."""	я обрести великий любовь
Урд! Не мешай петь мастерице!	урд не мешать петь мастерица
Мертвое дерево... но оно ц в е т е т.	мёртвый дерево оно ц е том е том
Сила Верданди... впечатляет.	сила верданди впечатлять
Я тут ни при чём. Оно с а м о заговорило со мной.	я что оно метр заговорить я
Сказало, что ему нравятся лес и зверушки. Ему отчаянно хочется жить.	сказать нравиться лес зверушка он отчаянно хотеться жить
И этими мыслями древо оживило себя.	и этот мысль древо оживить себя
Я лишь немного помогла ему.	я лишь немного помочь он
Кейичи? Ты, кажется, искал Верданди?	кейй ты кажется искать верданди
Да.	да
Верданди, мне бы не хотелось засиживаться допоздна.	верданди хотеться засиживаться допоздна
Ладно.	ладный
Скульд, если у тебя есть время и желание, то мы могли бы устроить спевку. Потренируемся.	скульда время желание мочь устроить спевка потренироваться
Правда?	правда
Хорошо, конечно, петь к р а с и в о. Но гораздо важнее думать о других и вкладывать в песню л ю б о в ь.	хорошо конечно петь р о но гораздо важный думать другой вкладывать песня литр ю б ь
Была бы любовь и забота о ближнем, а мастерство и красота приложатся.	быть любовь забота ближний мастерство красота приложиться
Понимаю, сестра!	понимать сестра
Кажется, Скульд счастлива.	кажется скульда счастливый
Когда я была маленькой, у меня был наставник. Он научил меня всему и вывел... в богини.	когда маленькая наставник он научить весь вывести богиня
Я всегда старалась подражать ему - если делаешь дело, делай х о р о ш о. Выкладывайся до конца.	я стараться подражать делать дело делать х р ш о выкладываться конец
Ух-ты... Вот бы с ним встретиться.	ухта вот встретиться
Да!	да
Счастливого пути, Сестра!	счастливый путь сестра
Поехали!	поехать
На дворе весна... Т р е т ь я весна, которую мы встречаем вместе.	на двор весна том р е том ь весна который встречать вместе
[А ты записался в Мото Клуб? Заходите к нам!] [Вливайтесь в наши ряды! Мы зажжем вашу кровь!]	а записаться мото клуб заходить мы вливаться наш ряд мы зажечь ваш кровь
Почему-то у меня нехорошее предчувствие...	почемуть нехороший предчувствие
Новички! Спасибо, что выкроили время и пришли на церемонию посвящения в члены нашего Клуба.	новичок спасибо выкроить время прислать церемония посвящение член наш клуб
Спорт дает нам силу, укрепляет нашу дружбу и оживляет серые университетские будни.	спорт давать мы сила укреплять наш дружба оживлять серый университетский будни
Пожалуйста, не выходите за ограждения - сейчас начнется авто-шоу!	пожалуйста выходить ограждение начаться автошоу
А... э... ум...	а э ум
Прошу прощения! Эти модели предназначаются исключительно для гонок. На них мы устанавливаем рекорды.	просить прощение этот модель предназначаться исключительно гонка на устанавливать рекорд
Наш девиз - подружись с командой и насладись собой!	наш девиз подружиться команда насладиться себя
"На следующей неделе в Шизуоке состоится гонка, спонсором которой выступает фирма ""Ураган""!"	на следующий неделя шизуока состояться гонка спонсор который выступать фирма ураган
Мы не оплошаем и выставим нашу лучшую машину!	мы оплошать выставить наш хороший машина
Ну как? Присоединяйтесь к нам, и вы получите массу новых впечатлений!	ну как присоединяться мы получить масса новый впечатление
O! Наверно... хотите присоединиться?	o наверно хотеть присоединиться
Большое спасибо!	большой спасибо
Позвольте представить молодое поколение! Первый новичок в этом году!	позволить представить молодой поколение один новичок год
Слово предоставляется...	слово предоставляться
ДРУЗЬЯ!!	друг
"Мы, руководители Мото Клуба ""Некоми Кодай""!"	мы руководитель мото клуб некоми кодать
Мы, Оотаки и Тамию! Во имя светлого будущего мы призываем молодых под свои знамена!	мы оотаки тамия в имя светлый будущее призывать молодая свой знамя
Может быть, когда-нибудь вы пойдете по нашим стопам? По огненному пути, пропахшему маслом и бензином?!	мочь быть когданибудь пойти наш стопа по огненный путь пропахнуть масло бензин
Идите, не пожалеете!!	идти пожалеть
И тогда вы станете н а ш и м и душой и телом!	и стать наш ш метр душа тело
Соединим же наши пылающие сердца!	соединимый наш пылать сердце
Закалим наши тела!	закалить наш тело
Вы вспыхнете новыми звездами на небосклоне мирового мотоспорта!	вы вспыхнуть новый звезда небосклон мировой мотоспорт
Вспыхнем же вместе!!	вспыхнуть вместе
Все кандидаты разбежались.	весь кандидат разбежаться
Уф... ну почему от этой парочки сплошь и рядом одни неприятности?	уф почему парочка сплошь ряд один неприятность
Сбежали... значит, остались лишь те, кто и с т о в о любит Мото Клуб?	сбежать значит остаться лишь тот том любить мото клуб
Именно! Вы избранные! Горе или печаль, главное - мы вместе!	именно вы избранный горе печаль главный вместе
Устроим вам радушный прием!	устроить радушный приём
Чувствуешь себя малость не в своей тарелке?	чувствовать малость свой тарелка
Все в порядке. На первый взгляд страшненькие, хотя на самом деле они нормальные ребята.	весь порядок на один взгляд страшненький хотя самый дело нормальный ребята
Я люблю мотоциклы... Потому и вступил в клуб.	я любить мотоцикл потому вступить клуб
У тебя есть свой мотоцикл? Или хотя бы велосипед?	у свой мотоцикл или хотя велосипед
Не совсем.	не совсем
Морисато! У тебя есть Верданди! А ты западаешь на новенькую?	морисато у верданди а западать новенький
Ты меня не так понял!	ты понять
Ей было скучно, и я...	она скучно я
Эх, молодо-зелено... поначалу все нервничают.	эх молодозелить поначалу нервничать
Помню, как сам впервые пришел в клуб. Стеснялся, нес какую-то околесицу...	помнить впервые прийти клуб стесняться нести какуюто околёсица
держался скованно и отстранено.	держаться скованно отстранить
Время расставит точки над ``i``.	время расставить точка i
Пройдет лет эдак несколько, и они будут с радостью вспоминать сегодняшнюю встречу.	пройти год эдак несколько быть радость вспоминать сегодняшний встреча
Обычная история...	обычный история
И я тоже, начиная...	и тоже начинать
Верданди!	верданди
Ты ни... никуда не выходила?	ты ни никуда выходить
А пора бы... ваш выход, маэстро.	а пора бы ваш выход маэстро
Вот!	вот
Ты как, в норме?	ты как норма
Н... да, конечно.	наш да конечно
Aх, Верданди... такая красивая, хорошая и умная...	aх верданди такой красивый хороший умный
...она вкусно готовит, ей нет равных по части с т и л я...	она вкусно готовить равный часть том литр я
Мегуми!	мегуметь
Такое впечатление, будто у нее вовсе нет недостатков...	такой впечатление вовсе недостаток
Ты должен о ней заботиться, понял?	ты должный заботиться понять
Эй! Тебе еще домой ехать?! Ты же за рулем!!	эй ты домой ехать ты руль
Слушай! Все называют меня первоклашкой, малышкой или малявкой...	слушай весь называть первоклашка малышка малявка
Ничего подобного...	ничто подобный
Говорят за глаза! НО... но...	говорят глаз но но
У МЕНЯ ТОЖЕ ЕСТЬ ГРУДЬ!	у я тоже есть грудь
Я знаю! Пожалуй... стоит показать!	я знать пожалуй стоить показать
То есть как - показать!?	то показать
Приятно, да...	приятно да
Пожалуйста, Хасегава, не делай этого!!	пожалуйста хасегава делать это
П...прошу прощения!	ппросить прощение
Мне так неловко...	я неловко
Подумать только... пустить в ход с и л у, да еще в подобном месте...	подумать только пустить ход литр у подобный место
Эх... весна на исходе.	эх весна исход
Год грядущий и год последующий... ...пройдет десятилетие...	год грядущий год последующий пройти десятилетие
...сколько воды утекло, Кейичи...	сколько вода утечь кейй
Иду, иду! Только глаза завела...	идти идти только глаз завести
Алло! Дом Морисато.	алло дом морисато
Давненько не виделись.	давненько видеться
Oх! Такой внезапный звонок... Если вы насчет желания, то сие можно устроить.	oх такой внезапный звонок если насчёт желание сей устроить
Мы бы не стали беспокоить по мелочам.	мы стать беспокоить мелочь
Ну конечно. Так в чем дело?	ну конечно так дело
Кто-то выпустил з а т о ч е н н о г о на Луне.	ктоть выпустить з том число е наш наш год луна
Предупреждаю: он может объявиться на Земле. Будьте осторожны...	предупреждать объявиться земля быть осторожный
На обратном пути купи мороженого!	на обратный путь купить мороженое
Селестин!	селестина
Ты плачешь...	ты плакать
совсем как в детстве.	детство
Ты выросла. И стала еще прекрасней.	ты вырасти и стать прекрасный
Кейичи, я вас познакомлю.	кейй познакомить
Это Селестин, мой учитель.	это селестина учитель
Он научил меня всему, наставил на путь истинный и вывел в богини Первого Ранга.	он научить весь наставить путь истинный вывести богиня первое ранг
Рад познакомиться.	рад познакомиться
А это Кейичи Морисато.	а это кейй морисато
Здесь, на Земле, мы живем под одной крышей.	здесь земля жить один крыша
Вы к нам по делу?	вы мы дело
Или... вы пришли навестить меня?	или прислать навестить я
Вы тогда столь внезапно исчезли...	вы столь внезапно исчезнуть
Куда вы... я...!	куда вы я
Видимо, ты ничего не помнишь.	видимо помнить
Навестить, говоришь... Я пришел з а б р а т ь тебя.	навестить говорить я прийти з б р том ь ты
Селестин!	селестина
Урд!	урд
Ты... ты осмелился показаться нам на глаза?	ты осмелиться показаться мы глаз
Ты тоже совсем не изменилась.	ты измениться
Отойди от Верданди!	отойти верданди
Урд, почему ты...	урд почему ты
Отойди!	отойти
Пожалуйста, Урд, прекрати!	пожалуйста урд прекратить
Что ты сделал с Верданди!	что сделать верданди
Верданди... Верданди!	верданди верданди
Судя по всему, ты ей очень дорог...	судить весь очень дорога
но все же я хочу дать ей ш а н с.	хотеть дать ш наш с
Шанс избрать свой путь... Верданди.	шанс избрать свой путь верданди
Урд!	урд
Верданди... она не приходит в себя! Верданди!	верданди приходить себя верданди
Кто-то прорывается с шестого спутника!	ктоть прорываться шесть спутник
Скорость нападения просто невероятна! Врата разбиты... оно приближается!	скорость нападение просто невероятный врата разбитый оно приближаться
Что приближается?	что приближаться
Анализирую... диагностика четвертого уровня...	анализировать диагностика четыре уровень
Аварийная Защита?	аварийный защита
Не действует.	не действовать
Ой, не к добру!	ой добро
Судя по направлению, вирус рвется к главной системе.	судить направление вирус рваться главный система
Функциональность спутника №6 упала на 20%!	функциональность спутник №6 упасть 20
Без паники. Эре, обойди основные протоколы.	без паника эре обойти основной протокол
Экс, запусти программу-обманку. Перекрой этой заразе пути к отступлению.	экс запустить программуобманка перекрой зараза путь отступление
Хроно. Как только вирус будет изолирован, попытайся его уничтожить.	хроно как вирус изолировать попытаться уничтожить
Есть.	есть
На нас напали... зачем?	на напасть зачем
Что происходит?!	что происходить
Хотел бы я знать!	хотеть знать
Он наложил на нее какое-то заклятье...	он наложить какоеть заклятие
Это...	это
Что это?	что это
Нельзя сидеть сложа руки...	нельзя сидеть сложить рука
Я, пожалуй, рискну.	я пожалуй рискнуть
Ничего себе учитель... Урд!	ничто учитель урд
Алло... алло? Вы меня слышите?	алло алло вы слышать
Я слышу тебя, Урд.	я слышать ты урд
Кто-то использовал сеть Верданди, чтобы заразить систему. У вас ЧП?	ктоть использовать сеть верданди заразить система у чп
Пришел з а т о ч е н н ы й и коснулся ее... Скорей всего, тогда он и активировал вирус.	прийти з том число е наш наш ы й коснуться она скорый всего активировать вирус
В настоящий момент сеть отключена, и вторжение в р е м е н н о остановлено.	в настоящий момент сеть отключить вторжение р е метр е наш наш остановить
Тогда нужно немедленно отозвать Верданди и подлечить...	тогда нужно немедленно отозвать верданди подлечить
Увы, невозможно. По понятным причинам, мы не пойдем на контакт с больной.	увы невозможно по понятный причина пойти контакт больной
Поможете?	помочь
Вряд ли... в с е й нашей энергии еле-еле хватает на обеспечение безопасности одной телефонной линии.	вряд ли е й наш энергия елееле хватать обеспечение безопасность один телефонный линия
Не кручинься. Мы будем работать как одержимые, лишь бы вылечить Верданди.	не кручиниться мы быть работать одержимый лишь вылечить верданди
Я хочу, что бы вы нашли преступника.	я хотеть найти преступник
Легко сказать.	легко сказать
Я поручаю это задание тебе... и буду за тебя молиться.	я поручать это задание ты быть молиться
Пришла беда - отворяй ворота...	пришлый беда отворять ворот
Я вернусь на Небеса и приведу кого-нибудь на помощь!	я вернуться небо привести когонибудь помощь
Верданди... она выкарабкается?	верданди выкарабкаться
Похоже, в одиночку нам не справиться...	похоже одиночка мы справиться
Ай! Холодно! Почему врата не открываются!?	ай холодный почему врата открываться
Врата не работают!	врата работать
Знать бы, каким и м е н н о заклинаньем положили Верданди...	знать бы какой метр е наш наш заклинание положить верданди
...увы, для начала она должна проснуться.	увы начало должный проснуться
Селестин!	селестина
Кейичи?	кейй
Верданди... Верданди... Верданди...	верданди верданди верданди
Что..?!	что
Не смотри!	не смотреть
Я из Небесной Службы Спасения. Меня зовут Верданди.	я небесный служба спасение я звать верданди
Я пришла исполнить твое желание.	я пришлый исполнить твой желание
Чур, только одно.	чур один
Мм... Я хочу задать вопрос...	мм я хотеть задать вопрос
Что делает Скульд в доме Морисато?	что делать скульда дом морисато
И Урд...	и урд
Потому что... ты пошла исполнять желание некоего Кейичи... и не вернулась.	потому что пошлый исполнять желание некий кейй вернуться
Я была здесь?	я здесь
Но я впервые вижу Морисато.	но впервые видеть морисато
Наша цель - помогать таким, как ты.	наш цель помогать такой ты
Загадывай любое желание.	загадывать любой желание
У-Урд, она...	уурд она
Да... кажись, она потеряла память.	да казаться потерять память
Что?!	что
Но... тогда почему она помнит меня и Урд?	но почему помнить урд
Словно... словно кто-то н а м е р е н н о стер воспоминания о Кейичи.	словно словно ктоть наш метр е р е наш наш стереть воспоминание кейй
Кто потерял память?	кто потерять память
Тише, сестра! Речь идет о тебе!	тиша сестра речь идти ты
Кейичи, скажи что-нибудь. Ты ведь любишь сестру?!	кейй сказать чтонибыть ты любить сестра
