cleaned_text	lemm_text
Переведено командой MenInSub	перевести команда meninsub
ЗАЛИВ ПРОЩЕНИЯ, ШТАТ МЭН, 1985 ГОД	залив прощение штат мэн 1985 год
Жюль Верн писал:	жюля верна писать
"""Два корабля в открытом море,"	два корабль открытый мор
"даже безветренном, всегда сойдутся""."	безветренный сойтись
Так познакомились мои родители.	так познакомиться мой родитель
Два корабля, которых свела судьба.	два корабль который свести судьба
Всё хорошо. Спокойно.	весь хорошо спокойно
Тише, тише, успокойся.	тиша тиша успокоиться
Ты же не дышала.	ты дышать
Они были из разных миров.	они разный мир
Но жизнь, как и море, имеет свойство сводить людей.	но жизнь мор иметь свойство сводить человек
А я хотел тебе яичницу пожарить.	а хотеть ты яичница пожарить
Только не ешь мою собаку, ладно?	только есть мой собака ладный
Тише. Всё хорошо.	тиша весь хорошо
Я заварил чай.	я заварить чаять
Давай, попробуй. Тебе станет лучше.	давать попробовать ты стать хороший
Так, кто же ты?	так ты
Атланна.	атланна
Королева Атлантиды.	королева атлантида
Ого. А я Том.	ого а тот
Смотритель маяка.	смотритель маяк
Она бежала от брака по расчёту, и оставила старую жизнь.	она бежать брак расчёт оставить старый жизнь
Но на Маяке моего отца	но маяк мой отец
она нашла то, чего не ожидала.	найти то ожидать
А мой отец...	а отец
нашёл любовь всей своей жизни.	найти любовь весь свой жизнь
"Ураган 4 категории ""Артур"" обрушится на прибережные территории..."	ураган 4 категория артур обрушиться прибережный территория
Может, назовём его Артур?	мочь назвать артур
В честь урагана?	в честь ураган
В честь легенды.	в честь легенда
Он ведь у нас король, да?	он король да
Он - нечто большее.	он нечто больший
Он доказательство того, что наши народы могут жить вместе.	он доказательство тот наш народ мочь жить вместе
Однажды он объединит наши миры.	однажды объединить наш мир
А трезубцем мог обладать лишь сильнейший атлант.	а трезубец мочь обладать лишь сильнейший атлант
Этот трезубец дал королю власть над семью морями.	этот трезубец дать король власть семь море
Он был настолько могущественным, что сам океан ему завидовал	он настолько могущественный океан завидовать
и вызвал страшное землетрясение, чтобы уничтожить Атлантиду.	вызвать страшный землетрясение уничтожить атлантида
Она была свергнута на самое дно океана.	она свергнуть самый дно океан
Но легенда гласит, что однажды придёт новый король,	но легенда гласить однажды прийти новый король
который использует силу трезубца,	который использовать сила трезубец
чтобы снова вернуть Атлантиду.	снова вернуть атлантида
Том, возьми его!	тот взять он
Королева Атланна, властью данной королём Орваксом,	королева атланна власть дать король орвакс
приказываем вам вернуться в Атлантиду.	приказывать вернуться атлантида
Атланна!	атланна
Но атланты ничего не забыли.	но атлант забыть
Как и их король, который так просто её не отпустит.	как король который просто её отпустить
- Атланна! - Том!	атланна тот
- Трезубец! - Держи!	трезубец держать
Эти миры никогда не должны были встретиться,	этот мир должный встретиться
а я был плодом любви, которого не должно было быть.	плод любовь который должный быть
Ты не обязана возвращаться, Атланна. Прошу.	ты обязать возвращаться атланна просить
Нет.	нет
Это не прекратится.	это прекратиться
В следующий раз они пошлют армию.	в следующий послать армия
Я должна вернуться.	я должный вернуться
Это единственный способ его спасти.	это единственный способ спасти
И тебя.	и ты
Там, откуда я родом...	там откуда родом
море уносит наши слезы.	мор уносить наш слеза
Но не здесь.	но здесь
Здесь ты чувствуешь.	здесь чувствовать
Я вернусь, когда будет безопасно.	я вернуться безопасно
Однажды...	однажды
прямо здесь, на рассвете.	прямо здесь рассвет
Мы снова будем вместе.	мы снова быть вместе
Будь сильным, мой маленький принц.	быть сильный маленький принц
Я всегда буду с тобой.	я быть ты
Не дай ему забыть меня.	не дать забыть я
Вся жизнь зародилась в море,	весь жизнь зародиться мор
поэтому, если мы хотим понять себя,	поэтому хотеть понять себя
необходимо обратиться к истокам.	необходимый обратиться исток
На сегодняшний день карты Марса детальнее,	на сегодняшний день карта марс детальный
чем карты наших морей.	карта наш море
Ну же! Сюда! Тупая рыба!	ну же сюда тупой рыба
- Подойдите сюда. - Мальчики!	подойти сюда мальчик
- Хватит. - Пошли!	хватить послать
Привет!	привет
Привет, рыбка.	привет рыбка
Привет!	привет
Меня зовут Артур. А вас как?	я звать артур а как
- Вы хотите есть? - Вы только посмотрите.	вы хотеть есть вы посмотреть
Я тоже.	я тоже
Артур разговаривает с рыбами.	артур разговаривать рыба
Ну, ты и чудила, Артур.	ну чудила артур
Отстаньте!	отстать
- Как тебе такое? А? - Чудила!	как ты такой а чудила
Хватит! Отпустите меня!	хватить отпустить я
АКВАМЕН.	аквамена
НАШИ ДНИ	наш день
- Вы кто такие? - Пошёл! Быстрее!	вы такой пойти быстрый
Быстрее!	быстрый
Сэр, капитан у нас.	сэр капитан мы
Сигнал бедствия отключён. Мы пропали с радаров.	сигнал бедствие отключить мы пропасть радар
Но его услышали. Даже не сомневайся.	но услышать даже сомневаться
У меня к тебе предложение.	у ты предложение
Я не буду говорить тебе, как быть капитаном.	я быть говорить ты капитан
А ты не говоришь мне, как быть пиратом.	а говорить я пират
Где остальные члены экипажа?	где остальной член экипаж
Они оказались поумнее капитана	они оказаться умный капитан
и заперлись в торпедном отсеке.	запереться торпедный отсек
Наша репутация опережает нас.	наш репутация опережать мы
Твоя репутация. Это твоя победа.	твой репутация это твой победа
Вот.	вот
Оставь этот мусор себе, это часть твоей жизни.	оставить мусор себя это часть твой жизнь
Я никогда не рассказывал его историю.	я рассказывать история
Он принадлежал твоему деду.	он принадлежать твой дед
Он был одним из лучших на флоте во время Второй мировой войны.	он один хороший флот время два мировой война
Он был так незаметен в воде. Что его люди прозвали его Манта.	он незаметный вода что человек прозвать мант
Но после войны государство забыло о нём.	но война государство забыть он
И он вернулся в море, выживал только благодаря своей смекалке.	и вернуться мор выживать благодаря свой смекалка
Мне бы столько же, когда он отдал мне этот нож.	я столько же отдать нож
А теперь, он твой, сынок.	а теперь твой сынок
Мы врезались во что-то?	мы врезаться чтоть
Нет. Что-то врезалось в нас.	нет чтоть врезаться мы
- Сэр, там что-то есть. - Ещё одна подводная лодка?	сэр чтоть есть ещё один подводный лодка
Нет. Кажется, это человек.	нет кажется это человек
Это не человек.	это человек
Альфа, направо. Команда Браво проверьте люк.	альфа направо команда бравый проверить люк
Разрешите подняться на борт?	разрешить подняться борт
Не может быть!	не быть
Аквамен!	аквамена
Быстрее. Я пропускаю всё веселье.	быстрый я пропускать весь веселие
Я долго ждал этого.	я долго ждать это
А ты ещё кто такой?	а ещё такой
Я пират открытого моря.	я пират открытый море
А ты Аквамен.	а аквамена
Так или иначе, нам суждено было встретиться.	так иначе мы суждено встретиться
Главное, чтоб это не вошло в привычку.	главный это войти привычка
Отец!	отец
Отец?	отец
Это твой сын?	это твой сын
Какой позор.	какой позор
Давайте-ка расхлёбывайте эту кашу без меня.	давайтек расхлёбывать каша я
Ублюдок!	ублюдок
Отец!	отец
Стой! Помоги мне! Его придавило!	стоять помочь я он придавить
Ты не можешь вот так его бросить!	ты мочь бросить
Умоляю!	умолять
Ты убил невинных людей. Проси у моря пощады.	ты убить невинный человек просить море пощада
Убирайся отсюда! Оставь меня!	убираться отсюда оставить я
Замолчи! Я не оставлю тебя!	замолчать я оставить ты
Ты должен выжить, чтобы убить этого ублюдка.	ты должный выжить убить ублюдок
- Иди же! - Нет!	идти же нет
- Иди! - Заткнись!	идти заткнуться
Убирайся!	убираться
Нет!	нет
Будь ты проклят!	быть проклятый
Иди!	идти
Я всегда знаю, где тебя найти.	я знать найти
А ты своим привычкам не изменяешь.	а свой привычка изменять
- Пойдём, позавтракаем. - О да!	пойти позавтракать о да
Тебе бы пить только из кружки-непроливайки.	ты пить кружкинепроливайка
Как так получилось, что я могу дышать под водой,	как получиться мочь дышать вода
но пиво пью хуже тебя?	пиво пить худой ты
Это моя суперсила.	это суперсила
... прошлой ночью подлодка была захвачена пиратами.	прошлый ночью подлодка захватить пират
Это те же пираты, которых подозревают в краже	это тот пират который подозревать кража
сверхсекретного прототипа	сверхсекретный прототип
подводной лодки-невидимки нашего ВМФ.	подводный лодкиневидимка наш вмф
И на данный момент, у нас есть неподтверждённая информация,	и данный момент неподтвердить информация
"что мета-человек, которого СМИ прозвали ""Акваменом"","	метачеловек который сми прозвать акваменом
спас экипаж этой подлодки...	спасти экипаж подлодка
- Это не я. - Вот чёрт.	это я вот чёрт
Ты всё-таки занялся этим?	ты всётаки заняться это
Тем, чему тебя учил Вулко.	тем что учить вулко
Я так и знал, что ты не сможешь вечно стоять в стороне.	я знать смочь вечно стоять сторона
Твоя мать всегда знала, что ты особенный.	твой мать знать особенный
Даже не начинай.	даже начинать
Она верила, что только тебе под силу объединить два наших мира..	она верить ты сила объединить наш мир
Пожалуйста, прекрати.	пожалуйста прекратить
Кем бы ни были атланты, ты всё равно лучше них.	кто атлант весь равно они
Атланты убили мою мать.	атлант убить мой мать
- Ты не знаешь этого наверняка. - Нет, знаю.	ты знаешь наверняка нет знать
Они её убили за то,	они её убить то
что она любила тебя и родила меня.	любить родить я
И ты это знаешь.	и это знаешь
Сынок, да прекращай ты уже себя винить.	сынок прекращать винить
Эй, чувак.	эй чувак
Это ты тот Рыбомен из телека?	это рыбомена телек
Началось!	начаться
Он самый. Чё те надо?	он самый чё тот надо
Сейчас я скажу чё мне надо.	сейчас сказать чё надо
Можно сфоткаться с тобой?	можно сфоткаться ты
Ты теперь наш местный герой, чувак.	ты наш местный герой чувак
Для меня это очень важно. Это будет быстро...	для это очень важный это быстро
- Ладно, давай. - Шикос. Давай сделаем это.	ладный давать шикос давать сделать это
- Не прикасайся ко мне. - Ладно.	не прикасаться к я ладный
Ладно, ладно. А я так хотел тебя потрогать внизу.	ладный ладный а хотеть потрогать внизу
Вот так. Улыбаемся.	вот так улыбаться
ГДЕ-ТО В АТЛАНТИЧЕСКОМ ОКЕАНЕ	гдеть в атлантический океан
Он понимает насколько важна эта встреча.	он понимать насколько важный этот встреча
И выслушает вас до конца.	и выслушать конец
- Король Орм. - Король Нерей.	король орм король нерей
Ты выбрал место слишком близкое к поверхности.	ты выбрать место слишком близкий поверхность
Ты узнаёшь королевский совет?	ты узнавать королевский совет
Во времена короля Атлана, это было место семи королей.	в время король атлана это место семь король
Здесь собирались наши предки.	здесь собираться наш предок
Он всегда сидел во главе стола.	он сидеть глава стол
Ксебел всегда был рядом.	ксебел ряд
Солёные воды, Рыбаки,	солёный вода рыбак
Пустынники и Впадина тогда ещё не пали.	пустынник впадина ещё пасть
А потерянные не исчезли.	а потерянный исчезнуть
Вместе мы были величайшей империей во всём мире.	вместе великий империя весь мир
Теперь мы скованны архаичными законами и политикой,	теперь скованный архаичный закон политика
в то время как угроза сверху становится явной.	время угроза сверху становиться явный
Насилие всегда было на поверхности.	насилие поверхность
Они сами себя уничтожат.	они сам уничтожить
Но сперва уничтожат нас.	но сперва уничтожить мы
Мы прятались слишком долго.	мы прятаться слишком долго
Настало время вернуть Атлантиде былое величие.	настать время вернуть атлантида былой величие
Мы оказываем вам честь, король Нерей...	мы оказывать честь король нерей
