cleaned_text	lemm_text
Опасные связи	опасный связь
Четыре пики.	четыре пик
Ну, милая....	ну милый
Как ты осваиваешься в большом мире?	как осваиваться большой мир
Благодарю вас, всё хорошо.	благодарить вы весь хорошо
Я велела ей слушать и молчать, пока с ней не заговорят.	я велеть слушать молчать пока заговорить
Но надо что-то придумать, чтобы тебе не было скучно.	но чтоть придумать ты скучно
Вальмон приехал.	вальмона приехать
Вы принимаете его?	вы принимать он
Да.	да
Как и вы.	как вы
Виконт де Вальмон, дитя моё...	виконт де вальмона дитя мой
...его ты, вероятно, не помнишь...	он ты вероятно помнить
...он до неприличия обаятелен и ни за что...	он неприличие обаятельный что
...не откроет рот, не подумав о последствиях.	не открыть рота подумать последствие
Зачем вы принимаете его?	зачем принимать он
Все принимают его.	весь принимать он
Мадам.	мадам
Какой приятный сюрприз.	какой приятный сюрприз
Мадам де Воланж. Какое счастье видеть вас.	мадам де воланж какой счастие видеть вы
Вы помните мою дочь, Сесиль?	вы помнить мой дочь сесиль
Кто бы мог подумать, что она так расцветёт?	кто мочь подумать расцвести
Я хотел навестить вас перед своим отъездом.	я хотеть навестить свой отъезд
О....	о
Думаю, мы этого не допустим. Зачем же вы уезжаете?	думать допустить зачем уезжать
Париж в августе, вы же знаете...	париж август знаете
...и мне пора навестить тётушку.	и пора навестить тётушка
Я постыдно пренебрегал ею.	я постыдно пренебрегать она
Мадам де Розмонд была так добра, что пригласила...	мадам де розмонд добро пригласить
...нас погостить у неё.	мы погостить она
Вы передадите ей наши наилучшие пожелания?	вы передать наш хороший пожелание
Непременно сделаю это, мадам.	непременно сделать это мадам
Полагаю, нам пора домой.	полагать мы пора домой
Но в монастыре мы ложились в девять.	но монастырь ложиться девять
Как и должно быть.	как должный быть
Тётушка?	тётушка
Вот именно.	вот именно
Я думала, она уже завещала вам все свои деньги.	я думать завещать свой деньга
Знаете, для чего я пригласила вас?	знаете пригласить вы
Надеюсь, чтобы насладиться моим обществом.	надеяться насладиться мой общество
Вы нужны мне для совершения...	вы нужный совершение
...одного героического деяния.	один героический деяние
Помните, Бастид бросил меня?	помнить бастид бросить я
Да.	да
Ушёл к вашей толстой любовнице, не помню её имени.	уйти ваш толстой любовница помнить её имя
Да, да.	да да
Никто не поступал со мной так. Да и с вами, я полагаю.	никто поступать я так да вы полагать
Признаюсь, я был рад избавиться от неё.	признаться рад избавиться она
Это неправда.	это неправда
Вот уже несколько лет Бастид ищет себе жену.	вот несколько год бастид искать жена
Он всегда страстно выступал за монастырское образование.	он страстно выступать монастырский образование
И вот он нашёл свой идеал.	и найти свой идеал
Сесиль Воланж.	сесиль воланж
Совершенно верно.	совершенно верно
И её 60 тысяч годовых.	и её 60 тысяча годовой
