cleaned_text	lemm_text
- Ну что, троица, приступим? - И все, нас только трое?	ну что троица приступить и весь трое
Еще двое на крыше. Все в доле. 5-х достаточно.	ещё двое крыша весь доле 5х достаточно
6-х! Не забудь того, кто погнал тему.	6х не забыть тот погнать тема
Ты что, думаешь, он, просидев, свою долю получит?	ты что думать он просидеть доля получить
Понятно, почему его зовут Джокер.	понятно почему звать джокер
А почему его зовут Джокер?	а почему звать джокер
- Говорят, красится. - Красится?	говорят краситься краситься
Ну чтоб людей пугать, типа, боевая раскраска.	ну человек пугать тип боевой раскраска
"Так! Все слушайте сюда: ""Руки вверх, бошки вниз!"""	так весь слушать сюда рука вверх бошка вниз
"Я сказал: ""Руки вверх, бошки вниз!"""	я сказать рука вверх бошка вниз
Идем, братан! Хочу снять денег со счета!	идти братан хотеть снять деньга счёт
"Я сказал: ""Руки вверх!"""	я сказать рука вверх
Включилась бесшумная сигнализация.	включиться бесшумный сигнализация
- Вот она выключилась. - Головы вниз!	вот выключиться голов вниз
Так, коза, будешь лежать со мной.	так коза быть лежать я
Лежать, сказал!	лежать сказать
"Странно, сигнал шел не в ""911""."	странно сигнал идти 911
Система пыталась звонить на частный номер.	система пытаться звонить частный номер
- Что-то не так? - Нет, все нормально.	чтоть так нет нормальный
Сидеть!	сидеть
На пол! Кому сказано?	на половина кома сказать
Займите руки полезным делом - цепляйтесь за свою...	занять рука полезный дело цепляться свой
...драгоценную жизнь изо всех сил.	драгоценный жизнь из сила
На пол! Кому сказано? Никому не двигаться!	на половина кома сказать никто двигаться
Всем лежать!	весь лежать
Вот так!	вот так
Слышь, ты вообще в курсе, кого грабишь? Вы все покойники!	слышь вообще курс кто грабить вы покойник
Он все патроны отстрелял?	он патрон отстрелять
Что за...?	что за
Ты где считать учился?!	ты считать учиться
Дверь хранилища под напряжением в 5 тысяч вольт. Что это за банк?	дверь хранилище напряжение 5 тысяча вольт что это банк
Банк мафии. Похоже, Джокер действительно отмороженный.	банк мафия похоже джокер действительно отморозить
Где электронщик?	где электронщик
Босс велел его завалить, как только закончит.	босс велеть завалить закончить
Доля растет.	доля расти
- Прикольно. Мне велел то же самое... - Что? Нет! Нет!	прикольный я велеть самый что нет нет
Денег много... Если этот Джокер в натуре...	деньга много если джокер натура
...такой умный, подогнал бы машину побольше.	такой умный подогнать машина большой
Уверен, Джокер велел убить меня, как только погрузим наличные.	уверенный джокер велеть убить я погрузить наличный
Не, не, не. Я должен убить водителя автобуса.	не не не я должный убить водитель автобус
Автобуса?	автобус
Какого автобуса?	какой автобус
Уроки закончились, поехали. Этот, похоже, приехал.	урок закончиться поехать этот похоже приехать
Денег много...	деньга много
А что с остальными?	а остальной
Думаешь, самый умный, да?	думать самый умный да
Тот, кто тебя нанял, поступит с тобой так же.	тот нанять поступить ты же
Раньше у преступников в нашем городе были понятия.	ранний преступник наш город понятие
Честь, уважение... А ты?	честь уважение а ты
Какие у тебя понятия? Во что ты веришь?	какой понятие в верить
Верю в то, что меня не убивает, делает меня...	верить то убивать делать я
...страннее.	странный
<i>Господин мэр, в предвыборной компании вы обещали очистить город.</i>	iгосподин мэр предвыборный компания обещать очистить городi
<i>- Когда начнете? - Майк, по-моему я уже начал.</i>	i когда начать майк помоему началi
<i>Ну вот этот, как его? Бэтмен. Говорят, он творит добро. Говорят, преступники в страхе разбегаются...</i>	iну этот он бэтмена говорят творить добро говорят преступник страх разбегаютсяi
Не, чувак. Сегодня мне чего-то не по себе.	не чувак сегодня чеготь себя
Ты что, суеверный? Да ты скорее в лотерею выиграешь, чем его увидишь.	ты что суеверный да скорее лотерея выиграть увидеть
<i>Это совершенно недостоверная информация. Мне докладывают, наши сотрудники...</i>	iэтый совершенно недостоверный информация я докладывать наш сотрудникиi
<i>...из отдела особо тяжких готовят арест Бетмена.</i> Уэрц, мэр говорит, ты подбираешься к Бэтмену.	iиз отдел особо тяжкий готовить арест бетменаi уэрц мэр говорить подбираться бэтмена
Расследование в самом разгаре.	расследование самый разгар
ПОДОЗРЕВАЕМЫЕ	подозревать
<i>А я обещал избирателям, что, в общем-то, все будет в порядке.</i>	iа обещать избиратель что общемто порядкеi
Вы к жене вообще собираетесь, лейтенант?	вы жена вообще собираться лейтенант
А вам вроде надо ухаживать за матерью, детектив.	а вроде ухаживать матерь детектив
- Она снова в больнице. - Сочувствую.	она снова больница сочувствовать
- Так что, он еще не появился? - Так часто бывает.	так что появиться так часто бывать
Но мне нравится напоминать людям, что он рядом.	но нравиться напоминать человек ряд
- А почему он не пришел? - Надеюсь, потому что занят.	а почему прийти надеяться занятый
Вот <i>паэтаму ми</i> взяли собак.	вот iпаэтаму миi взять собака
- <i>Маи маленкие принцесы</i>. - Прошу вас, не надо!	iмая маленкий принцесыi просить вы надо
Пожалуйста, они лезут мне в рот! Прошу, умоляю! Уберите их.	пожалуйста лезть рота просить умолять убрать они
<i>Пасматри</i>, что твои наркотики делают с моими клиентами.	iпасматриi твой наркотик делать мой клиент
Да будет бдительным покупатель.	да бдительный покупатель
Я говорил, мой товар вызовет виденья, но...	я говорить товар вызвать виденье но
...не обещал, что виденья будут приятными.	не обещать виденье быть приятный
Моему бизнесу нужны постоянные клиенты.	мой бизнес нужный постоянный клиент
Не нравится мой товар - покупай у других.	не нравиться товар покупать другой
Если, конечно, Бэтмен до них еще не добрался.	если конечно бэтмена добраться
<i>Маи сабачки хатят нимношка</i> кушать.	iмая сабачок хатить нимношкаi кушать
Жаль, <i>щто</i> ты <i>прищел адин</i>.	жаль iщтоi iприщеть адинi
- Что...? - Это не он.	что это он
Спускай собак!	спускать собака
А вот это уже теплее.	а это тёплый
ВЫДЕРЖКА	выдержка
ЗАПУГИВАНИЕ	запугивание
И больше мне не попадайтесь.	и попадаться
- Мы хотим тебе помочь. - Не нужна мне помощь.	мы хотеть ты помочь не нужный помощь
У меня другой диагноз.	у диагноз
Кто ты такой? Чем ты лучше меня?	кто такой чем я
Я не ношу хоккейную защиту.	я носить хоккейный защита
Так, все назад!	так назад
Он очень хочет показать свое лицо.	он очень хотеть показать свой лицо
Что он прячет под макияжем?	что прятать макияж
Будьте добры, выйдите все.	быть добрый выйти весь
Снова он. Остальные кто?	снова он остальной кто
Очередные гопники.	очередной гопник
Там есть банкноты, которые я дал?	там банкнот который дать
Мои сотрудники каждый день покупали на эти деньги наркотики.	мой сотрудник каждый день покупать деньга наркотик
Этот банк 5-й по счету, в котором мафия хранит деньги.	этот банк 5й счёт который мафия хранить деньга
- Мы нашли основную часть черного нала. - Пора действовать.	мы найти основный часть чёрный нала пора действовать
Сработаем по всем банкам сразу. Спецназ, прикрытие.	сработать весь банка сразу спецназ прикрытие
А что с этим... Джокером?	а это джокер
Что важнее - мафия или 1 человек? Джокер подождет.	что важный мафия 1 человек джокер подождать
