cleaned_text	lemm_text
В предыдущих сериях.	в предыдущий серия
Мы очнулись, как и ты, не зная, кто мы и что тут делаем.	мы очнуться ты знать делать
Сказали, что команда корабля погибла. А н обратилась в больных чудовищ-каннибалов.	сказать команда корабль погибнуть а наш обратиться больной чудовищканнибал
Паршивая рана.	паршивый рана
Наши воспоминания - у неё!	наш воспоминание она
Ей снились сны. Она считает, чт это воспоминания, вот только - не её.	она сниться сон она считать чт это воспоминание её
Буквенно-цифровой код.	буквенноцифров код
Который никто не помнит.	который никто помнить
Тебе не снился код, мелкая?	ты сниться код мелкий
Нет.	нет
Но он всё равно болтаетс где-то в твоей башке.	но весь равно болтаетс гдеть твой башка
Император мёртв!	император мёртвый
Ты за это поплатишься.	ты это поплатиться
Найдите принца!	найти принц
Арестуйте его!	арестовать он
Прячешься в тени, как крыса?	прятаться тенить крыса
Схватить его!	схватить он
Что-то не так.	чтоть так
Опять началось.	опять начаться
Сердцебиение бешеное.	сердцебиение бешеный
Энцефалограмма зашкаливает.	энцефалограмма зашкаливать
Она в беде.	она беда
Тёмная материя. Эпизод шестой.	тёмный материя эпизод шесть
СУТКИ НАЗАД	сутки назад
С заданием возникла проблема.	с задание возникнуть проблема
Какая проблема?	какой проблема
Корабль уничтожен.	корабль уничтожить
Ты что, издеваешься?	ты что издеваться
Это... Это какой-то нездоровый прикол?	это это какойтый нездоровый прикол
Точнее говоря, мы его взорвали.	точнее говорить взорвать
Взорвали?	взорвать
Вы взорвали корабль?!	вы взорвать корабль
Именно так.	именно так
Наверное, твой клиент будет недоволен.	наверное твой клиент недовольный
Ну да! Недоволен. Совсем немножко!	ну да недовольный совсем немножко
Достаточно, чтобы вырвать тебе сердце и показать тебе, как оно бьётся?	достаточно вырвать ты сердце показать ты оно биться
Потому что я так и сделаю.	потому сделать
Так...	так
Ладно. Как-то ты чересчур враждебна.	ладный както чересчур враждебный
Учитывая то, что пострадавший - я.	учитывать то пострадавший я
Ты нам солгал.	ты мы солгать
Я вам не врал.	я врать
"Ты не сказал, что ""Далёкий горизонт"" - зачумлённый корабль."	ты сказать далёкий горизонт зачумлённый корабль
Последствия неудачной попытки создать эликсир бессмертия.	последствие неудачный попытка создать эликсир бессмертие
Так. Во-первых, опустить подробности - не значит солгать.	так вопервое опустить подробность значит солгать
Это так, к слову.	это так слово
А во-вторых, скажи я вам о вирусе вы бы не взялись за работу.	а вовторое сказать вирус взяться работа
Так что... извини.	так что извинить
Я ему не верю.	я верить
Почему?	почему
Если он и правда хотел спасти корабль,	если правда хотеть спасти корабль
то должен был предупредить о вирусе, чтобы мы смогли подготовиться.	должный предупредить вирус смочь подготовиться
Хочешь сказать, он сознательно нас подставил?	хотеть сказать сознательно подставить
Рудная корпорация хочет избавиться от нас.	рудный корпорация хотеть избавиться мы
Могли предложить ему вознаграждение за то, чтобы нас убрать.	мочь предложить вознаграждение то убрать
А он решил, что выиграет в любом случае.	а решить выиграть любой случай
Если нам удастся, он получит деньги за спасение корабля.	если мы удаться получить деньга спасение корабль
А если погибнем, то за наши головы заплатит Рудная корпорация.	а погибнуть наш голов заплатить рудный корпорация
Знаете, в чём трагедия?	знаете что трагедия
Даже если это правда,	даже это правда
он всё равно единственный, кого мы можем считать другом.	весь равно единственный кто мочь считать друг
Как у нас с припасами?	как припас
Плохо.. Почти закончились.	плохо почти закончиться
У нас хватит горючего до дальних колоний.	у хватить горючий дальний колония
С законом там туго, так что нам бояться нечего.	с закон туго мы бояться нечего
Но у нас не хватит еды.	но хватить еда
Чтобы добраться дотуда, придётся лечь в анабиоз.	чтобы добраться дотуда прийтись лечь анабиоз
После прошлого раза, ни за что.	после прошлое раз что
А что мы будем делать там?	а быть делать там
Найдём работу, если повезёт.	найти работа повезти
А если нет... продадим корбаль.	а нет продать корбаля
А я ведь сразу это предлагал, между прочим.	а сразу это предлагать прочить
Ты же была против этого.	ты против это
Поверь, я и сейчас против.	поверь против
Но у нас может не быть другого выхода.	но другой выход
Так что там?	так там
Ну... строго говоря, это не моё дело.	ну строго говорить это мой дело
Хотя мы все живём в замкнутом пространстве.	хотя жить замкнутый пространство
Так что, по сути, все дела у нас общие.	так что суть дело общий
О чём ты говоришь?	о что говорить
Когда мы с Третьим были на том корабле, речь шла о жизни и смерти.	когда три корабль речь идти жизнь смерть
Иногда в такие моменты люди говорят откровенные вещи...	иногда такой момент человек говорят откровенный вещий
Ты о том, что мы с Третьим переспали?	ты тот три переспать
Ладно... так в чём проблема?	ладный что проблема
Конечно, вы взрослые люди и можете делать, что хотите, просто я...	конечно взрослый человек мочь делать хотеть просто я
Я немного удивился.	я немного удивиться
Я, конечно, не обязана объясняться ни перед тобой...	я конечно обязать объясняться ты
Конечно нет.	конечно нет
Так, помолчи, не перебивай.	так помолчать перебивать
Я и сама не знаю, зачем это сделала.	я сам знать это сделать
Мне было беспокойно и одиноко, а он...	я беспокойно одиноко он
просто подвернулся.	просто подвернуться
Ясно.	ясно
Хорошо.	хорошо
И это всё?	и это весь
Просто с таким типом можно быть уверенной, что не возникнет осложнений.	просто такой тип уверенный возникнуть осложнение
Пока в моей жизни нет места для... осложнений.	пока мой жизнь место для осложнение
То есть, хочешь сказать, с кем-то другим могут возникнуть...	то есть хотеть сказать кемтый другой мочь возникнуть
Осложнения.	осложнение
Точно.	точно
Да.	да
Ладно.	ладный
Хорошо.	хорошо
Привет.	привет
Привет.	привет
Занята?	занятый
Да так, проверяю расход горючего.	да так проверять расход горючий
Но это может подождать.	но это подождать
Заходи.	заходить
Думаешь, в хранилище могут быть ценности?	думать хранилище мочь ценность
Пока не найдём способ попасть туда, никак не узнаем.	пока найти способ попасть туда никак узнать
Думаю, я нашла способ.	думать найти способ
О чём идёт речь?	о что идти речь
Я разбиралась кое с каким оборудованием в медчасти.	я разбираться кой какой оборудование медчастить
Ну знаешь, я люблю копаться.	ну знаешь любить копаться
В общем... с помощью андроида..	в общий помощь андроид
думаю, из него получится смастерить что-то вроде аппарата для зондирования мозга.	думать получиться смастерить чтоть вроде аппарат зондирование мозг
И чей же мозг мы будем зондировать?	и чей мозг быть зондировать
Мой.	мой
Все ваши воспоминания - в моей голове.	весь ваш воспоминание мой голов
Но они перемешаны и непонятны. Если в них разобраться...	но перемешать непонятный если разобраться
Нет, это слишком опасно.	нет это слишком опасный
Найдём другой способ открыть хранилище.	найти способ открыть хранилище
Дело не только в деньгах.	дело деньга
Ты сказала, что хочешь измениться.	ты сказать хотеть измениться
Стать лучше, чем была раньше.	стать хороший ранний
Но как ты можешь выбрать другой путь, если не знаешь, что привело тебя сюда?	но мочь выбрать путь знаешь привести сюда
Если ты не помнишь, то снова совершишь те же самые ошибки, что и раньше.	если помнить снова совершить тот самый ошибка ранний
Не хочу видеть, как это произойдёт.	не хотеть видеть это произойти
Следует ли это делать?	следовать это делать
Она сама вызвалась, ну и пусть.	она сам вызваться пусть
Так теперь она для тебя взрослая?	так взрослый
Эй, не я дал ей право голоса на этом корабле.	эй дать право голос корабль
Будьте последовательны.	быть последовательный
Так как это работает?	так это работать
Она будет видеть воспоминания, словно сны.	она видеть воспоминание словно сон
Как будто она пассажир в чужом теле.	как пассажир чужое тело
Ей надо просто наблюдать.	она просто наблюдать
И запоминать всё, что сможет.	и запоминать весь смочь
Ей будет больно?	она больно
Не должно.	не должный
Но спешу заметить, что данное оборудование предназначено не для этих целей.	но спешить заметить данный оборудование предназначить этот цель
Знаю. Знаю.	знать знать
Мы будем следить за твоими жизненными показателями.	мы быть следить твой жизненный показатель
Если что-то пойдёт не так, мы тебя вытащим.	если чтоть пойти так вытащить
Я готова.	я готовый
Нужно всегда крепко стоять на ногах.	нужно крепко стоять нога
Понял?	понять
Да.. Вот так.	да вот так
Начали.	начать
Стоп.	стоп
Не так.	не так
Вот так.	вот так
Понял, сенсей.	понять сенсеять
Следи за противником.	следить противник
