cleaned_text	lemm_text
Как она? Это он, мисс Тротвуд. Мальчик.	как она это он мисс тротвуд мальчик
Мальчик? Мальчишка!	мальчик мальчишка
Мальчишка!	мальчишка
Добро пожаловать, мистер Копперфилд	добро пожаловать мистер копперфилд
Может, мы и покажемся вам грубоватыми, но мы всегда готовы помочь.	мочь показаться грубоватый готовый помочь
Давай навсегда останемся друзьями, Эмили.	давать навсегда остаться друг эмиль
Хорошо. Только однажды ты станешь джентльменом.	хорошо только однажды стать джентльмен
Алан Армстронг	алан армстронг
Любишь кусаться?	любить кусаться
Тельма Барлоу	тельма барлоу
Жжет?	жечь
Ты юн, словно весенняя маргаритка. Кстати, моя фамилия Стирфорт,	ты юный словно весенний маргаритка кстати фамилия стирфорт
и не называй меня сэром.	называть сэр
Майкл Элфик	майкл элфик
Она больна.	она больной
Оливер Форд Дейвис	оливер форд дейвис
Очень серьезно больна.	очень серьёзно больной
Дон Френч	дон френч
Не поддавайся отчаянию.	не поддаваться отчаяние
Помни, как любит тебя твоя Пегготти.	помнить любить твой пегготти
Джеймс Грут и другие	джеймс грута другой
Уверен, нас ждут перемены.	уверенный ждать перемена
За Копперфилда! Не просто постояльца, а лучшего друга!	за копперфилд не просто постоялец хороший друг
Я никогда не забуду вас.	я забыть вы
Вы разбили ей сердце, а потом наказали мальчика	вы разбить сердце наказать мальчик
за собственные ошибки!	собственный ошибка
Мистер Дик, вам придется стать нашим защитником, моим и этого молодого человека..	мистер дик прийтись стать наш защитник мой молодой человек
Возможно, тебе стоит сменить имя на Тротвуд?	возможно ты стоить сменить имя тротвуд
Тротвуд Копперфилд? Тротвуд Копперфилд!	тротвуд копперфилд тротвуд копперфилд
Может быть, однажды вы станете партнером мистера Уикфилда.	мочь быть однажды стать партнёр мистер уикфилд
Нет, мистер Копперфилд! Это не для меня.	нет мистер копперфилд это я
Если хочешь выжить, надо трезво смотреть на вещи.	если хотеть выжить трезво смотреть вещий
Я уже все собрала.	я собрать
Как всегда.	как всегда
В следующую субботу моя дочь устраивает пикник по случаю своего дня рождения	в следующий суббота дочь устраивать пикник случай свой день рождение
Возможно, вы окажете нам честь своим присутствием?	возможно оказать мы честь свой присутствие
Вы неотразимы, мистер Копперфилд.	вы неотразимый мистер копперфилд
"""Дэвид Копперфилд"" по роману Чарльза Диккенса."	дэвид копперфилд роман чарльз диккенс
У меня началась новая жизнь.	у начаться новый жизнь
Автор сценария Эдриан Ходжес	автор сценарий эдриан ходжес
Я был независимым молодым человеком, который пытается пробиться в жизни.	я независимый молодая человек который пытаться пробиться жизнь
Но для чего все это, если рядом нет Доры?	но это ряд дора
Я твердо решил завоевать её сердце.	я твёрдо решить завоевать её сердце
Я точно знал, что мое счастье зависит только от неё.	я точно знать мой счастие зависеть она
Мисс Спенлоу, в честь вашего дня рождения...	мисс спенлоу честь ваш день рождение
Какой милый букет!	какой милый букет
А цветы просто прекрасны.	а цвета просто прекрасный
Я тоже так считал, пока не увидел вас.	я считать пока увидеть вы
Идемте к нам.	идти мы
Продюсер Кейт Хартвуд	продюсер кейт хартвуд
