cleaned_text	lemm_text
<i>Хочу тебе кое-что сказать.</i>	iхотеть ты коечто сказатьi
<i>Когда я схватил пулю,</i>	iкогда схватить пулюi
<i>знаешь, что первое мелькнуло у меня в голове перед тем, как я отключился?</i>	iзнать первое мелькнуть голов тем отключилсяi
<i>Монеты.</i>	iмонетыi
<i>Мне снова 8 лет, и я на экскурсии на монетном дворе.</i>	iмна снова 8 год экскурсия монетный двореi
<i>Постигаю процесс производства монет.</i>	iпостигать процесс производство монетi
<i>Как из металла вырубают заготовки.</i>	iкак металл вырубать заготовкиi
<i>Как формируют гурт и делают насечки.</i>	iкак формировать гурт делать насечкиi
<i>Как чеканят и полируют.</i>	iкак чеканить полируютi
<i>Как тщательно проверяют все до единой монеты,</i>	iкак тщательно проверять единый монетыi
<i>чтобы исключить даже самые незначительные дефекты.</i>	iчтоба исключить самый незначительный дефектыi
<i>Это вдруг влетело мне в голову.</i>	iэтый влететь головуi
<i>Я - монета американской армии.</i>	iя монета американский армииi
<i>Пущен в оборот в 1980-м.</i>	iпустить оборот 1980мi
<i>Вырублен из листа металла.</i>	iвырубить лист металлаi
<i>Отчеканен и отполирован.</i>	iотчеканить отполированi
<i>Снабжен ободком и насечками.</i>	iснабдить ободок насечкамиi
<i>А сейчас во мне появились две дырочки.</i>	iа появиться два дырочкиi
<i>И я больше не в идеальном состоянии.</i>	iи идеальный состоянииi
<i>И еще кое-кто хочу тебе сказать.</i>	iи коекто хотеть ты сказатьi
<i>За миг до того, как все померкло,</i>	iза миг тот померклоi
<i>знаешь, что последнее мелькнуло у меня в голове?</i>	iзнать последний мелькнуть головеi
<i>Ты.</i>	iтыi
Там много занятий можно себе найти.	там занятие найти
Например, поиграть в теннис.	например поиграть теннис
Сегодня сходим?	сегодня сходить
Уимблдон?	уимблдон
Поедешь?	поехать
Не знаю. Столько разных дел.	не знать столько разный дело
У тебя?	у ты
Я пойду. У меня в отеле хозяин? это нечто.	я пойти у отель хозяин это нечто
Кстати, мы часов в 10 уйдем?	кстати часы 10 уйти
Ох черт! Прости, ради бога!	ох черта простить ради бог
Извини, я слу...	извинить слу
Я достану, достану, достану!	я достать достать достать
Не бойся. Извини. Извини!	не бояться извинить извинить
Прости. Успокойся!	простить успокоиться
Господи! Утонула!	господь утонуть
ДОРОГОЙ ДЖОН	дорогой джон
Достал!	достать
Приятель.	приятель
Я как раз за ней.	я она
Спасибо, что прыгнул.	спасибо прыгнуть
Постой, давай я.	постоять давать я
Я так вам благодарна!	я благодарный
Кто сигает с 4-х метровой высоты?	кто сигать 4х метровый высота
Кретины.	кретин
Такая неприятность! Вы меня спасли.	такой неприятность вы спасти
- Я - Саванна. - Джон.	я саванна джон
Джон. Вы очень смелый!	джон вы очень смелый
В этой сумке вся моя жизнь.	в сумка весь жизнь
Так что я у вас в долгу.	так долг
Да ну, пустяки.	да ну пустяк
Рада была встрече.	рада встреча
Взаимно. До свидания.	взаимно до свидание
До свидания. Я был уже в воде!	до свидание я вода
Я тоже был готов проявить храбрость.	я готовый проявить храбрость
Он чокнутый.	он чокнутый
Да нет. Клянусь, я не преследую вас.	да нет клясться преследовать вы
Нет? Хорошо.	нет хорошо
Вы здесь живете?	вы жить
Да, недалеко отсюда.	да недалеко отсюда
Джон, не хотите пойти ко мне в гости?	джон хотеть пойти к гость
Это здесь, рядом. Мы все как раз идем ко мне.	это здесь ряд мы идти к я
Пойдемте с нами? Мы устраиваем барбекю.	пойти мы мы устраивать барбекю
Нет, не хочу вам мешать.	нет хотеть мешать
К тому же отец меня ждет к ужину, так что...	к тот отец ждать ужин что
Ну ладно.	ну ладный
Тогда хотя бы пивом угощу.	тогда хотя пиво угостить
- Близко, да? - В двух шагах.	близко да в два шаг
Весна 2001	весна 2001
- Ты не военный случайно? - Да.	ты военный случайно да
Серьезно? В армии? Или на флоте?	серьёзно в армия или флот
Армия. Спецвойска.	армия спецвойско
Спецвойска! Это впечатляет.	спецвойско это впечатлять
А кольцо это тебе там выдали?	а кольцо это ты выдать
О чем оно говорит?	о оно говорить
Тебе, кстати, идет.	ты кстати идти
А головной убор ты не должен носить?	а головной убор должный носить
Вроде французского? Берет.	вроде французский брать
Рэнди, Рэнди!	рэнди рэнди
Что? Я шучу.	что я шутить
Он прихлопнет за такие шутки одной левой.	он прихлопнуть такой шутка один левый
Мне страшно!	я страшно
«Сожмем, швырнем, бегом!» Так у вас?	«сжать швырнуть бегом» так вы
Возьму пивка.	взять пивко
Он думает, что влюблен. Ты на него не обижайся.	он думать влюбить ты обижаться
Да. И я так думаю.	да и думать
Да ну.	да ну
Он просто не понял, что я не его тип.	он просто понять тип
Что?	что
С тобой любому мужчине будет хорошо.	с ты любой мужчина хорошо
Господи!	господь
Ну что я говорил.	ну говорить
Сейчас угадаю, кто это.	сейчас угадать это
Алан, Алан. Привет!	алан алан привет
Познакомься с моим другом Джоном. Джон, это - Алан.	познакомиться мой друг джон джон это алан
- Алан, рад познакомиться. - Скажи «здрасьте».	алан рад познакомиться сказать «здрасьте»
Он немного застенчив. Где твой папа?	он немного застенчивый где твой папа
Вон он идет.	вон идти
Как обычно, в двух шагах.	как обычно два шаг
Извини, как только он видит тебя, его уже не удержать.	извинить видеть ты удержать
- Привет! Я - Тим. - Джон.	привет я тим джон
Ой, простите.	ой простить
Рад знакомству.	рад знакомство
- Взаимно. Спецназ, да? - Да, сэр.	взаимно спецназ да да сэр
А база, наверное, форт Брэгг?	а база наверное форт брэгга
Нет, я в Германии служу.	нет германия служить
- Выходит, вы в отпуске? - Да, сэр.	выходить отпуск да сэр
Надеюсь, вы хорошо проводите время.	надеяться проводить время
Да. Хорошо.	да хорошо
Извините, не хотел вам мешать. Рад был пообщаться.	извинить хотеть мешать рад пообщаться
Взаимно, сэр.	взаимно сэр
Нам пора, сын.	мы пора сын
Идем!	идти
Побежали!	побежать
Счастливо! Счастливо, Джон!	счастливо счастливо джон
Всего, Алан!	всего алан
Браво! У меня просто слов нет!	бравый у просто слово нет
Ты о чем?	ты чем
Кроме членов семьи, он обычно ни с кем не говорит.	кроме член семья обычно кто говорить
Ну а с тобой?	ну ты
Я почти член семьи. Знаю его с самого рождения.	я член семья знать самый рождение
Да?	да
Когда тебе назад?	когда ты назад
Через две недели.	через два неделя
Наверное, очень страшно - служить.	наверное очень страшно служить
Скорее скучно. Долгая тягучая скука.	скорее скучно долгий тягучий скука
С краткими вспышками страха.	с краткий вспышка страх
Полная луна.	полный луна
Ты когда-нибудь замечал, что пока луна поднимается, она такая большая.	ты когданибудь замечать пока луна подниматься такой большой
А там, наверху? маленькая.	а там наверху маленький
Все зависит от угла зрения.	весь зависеть угол зрение
Неважно, где висит луна и где стоит человек,	неважно висеть луна стоить человек
нужно только руку поднять и прищурить любой глаз.	нужно рука поднять прищурить люба глаз
Луна всегда будет не больше пальца.	луна палец
Откуда тебе это известно?	откуда ты это известно
Не знаю.	не знать
Откуда-то.	откудато
Ух ты!	ух ты
Ты сам умеешь костер разжигать.	ты уметь костёр разжигать
Ты меня просто покорил.	ты просто покорить
Тебе все подвластно.	ты подвластный
Но хот-дог тебе самому не приготовить. Я чувствую.	но хотдог ты самый приготовить я чувствовать
Да, боюсь, что нет.	да бояться нет
Я думаю, мне пора восвояси.	я думать пора восвояси
Извини. Надеюсь, я не доставила тебе много хлопот.	извинить надеяться доставить ты хлопоты
Да нет, просто уже поздно.	да нет просто поздно
Да. А, да брось.	да а бросить
Может, повторим такой вечер завтра?	мочь повторить вечер завтра
Завтра у нас курица. Ты не захочешь возиться с ней.	завтра курица ты захотеть возиться она
Сходим куда-нибудь, где будет уже все приготовлено.	сходить куданибудь приготовить
Как такой вариант?	как вариант
- Подходит. - Да?	подходить да
Тогда я подъеду часов в 6.	тогда подъехать часы 6
Ну давай.	ну давать
Хорошо.	хорошо
- Ну, до скорой встречи. - До скорой встречи.	ну скора встреча до скора встреча
Да. До скорой.	да до скора
Привет!	привет
Мы в город за мороженым. Подвезти?	мы город мороженое подвезти
Спасибо, не стоит. Я не прочь прогуляться.	спасибо стоить я прочь прогуляться
Немножко.	немножко
Точно?	точно
Ну ладно.	ну ладный
Уговорили.	уговорить
Так-то! Алан, перебирайся назад.	такто алан перебираться назад
Два, три, четыре, пять, шесть, семь.	два три четыре пять шесть семь
А вы надолго в город?	а надолго город
Сейчас мы все время живем здесь.	сейчас время жить здесь
А прежде приезжали сюда по выходным.	а прежде приезжать сюда выходной
Я убедил жену перебраться, наконец, насовсем.	я убедить жена перебраться наконец насовсем
Она не любит мороженое?	она любить мороженое
Кто? А, вы про жену?	кто а жена
Дело в том, что она сейчас в отпуске, отдыхает.	дело тот отпуск отдыхать
Клык. Белый клык, белый клык, белый клык.	клык белый клык белый клык белый клык
Сложно нам путешествовать вместе.	сложно мы путешествовать вместе
Но мы нашли выход из положения.	но найти выход положение
Вон туда, налево.	вон туда налево
Слушай, Джон, на будущее, обидишь хоть чем-нибудь Саванну,	слушай джон будущее обидеть чемнибыть саванна
мне придется что-нибудь сломать.	прийтись чтонибыть сломать
Какую-нибудь кость, например, у тебя в ноге.	какуюнибудь костя например нога
Я понял.	я понять
Я просто знаю ее отца.	я просто знать отец
Он бы примерно то же самое сказал.	он примерно самый сказать
Только у него это прозвучало бы естественнее.	только это прозвучать естественный
И у вас неплохо.	и неплохо
И у вас неплохо.	и неплохо
- Ну уж... - Да-да-да.	ну уж дадада
- Не правда. - Нет! Правда-правда.	не правда нет правдаправда
- Нет. Но спасибо. - Нет. Правда-правда!	нет но спасибо нет правдаправда
- Ты так думаешь? - Да, думаю.	ты думать да думать
Тогда ладно.	тогда ладный
Эй! Осторожней. Уже поздно.	эй осторожный уже поздно
Пока, Джон!	пока джон
Пока, Тим.	пока тим
Спасибо, что подбросил.	спасибо подбросить
Да не за что!	да что
Я сегодня не буду дома ужинать.	я сегодня быть дом ужинать
Я приготовил лазанью.	я приготовить лазание
Знаю, сегодня же воскресенье.	знать сегодня воскресение
Я возьму машину?	я взять машина
Спасибо.	спасибо
Здесь лучшие морепродукты.	здесь хороший морепродукт
Знаю. Я раньше часто тут бывал.	знать я ранний часто бывать
Правда?	правда
Ты точно сюда хочешь? Мало ли приятных мест.	ты точно сюда хотеть мало приятный место
Приятных много. Но я хочу в хорошее.	приятный много но хотеть хороший
Ну ладно.	ну ладный
Какого черта ты здесь?	какой черта здесь
Брось, Стив. Прошло уже три года.	бросить стив прошлый год
Неприятности мне не нужны.	неприятность нужный
Ничего не будет. Обещаю.	ничто быть обещать
Ну гляди.	ну глядеть
Спасибо.	спасибо
О чем вы разговаривали?	о разговаривать
Ты про кого?	ты кто
Что у вас с ним?	что он
Ничего.	ничто
- Точно? - Да.	точно да
Он мой старый друг.	он старый друг
Что?	что
Отец на тебя за позднее возвращение не злился?	отец поздний возвращение злиться
Нет, он не такой человек, чтобы злиться.	нет человек злиться
А какой он человек?	а человек
Спокойный.	спокойный
Не худший вариант.	не плохой вариант
Это да.	это да
А что мама?	а мама
Мы живем вдвоем с отцом.	мы жить вдвоём отец
Он один воспитывал тебя?	он воспитывать ты
Да.	да
С чего это вдруг такой интерес?	с это интерес
Просто любопытно узнать о твоем прошлом.	просто любопытно узнать твой прошлое
Познакомь меня с отцом.	познакомить отец
Сегодня.	сегодня
Слушай, не жди от него слишком много.	слушай ждать слишком много
И ничего на свой счет не воспринимай, ладно?	и свой счёт воспринимать ладный
Привет, пап!	привет папа
Хочу тебя познакомить.	хотеть познакомить
Здравствуйте.	здравствовать
Это Саванна.	это саванна
Здрасьте.	здравствовать
Рада познакомится, мистер Тайри.	рада познакомиться мистер тайри
Ух ты!	ух ты
Да, он монеты коллекционирует.	да монета коллекционировать
Это у него хобби такое.	это хобби такой
Потрясающе!	потрясающе
Так много монет! Как вы начали их собирать?	так монета как начать собирать
Вообще-то Джон начал.	вообщеть джон начать
Но сейчас что-то забросил.	но чтоть забросить
Слушай, может, лучше пойдем?	слушай мочь пойти
Что это за монета?	что это монета
Это «доллар Сакагавеи», «мул», то есть «перепутка».	это «доллар сакагавеи» «мул» «перепутка»
Можем посмотреть и другие.	мочь посмотреть другой
С большим удовольствием. Вы не возражаете?	с больший удовольствие вы возражать
Вот тогда возьмите перчатки.	вот взять перчатка
Спасибо.	спасибо
Вот забавная штучка. Это - монета-насмешка.	вот забавный штучка это монетанасмешка
Такая увесистая.	такой увесистый
Да. Уильям Дженнингс Брайан, в предвыборную кампанию, так вот, он выдвинул.	да уильям дженнингс брайан предвыборный кампания вот выдвинуть
Не переворачивайте, оставьте, оставьте так.	не переворачивать оставить оставить так
Вы помните, он выступал за широкое использование серебра.	вы помнить выступать широкий использование серебро
А МакКинли, его оппонент, так он,.. погодите.	а маккинли оппонент он погодить
Вот, смотрите, это размер настоящего серебряного доллара.	вот смотреть это размер настоящий серебряный доллар
И МакКинли сказал, что если Брайан придет к власти,	и маккинли сказать брайан прийти власть
то серебряный доллар будет такой большой.	серебряный доллар большой
Удивительно!	удивительно
Только представьте.	только представить
Мелочь такого размера в вашем кармане.	мелочь такой размер ваш карман
Очень смешно!	очень смешно
А теперь... Вот эти.	а теперь вот этот
Нет, пап, давай в другой раз.	нет папа давать раз
Не рассматривать же их всю ночь.	не рассматривать ночь
Хочешь остаться?	хотеть остаться
Это так увлекательно!	это увлекательно
Они все подобраны по цветам.	они подобрать цвета
Замечательный вечер.	замечательный вечер
И твой отец...	и твой отец
Будь помягче с ним. Он тебя любит.	быть мягкий он он любить
Хоть ты это и не признаешь.	хоть это признать
Постой, минутку! Саванна, я хотел...	постоять минутка саванна хотеть
Так что? До скорой встречи?	так что до скора встреча
До скорой встречи.	до скора встреча
Где ты провела весь день?	где провести весь день
Да были дела.	да дело
У тебя же каникулы!	у каникулы
Ты должна целыми днями валяться на пляже.	ты должный целое днями валяться пляж
А ты умудрилась обзавестись делами.	а умудриться обзавестись дело
Я тебе кое-что покажу.	я ты коечто показать
Раньше здесь жила семья, до того как дом разрушил ураган.	ранний жить семья дом разрушить ураган
Так ты восстанавливаешь их дом?	так восстанавливать дом
Ага.	ага
Ну, не только я.	ну я
Ты меня заставляешь дергаться.	ты заставлять дёргаться
Почему ты из-за меня дергаешься?	почему изз дёргаться
Боюсь, что ты для меня чересчур совершенна.	бояться чересчур совершенный
Ах, брось, какое я там совершенство.	ах бросить какой совершенство
Ты строишь дом каждый день своими руками.	ты строить дом каждый день свой рука
Из благотворительности. Хотя у тебя каникулы.	из благотворительность хотя каникулы
Ты прав, это жуткий эгоизм? проявлять великодушие.	ты право это жуткий эгоизм проявлять великодушие
- Нет, серьезно. Ты ведь не пьешь. - Нет.	нет серьёзно ты пить нет
- И не куришь. - Нет.	и курить нет
Думаю, не спишь с кем попало.	думать спать кто попасть
Ни в коем случае.	ни кой случай
Должен же у тебя быть изъян. Колись!	должный изъян колоться
Он есть!	он есть
Прекрасно.	прекрасно
С волнением жду признания.	с волнение ждать признание
Я ругаюсь.	я ругаться
Врешь.	врать
- Правда. - Чушь.	правда чушь
Я ругаюсь.	я ругаться
- Ни разу не слышал. - Я ругаюсь не вслух.	ни раз слышать я ругаться вслух
Бесконечный поток ругани вертится у меня в голове целыми днями.	бесконечный поток ругань вертеться голов целое днями
Ну хоть одно словечко скажи.	ну один словечко сказать
Что ты. Они слишком неприличные.	что ты они слишком неприличный
- Вот как? - Да.	вот как да
Ладно. Хоть призналась.	ладный хоть признаться
Серьезно, Джон.	серьёзно джон
Поверь. У меня полно недостатков. Увидишь.	поверь у полно недостаток увидеть
Надеюсь.	надеяться
Мы должны все закончить за три недели. Надеюсь, успеем.	мы должный закончить неделя надеяться успеть
Здесь спальни у них будут. У мамы с папой. У мальчиков.	здесь спальня быть у мама папа у мальчик
Мальчикам - семь и девять лет.	мальчик семь девять год
Здесь гостиная, ванная.	здесь гостиный ванная
А это будет кухня.	а это кухня
Большая и светлая - их мама потрясающе готовит.	большой светлый мама потрясающе готовить
Здесь должно быть особенно красиво.	здесь должный особенно красиво
Белый кафель на полу и на стенах.	белый кафель пол стен
Барная стойка. И крыша, само собой!	барный стойка и крыша сам себя
Скорее, Джон, бежим!	скорее джон бежать
Крышу особенно надежной надо сделать!	крыша особенно надёжный сделать
Сейчас только здесь можно от дождя укрыться.	сейчас дождь укрыться
Но крыша будет везде.	но крыша везде
Отлично. А пока переждем его здесь.	отлично а пока переждать здесь
Откуда он взялся?	откуда взяться
Шрам?	шрам
А, этот?	а этот
Да подрался.	да подраться
Мы здорово надрались, и один парень замахнулся ножом прямо в глаз.	мы здорово надраться парень замахнуться нож прямо глаз
Какой ужас!	какой ужас
Почему? Он же промахнулся.	почему он промахнуться
Я ведь видела, как люди смотрели на тебя тогда в ресторане с испугом.	я видеть человек смотреть ресторан испуг
Они не меня боятся.	они бояться
Возможно, того, кем я был.	возможно тот кто быть
А кем ты был?	а кто быть
Я был другим.	я другой
А после того, как пошел служить, изменился?	а тот пойти служить измениться
Да.	да
Какая-то часть меня изменилась.	какаять часть измениться
А оставшаяся?	а остаться
Я работаю над ней.	я работать она
Выходит, ты был жестким парнем.	выходить жёсткий парень
А, может, таким и остался. Но я не боюсь тебя, Джон.	а мочь такой остаться но бояться ты джон
Нет?	нет
А вот я тебя боюсь.	а бояться
Что там происходит?	что происходить
Джон.	джон
Ты думаешь, так легко от меня спрятаться?	ты думать легко спрятаться
Не переживай. Все понимают.	не переживать весь понимать
Почему ты тут сидишь?	почему сидеть
Пропустишь все гулянье.	пропустить гуляние
Все превосходно погуляют и без меня.	весь превосходно погулять я
Что случилось?	что случиться
Всю дорогу сидишь тут в одиночестве.	весь дорога сидеть одиночество
Я умираю, Джон.	я умирать джон
Что?	что
Это не смешно.	это смешно
Как мне плохо.	как плохо
Все закончилось.	весь закончиться
Ничего и не закончилось.	ничто закончиться
Да как же.	да же
Я завтра уезжаю.	я завтра уезжать
Возвращаюсь к учебе.	возвращаться учёба
- И что? - Ты тоже.	и что ты тоже
Ничего со мной не случится.	ничто я случиться
Мне служить всего 12 месяцев.	я служить 12 месяц
А потом я вернусь. Навсегда.	а вернуться навсегда
Но за год столько всего может произойти.	но год столько произойти
Думаешь, я этого не знаю?	думать знать
Я знаю это.	я знать это
И не боюсь ничего.	и бояться ничто
Я тебе клянусь.	я ты клясться
Разлука закончится очень скоро.	разлука закончиться очень скоро
И я вернусь навсегда.	и вернуться навсегда
Я буду тосковать.	я быть тосковать
Я вернусь.	я вернуться
Может, мне удастся демобилизоваться, пока ты учишься.	мочь удаться демобилизоваться пока учиться
И я пойду с тобой на выпускной бал.	и пойти ты выпускной бал
Я думаю, что проучусь немного подольше.	я думать проучиться немного долгий
Проведя столько времени в обществе твоего отца,	провести столько время общество твой отец
я решила, что хочу вести группы коррекции.	решить хотеть вести группа коррекция
Ты не говорила.	ты говорить
Сама не знаю, что это я столько времени не осознавала.	сам знать это столько время осознавать
Я ведь провела возле Алана	я провести возле алан
почти всю жизнь.	жизнь
Стоп, минутку. Не пойму, причем же тут мой отец?	стоп минутка не понять причём отец
В общем, это объясняет почему он такой...	в общий это объяснять почему такой
Забудь. Все неважно.	забыть весь неважно
Пойдем. Джон, пошли. Прошу.	пойти джон послать просить
Нет. Ничего не выйдет.	нет ничто выйти
Говори, что ты имела в виду?	говорить иметь вид
Я росла рядом с ребенком, у которого аутизм.	я рослый ряд ребёнок который аутизм
Поэтому у меня есть возможность сравнить.	поэтому возможность сравнить
Стой. Аутизм? То есть мой отец, как Алан?	стоять аутизм то отец алан
То есть мой отец умственно отсталый?	то отец умственно отсталый
Нет, Алан не умственно отсталый, он аутист.	нет алан умственно отсталый аутист
Существуют легкие формы этой болезни, часто их даже не распознают.	существовать лёгкое форма болезнь часто распознавать
Так вот почему ты ко мне ходила? Для того, чтобы изучать моего отца.	так почему к ходить для тот изучать мой отец
Нет! Как ты можешь говорить это?	нет как мочь говорить это
Я всю жизнь живу со своим отцом.	я жизнь жить свой отец
Приспосабливаюсь к нему всю жизнь.	приспосабливаться он жизнь
Думаешь, я не вижу, что он не такой, как все?	думать видеть такой весь
Думаешь, мне нужно, чтобы ты в это ткнула?	думать нужно это ткнуть
Да.	да
Солдат!	солдат
Уже уходишь, да?	уже уходить да
На. Махни. Я угощаю.	на махнуть я угощать
Ну что это!	ну это
Нужно выпить, сразу полегчает.	нужно выпить сразу полегчать
Грустишь?	грустить
