cleaned_text	lemm_text
<i>(репортеры разных каналов) Жестокость убийств и обстоятельства, при которых они произошли...</i>	iрепортёр разный канал жестокость убийство обстоятельство который произошлиi
Главные новости.	главное новость
Немыслимое убийство в Четвертом церковном приходе...	немыслимый убийство четыре церковный приход
<i>Одно из самых жутких происшествий в 1988-м году.</i>	iодно самый жуткий происшествие 1988м годуi
<i>Марта Ливингстон убила четверых друзей, а сама повесилась...</i>	iмарт ливингстон убить четверо друг сам повесиласьi
<i>Полиция назвала это ритуальным убийством...</i>	iполиция назвать это ритуальный убийствомi
<i>Это самое громкое дело из разряда культов со времен Лиззи Борден.</i>	iэтый самый громкий дело разряд культ время лиззь борденi
<i>Пятеро молодых людей погибли в результате сатанинского ритуала...</i>	iпятеро молодая человек погибнуть результат сатанинский ритуалаi
<i>Джин Стэнтон, Седьмой канал. Прямое включение из прихода Лафорт.</i>	iджина стэнтон семь канал прямой включение приход лафортi
<i>Соседи потрясены, узнав, что скромная и замкнутая девушка...	iсосед потрясти узнать скромный замкнутый девушка
...совершила такое... </i>.	совершить такой i
<i>Местные до сих пор с содроганием вспоминают</i>	iместный сей пора содрогание вспоминаютi
<i>убийства от рук Марты Ливингстон.</i>	iубийство рука марта ливингстонi
<i>Спустя более 20 лет после убийств Ливингстон...</i>	iспустить 20 год убийство ливингстонi
<i>...местные утверждают, что роль в этом сыграли паранормальные явления.</i>	iместный утверждать роль сыграть паранормальный явленияi
<i>Грейс впервые пригласила медиума, чтобы очистить дом от негативных эманаций...</i>	iгрейс впервые пригласить медиум очистить дом негативный эманацийi
<i>...но она хочет попробовать.<i>	iно хотеть попробоватьi
<i>Мы приглашаем всех желающих.</i>	iмы приглашать желающихi
<i>Посетители заходят и спрашивают, кто здесь жил и почему они переехали.</i>	iпосетитель заходить спрашивать жить почему переехалиi
"<i>""Здесь кто-то умер?""</i>"	iздесь ктоть умерi
<i>Говорят, призраки - это заблудшие души, которых не отпускает печаль...</i>	iговорить призрак это заблудший душа который отпускать печальi
<i>...но верите вы в загробную жизнь или нет...</i>	iно верить загробный жизнь нетi
<i>...без сомнения, в этом доме произошло нечто страшное много лет назад.</i>	iбез сомнение дом произойти нечто страшный год назадi
Я приеду.	я приехать
Сказал же, приеду.	сказать же приехать
Откуда плохое настроение?	откуда плохой настроение
Деб что-то послышалось, велела сходить к соседям.	деб чтоть послышаться велеть сходить сосед
Хорошо.	хорошо
Дом Ливингстонов.	дом ливингстон
Да нет, все тихо.	да нет тихо
Я перезвоню.	я перезвонить
Дурацкий вопрос, но получше ничего не найдется?	дурацкий вопрос хороший найтись
- И впрямь дурацкий. - Беру.	и впрямь дурацкий брать
Алло?.	алло
Детектив, простите, что поздно. Поступил вызов.	детектив простить поздно поступить вызов
Какие-то непорядки в доме 4 по Лафорт Роуд, местные переполошились...	какиеть непорядок дом 4 лафорт роуд местный переполошиться
...а ближайший патрульный в 20 минутах езды.	а ближний патрульный 20 минута езда
Ничего, Марджери, я съезжу. Тут две минуты.	ничто марджерь съездить тут два минута
Еще раз извините. У вас же свидание...	ещё извинить у свидание
Да, к сожалению, преступники в мой личный график не заглядывают.	да сожаление преступник личный график заглядывать
Ни с места!	ни место
Проклятье, Леонард. Ты меня до смерти напугал!	проклятие леонард ты смерть напугать
- Все в порядке? - Да, да, да. Да...	весь порядок да да да да
- В чем дело? - Там кровь.	в дело там кровь
- Стой здесь. Никуда не уходи. - Да...Да, да.	стоять здесь никуда уходить дада да
(Льюис) Полиция!	льюис полиция
Полиция.	полиция
Декектив Льюис. Полкрепление и скорую на Лафорт Роуд, дом 4.	декектив льюис полкрепление скорый лафорт роуд дом 4
Повторяю, подкрепление и скорую на Лафорт Роуд, дом 4.	повторять подкрепление скорый лафорт роуд дом 4
(Диспетчер) Принято.	диспетчер принять
(Льюис) Господи...	льюис господь
Полиция!	полиция
Марджери, где...	марджерь где
Полиция! Спокойно, парень! Стоять!	полиция спокойно парень стоять
Я сказал, стоять! Стой!	я сказать стоять стоять
Не двигаться! Ни с места!	не двигаться ни место
Спокойно, спокойно.	спокойно спокойно
Как ты?	как ты
(Льюис) Смотри на меня. На меня! Не отключайся, ладно?	льюис смотреть я на я не отключаться ладный
Все хорошо.	весь хорошо
Все будет хорошо.	весь хорошо
НЕДЕЛЮ НАЗАД	неделя назад
(Мишель) Ты в порядке?	мишель ты порядок
Джон?	джон
Джон?	джон
Что с тобой?	что ты
Ты ответишь моему брату?	ты ответить мой брат
Да...Прости, чувак, какой вопрос?	дапростить чувак вопрос
Ты рассказывал о том, что видел в том доме.	ты рассказывать тот видеть дом
Ты сказал, тебе являлась она.	ты сказать ты являться она
"Хотел прояснить, что за ""она""."	хотеть прояснить она
