cleaned_text	lemm_text
- Дай бренди. - Играй, старый мерзавец!	дать бренди играть старый мерзавец
- Дженни. . . - Сейчас подойду к вам.	дженни сейчас подойти вы
Неплохо! - Какое там! Нужно найти золото.	неплохо какой там нужно найти золото
Краснокожий должен что-то знать. . .	краснокожий должный чтоть знать
Давай, продолжай.	давать продолжать
- Ну, кто следующий? - Я.	ну следующий я
О, это хорошая мысль!	о это хороший мысль
Эй, Боб, добавь ещё один .	эй боб добавить ещё
- Отец? - Я жду моего белого брата Рыжего Лиса.	отец я ждать мой белый брат рыжий лис
Дженни, иди сюда. Подойди - ка.	дженни идти сюда подойти ка
Это что такое?	это такой
Чтобы впредь такого не было.	чтобы впредь такой быть
- Здравствуй, Фредди, старый приятель. - Здравствуй.	здравствовать фредди старый приятель здравствовать
- Мой брат Маттотаупа. - Мой брат Ред Фокс.	мой брат маттотауп мой брат ред фокс
Здравствуй.	здравствовать
Здравствуй, Фред.	здравствовать фред
Бен, дай бренди, только самого лучшего, разбойник!	бен дать бренди самый хороший разбойник
Садись, приятель. Подойди.	садиться приятель подойти
Давай, присоединяйся.	давать присоединяться
Повезёт ли нам?	повезти мы
Маттотаупа.	маттотауп
Ставь, краснокожий братец. Или ты исчерпал средства?	ставить краснокожий братец или исчерпать средство
Заложи коня. Или ружьё.	заложить конь или ружьё
Золото.	золото
Очень хорошая идея. Этот знает где место.	очень хороший идея этот знать место
Какое место я знаю?	какой место знать
Где золото в вашей пещере.	где золото ваш пещера
Это тайна моих праотцов!	это тайна мой праотцов
Мы братья или нет? Половина нам известна.Скажи нам всё.	мы брат нет половина мы известнасказать мы весь
Нет!	нет
Где золото?	где золото
То-кaй И-то	токaть ито
Дженни, дай бренди!	дженни дать бренди
Бренди!	бренди
- Опять нужна наша помощь в форту! - Да, без нас не могут справиться!	опять нужный наш помощь форт да мочь справиться
Всё ли погружено? Распределите ящики.	весь погрузить распределить ящик
Давай, тронулись!	давать тронуться
Наконец мы застанем врасплох этих грязных индейцев!	наконец застать врасплох этот грязный индеец
 Чёрт возьми, где Ред Фокс? Куда подевался Роуч?	чёрт взять ред фокс куда подеваться роучий
Юная дама путешествует с нами?	юный дама путешествовать мы
Это дочь майора Смита.	это дочь майор смит
- Ну-ка, дай место. - Я?	нук дать место я
Ты родился на час позже меня и этим себя наказал.	ты родиться час поздний это наказать
Джимми, подойди спереди. Покажи, что мы джентельмены.	джимми подойти спереди показать джентельмен
Добрый день, мисс Кэт.	добрый день мисс кэт
Осторожно, осторожно, подайте мне руку.	осторожно осторожно подать рука
- Прошу, садитесь. - Благодарю.	просить садиться благодарить
При нас безопасно. И удобно.	при безопасно и удобно
- Айда, Фред Кларк. - Следом за вами, лейтенант.	айда фред кларк следом вы лейтенант
Если имеете нужду в парламентёре.	если иметь нужда парламентёр
Железная дорога запроектирована. Вероятно, отыщутся золотоносные жилы.	железный дорога запроектировать вероятно отыскаться золотоносный жила
Мы однако задержаны.	мы однако задержать
Дакота должны убраться в резервацию до 31 января 1876 года.	дакота должный убраться резервация 31 январь 1876 год
Вопреки этому, вооружённая шайка во главе со своим вождём Токай-Ихто всё ещё бесчинствует.	вопреки это вооружённый шайка глава свой вождь токайихтый весь ещё бесчинствовать
Есть опасность, что они обьединяться с Тачунка-Витко против генерала Крука.	есть опасность обьединяться тачункавитко против генерал крука
Нам нужно предотвратить это. Прошу ваших предложений.	мы нужно предотвратить это просить ваш предложение
Дайте мне отряд из 20 человек и и обеспечьте мне свободу действий.	дать отряд 20 человек обеспечить свобода действие
 И я загоню эту горстку краснокожих в резервацию.	и загнать горстка краснокожий резервация
Адамс, каково ваше мнение?	адамс каков ваш мнение
Если хотите загубить ещё 20 душ, майор, пошлите их.	если хотеть загубить ещё 20 душа майор послать они
Меня не интересуют ваши опасения, только ваши предложения.	я интересовать ваш опасение ваш предложение
Нам требуется подкрепление и пополнение боеприпасов.	мы требоваться подкрепление пополнение боеприпас
Мы имеем врага, решающегося на всё.	мы иметь враг решаться весь
Аргументируясь договором, они борются за землю и за свой народ.	аргументироваться договор бороться земля свой народ
Кстати,харчевня, в которой убит отец Токай-Ихто, находится в нашем форту.	кстатихарчевень который убитый отец токайихтый находиться наш форт
Одумайтесь, Адамс, нехорошо жалобить за врага.	одуматься адамс нехорошо жалобить враг
Прошу сообразуйтесь с серьёзностью положения.	просить сообразоваться серьёзность положение
Что вы предлагаете?	что предлагать
Подкрепление, которого просит Адамс, прибудет своевременно.	подкрепление который просить адамс прибыть своевременно
Лейтенант Роуч имеет запасы в своём распоряжении, этого достаточно.	лейтенант роучий иметь запас свой распоряжение достаточно
Белые нарушают все договора. Истребляют бизонов.	белые нарушать договор истреблять бизоновый
Но мы не позволим прогнать себя как койотов.	но позволить прогнать койот
Я хочу позвать тебя и твоих воинов в наши ряды, Токей-Ито.	я хотеть позвать твой воин наш ряд токейитый
- Генерал Крук приближается. - Тачунка-Витко, мой великий вождь,	генерал крука приближаться тачункавитко великий вождь
Длинные ножи приезжают со всей страны.	длинный нож приезжать весь страна
Форт Смита ожидает оружия и амуниции.	форт смит ожидать оружие амуниция
Колонна уже движется.	колонна двигаться
Ты ищешь мести за своего отца, Токей-Ито.	ты искать месть свой отец токейитый
Он ждёт две зимы и два лета.	он ждать два зима лето
Мы добудем огнестрельное оружие.	мы добыть огнестрельный оружие
Сегодня ночью мы повернём мустангов по твоему сигналу и последуем за тобой, Тачунка-Витко.	сегодня ночью повернуть мустанг твой сигнал последовать ты тачункавитко
Я сказал. Хау.	я сказать хау
Не разделяйтесь!	не разделяться
Залягте в повозках!	залечь повозка
- Вы кто такая? - Кэт Смит, дочь майора Смита.	вы такой кэт смит дочь майор смит
Свезите захваченное. Я поеду в форт.	свезти захватить я поехать форт
- Что там происходит? - Снова ограбление.	что происходить снова ограбление
Где фельдшер?	где фельдшер
- Как это случилось? - Стремительно.Отведём его туда, Дженни.	как это случиться стремительноотвести туда дженни
Майор! Нападение Токай-Ихто! Ваши разведчики всё провалили.	майор нападение токайихтый ваш разведчик весь провалить
Тобиас, ты ничего не знаешь?	тобиас знаешь
- Краснокожая свинья, он предатель! - Отвечай!	краснокожий свинья предатель отвечать
Адамс, вяжи его к столбу! 25 плетей!	адамс вязать столб 25 плеть
Эй, Билл!	эй билл
Индеец!	индеец
- Кэт! - Папа!	кэт папа
- Дитя моё! - Ты мне писал, разрешил мне.	дитя мой ты писать разрешить я
- Месяцем раньше, не сейчас! - А я недавно получила письмо. . .	месяц ранний сейчас а недавно получить письмо
- Поговорим попозже. - Кто ты такой?	поговорить поздний кто такой
- Токей-Ито, вождь племени дакота. - Выпотрошив обоз, он ставит нам мат.	токейитый вождь племя дакота выпотрошить обоз ставить мы мат
Майор Смит, я иду с миром и хочу выкурить с вами трубку мира.	майор смит идти мир хотеть выкурить вы трубка мир
Я тебя не приглашал, краснокожий.	я приглашать краснокожий
Я иду как сын и хозяин этих прерий.	я идти сын хозяин этот прерия
Ты идешь как шпион. А шпионов у нас вешают.	ты идти шпион а шпион вешать
Майор Смит, я пришёл сюда открыто.	майор смит прийти сюда открыто
И также уйдёшь. Но как только переступишь межу ворот, мы можем по тебе стрелять.	и также уйти но переступить межа ворота мочь ты стрелять
Хау.	хау
Майор, это убийство.	майор это убийство
Одно убийство я предотвратил.	один убийство предотвратить
Держите его!	держать он
Здесь! Осторожно!	здесь осторожно
Стреляй! Ему вслед!	стрелять он вслед
Сосредоточьтесь!	сосредоточиться
Сюда, он здесь!	сюда здесь
Там! Позади повозки!	там позади повозка
Давай, забирайся внутрь.	давать забираться внутрь
Приготовьтесь! Подкрепление в караул!	приготовиться подкрепление караул
Действуй! Шевелись! Дай сюда эту бадью!	действовать шевелиться дать сюда бадья
Давай я! Иди помогать!	давать я идти помогать
Экономьте воду. Отправьте подкрепление на посты!	экономить вода отправить подкрепление пост
Чего ты здесь шатаешься, ничтожество!	что шататься ничтожество
Скорее!	скорее
Нет больше нашей харчевни.	нет наш харчевня
Притон убийц. Старик будет преследовать нас и в смерти.	притон убийца старик преследовать смерть
Не помогут нам никакие укрепления и стражи.	не помочь мы никакой укрепление стража
Пойдёмте, поможете.	пойти помочь
Сейчас сюда, сюда. Давайте вёдра!	сейчас сюда сюда давать вёдро
- Здравствуй, Дженни! - Хей, Фред!	здравствовать дженни хей фред
Здесь наверное побывал мой приятель Токай-Ихто. . .	здесь наверное побывать приятель токайихтый
Токай-Ихто отомстит за своего отца.	токайихтый отомстить свой отец
Что вы нам посоветуете как опытный пограничник?	что мы посоветовать опытный пограничник
Ведите переговоры.	вести переговоры
Хорошо. Хау.	хорошо хау
Сын мой.	сын мой
Татокано!	татокано
Татокано пригожий парень! Где девушки, он всегда там.	татокано пригожий парень где девушка там
Но там, где свистят стрелы, где борются мужчины,	но там свистеть стрела бороться мужчина
никогда не увидите нашего Татокано.	увидеть наш татокано
Почтение Хранителю тайн.	почтение хранитель тайна
Твои глаза видели сто зим, но сегодня я приношу то,	твой глаз видеть сто зима сегодня приносить то
чего не видели испокон веков.	видеть испокон век
Мир между краснокожими и белыми людьми.	мир краснокожий белый человек
- Как твоё имя? - Джим Фред Кларк, прозван Ред Фокс.	как твой имя джим фред кларк прозвать ред фокс
А это Тобиас, Волчий вождь, сын храброго племени делаваров.	а это тобиас волчий вождь сын храбрый племя делавар
Какое лицо у мира, который ты несёшь?	какой лицо мир который нести
Лицо как лето. Мясо в ваших типи,смеющиеся дети, поющие для девушек воины,свобода людей.	лицо лето мясо ваш типисмеяться ребёнок петь девушка воинысвобода человек
 Какие духи дали тебе силу предложить такой мир?	какой дух дать ты сила предложить мир
Токай-Ихто, неприятель, пусть станет нашим братом.	токайихтый неприятель пусть стать наш брат
Можем ли мы быть гостями около твоего костра?	мочь гость около твой костра
Нож, убивший моего отца, не разрежет мясо в моём типи.	нож убить мой отец разрезать мясо мой типеть
Мой брат, Вождь волков, молчаливее иссушенной земли.	мой брат вождь волков молчаливый иссушить земля
Мысли его не с нами.	мысль мы
Глаза моего брата печальны.	глаз мой брат печальный
Почему Волчий вождь не вернётся в своё племя?	почему волчий вождь вернуться свой племя
Костёр совета погас. Лишь мои отцы тоскуют в резервации.	костёр совет погаснуть лишь мой отец тосковать резервация
Все наши воины погибли, а в женщинах осталось только страдание.	весь наш воин погибнуть женщина остаться страдание
Стань моим братом, тогда эти духи и тебе подчинятся.	стать мой брат дух ты подчиниться
Мои слова слабы как сухая трава, когда Токей - Ито хочет сражаться.	мой слово слабый сухой трава токей ито хотеть сражаться
Пошлите его к нам как посредника.	послать мы посредник
И тогда мир будет надёжен?	и мир надёжный
А твои духи подчинятся мне навсегда?	а твой дух подчиниться навсегда
Дважды мы побеждали длинных ножей. Но за каждым убитым вставали сто.	дважды побеждать длинный нож но каждый убитый вставать сто
Наше оружие затупилось.	наш оружие затупиться
Нет спасения от белых.	нет спасение белых
Они распространяются как огонь в прериях,	они распространяться огонь прерия
а мы таем как снег под весенним солнцем.	таять снег весенний солнце
Зачем Волчий вождь борется за белых? За врагов своих отцов?	зачем волчий вождь бороться белых за враг свой отцов
Дакота также имеют нужду в союзниках.	дакота также иметь нужда союзник
Я дал обещание Сэмуэлу Смиту.	я дать обещание сэмуэла смит
Значит ты, Токай-Ихто, не желаешь пойти	значит ты токайихтый желать пойти
в военную квартиру Сэмуэла Смита?	военный квартира сэмуэл смит
Я хочу отвести наших мужчин к Тачунка-Витко.	я хотеть отвести наш мужчина тачункавитко
Я дал своё слово.	я дать свой слово
Совет должен прежде одобрить или отвергнуть это решение.	совет должный прежде одобрить отвергнуть это решение
Решайте - хотим ли мы бороться за прерии и за свои права.	решать хотеть бороться прерия свой право
- Да, Токей-Ито,будем бороться. - С Тачунка-Витко.	да токейитобыть бороться с тачункавитко
Хау.	хау
Сэмуэл Смит отправил к нам своего посланника Фреда Кларка - Рыжего Лиса.	сэмуэла смит отправить мы свой посланник фред кларк рыжий лис
Услышит ли Токей-Ито предложения Сэмуэла Смита	услышать токейитый предложение сэмуэл смит
прежде чем наши стрелы пропоют снова?	прежде наш стрела пропеть снова
- Пусть выслушает слова и доложит нам. - Да. Хау.	пусть выслушать слово доложить мы да хау
Токей-Ито, отьезжай.	токейитый отьезжать
Это предательство по отношению к Тачунка-Витко.	это предательство отношение тачункавитко
