cleaned_text	lemm_text
Господь вечный и всемогущий.	господь вечный всемогущий
Ты дающий глухим возможность слышать,	ты давать глухой возможность слышать
а немым говорить.	немой говорить
Шляпу, шляпу!	шляпа шляпа
Ты послал к нам сына своего,	ты послать мы сын свой
освободить нас от власти Сатаны.	освободить власть сатана
Позволил человечеству	позволить человечество
вырваться из тьмы, и вступить в твое царство света.	вырваться тьма вступить твой царство свет
Мы молим тебя ради этого младенца.	мы молить ради младенец
Чтобы искупил он свой первородный грех,	чтобы искупить свой первородный грех
и воссиял в твоем присутствии.	воссиять твой присутствие
Да прибудет в нем святой дух.	да прибыть немой святой дух
Ян.	ян
Крещу тебя во имя отца,	крестить имя отец
сына, и святого духа.	сын святой дух
Ты видишь?	ты видеть
Когда он расстроен, у него глаза как у твоего пса.	когда расстроить глаз твой пёс
Вода святого отца... слишком холодная.	вод святой отец слишком холодный
Пошли. Не будем его беспокоить.	послать не быть беспокоить
Погоди.	погодить
Погоди.	погодить
У меня кое-что есть для него.	у коечто он
Классный, да?	классный да
Магнум 357.	магнум 357
Купил у Ноно, армянина.	купить ноно армянин
Целишься в живот, и вместе с ним сносиш башку.	целиться живот вместе сносиш башка
Не промахнешься.	не промахнуться
Хочу на рукоятке череп выгравировать.	хотеть рукоятка череп выгравировать
Что думаешь?	что думать
Убери его, не то место.	убрать он место
Тебе не кажется что пока рановато?	ты кажется пока рановато
Почему? Ведь мужчина без оружия это не мужчина.	почему ведь мужчина оружие это мужчина
Сначала религиозный обряд, затем обряд посвящения.	сначала религиозный обряд затем обряд посвящение
Крещение огнем.	крещение огонь
Джерри, нет!	джерри нет
Черт! Ты это видишь?	черта ты это видеть
- Эй, она тебе нравится? - Нет.	эй ты нравиться нет
Не нравится, так да или нет?	не нравиться нет
Да, да, да. Нравится...	да да да нравиться
Красивая, да?	красивый да
Хочешь повеселиться с ней в грузовичке?	хотеть повеселиться грузовичок
5 минут.	5 минута
Только вы вдвоем. Нет?	только вдвоём нет
Её возбуждают мужчины в форме.	её возбуждать мужчина форма
К тому же, она абсолютно глуха.	к тот же абсолютно глухой
Можешь говорить ей любые мерзости, она все равно не услышит.	мочь говорить любой мерзость равно услышать
Как отвратительно.	как отвратительный
Ты обмочил себе штаны, вот засранец.	ты обмочить штаны засранец
Чувак, переоденься.	чувак переодеться
В наше время молодые в форме умирают.	в наш время молодая форма умирать
"Художественный фильм ""Доберман""."	художественный фильм доберман
Аут!	аут
Нет, не аут.	нет аут
- Был аут! - Аут?	быть аут аут
Как ты можеш так говорить, если он был в метре до линии?	как можеш говорить метр линия
Очки Питбулю, подача Питбуля.	очки питбуля подача питбуля
Очки Питбулю, подача Питбуля.	очки питбуля подача питбуля
"Посмотрите на этого старого ворона, он думает буд-то ""Платини"" это такие макароны, а еще себя судьей возомнил?"	посмотреть старое ворон думать будто платиня это такой макароны судья возомнить
Хватит Комар, давай будем считать это фолом.	хватить комар давать быть считать это фол
Мне лично, похуй.	я лично похуй
Твой мяч.	твой мяч
У меня тут еще много есть, для тех кто захочет меня подоебывать.	у есть тот захотеть подоебывать
Это пиздец, сил больше нет работать с этой кучкой нацистов.	это пиздец сила работать кучка нацист
Так ты беруши себе воткни.	так берухо воткнуть
Эти парни отдыхают, они выглядят расслабленными.	этот парень отдыхать выглядеть расслабить
Расслабленными? Ты считаешь это значит расслаблено?	расслабить ты считать это значит расслабить
Ты не видал как они играют в теннис? Все еще думаешь что они расслабленны?	ты видать играть теннис весь думать расслабленный
Ты шутишь? Они на нервах, поверь мне.	ты шутить они нерв поверь я
Видишь этого мелкого, мерзопакосного, вшивого идиота?	видеть мелкий мерзопакосный вшивый идиот
Так вот он взял просто, вытащил ствол вот так,	так взять просто вытащить ствол так
и бах, прострелил теннисный мячик.	бах прострелить теннисный мячик
Да, вся банда под наблюдением.	да весь банда наблюдение
Он встретится с ними. Конечно, в этот раз он не уйдет.	он встретиться они конечно уйти
Ты мне сто раз об этом расказывал,	ты сто расказывать
я уже так ясно себе это представляю, как буд-то мне это приснилось.	ясно это представлять будто это присниться
Хорошо Давид, но это был не сон.	хорошо давид это сон
Я был там.	я там
До свидания, сэр.	до свидание сэр
Кто этот, с собакой?	кто этот собака
Не знаю, приехал прошлой ночью.	не знать приехать прошлый ночью
А что это за порода?	а это порода
Питбуль.	питбуля
Нет, это не Питбуль.	нет это питбуля
Я про парня. Жаки Сюёр, по кличке Питбуль.	я парень жак сюёр кличка питбуля
Эксперт по кастетам и грабежам ювелирных лавок.	эксперт кастет грабёж ювелирный лавка
С топором.	с топор
С топором?	с топор
Похоже они собирают силы.	похоже собирать сила
Похоже на то.	похоже то
А это Комар?	а это комар
Нет, это Питбуль. Я же говорил тебе.	нет это питбуля я говорить ты
А это Комар, нервный наркоша-кокаинист.	а это комар нервный наркошакокаинист
- А это Аббат, верно? - Да.	а это аббат верно да
Я вам вот что скажу,	я сказать
поосторожней с этим Комаром, он абсолютно без башки.	осторожный это комар абсолютно башка
Что дамочки, все дрочитесь с магазинными воришками?	что дамочка дрочиться магазинный воришка
Не всем же пытать 15-ти летнего дилера.	не весь пытать 15ть летний дилер
Странно, мои руки пахнут мясом.	странно мой рука пахнуть мясо
Это знаменитый Доберман?	это знаменитый доберман
Это знаменитый Доберман.	это знаменитый доберман
Похож на торчка.	похожий торчок
Да они все такие.	да такой
Обдалблеваются, палят почем зря. Такая сейчас мода.	обдалблеваться палить почём зря такой мода
Такая сейчас мода.	такой мода
Дайте мне за них взяться, и этим клоунам конец.	дать взяться это клоун конец
Ну конечно.	ну конечно
Но за них возьмешься не ты.	но взяться ты
Тебя отстранили, Кристини.	ты отстранить кристиня
На тебя такая куча жалоб что ими можна потолок подпирать.	на такой куча жалоба они можный потолок подпирать
Возвращайся в свою коморку, играй дальше в гестапо и дай нам делать свою работу, ясно?	возвращаться коморка играть далёкий гестапо дать мы делать работа ясно
Да, комиссар.	да комиссар
А разве он не должен позвонить?	а должный позвонить
Это не в его стиле.	это стиль
А у нас есть автоответчик?	а автоответчик
На тот случай если он позвонит пока мы будем играть в эти тупые игры.	на случай позвонить пока быть играть тупой игра
Это имеет смысл.	это иметь смысл
А поскольку он никогда не звонит, мы не будем сидеть и ждать.	а поскольку звонить быть сидеть ждать
Зачем ты красишь? Мы же сваливаем через 3 дня.	зачем красить мы сваливать 3 день
Что произошло в этом доме?	что произойти дом
- Хочешь знать? - Конечно.	хотеть знать конечно
Один золотой мальчик.	один золотой мальчик
Обанкротился.	обанкротиться
И для того чтобы решить проблемы он взял дробовик.	и решить проблема взять дробовик
Свою жену...	свой жена
Троих детей...	трое ребёнок
А потом и себя.	а себя
Охуеть!	охуеть
Мне стрёмно от этих всех следов.	я стрёмный этот след
Над моей кроватью весь потолок в них.	над мой кровать весь потолок они
Как питдать что я сплю в детской, меня это пиздец накаляет. Почему они не убивают	как питдать спать детский это пиздец накалять почему убивать
тех кто рушит их жизни, я ведь прав?	тот рушить жизнь право
Недостаток веры делает человека безумным.	недостаток вера делать человек безумный
Недостаток веры?	недостаток вера
Недостаток денег ты хотел сказать?	недостаток деньга хотеть сказать
Ты труп, мачо.	ты труп мачо
Я знаю.	я знать
Сестренка...	сестрёнка
Погоди, отпусти мой хуй, это моя сестренка.	погодить отпустить хуй это сестрёнка
Похоже ты вернулся в бизнес.	похоже вернуться бизнес
Думаю да.	думать да
Как насчет кофе, чтобы всбодриться?	как насчёт кофе всбодриться
С кофе я завязал, у меня от него бессонница.	с кофе завязать бессонница
В холодильнике должно быть пиво.	в холодильник должный пиво
Мы близнецы, однояйцевые.	мы близнец однояйцевой
Однояйцевые близнецы.	однояйцевой близнец
Круто, вот так, вот так.	круто так так
Я помогу засунуть нож обратно, ладно сестренка?	я помочь засунуть нож обратно ладный сестрёнка
Она шикарна, моя любимая сестренка.	она шикарный любимый сестрёнка
Маню, хорош гнать. Она же тебе яйца отрежет.	маня хороший гнать она ты яйцо отрезать
Она моя сестра! Моя сестра!	она сестра мой сестра
Вот именно.	вот именно
"Хватит валять дурака, заткни ебло и вали засунь ""Корвет"" под пресс."	хватить валять дурак заткнуть ести валить засунуть корвет пресс
Твою мать Ян, почему ты не ездишь на старых тачках, для разнообразия.	твой мать ян почему ездить старое тачка разнообразие
Не знаю, из-за легенды наверное.	не знать изз легенда наверное
Легенда. Да хуй я клал на твою легенду.	легенда да хуй класть твой легенда
- Эй, Маню. - Чего?	эй маня что
Она не продается. - Нет, нет. Я серьезно, не продай её. - Да ладно!	она продаваться нет нет я серьёзно продать её да ладный
Иди сюда.	идти сюда
Думала обо мне?	думать о я
Я всегда думаю о тебе, чемпион.	я думать ты чемпион
Под пресс тачку захотел?	под пресс тачка захотеть
Под пресс значит. Хочеш чтоб я ее под пресс засунул?	под пресс значит хочеш пресс засунуть
На оружие взглянешь?	на оружие взглянуть
Нет, не распаковывай. Мы много возьмём.	нет распаковывать мы взять
Очень плохо. Царапины останутся.	очень плохо царапина остаться
Ты ограбление планируеш что ли?	ты ограбление планируеш ли
Бери выше, Лео. Намного выше.	брать выше лео намного выше
Мне нужно 30-ть подставных.	я нужно 30ть подставной
Дай мне Носатого, Торпеду и братьев Маму.	дать носатый торпеда брат мама
- Всех братьев? - Да.	весь брат да
- Так их много. - Верно.	так много верно
Когда?	когда
К завтрашнему дню, начинай сейчас.	к завтрашний день начинать сейчас
- Алло? - Сука, мудила, козёл. (тел.)	алло сук мудила козёл тело
- А, это ты. - Ты приедешь? (тел.)	а это ты ты приехать тело
- На этих выходных не смогу. - Почему? (тел.)	на этот выходной смочь почему тело
Почему? Я просто не могу.	почему я просто мочь
Ты меня за дуру держишь? (тел.)	ты дура держать тело
Я такого не говорил. Ты говна кусок. (тел.)	я такой говорить ты говно кусок тело
Я тут застрял, у меня дела.	я застрять дело
Ты можешь понять?	ты мочь понять
Это и твои дети, ты это знаеш. (тел.)	это твой ребёнок это знаеш тело
Да, я знаю.	да знать
Я заберу их на следующих выходных, договорились?	я забрать следующий выходной договориться
"""Рояль Флэш"" я тебе его покажу, но если немного не смухливать, ты никогда его не соберёш."	рояль флэш ты показать немного смухливать соберёша
На следующий и на последующий. (тел.)	на следующий последующий тело
Ты серьезно? Ладно, хорошо, пока. Перезвони мне завтра. (тел.)	ты серьёзно ладный хорошо пока перезвонить завтра тело
Эта женщина просто обуза.	этот женщина просто обуза
Должно быть какой-то алкаш дома перепутал. Я ему покажу дорогу.	должный какойтый алкаш дом перепутать я показать дорога
Успокойтесь.	успокоиться
Завязывайте с кокаином.	завязывать кокаин
У вас от него нервишки сдают.	у нервишки сдавать
Позвольте я разберусь.	позволить разобраться
Мое облачение внушает доверие.	мой облачение внушать доверие
Нервишки сдают?	нервишки сдавать
