cleaned_text	lemm_text
Оркестровка была написана Родри Беннингом,	оркестровка написать родри беннинг
и Дэйвом Эвелин Блайт, участником из Кингс Линн.	дэйв эвелина блайта участник кингс линн
"Далее споет группа ""Ват Май Лайт?""."	далее спеть группа вата май лайта
И она закончит программу передач на сегодня.	и закончить программа передача сегодня
Передачу вела Александра Палас, доброй вам ночи.	передача вести александр палас добрый ночь
Перегрузка в 200 Дж.	перегрузка 200 дж
Мне нужно чудо.	я нужно чудо
Только она, по настоящему, заставляет меня улыбаться.	только она настоящий заставлять улыбаться
- О, наш бог и хозяин. - Рита, я дома. - Папа?	о наш бог хозяин рита дом папа
Сколько времени, сын? Посмотри.	сколько время сын посмотреть
Но все смотрят телик, Папа, даже г. Голлагэр. Даже Бэлы с 67-ой.	но смотреть телик папа год голлагэр даже бэла 67ий
Ну, возможно мы купим новый ради Коронации.	ну возможно купить новый ради коронация
Если тебе повезет. Посмотрим.	если ты повезти посмотреть
- Не засиживайся. - Знаешь, он разжижает мозги.	не засиживаться знаешь разжижать мозги
Он сгниет и вытечет словно суп из твоих ушей.	он сгнить вытечь словно суп твой ухо
Это то, что делает телевидение!	это то делать телевидение
Г. Магпи?	год магпить
О, г. Магпи?	о год магпить
А?	а
Ку-ку! Вы слышите меня, Магпи?	куку вы слышать я магпить
Да.	да
- Я наверно сплю... - О, нет. Это не сон.	я наверно спать о нет это сон
- Значит это глюки. - Вовсе нет, дорогуша.	значит это глюк вовсе нет дорогуша
Итак, Вы удобно сидите?	итак вы удобно сидеть
Хорошо. Тогда мы начнем.	хорошо тогда начать
Я думала, что мы будем в эпохе Лас-Вегаса.	я думать быть эпоха ласвегас
Знаешь, длинные машины и пышные прически.	знаешь длинный машина пышный причёска
Шутишь! Если хочешь увидеть Элвиса тебе нужно в конец пятидесятых.	шутить если хотеть увидеть элвис ты нужно конец пятьдесят
Время до бургеров, когда они назвали его Пэлвис и у него была талия!	время бургер назвать пэлвис талия
Когда он был стилягой!	когда стиляга
- Ты едешь со мной, куколка? - Если нет другого пути, папочка?	ты ехать я куколка если другой путь папочка
Клева прокатимся, чел!	клёв прокатиться чело
- У, ты знаешь сленг! - Есть маленько...	у знаешь сленг есть маленько
- Я, Мама и кинофильмы Клиффа Ричарда каждый Выходной день. - Мило!	я мама кинофильм клифф ричард каждый выходной день мило
Думал твоя мама фан Клифа.	думать твой мама фан клиф
- И куда мы катим? - На ТВ-студию Эда Салливана.	и катить на твстудия эда салливан
Элвис создавал Хуанг Дог и на это были жалобы.	элвис создавать хуанга дог это жалоба
- Немного удачи и мы увидим это. - А какие были тв-студии в...	немного удача увидеть это а какой твстудия в
- В Нью-Йорке? - Именно!	в ньюйорк именно
Что-то непохоже на Нью-Йорк!	чтоть непохожий ньюйорк
Возможно это Нью-Йорк.	возможно это ньюйорк
По мне так выглядит по Нью-Йорски.	по выглядеть ньюйорск
Типа... Лондонский Нью-Йорк...	тип лондонский ньюйорк
А почему тода такие флаги?	а почему тода такой флаг
Офигеть!	офигеть
Правда офигенно?	правда офигенный
Словно они были прямо в комнате!	словно прямо комната
Как витрина, Томми, только вообрази.	как витрина томми вообразить
Новое телевидение. Разве оно не поднимает настроение, а Рита?	новое телевидение разве оно поднимать настроение рита
Ну улыбнитесь же.	ну улыбнуться же
Я не могу. Она уже не радует...	я мочь она радовать
Да перестань ты!	да перестать ты
Но ее лицо, Эдди.	но лицо эдди
Что случилось с нею?	что случиться нея
- Ужасное лицо. - Я сказал, перестань!	ужасный лицо я сказать перестать
Она проснулась!	она проснуться
Думаю она голодна.	думать голодный
Забирайте его, сэры! Готов, для большого события.	забирать он сэр готовый большой событие
- Большое событие? О чем Вы? - Вы что, с луны свалились?	большой событие о вы вы что луна свалиться
Коронация, конечно!	коронация конечно
И какая это Коронация?	и это коронация
Как это какая? Коронация!	как это какой коронация
Королевская! Королевы Элизабет!	королевский королева элизабет
- О! Так сейчас 1953? - На сколько мне известно!	о так 1953 на сколько известно
Прекрасное время делающее и нас лучше.	прекрасный время делать хороший
Погляди на теле-антенны.	поглядеть телеантенна
Словно под копирку.	словно копирка
Это необычно, моя бабушка говорила, что в то время они были очень редкими.	это необычно бабушка говорить время очень редкий
Только не здесь, красотка. Изумительные Истории Мэджпи Марвелс поглощают всех.	только здесь красотка изумительный история мэджпить марвелс поглощать весь
О, это потрясный год, классика!	о это потрясный год классика
Тэноколор, покорение Эвереста, каждому свое.	тэноколор покорение эверест каждый свой
Нация, отбросившая тени войн и ожидающая более счастливого и светлого будущего!	нация отбросить тенить война ожидать счастливый светлый будущее
Кто-нибудь помогите, пожалуйста! Тэд!	ктонибыть помочь пожалуйста тэд
- Оставьте в покое моего мужа! Пожалуйста! - Что происходит?	оставить покой мой муж пожалуйста что происходить
- Что Вы делаете?! - Дело полиции, уйдите с пути, сэр. - За что они его?	что вы делать дело полиция уйти путь сэр за он
- Вы знаете его? - Это вроде г. Голлагэр.	вы знаете он это вроде год голлагэр
Это случается повсеместно, они превращаются в монстров.	это случается повсеместно превращаться монстр
Томми, замолчи!	томми замолчать
Зайди внутрь, немедля!	зайти внутрь немедля
Простите, я должен сушатся.	простить должный сушиться
Все на борт!	весь борт
Операция Маркет Сталл. Давай! Давай! Давай!	операция маркета сталла давать давать давать
Пропали. Как им это удалось?	пропасть как это удаться
Я удивлена, они не возвращались. Как ты мог упустить их?	я удивить возвращаться как мочь упустить они
Люди в черном? Исчезающие автомобили?	человек чёрный исчезать автомобиль
Это Англия Черчилла, а не Россия Сталина.	это англия черчилла россия сталин
Парниша говорил о монстрах. Нужно пойти и распросить соседей.	парниша говорить монстр нужно пойти распросить сосед
Вот, что мне в тебе нравится.	вот ты нравиться
Внутренний подход.	внутренний подход
Спасибо.	спасибо
Погоди, это был комплимент?	погодить это комплимент
Я закончил это.	я закончить это
По Вашим инструкциям.	по ваш инструкция
Это очень мило с вашей стороны, Г. Магпи.	это очень мило ваш сторона год магпить
Значит Вы уйдете, теперь? Вы оставите меня?	значит вы уйти теперь вы оставить я
Поглядим еще.	поглядеть ещё
- Если будете хорошим мальчиком. - Пожалуйста.	если быть хороший мальчик пожалуйста
Вы сжигаете меня.	вы сжигать я
Изнутри, мои глаза, они плавятся.	изнутри мой глаз плавиться
Больно даже вспоминать.	больно вспоминать
Я просто хочу что б вещи были как раньше.	я просто хотеть б вещий ранний
О, этот ваш мир, такой занятой, занятой, занятой! Скоро наступит новая эра!	о ваш мир занятой занятой занятой скоро наступить новый эра
Все никогда не станет прежним, смиритесь с этим.	весь стать прежний смириться это
А теперь... близится время Мэгпи.	а теперь близиться время мэгпить
Пробил час новых мужчин.	пробить час новый мужчина
Или Дам.	или дать
Грейн?	грейн
Грейн, это я Томми.	грейн это томми
Я хочу войти, Грейн. Оставайся там, не надо...	я хотеть войти грейн оставаться там надо
Прости, но я должен войти.	простить должный войти
И что же ты делаешь?	и делать
Надо попытаться помочь ей, Папе.	надо попытаться помочь она папа
Отдай мне ключ.	отдать ключ
Я сказал, отдай мне ключ, немедлено.	я сказать отдать ключ немедлить
Наш разговор еще не окончен.	наш разговор окончить
Я столько раз предупреждал тебя, но ты не слушаешься!	я столько предупреждать ты слушаться
- Но мы не можем просто запирать ее. - Прости, сынок, но главный тут я.	но мочь просто запирать она простить сынок главный я
Забудь о поступлении в колледж.	забыть поступление колледж
Ты будешь работать со мной.	ты быть работать я
Готовь свои руки к мозолям.	готовить свой рука мозоль
О, Боже. Она что, никогда не прекратит?	о бог она что прекратить
Потерпи моя дорогая Рита.	потерпеть дорогой рита
Обычное дело.	обычный дело
Теперь, давайте усядемся поудобней что б посмотреть на ее Величество.	теперь давать усесться удобный б посмотреть величество
- Но, Эдди, что, если она умирает? - Я говорю!	но эдди что умирать я говорить
Так то лучше. Немного тишины.	так хороший немного тишина
Привет!	привет
- Кто Вы? - Поглядим-ка на Вас,	кто вы поглядимка вы
семьянин, хороший дом, сражался в войне, я представляю Королеву.	семьянин хороший дом сражаться война представлять королева
Просто небольшая проверка перед приездом ее Величества в этот великий день, позвольте, спасибо.	просто небольшой проверка приезд величество великий день позволить спасибо
О, очень мило, хороший порядок. Могу поздравить Вас, Госпожа...	о очень мило хороший порядок мочь поздравить вы госпожа
- Коннели. - Рита, позволь мне говорить. Этот джентльмен официальный представитель.	коннель рита позволить говорить этот джентльмен официальный представитель
Не обращайте внимания на молчание жены.	не обращать внимание молчание жена
Ну, может она просто неразговорчива.	ну просто неразговорчивый
Думаю, Вы не очень-то выполняете свой патриотический долг.	думать вы оченьто выполнять свой патриотический долг
Те флаги, почему они не повешены?	тот флаг почему повесить
Ну вот, Рита! Я же говорил тебе!	ну вот рита я говорить ты
- Повесь их! Королева и Страна! - Я сожалею.	повесить они королева страна я сожалеть
- Сделай это, прямо сейчас. - Подождите минуту.	сделать это прямо сейчас подождать минута
