cleaned_text	lemm_text
Дверь	дверь
Папа, ты занят?	папа занятый
Папа, идём играть?	папа идти играть
Мы идём ловить бабочек!	мы идти ловить бабочка
- Мама скоро придёт домой. - Пожалуйста! Пожалуйста, папа!	мама скоро прийти домой пожалуйста пожалуйста папа
Леони, мне нужно сделать кое-что, потом мы поиграем, хорошо?	леонить нужно сделать коечто поиграть хорошо
Тихо! Время отдыха!	тихо время отдых
Не бойся, мистер Батерфляй.	не бояться мистер батерфляй
Где ты был всю неделю?	где неделя
Я работал, была выставка.	я работать выставка
Я думала, что ты ушёл.	я думать уйти
Я проспал весь день.	я проспать весь день
Джиа...	джиа
Мы просто переспали несколько раз.	мы просто переспать несколько раз
Перестань.	перестать
Я не думал, что это будет чем-то постоянным.	я думать это чемтый постоянный
Придурок!	придурок
Леони?	леонить
5 лет спустя	5 год спустя
Мая?	май
Можно мне...? - Нет, нельзя. Я предупреждал тебя!	можно я нет нельзя я предупреждать ты
Мая, пожалуйста!	май пожалуйста
Чего ты хочешь?	что хотеть
Что ты хочешь услышать?	что хотеть услышать
"""Я прощаю тебя, Дэвид?"""	я прощать ты дэвид
По-твоему это нормально?	потвоему это нормальный
Нет...	нет
Нет?	нет
"""Я прощаю тебя за то, что наша дочь умерла потому что ты трахался с соседкой?"" Так?"	я прощать то наш дочь умереть трахаться соседка так
Тебе от этого легче?	ты лёгкий
Исчезни из моей жизни. - Мая, пожалуйста...	исчезнуть мой жизнь май пожалуйста
Почему ты просто не можешь оставить её в покое?	почему просто мочь оставить её покой
Если ты тоже любишь её!	если любить её
"<i>""Вы дозвонились Мае и Эдгару. Нас сейчас нет дома.</i>"	iвы дозвониться май эдгар мы домаi
"<i>Пожалуйста, оставьте своё сообщение после сигнала.""</i>"	iпожалуйст оставить свой сообщение сигналаi
<i>Мая...</i>	iмаяi
<i>Я больше не побеспокою тебя.</i>	iя побеспокоить тебяi
<i>Больше не приду, и не позвоню.</i>	iбольше прийти позвонюi
<i>И я...</i>	iи яi
Да... Я очень сожалею.	да я очень сожалеть
<i>Чего же ты ждёшь, папа?</i>	iчего ждать папаi
<i>Пап, чего ты ждёшь?</i>	iпапа ждёшьi
Больше ничего.	большой ничто
Папа!	папа
Дыши!	дышать
Дыши!	дышать
Макс, что ты здесь делаешь?	макс делать
Мая звонила мне.	май звонить я
Она была взволнована.	она взволновать
Останешься у нас на ночь. - Нет, спасибо.	остаться ночь нет спасибо
Тебя никто и не спрашивает. Твоя жалость к себе меня не волнует, Андернах.	ты никто спрашивать твой жалость волновать андёрн
Как твоя семья?	как твой семья
Я записал мальчиков в футбольный клуб.	я записать мальчик футбольный клуб
Это сумасшествие. 3- и 4-летние дети играют в футбол, ты только представь!	это сумасшествие 3 4летний ребёнок играть футбол представить
22 ребёнка носятся по полю.	22 ребёнок носиться поль
И вдвое больше родителей на трибунах, болеющих за них.	и вдвое родитель трибун болеть они
Не волнуйся, я не собираюсь убивать себя в туалете.	не волноваться собираться убивать туалет
Тихо! Время отдыха!	тихо время отдых
Вы как, в порядке?	вы как порядок
Только не говори об этом маме!	только говорить мама
Она говорила, чтоб я всегда завязывала шнурки.	она говорить завязывать шнурок
Нет...	нет
Нет, нет, нет!	нет нет нет
Папа?	папа
Иди в свою комнату, Леони.	идти комната леонить
Что ты делаешь? - Иди в комнату!	что делать идти комната
Будь хорошей девочкой.	быть хорошеть девочка
Алло? - Это я.	алло это я
Мая? - Где ты был? Я уже звонила...	май где быть я звонить
Мы с дочкой играли в саду.	мы дочка играть сад
<i>Я не успеваю закончить с работой в аптеке. Буду позже.</i>	iя успевать закончить работа аптека быть позжеi
Когда? - Как только всё закончу.	когда как весь закончить
<i>Не мог бы ты присмотреть за Леони и в пятницу? Просто у меня ещё есть дела в аптеке.</i>	iне мочь присмотреть леонить пятница просто ещё дело аптекеi
Не нужно, если это для тебя слишком много... - Нет, нет.	не нужно это слишком много нет нет
Я буду с ней.	я быть она
<i>Хорошо. Увидимся.</i>	iхорошо увидимсяi
Пока.	пока
У тебя всё в порядке?	у весь порядок
Да, просто хочется на тебя посмотреть.	да просто хотеться посмотреть
Леони наверху?	леонить наверху
Можешь привести её?	мочь привести её
У нас есть гость.	у гость
Он стоял передо мной в очереди в супермаркете и не смог заплатить за своё пиво.	он стоялый перед я очередь супермаркет смочь заплатить свой пиво
Бокал? - Нет, благодарю.	бокал нет благодарить
Смотри. Скажи когда хватит. - Хватит!	смотреть сказать хватить хватить
Как у тебя дела с оформлением картин в банке?	как дело оформление картина банка
Управляющим не понравилось.	управлять понравиться
Я сказал им, что учился вместе с знаменитым Дэвидом Андернахом. Они были впечатлены.	я сказать имя учиться вместе знаменитый дэвид андернах они впечатлен
Не волнуйся, на его последней выставке	не волноваться последний выставка
"его арт-директор представил меня как ""эта жена"""	артдиректор представить этот жена
Он не мог вспомнить моё имя. Мы как твои тени.	он мочь вспомнить мой имя мы твой тенить
Ерунда. - Сказало Солнце!	ерунда сказать солнце
Что случилось? - Она упала с велосипеда.	что случиться она упасть велосипед
Твой папа должен был купить тебе шлем. - Он не мой папа.	твой папа должный купить ты шлем он папа
Не обращайте внимания. - Повтори ещё раз!	не обращать внимание повторить ещё раз
Просто дождитесь, когда ей исполнится 15!	просто дождаться исполниться 15
Расскажи мне, что случилось, милая.	рассказать я случиться милый
Где ты поранилась?	где пораниться
Тебе больно?	ты больно
Голова не кружится?	голова кружиться
Поговорим об этом завтра.	поговорить завтра
Если ты будешь к этому готова.	если быть это готовый
Даже если ты злишься на папу, Не говори больше так, хорошо?	даже злиться папа не говорить так хорошо
Эта картина ещё не закончена.	этот картина ещё закончить
Когда уже твои картины станут популярны?	когда твой картина стать популярный
Я не знаю.	я знать
Я сожалею о произошедшем сегодня. Я должен был рассказать тебе.	я сожалеть произойти сегодня я должный рассказать ты
Так что всё-таки случилось?	так всётаки случиться
Я отругал её.	я отругать её
Потому что она не завязывала шнурки.	потому завязывать шнурок
Потом она захотела посмотреть телевизор,	потом захотеть посмотреть телевизор
и я не разрешил.	разрешить
Почему она говорит такие вещи?	почему говорить такой вещий
Без понятия. Может такая же безумная как я? Ты же знаешь на кого она похожа.	без понятие мочь такой безумный я ты знаешь кто похожий
Я накричал на неё. Прости.	я накричать она простить
Мы буквально боремся за каждый прожитый день.	мы буквально бороться каждый прожить день
Ты знаешь об этом.	ты знаешь это
И Леони чувствует это.	и леонить чувствовать это
Я думаю	я думать
у нас всё будет хорошо. - Когда же?	весь хорошо когда же
Решишь несколько старых проблем и всё станет хорошо?	решить несколько старое проблема весь стать хорошо
Да.	да
Мне нужен телефон бывшей жены Грегора. Хочу пригласить её в субботу.	я нужный телефон бывший жена грегор хотеть пригласить её суббота
В субботу?	в суббота
Твой День Рождения.	твой день рождение
А, точно.	а точно
Номер есть в твоём мобильном.	номер твой мобильный
Он должен быть где-то здесь.	он должный гдеть здесь
Я поищу его, хорошо?	я поискать он хорошо
Тишина! Время отдыха!	тишина время отдых
Просто шутка.	просто шутка
Вы напугали меня этим утром. Ударились головой об этот грузовик.	вы напугать это утром удариться голова грузовик
Не хотите разговаривать?	не хотеть разговаривать
<i>O Ну хорошо,</i>	io ну хорошоi
с самим собой поговорить тоже неплохо.	сам себя поговорить неплохо
Так ведь, Сигги?	так ведь сигга
Конечно, Сигги.	конечно сигга
Отлично!	отлично
Нет. Подарков не надо, пожалуйста. Увидимся в субботу. Пока.	нет подарок надо пожалуйста увидеться суббота пока
Дэвид?	дэвид
Ты должен был дать мне номер. - Не могу найти свой телефон.	ты должный дать номер не мочь найти свой телефон
<i>Алло?</i>	iаллоi
Кто это?	кто это
<i>Кто вы?</i>	iкто выi
У вас телефон моего мужа.	у телефон мой муж
Подождите минутку.	подождать минутка
Я позвонила на твой номер.	я позвонить твой номер
Андернах?	андёрн
Ты потерял вчера кое-что.	ты потерять вчера коечто
Кто это?	кто это
<i>Как будто ты не знаешь.</i>	iкак знаешьi
Я ей ещё ничего не рассказала.	я ещё рассказать
Приходи.	приходить
В три часа? Да, это нормально. Спасибо.	в час да это нормальный спасибо
Я обронил телефон на тротуаре, когда вышел из галереи. Встречусь с ней в городе.	я обронить телефон тротуар выйти галерея встретиться город
Быстро ты. - Да.	быстро ты да
В тебе что-то изменилось.	в ты чтоть измениться
Люди меняются. - За 24 часа?	человек меняться за 24 час
Да. Где мой телефон?	да где телефон
Спасибо.	спасибо
Куда ты уходишь? - Домой. - Подожди!	куда уходить домой подождать
Что по поводу нас? - У меня есть семья.	что повод мы у семья
И ты не хочешь ранить их. - Именно так.	и хотеть ранить они именно так
Трахни меня.	трахнуть я
Я ведь сказал тебе... - Трахни меня.	я сказать ты трахнуть я
Наши души подходят друг другу. Разве ты не чувствуешь? - Нет.	наш душа подходить друг друг разве чувствовать нет
Трахни меня!	трахнуть я
<i>Или я расскажу всё твоей жене.</i>	iить рассказать весь твой женеi
Что ты сказала? - А как ты можешь остановить меня?	что сказать а мочь остановить я
Скажи это.	сказать это
Сказать что? - Скажи, что ты переспишь со мной.	сказать что сказать переспать я
Сейчас же.	сейчас же
Нет.	нет
