cleaned_text	lemm_text
ЗЕМЛЯ: ПОСЛЕДНИЙ КОНФЛИКТ В предыдущих сериях:	земля последний конфликт в предыдущий серия
Я работаю в Дорс Интернешнл не ради тейлонских денег!	я работать дорс интернешнл ради тейлонской деньга
Днем играешь в корпоративную шишку, а по ночам в партизанку	днём играть корпоративный шишка ночь партизанка
Успокойся, Авгур,	успокоиться авгур
нам подойдут любые союзники.	мы подойти любой союзник
Кто дал вам право вторгаться в опечатанное помещение?	кто дать право вторгаться опечатать помещение
Компания Дорса рискует огромными деньгами, вложенными в совместные с тейлонами предприятия.	компания дорса рисковать огромный деньга вложить совместный тейлоно предприятие
А я рискую своей репутацией!	а рисковать свой репутация
Занимайтесь своими делами, мисс Палмер.	заниматься свой дело мисс палмера
А мы разберемся со своими.	а разобраться свой
Во время Индо-Китайской войны вы три года служили под командованием Буна.	в время индокитайский война год служить командование буна
Это правда.	это правда
Кинкейд участвовал во вторжении на Тайвань.	кинкейд участвовать вторжение тайвань
Из-за провала разведки его подразделение попало в засаду.	изз провал разведка подразделение попасть засада
ИНДО-КИТАЙСКАЯ ВОЙНА. ТИБЕТ.	индокитайский война тибет
Импульсные генераторы настроены.	импульсный генератор настроить
Антенна включена?	антенна включить
Да.	да
Коды доступа спутника.	код доступ спутник
Трудно было их получить?	трудно получить
Пришлось лгать и воровать, а так ничего особенного.	прийтись лгать воровать особенный
Мы шпионы, ложь и воровство - наша работа.	мы шпион ложь воровство наш работа
Разумеется, всё во имя блага человечества.	разумеется весь имя благо человечество
Поэтому ты всегда будешь профессионалом, а для меня это задание последнее.	поэтому быть профессионал это задание последний
Ты меня удивляешь, Самира.	ты удивлять самир
Я-то думал, тебе, как и мне, по душе острые ощущения!.. Мы ведь спасаем мир,	ято думать ты я душа острый ощущение мы спасать мир
предотвращаем неминуемую ядерную катастрофу!	предотвращать неминуемый ядерный катастрофа
Романтика! Ты и я, кругом неведомая глушь,	романтика ты я кругом неведомый глушь
красивейший вид на Гималайи,	красивый вид гималайя
мы взламываем системы запуска ядерных боеголовок...	взламывать система запуск ядерный боеголовка
Есть!	есть
Мы в самом сердце пусковых установок китайских и индийских систем наведения.	мы самый сердце пусковой установка китайский индийский система наведение
Начинаю.	начинать
Передаю серии нейтринных импульсов,	передавать серия нейтринный импульс
блокирую схемы запуска.	блокировать схема запуск
Ты уверен, что все получится?	ты уверенный получиться
Если нет, мы с тобой уже этого не увидим.	если нет ты увидеть
Спасибо, успокоил.	спасибо успокоить
Если координаты верны,	если координата верный
то все китайские и индийские ракеты сейчас нейтрализованы.	китайский индийский ракета нейтрализовать
Лишь пока не перекалибруют системы запуска.	лишь пока перекалибровать система запуск
Но за выигранное нами время человечество опомнится	но выиграть мы время человечество опомниться
и прекратит это кровопролитие!	прекратить это кровопролитие
Да. А потом новая война.	да а новый война
Но согласись:	но согласиться
Что может быть лучше, чем спасать мир рука об руку с любимым человеком?	что хороший спасать мир рука рука любимый человек
Что происходит?	что происходить
<i>Они прибыли на Землю с обещанием мира</i>	iонить прибыть земля обещание мираi
<i>Раса тейлонов - пришельцев из космоса</i>	iраса тейлоновый пришелец космосаi
<i>Но среди землян есть и те, кто не доверяет</i>	iно среди землянин тот доверяетi
<i>этим инопланетным Сподвижникам.</i>	iэтим инопланетный сподвижникамi
<i>Потому что истинная миссия тейлонов,</i>	iпотому истинный миссия тейлоновi
<i>тайны, которые они скрывают,</i>	iтайна который скрываютi
<i>навсегда изменят наш мир.</i>	iнавсегда изменить наш мирi
<b>Перевод с английского: Xandra © 2006, Синхронизация: Sky © 2006 Редактор: Loriel © 2007 </b>	bперевод английский xandra © 2006 синхронизация sky © 2006 редактор loriel © 2007 b
"<b>Команда ""Прибежище Тейлонов"" Team ""Taelon Sanctuary"" http://efc.ucoz.ru © 2004 - 2007</b>"	bкоманда прибежище тейлоновый team taelon sanctuary httpefcucozru © 2004 2007b
<i>И теперь судьба человечества зависит от тех,</i>	iи судьба человечество зависеть техi
<i>кто осмелится бросить вызов будущему Земли.</i>	iкто осмелиться бросить вызов будущее землиi
"<b>3 сезон, 14 серия ""ВЫЖЖЕННАЯ ЗЕМЛЯ""</b>"	b3 сезон 14 серия выжечь земляb
"<i>*Субтитры к сериалу ""Земля: последний конфликт"" - частный любительский проект.*</i>"	iсубтитр сериал земля последний конфликт частный любительский проектi
