cleaned_text	lemm_text
"""С МЕНЯ ХВАТИТ"""	с я хватить
"""Финансовая свобода"""	финансовый свобода
"""Он умер за наши грехи"""	он умереть наш грех
"""Как я вожу машину?"""	как возить машина
Куда это ты направился?	куда это направиться
Домой.	домой
"""Помогите!"""	помочь
Офицер, водитель этой машины ушёл. Я не думаю, что он вернётся.	офицер водитель машина уйти я думать вернуться
Вам нужна помощь?	вы нужный помощь
- Это ваша машина, сэр? - Нет, не его.	это ваш машина сэр нет он
Я же говорю: тот мужчина сказал, что идёт домой.	я говорить мужчина сказать идти домой
Домой?	домой
Джентльмены, вернитесь к своим машинам.	джентльмен вернуться свой машина
- А с этой машиной как? - Я вызову буксировщика.	а машина как я вызов буксировщик
Почему бы нам просто не столкнуть её с дороги?	почему мы просто столкнуть её дорога
Сэр, это опасно.	сэр это опасный
Пожалуйста, вернитесь и займите места в ваших автомобилях.	пожалуйста вернуться занять место ваш автомобиль
Одну минутку.	один минутка
Прендергаст. Отдел ограблений.	прендергаст отдел ограбление
Я торгую линолеумом.	я торговать линолеум
Хорошо. Давайте попробуем столкнуть. Вы толкаете, я рулю.	хорошо давать попробовать столкнуть вы толкать руль
И керамика у нас тоже бывает. Офицерам полиции скидка.	и керамик бывать офицер полиция скидка
"Я люблю программу ""Полиция"". А вы её смотрите?"	я любить программа полиция а её смотреть
- У меня сегодня счастливый день. - Счастливый?	у сегодня счастливый день счастливый
Я на службе последний день.	я служба последний день
Действительно, счастливый.	действительно счастливый
Не трогайте!	не трогать
Не трогайте. Продолжайте движение.	не трогать продолжать движение
Извините.	извинить
Офицер...	офицер
Офицер...	офицер
О Боже, телефон.	о бог телефон
Давай скорее, скорее.	давать скорее скорее
Быстрее, быстрее.	быстрый быстрый
Алло.	алло
Алло.	алло
- Мама, открой, пожалуйста. - Хорошо.	мама открыть пожалуйста хорошо
Алло.	алло
Разменяйте, пожалуйста, для телефона.	разменять пожалуйста телефон
Не меняю, покупайте что-нибудь.	не менять покупать чтонибыть
- 85 сэнов. - Что?	85 сэновый что
85 сэнов.	85 сэновый
- Не понимаю. - 85 сэнов. 85.	не понимать 85 сэновый 85
85 центов? У меня не останется на телефон.	85 цент у остаться телефон
Даю вам 50 центов, а вы мне - 50 сдачи.	давать 50 цент 50 сдача
- Я? - Да, вы.	я да вы
Выпивка 85 сэнов, бери или уходи.	выпивка 85 сэновый брать уходить
Почему ты так безобразно коверкаешь все слова?	почему безобразно коверкать слово
- Ты из Китая? - Не китаец. Моя кореец.	ты китай не китаец мой кореец
Ты явился в мою страну и забираешь мои деньги, но даже не выучил мой язык!	ты явиться мой страна забирать мой деньга выучить язык
Ты кореец?	ты кореец
Ты хоть представляешь, сколько денег моя страна передала твоей стране?	ты представлять сколько деньга страна передать твой страна
Сколько?	сколько
Не знаю точно. Очень много.	не знать точно очень много
Убирайся! Пошёл!	убираться пойти
А я останусь. Что ты сказал?	а остаться что сказать
Что ты делаешь?	что делать
Отдай, отдай!	отдать отдать
Господи! Да что же это!	господь да это
Да здравствует Корея?	да здравствовать корея
- Берёшь деньги, берёшь деньги. - Что?	брать деньга брать деньга что
- Берёшь деньги, берёшь деньги. - Убери лапы от лица и говори.	брать деньга брать деньга убрать лапа лицо говорить
Прекрати!	прекратить
Говори медленно и разборчиво.	говорить медленно разборчиво
Берёшь деньги.	брать деньга
Ты думаешь, я вор?	ты думать вор
Нет, я совсем не вор.	нет вор
Я не из тех, кто берёт 85 центов за банку колы! Это ты вор.	я тот брать 85 цент банка кола это вор
А я защищаю свои права. Усвоил?	а защищать свой право усвоить
По закону от 1965 г. Усвоил?	по закон 1965 год усвоить
Тосты. Почём один пакет?	тост почём пакет
Доллар двенадцать.	доллар двенадцать
Слишком много.	слишком много
Аспирин. Почём?	аспирин почём
Три сорок.	три сорок
Господи.	господь
Батарейки. Сколько за упаковку?	батарейка сколько упаковка
Четыре двадцать девять.	четыре двадцать девять
Правильно.	правильно
Вся эта полка мне не нравится!	весь этот полка нравиться
Так сколько за коку?	так сколько кок
50 центов.	50 цент
Вот так-то.	вот такто
Рад был посетить ваше заведение.	рад посетить ваш заведение
Очень смешно. Невероятно смешно.	очень смешно невероятно смешно
Настоящий аризонский песок. Привыкайте, Прендергаст.	настоящий аризонский песок привыкать прендергаст
Ясно. Жаль, что песок не золотой.	ясно жаль песок золотой
Он из коробки моего кота. Чистый песочек.	он коробка мой кот чистый песочек
- А где мои бумаги? - Тогда не было бы смешно.	а мой бумага тогда смешно
- А ручку как достать? - Придётся писать пальцем.	а ручка достать прийтись писать палец
Это твой последний день. Будь осторожен, вспомни Aорсайта.	это твой последний день быть осторожный вспомнить aорсайт
- Ему оставалось 5 минут до отставки. - 2 минуты, 2.	он оставаться 5 минута отставка 2 минута 2
- Он шёл к своей машине. - И попал под автобус.	он идти свой машина и попасть автобус
Ирония судьбы.	ирония судьба
Так что, береги себя и помни: сегодня всё может быть.	так что беречь помнить сегодня весь быть
Не порежьтесь о бумагу.	не порезаться бумага
Извини, я пыталась отговорить их.	извинить пытаться отговорить они
Сандра, это обязательная процедура.	сандра это обязательный процедура
Что они ещё придумали?	что ещё придумать
- Ничего. - Ничего?	ничто ничто
- Мы едем обедать? - Да.	мы ехать обедать да
- Ты уйдёшь пораньше сегодня? - А зачем мне уходить раньше?	ты уйти ранний сегодня а уходить ранний
- Ну, это последний день. - Я не суеверен.	ну это последний день я суеверный
- Сандра, идёшь? - Одну минуту.	сандра идти один минута
Да оставь ты этого пенсионера.	да оставить пенсионер
Не стой над душой.	не стоять душа
Да успокойся, чего ты завелась?	да успокоиться завестись
- Я буду скучать. - Точно будешь? Я тоже.	я быть скучать точно быть я тоже
Сандра, пошли!	сандра послать
- Правда? - Да.	правда да
- Мама. - Подожди, малышка.	мама подождать малышок
Когда мы будем делать клубничный пирог?	когда быть делать клубничный пирог
Скоро. Сейчас я договорю.	скоро сейчас договорить
Хорошо, мама.	хорошо мама
Будет несколько детишек и всё.	быть несколько детишки весь
Нет.	нет
Прендергаст.	прендергаст
- Привет. - Алло?	привет алло
- Привет, это я. - Привет.	привет это я привет
Я хочу тебя видеть. Ты можешь прийти сейчас?	я хотеть видеть ты мочь прийти сейчас
Что случилось?	что случиться
Не знаю. Просто чего-то боюсь.	не знать просто чеготь бояться
Сама не знаю чего.	сам знать что
Ну что такое, что?	ну такой что
Ну, не знаю, я просто убиралась и мне вдруг стало...	ну знать просто убираться стать
...Неприятно как-то. Я испугалась, наверное.	неприятно както я испугаться наверное
Постарайся вернуться поскорее. Пожалуйста. Хорошо?	постараться вернуться скорый пожалуйста хорошо
Но мы же с тобой вместе. Правда?	но ты вместе правда
- Но тебя нет здесь! - Обещаю прийти скорее.	но здесь обещать прийти скорее
Скажи это.	сказать это
- Хорошо. - Скажи.	хорошо сказать
- Я скоро приду. - Нет, не так.	я скоро прийти нет так
Я скоро приду, и я тебя люблю.	я скоро прийти любить
И я тебя люблю.	и любить
- Сейчас лучше? - Нет, не лучше.	сейчас хороший нет хороший
Нет? Ладно.	нет ладный
Лондон спит во тьме ночной, тьме ночной, тьме ночной.	лондон спать тьма ночной тьма ночной тьма ночной
Подпевай.	подпевать
Ты моя прекрасная.	ты прекрасный
Тебе лучше?	ты хороший
- Да. - Хорошо.	да хорошо
- Пока. - Пока.	пока пока
- Что вы делаете, мистер? - Ничего.	что делать мистер ничто
Это частные владения.	это частное владение
- Частные? - Расселся тут. Расселся.	частное рассесться тут рассесться
- Это чья-то собственность? - Погляди сюда.	это чьять собственность поглядеть сюда
Это указатель?	это указатель
Нет, это не указатель. Это знак.	нет это указатель это знак
- Он не умеет читать. - Тогда я прочитаю.	он уметь читать тогда прочитать
Это, блин, частная собственность, и здесь не место таким, блин, как ты.	это блин частный собственность место такой блин ты
- Так и сказано? - Да.	так сказать да
Очень, блин, странный английский. Я, блин, не понял.	очень блин странный английский я блин понять
- Это что, смешно? - Он смеётся.	это что смешно он смеяться
- А мы нет. - Ну будет, будет.	а нет ну быть быть
Хватит, парни. Давайте разберёмся.	хватить парень давать разобраться
Ладно, будем считать, что это ваша неприкосновенная территория.	ладный быть считать это ваш неприкосновенный территория
И мною нарушена неприкосновенность ваших границ. Это я могу понять.	и я нарушить неприкосновенность ваш граница это мочь понять
Но это нестрашно. Вряд ли проблема того стоит.	но это нестрашно вряд проблема стоить
Этот дом - как бы ваш дом. И я уважаю это.	этот дом ваш дом и уважать это
Если вы меня пропустите, я уйду прямо сейчас.	если пропустить уйти прямо сейчас
Договорились? Вас устраивает?	договориться вы устраивать
- Как думаешь? - Он должен заплатить.	как думать он должный заплатить
Хорошая мысль. Ты нам заплатишь.	хороший мысль ты мы заплатить
Послушайте, у меня и так неудачное утро. Не доставайте меня.	послушать неудачный утро не доставать я
- Надо платить. - А как насчет портaельчика?	надо платить а насчёт портaельчик
Хорошая мысль. Давай сюда портaель.	хороший мысль давать сюда портaель
Мой портaель вы не получите.	мой портaель получить
А ну давай сюда чёртов портaель!	а давать сюда чёртов портaель
Хорошо.	хорошо
Хорошо. Я никому не мешал, никого не задевал.	хорошо я никто мешать никто задевать
Уважал территорию и не собирался никого трогать. Так?	уважать территория собираться никто трогать так
Значит, если человек 5 минут провёл на вашей территории, должен платить?	значит человек 5 минута провести ваш территория должный платить
Ладно.	ладный
Хотите мой портфель? Я отдам вам его.	хотеть портфель я отдать он
Вот вам портфель!	вот портфель
Хочешь портфель - получи!	хотеть портфель получить
Эй, куда ты? Ты забыл портфель!	эй ты ты забыть портфель
Ты забыл портфель!	ты забыть портфель
Я иду домой. Убирайся вон, сволочь!	я идти домой убираться вон сволочь
Усвоил? Я иду домой!	усвоить я идти домой
Как это делают?	как это делать
- Пистолет. - Что?	пистолет что
Ты же сегодня уходишь? Сдай пистолет.	ты сегодня уходить сдать пистолет
Да, конечно.	да конечно
Распишись здесь, здесь и здесь.	расписаться здесь здесь
Прендергаст, составь отчёт. Ты же ещё на работе, хоть и последний день.	прендергаст составить отчёт ты ещё работа последний день
- Да, Браен, ещё на работе. - Хорошо.	да браить ещё работа хорошо
К тебе один кореец. Мистер Ли, входите.	к ты кореец мистер ли входить
Что он сказал, Браен?	что сказать браить
Я не знаю. Мистер Ли - кореец, а я - японец. Язык совсем другой.	я знать мистер ли кореец японец язык другой
- Прошу прощения. - Мистер Ли, вы говорите по-английски?	просить прощение мистер ли говорить поанглийски
- Да. - Садитесь.	да садиться
Этот человек вам поможет. Мистер Ли - хозяин магазина, его недавно ограбили.	этот человек помочь мистер ли хозяин магазин недавно ограбить
Извините, мистер Ли, здесь не курят.	извинить мистер ли курить
Хорошо, мистер Ли, опишите грабителя.	хорошо мистер ли описать грабитель
Белый мужчина в рубашке и галстуке.	белый мужчина рубашка галстук
- Цвет галстука. - Цвет?	цвета галстук цвета
Я не знаю цвет.	я знать цвета
Он на меня напал, магазин разбит, а я едва живой.	он напасть магазин разбитый едва живой
Хорошо, успокойтесь. Что украл этот человек?	хорошо успокоиться что украсть человек
