cleaned_text	lemm_text
Селестина, кого ты рисуешь?	селестина кто рисовать
Медведя.	медведь
- А это кто? - А это мышка.	а это кто а это мышка
Они друзья.	они друг
- Но у тебя неправильный рисунок. - Нет, правильный!	но неправильный рисунок нет правильный
- Неправильный! - Нет!	неправильный нет
- Нет, да! - Нет, нет!	нет да нет нет
Да! Медведи и мыши не дружат! Поэтому...	да медведь мышь дружить поэтому
Тсс!	тсс
Ну, что же мне вам сегодня рассказать?	ну сегодня рассказать
- Про страшного злого медведя? - Да, про страшного злого медведя!	про страшный злой медведь да страшный злой медведь
Зимой страшный злой медведь спит...	зимой страшный злой медведь спать
А когда просыпается...	а просыпаться
- Когда просыпается, хочет есть. - Правильно.	когда просыпаться хотеть есть правильно
А когда он хочет есть...	а хотеть есть
То может съесть что угодно.	то съесть угодный
Совершенно, что угодно!	совершенно угодный
Покрышки, лампы, велосипеды, машины, дома!	покрышка лампа велосипед машина дом
Когда он голоден, то жрет, извините... то есть, ест абсолютно все.	когда голодный жрать извинить есть есть абсолютно весь
А что всего больше всего любит страшный злой медведь?	а любить страшный злой медведь
Маленькую мышку.	маленькая мышка
Мышку? Одну? Одну мышку?	мышка один один мышка
Десять, сто, тысячу маленьких мышек!	десять сто тысяча маленькая мышка
В духовке! На вертеле! На сковородке!	в духовка на вертел на сковородка
Отварных! И даже сырых!	отварный и сырой
- Сырых? - Еще как сырых!	сырой ещё сырой
Прямо живьем -	прямо живьём
в крошечных пальтишках и с рюкзачками - вот как он ест мышек!	крошечный пальтишко рюкзачок есть мышка
Сырых! И живьем!	сырой и живьём
А... А вы уверены, что он злой?	а а уверить злой
Знаешь историю про мышку, которая не верила в страшного злого медведя?	знаешь история мышка который верить страшный злой медведь
Ей все говорили:	она говорить
берегись страшного злого медведя.	беречься страшный злой медведь
Но ей все равно было, этой козявке, этой... несносной мерзавке...	но равно быть козявка этот несносный мерзавка
Извините, этой гадкой, нет, этой...	извинить гадкий нет этот
Нет... Этой... мелкой... этой, этой малявке!	нет этот мелкий этот малявка
Она не верила в злого медведя!	она верить злой медведь
