cleaned_text	lemm_text
Доктор Хантер!	доктор хантереть
Доктор Хантер, вот место, которое Вы искали. Никаких признаков жизни.	доктор хантереть место который вы искать никакой признак жизнь
Ничего, начиная с 1908-го года.	ничто начинать 1908го год
Всё здесь словно вымерло.	весь словно вымереть
Приборы фиксируют высокую радиацию, как на месте ядерного взрыва.	прибор фиксировать высокий радиация место ядерный взрыв
Но при этом - никаких следов радиоактивных осадков, Надя.	но никакой след радиоактивный осадок надя
Варгас, мы разобьем лагерь позже.	варгаснуть разбить лагерь поздний
- Начнём раскопки прямо сейчас. - Где именно?	начать раскопка прямо сейчас где именно
Вон там.	вон там
Там мы найдём Это.	там найти это
Мисс Хантер, на фоне остальных Ваш отец выглядит счастливым ребёнком.	мисс хантереть фон остальной ваш отец выглядеть счастливый ребёнок
Этот ребёнок - мой отец.	этот ребёнок отец
Сюда, сюда! Живее! Сюда!	сюда сюда живой сюда
Я фиксирую высокие показания.	я фиксировать высокий показание
- Ага. - Сюда.	ага сюда
Постойте.	постоять
- Здесь. - Варгас, подержи это.	здесь варгаснуть подержать это
Счётчик сходит с ума. Смотри.	счётчик сходить ум смотреть
Стрелка достигает максимума, вот здесь.	стрелка достигать максимум здесь
Это - он. Он.	это он он
Смотри. Мы нашли его.	смотреть мы найти он
Значит, это правда. Он действительно существует.	значит это правда он действительно существовать
Вы только посмотрите. Смертоносный излучатель Теслы.	вы посмотреть смертоносный излучатель теслый
Настолько мощный, что может испепелять целые государства...	настолько мощный испепелять целое государство
в мгновение ока.	мгновение око
Его считали простой причудой учёного до тех пор,	он считать простой причуда учёный тот пора
- пока он не испытал его. - Как он работает?	пока испытать он как работать
От электрических импульсов, посылаемых мозгом.	от электрический импульс посылать мозг
Тесла нашёл способ управлять им при помощи мыслей,	тесло найти способ управлять помощь мысль
как если бы механизмы устройства...	механизм устройство
повторяли всё то, о чём он думает.	повторять весь то что думать
"""Тринадцатого июня 1908-го года от рождества Христова,"	тринадцать июнь 1908го год рождество христов
Тесла отправился в самую отдалённую часть сибирской тундры,	тесло отправиться самый отдалённый часть сибирский тундра
чтобы испытать своё изобретение.	испытать свой изобретение
Будучи в сотнях миль от ближайшей цивилизации,	быть сотня миля ближний цивилизация
"он выпустил его мощь на свободу."""	выпустить мощь свобода
Мысли - это энергия. Концентрация этой энергии...	мысль это энергия концентрация энергия
приводит в действие механизм устройства. Никто живой не	приводить действие механизм устройство никто живой
пострадал, но на поверхности Земли вмиг образовался незаживающий шрам.	пострадать поверхность земля вмиг образоваться незаживающий шрам
"""Невиданный свет среди бела дня."	невиданный свет среди бел день
"""Казалось, будто само небо всколыхнулось."	казалось сам небо всколыхнуться
"Взрыв был слышен на расстоянии тысячи миль."""	взрыв слышный расстояние тысяча миля
Уничтожено пятьсот тысяч акров хвойных лесов.	уничтожить пятьсот тысяча акр хвойный лес
И ни одного объяснения.	и один объяснение
Никаких сообщений о кометах, метеорах - ничего.	никакой сообщение комета метеор ничто
Просто полное разрушение.	просто полный разрушение
Тесла был в ужасе, и решил спрятать излучатель...	тесло ужас решить спрятать излучатель
подальше от мира, который был ещё слишком	далёкий мир который ещё слишком
молод и кровожаден, чтобы владеть им.	молодой кровожадный владеть имя
И он никогда не говорил о нём больше.	и говорить он большой
- Ты и в самом деле веришь, что он работает?	ты самый дело верить работать
- Он - верит. - Ты же думал, что это - пустяк!	он верить ты думать это пустяк
Мне не обязательно верить в это, чтобы убить ради этого.	я обязательно верить это убить ради это
Передай мне излучатель	передать излучатель
