cleaned_text	lemm_text
Чинаски!	чинаск
Поди сюда!	поди сюда
- У тебя водительские права есть? - Да.	у водительский право есть да
У нас водитель заболел. И есть срочные заказы. Тебе надо будет их доставить.	у водитель заболеть и срочный заказ ты доставить
Эй, Чи...!	эй чи
Что, плохо тебе?	что плохо ты
Бывало и лучше.	бывать хороший
Да я походу проспал больше, чем ты прожил.	да поход проспать большой прожить
Чинаски, ты уволен.	чинаск уволить
Есть свободные комнаты?	есть свободный комната
- 150 баксов в неделю. - Хорошо.	150 бакс неделя хорошо
- Вы работаете? - Работаю на себя.	вы работать работать себя
- Могу я поинтересоваться, что вы делаете? - Я писатель.	мочь поинтересоваться делать я писатель
Книги пишите?	книга писать
Ну, я еще не созрел для романа... пока что.	ну созрелый роман пока что
ОК.	ок
Большинство людей думает, что они умеют водить. Но на самом деле, умеют водить очень немногие.	большинство человек думать уметь водить но самый дело уметь водить очень немногий
Они умеют лишь управлять.	они уметь лишь управлять
Каждый день я вижу 2-3 человек, проезжающих на красный свет так, будто он и не существует.	каждый день видеть 23 человек проезжать красный свет так существовать
Образ жизни, который эти люди ведут, сводит их с ума, безумие отражается и на их езде.	образ жизнь который человек вести сводить ум безумие отражаться езда
Я здесь не для того, чтобы учить вас жить. Я здесь для того, чтобы научить вас водить.	я тот учить жить я тот научить водить
В каком случае человек может потерять контроль над машиной?	в какой случай человек потерять контроль машина
Когда у него стоит?	когда стоить
Если вы не можете вести машину, когда у вас стоит, вы нам не подойдете.	если мочь вести машина стоить мы подойти
Некоторые из наших лучших водителей могут ездить со стояком дни и ночи напролет.	некоторый наш хороший водитель мочь ездить стояк день ночь напролёт
Итак, когда человек может потерять контроль над машиной и не сможет его восстановить?	итак человек потерять контроль машина смочь восстановить
Да, Чинаски?	да чинаск
Человек может потерять контроль над машиной, когда он чихает.	человек потерять контроль машина чихать
Правильно.	правильно
Что вы делаете, когда чихаете?	что делать чихать
- Вы Генри Чинаски? - Да сэр.	вы генри чинаск да сэр
Идите за мной	идти я
Садитесь.	садиться
Мы вас проверили, Чинаски.	мы проверить чинаск
У вас 18 арестов за нарушение общественного порядка. И один за езду в пьяном виде.	у 18 арест нарушение общественный порядок и езда пьяный вид
- За езду в пьяном виде было два. - Вы сообщили нам ложные сведения. Вы нам не подходите.	за езда пьяный вид два вы сообщить мы ложный сведение вы мы подходить
Вы мне такси не вызовите?	вы такси вызвать
Пока мы живем мы постоянно попадаем во всякие ловушки.	пока жить постоянно попадать всякий ловушка
И писательство может стать ловушкой.	и писательство стать ловушка
Некоторые писатели склонны писать лишь о том, что понравилось их читателям.	некоторый писатель склонный писать лишь тот понравиться читатель
Если они слышат положительные отзывы, то верят в них.	если слышать положительный отзыв верить они
Для сочинительства есть лишь один суд в последней инстанции - сам писатель.	для сочинительство лишь суд последний инстанция писатель
Если он прогибается под критиков, издателей, читателей, то ему конец.	если прогибаться критик издатель читатель конец
И, само собой, если он прогибается под своей известностью...	и сам себя прогибаться свой известность
...то его можно смело спускать в унитаз вместе с говном.	то сметь спускать унитаз вместе говно
- Писатель? - Да.	писатель да
- Вы уверены? - Нет.	вы уверить нет
Почему вы хотите работать на фабрике солений?	почему хотеть работать фабрика соление
- Мне это бабушку напоминает. - Правда?	я это бабушка напоминать правда
Она меня всегда угощала соленьями, когда я к ней в гости приходил.	она угощать соление гость приходить
- А что вы пишите? - В основном рассказы.	а писать в основное рассказ
- Я на полпути к роману. - О чем он будет?	я полпути роман о быть
- Обо всем. - То есть, например, о раке?	о весь то есть например рак
Да.	да
А как насчет моей жены?	а насчёт мой жена
И про нее тоже будет.	и быть
Я писал 3-4 рассказа в неделю.	я писать 34 рассказ неделя
И отправлял по почте. Представляю, как нью-йоркские редакторы на них реагировали.	и отправлять почта представлять ньюйоркский редактор реагировать
Слышь, опять этот дурак рассказ прислал!	слышь дурак рассказ прислать
Большинство из них я отсылал Джону Мартину, чей журнал, Блэк Спэрроу, я высоко ценил.	большинство отсылать джон мартин чей журнал блэк спэрроу высоко ценить
Чинаски? Вы не зайдете на минуту?	чинаск вы зайти минута
Мистер Джентри тоже писатель.	мистер джентри писатель
Я сказал ему, что вы были писателем и он захотел с вами познакомиться. Вы не против?	я сказать он писатель захотеть вы познакомиться вы против
Я не против.	я против
Мистер Джентри мой друг.	мистер джентри друг
Вы не возражаете, если я пойду?	вы возражать пойти
ОК.	ок
Та сцена в офисе не выходила у меня из головы. Сигары, дорогая одежда...	тот сцена офис выходить голов сигара дорогой одежда
Я думал о высоких ставках.	я думать высокий ставка
О долгих поездках по извилистым подъездным дорожкам, ведущим к великолепным домам.	о долгий поездка извилистый подъездный дорожка ведущий великолепный дом
О беззаботности. Поездках в Европу.	о беззаботность поездка европа
Красивых женщинах.	красивый женщина
Чинаски, ты куда собрался? Иди работай, смена еще не кончилась.	чинаск собраться идти работать смена кончиться
- Мне надо выпить. - Нет, нет. Нельзя. Иди работай.	я выпить нет нет нельзя идти работать
Вон туда.	вон туда
Отвали!	отвалить
Эй!	эй
- Ты как? - Нормально.	ты как нормальный
Мне здесь такой не нужен!	я нужный
Потом я встретил Джен.	потом встретить джена
Я угостил ее выпивкой, а она дала мне свой телефон.	я угостить выпивка дать свой телефон
Через три дня я переехал в ее квартиру.	через день переехать квартира
У Джен была машина за 500 долларов.	у джена машина 500 доллар
Прикол был в том, как включить фары.	прикол тот включить фара
Хотя у нас и было преимущество в виде сломанных рессор.	хотя преимущество вид сломать рессора
Джен превосходно еблась.	джена превосходно еблася
Пизда у нее была узкой. И на хер она реагировала как на нож, которым ее режут.	пизда узкий и хер реагировать нож который резать
Вот бы узнать, сколько сейчас времени!	вот узнать сколько время
Ты сказал, что починишь часы.	ты сказать починить часы
Ладно, посмотрим...	ладный посмотреть
