cleaned_text	lemm_text
Ах, только взгляните на Стьюи.	ах взглянуть стьюй
"Разве не очарователен, играется со своим телефоном с ""Улицы Сезам."""	разве очаровательный играться свой телефон улица сезам
Соедините с пентагоном.	соединить пентагон
- Знаешь, как коровка мычит? - Не шути со мной, Эрни!	знаешь коровка мычать не шутить я эрня
Я уже расправился с мистером Хупером. У меня шесть боевиков...	я расправиться мистер хуперо у шесть боевик
снаружи гнезда Важной Птицы.	снаружи гнездо важный птица
А что же с Линдой?	а линда
Не странно ли, что глухая женщина услышала шаги наёмника?	не странно ли глухой женщина услышать шаг наёмник
- А до трёх считать умеешь? - Конечно же, умею.	а три считать уметь конечно же уметь
Раз! Два! Три!	раз два три
Могу ли я считать до трёх? Да я уже стреляю как пятиклассник!	мочь считать три да стрелять пятиклассник
Ну же, Стьюи.	ну же стьюй
Не встанешь из-за стола пока не доешь свои овощи.	не встать изз стол пока доесть свой овощ
Буду сидеть, пока один из нас не сдохнет. А ты старше на добрых 40 лет, женщина.	быть сидеть пока сдохнуть а старший добрый 40 год женщина
Сладкий, это брокколи, тебе на пользу. Теперь открой ротик, летит самолётик.	сладкий это брокколи ты польза теперь открыть ротик лететь самолётик
Никогда! К чёрту брокколи! И тебя туда же! И братьев Райт заодно!	никогда к чёрт брокколи и туда же и брат райт заодно
Надо же, мы сегодня такие нервные. Хорошо. Никакого брокколи.	надо же сегодня такой нервный хорошо никакой брокколи
Сразу бы так. Попомни мои...	сразу так попомнить мой
Да кем ТЫ, блин, себя возомнила?	да кто ты блин возомнить
Милый, оно не исчезнет, просто потому, что тебе не нравится.	милый оно исчезнуть просто потому ты нравиться
Ах так, хорошо. Задача ясна. Брокколи должна быть уничтожена.	ах так хорошо задача ясный брокколи должный уничтожить
Мам, не дашь мне урок вождения?	мама дать урок вождение
У меня урок фортепьяно через полчаса. Может отец возьмётся.	у урок фортепьяно полчаса мочь отец взяться
Извини, Мэг. Папочка любит тебя. Но папочка также любит Стар Трек.	извинить мэг папочка любить ты но папочка также любить старый трек
И если говорить на чистоту Стар Трек появился раньше.	и говорить чистота старый трек появиться ранний
Дневник капитана, звездная дата 8169.7	дневник капитан звёздный дата 81697
Энтерпрайз только-что обнаружил неизведанную планету...	энтерпрайза толькочто обнаружить неизведанный планет
в Гамма Фалоппиевой звёздной системе. Мистер Сулу, перед нами Варп 9.	гамма фалоппиев звёздный система мистер сула мы варп 9
Ради всего святого, Питер.	ради святой питер
Ты пялишься в ящик с тех пор, как с работы пришёл.	ты пялиться ящик тот пора работа прийти
Как насчёт уделить немного времени своей семье?	как насчёт уделить немного время свой семья
Я уделяю, во время рекламы.	я уделять время реклама
И если не для этого, то для чего же созданы рекламные паузы?	и это создать рекламный пауза
Умаляю, пап. У меня завтра экзамен, а ты меня так ничему и не научил.	умалять папа у завтра экзамен ничто научить
Мэг, тебе стоит поискать учителя получше, чем Питер.	мэг ты стоить поискать учитель хороший питер
О чем это ты? Я искусный водитель.	о это ты я искусный водитель
Уже забыл свою поездку на Юго-Запад?	уже забыть поездка югозапад
- Чёрт. Я сбил того страуса? - Нет.	чёрт я сбить страус нет
- Ты уверен? - С ним всё в порядке. Проезжай.	ты уверенный с весь порядок проезжать
Мэг, не верь ты в эти бредни. Я не спускаю глаз с дороги.	мэг верить бредни я спускать глаз дорога
Мимо меня и муха не проскочит. А теперь, вернёмся к Стар Треку.	мимо муха проскочить а теперь вернуться старый трек
Срань Господня. Ахара чёрный?	срань господний ахара чёрный
Итак, Мэг. Приступим к твоему первому уроку.	итак мэг приступить твой первое урок
Ты всегда должна быть осведомлена о других машинах на дороге.	ты должный осведомить другой машина дорога
Если на красном светофоре поймаешь на себе взгляд соседнего водилы...	если красный светофор поймать взгляд соседний водил
это означает, что тебе бросают вызов.	это означать ты бросать вызов
- Он так и просится. - Но пап...	он проситься но папа
Правила придуманы не мною, сладкая. Теперь газани дважды.	правило придумать я сладкий теперь газануть дважды
Ладно.	ладный
Вперёд!	вперёд
Забыла в зад бортануть. Хотя остальное на высоте.	забыть зад бортануть хотя остальной высота
Уже вернулись? Да это и не урок вовсе.	уже вернуться да это урок вовсе
Просто не хочу её перегружать на первом же занятии.	просто хотеть её перегружать первое занятие
Кроме того, сейчас начнётся КДП.	кроме тот начаться кдп
Итак, усаживайтесь, уйдем с головой в мир Калифорнийского Дорожного Патруля мечты!	итак усаживаться уйти голова мир калифорнийский дорожный патруль мечта
- Какие-то обвинения, офицер? - Езда без номера моего телефона.	какиеть обвинение офицер езда номер мой телефон
<i>Чистейший, неразбавленный кокаин.</i>	iчистый неразбавленный кокаинi
А может вас арестовать за превышение красоты.	а арестовать превышение красота
Итак, брокколи, мать говорит что вы мне очень полезны.	итак брокколи мать говорить очень полезный
Боюсь, я для вас вреден. Первое правило войны - узнать врага.	бояться вредный первое правило война узнать враг
Теперь то я знаю! Холод губит брокколи! Проще простого.	теперь знать холод губить брокколи простой простой
Всё, что мне потребуется - построить устройство управления погодой.	весь потребоваться построить устройство управление погода
Прогноз на завтра: немного моросящего гения, возможны удары судьбы.	прогноз завтра немного моросить гений возможный удар судьба
<i>Минестерство автомобильного транспорта штата Род Айленд.</i>	iминестерство автомобильный транспорт штат род айлендi
Да на это целая вечность уйдет!	да это целый вечность уйти
Хватит тебе, Мэг. Поехали. В 8 часов Фокс запускает новое реалити шоу.	хватить ты мэг поехать в 8 часы фокс запускать новое реалить шоу
Быстрые зверьки, тупые детки.	быстрый зверёк тупой детка
Ну же, ребята. Подождите.	ну же ребята подождать
Вот чёрт, все ноги мёдом вымазал.	вот чёрт нога мёд вымазать
Пап, только не сейчас. Вся моя жизнь зависит от того, получу ли я права.	папа сейчас весь жизнь зависеть тот получить право
Не смогу водить, не обзаведусь парнем, никогда не выйду замуж...	не смочь водить обзавестись парень выйти замуж
ребёнка придется усыновить, прямо как Рози О'Доннэл.	ребёнок прийтись усыновить прямо розить одоннэла
Мэг, намекаешь, что Рози О'Доннэл не умеет водить?	мэг намекать розить одоннэла уметь водить
Я вся на нервах.	я весь нерв
Ты отлично справишься. Вспомни всё, чему я тебя учил.	ты отлично справиться вспомнить весь что учить
- Для начала спуститесь вниз по проспекту. - Хорошо.	для начало спуститься вниз проспект хорошо
- Что ты творишь? - Машину веду, пфф.	что творить машина вести пфф
Наверняка баллы снимете, за то, что в зад не бортанула?	наверняка балл снять то зад бортанула
Боже, жизнь сочтена. Я величайшая неудачница на свете!	бог жизнь счесть я великий неудачница свет
Понимаю, каково тебе, тыковка. Мне тоже знакомо чувство разочарования.	понимать каков ты тыковка я знакомый чувство разочарование
У вас девочка!	у девочка
Может, вы... Может, ещё разок проверите?	мочь вы мочь ещё разок проверить
Запомни, милая, в жизни есть место маленьким взлётам и... Вот чёрт!	запомнить милый жизнь место маленькая взлёт и вот чёрт
Мы пропустим начало моего шоу. Ах, вот же оно.	мы пропустить начать мой шоу ах оно
Пап, осторожней!	папа осторожный
Мэг, дорогая, ты цела? Ага, хотелось бы думать.	мэг дорогой целый ага хотеться думать
Куахогский Кабельный Телепередатчик.	куахогский кабельный телепередатчик
Эй, ты только-что оставил весь город без кабельного!	эй толькочто оставить весь город кабельный
Боже! Смотрите, там снежный человек!	бог смотреть снежный человек
Эй, эй, постой-ка. Это не моя вина. Сам виноват.	эй эй постойка это вино сам виноватый
Что-ж, по крайней мере мы выиграли немного времени.	чтожий крайний мера выиграть немного время
- Это всё она. - Что? Пап, ты же был за рулём!	это весь она что папа руль
Я учил её вождению, она просто не справилась с управлением.	я учить её вождение просто справиться управление
Ладно вам, ребята, все мы совершали глупые поступки по молодости, так?	ладный вы ребята совершать глупый поступок молодость так
"Помню, как пытался прокрасться на фильм категории ""от 16 и старше."""	помнить пытаться прокрасться фильм категория от 16 старший
- Ладно вам. Простим ребёнка, а? - На каком это основании?	ладный вы простить ребёнок а на какой это основание
Она получила пулю во Вьетнаме.	она получить пуля вьетнам
Бедный ребёнок. Какая бессмысленная бойня.	бедный ребёнок какой бессмысленный бойня
Не могу поверить, ты только-что прикрылся собственной дочерью.	не мочь поверить толькочто прикрыться собственный дочь
Мэг, знаю, мой поступок ужасен. Знаю, я часто ставлю тебя в неловкое положение.	мэг знать поступок ужасный знать часто ставить неловкий положение
Итак, сложив углы при основании прямоугольного треугольника, получим...	итак сложить угол основание прямоугольный треугольник получить
Эй, Мэг, будь добра, в следующий раз, когда побреешь ноги, сполосни душевую.	эй мэг быть добро следующий раз побрить нога сполоснуть душевая
Там прямо ковёр какой-то.	там прямо ковёр какойтый
Не могу видеть тебя такой расстроенной.	не мочь видеть расстроить
"Есть идея. Сыграем в небольшую игру, назовём её ""Отдуйся за папочку."""	есть идея сыграть небольшой игра назвать её отдуться папочка
Если победишь, я куплю тебе кабриолет, когда получишь права.	если победить купить ты кабриолет получить право
Правда? Ах, Папочка! Теперь я снова люблю тебя!	правда ах папочка теперь снова любить ты
Ты станешь отличной женой какому-нибудь еврею.	ты стать отличный жена какомунибудь еврей
Из-за аварии на Куахогской Телерадиокомпании...	изз авария куахогский телерадиокомпания
телевизионные трансляции будут прекращены на неопределенный срок.	телевизионный трансляция быть прекратить неопределённый срок
Конечно же, никто не увидит этот выпуск новостей...	конечно же никто увидеть выпуск новость
а значит, то, что я скажу не имеет значения. Я Иисус Христос.	значит то сказать иметь значение я иисус христос
Думаю, пора бухнуть и отмутузить карликов. А как насчёт тебя, Диана?	думать пора бухнуть отмутузить карлик а насчёт ты диана
Что-ж Том, если на чистоту, я ненавижу чёрных.	чтожий тот чистота ненавидеть чёрный
Эй, ребята, мы всё ещё на Бостон вещаем.	эй ребята весь ещё бостон вещать
Превосходно. Погодное устройство практически готово.	превосходно погодный устройство практически готовый
Что скажешь на это, брокколи?	что сказать это брокколи
Хватит насмехаться надо мной! Что тут у нас?	хватить насмехаться я что мы
Похоже безмозглый провайдер наконец подкинул мне что-то толковое.	похоже безмозглый провайдер подкинуть чтоть толковый
Я мог бы использовать эти обломки для усиления своего смертоносного сигнала.	я мочь использовать обломок усиление свой смертоносный сигнал
Победа скоро будет за мной!	победа скоро я
Угадай, что произошло, мам?	угадать произойти мама
Папа врезался прямо в городской кабельный телепередатчик.	папа врезаться прямо городской кабельный телепередатчик
- Что? - Всё в порядке.	что весь порядок
Если я возьму вину на себя, он купит мне кабриолет, когда получу права.	если взять вина себя купить кабриолет получить право
Мэг, не уверен, что брать вину на себя можно, когда растреплешь это каждому.	мэг уверенный брать вина можно растрепать это каждый
Питер, подкупаешь дочку машиной?	питер подкупать дочка машина
Ладно тебе, Лоис.	ладный ты лоис
"Разве ""подкуп"" не синоним слова ""любовь""? Сама же хотела, чтобы я и Мэг стали ближе."	разве подкуп синоним слово любовь сам хотеть мэг стать близкий
Что мы и делаем.	что делать
Пап, я был в чате на сайте Америки Онлайн...	папа чат сайт америка онлайн
и Дебил_22 сообщил мне, что какой-то идиот вырубил кабельное.	дебил22 сообщить я какойтый идиот вырубить кабельный
Без телевизора мы и пару недель не протянем!	без телевизор пара неделя протянуть
Ладно, Крис, только без паники. Прекрасно обойдёмся без него.	ладный крис паника прекрасно обойтись он
- На что это ты намекаешь? - Признайся же Питер, ты телеман.	на это намекать признаться питер телеман
И ты не из тех, кому просто завязать. Забыл, как пытался порвать со сладостями?	и тот кома просто завязать забыть пытаться порвать сладость
Спрашиваю ещё раз. Ты ТОЧНО ничего не ел на моей фабрике?	спрашивать ещё раз ты точно есть мой фабрика
Нет.	нет
- Я всего лишь задал вопрос... - Ты что, за лжеца меня считаешь?	я лишь задать вопрос ты что лжец считать
- Я просто сказал... - Заткни пасть, Вонка.	я просто сказать заткнуть пасть вонка
Да уж. Но это совсем другой случай. Со мной всё будет нормально.	да уж но это случай с я весь нормальный
- Ты уверен, дорогой? - Ради всего святого, ребята.	ты уверенный дорогой ради святой ребята
Думаете, я из тех болванов, что жить без телевизора не могут? Хватит вам.	думать тот болван жить телевизор мочь хватить вы
- Хорошо, Майк, что там происходит? - Ну, Сипович ищет, кто шэфа прирезал.	хорошо майк происходить ну сипович искать шэфа прирезать
Выбирай, даёшь наколочку, или я покажу тебе свой зад?	выбирать давать наколочка показать ты свой зад
"Я ничего не скажу! Идёт, это был Джимми ""Шляпа."""	я сказать идти это джимми шляпа
Ладно, забей, Майк.	ладный забить майк
Если не видеть его задницу, это прямо как радио слушать.	если видеть задница это прямо радио слушать
Итак, у нас запланирован просмотр программы о брачных ритуалах...	итак запланировать просмотр программа брачный ритуал
нагих, большегрудых аборигенок племени Вивок из Новой Гвинеи.	нагой большегрудый аборигенка племя вивка новый гвинея
Увы, Мэган Гриффин разрушила телепередатчик.	увы мэгать гриффина разрушить телепередатчик
Таким образом, вместо этого у нас будет внеочередная контрольная.	такой образ вместо внеочередной контрольный
Ох, внезапно я стала врагом номер один.	ох внезапно стать враг номер один
Пришло время рассказать всю правду.	пришлый время рассказать правда
Постойте! Я не врезалась в спутниковую тарелку!	постоять я врезаться спутниковый тарелка
Да? Кто же тогда?	да кто тогда
Я была всего лишь пятнадцатилетней девочкой.	я лишь пятнадцатилетный девочка
Но в этот момент до меня дошло, что друзья - дело наживное.	но момент дошлый друг дело наживной
И есть всего один шанс заполучить машину. И я им воспользовалась.	и шанс заполучить машина и воспользоваться
Ладно, это всё я.	ладный это весь я
Чёрт побери, Брайан, не знаю на сколько ещё меня хватит.	чёрт побрать брайан знать сколько ещё хватить
Уже целая неделя прошла, с тех пор как я последний раз видел телешоу.	уже целый неделя пройти тот пора последний видеть телешоу
Интересно, чем всё это время занимался Скуби со своей шайкой.	интересно весь это время заниматься скубить свой шайка
А сейчас вернёмся к Делу Скуби-Ду.	а вернуться дело скубида
Вот так дела, ребятки.	вот дело ребятки
Убийца выпотрошил жертву, после чего задушил её же собственными кишками...	убийца выпотрошить жертва задушить её собственный кишка
а потом утопил труп в реке. - Здоровски! Вот это тайна!	утопить труп река здоровск вот это тайна
Ты прав, Скуб. У нас очередной больной сукин сын.	ты право скуба у очередной больной сукин сын
Что-ж, тебе просто требуется чем-нибудь заполнить появившийся жизненный вакуум.	чтожий ты просто требоваться чемнибыть заполнить появиться жизненный вакуум
У Лоис - рукоделие, У Криса - видеоигры, Мэг учится вождению.	у лоис рукоделие у крис видеоигра мэг учиться вождение
Что до меня, я люблю выпить.	что я любить выпить
Эй, бармен. Чью ногу надо вздрючить, чтобы мне плеснули сухого мартини?	эй бармен чей нога вздрючить плеснуть сухой мартини
Подыхаю без телевидения. Должен смотреть телевизор.	подыхать телевидение должный смотреть телевизор
Стьюи, я жду, когда ты наконец разделаешься со своими овощами.	стьюй ждать разделаться свой овощ
Будь уверена, злобная ведьма, думаю, разделаюсь разом с ними всеми!	быть уверить злобный ведьма думать разделаться разом они весь
И с тобой заодно!	и ты заодно
