cleaned_text	lemm_text
Вот это класс!	вот это класс
- Класс? - Да, Айрин, это полный улет.	класс да айрин это полный улёт
По-видимому, ты доволен,	повидимый довольный
А, по-моему,	а помоему
поставить на модуль детали с Мойи неудачная мысль.	поставить модуль деталь мойя неудачный мысль
Это была моя лучшая идея.	это хороший идея
Она далека от совершенства.	она далёкий совершенство
Пилот, ты все еще нас слышишь?	пилот слышать
Плохо. Вспышки на Стелле сильно засоряют эфир.	плохо вспышка стелла сильно засорять эфир
Если вы выйдете из тени планеты, контакт прервется.	если выйти тенить планета контакт прерваться
Извини, Пилот, но на эти вспышки я и летел посмотреть.	извинить пилот вспышка лететь посмотреть
Не волнуйся, к обеду вернемся.	не волноваться обед вернуться
Осторожно, Джон. Звезда чрезвычайно активна.	осторожно джон звезда чрезвычайно активный
Как и Крайтон.	как крайтон
Ух ты, вот это молния.	ух ты это молния
Значит, жди грома.	значит ждать гром
Излучение дошло даже до нас.	излучение дошлый мы
Подкорректируем курс.	подкорректировать курс
Заан? Заан, ты в порядке?	заан заан порядок
Да, Пилот.	да пилот
Мойя справляется с этим уровнем радиации?	мойя справляться это уровень радиация
Справляется,	справляться
только радиация может сказаться на продлении ее рода.	радиация сказаться продление род
Верно.	верно
Уводи Мойю в тень планеты.	уводь мойя тень планета
Магнитофон работает?	магнитофон работать
Вот этот антикварный аппарат?	вот антикварный аппарат
- Этот. - Да.	этот да
Видимо, червоточина открылась благодаря вспышке на звезде,	видимо червоточина открыться благодаря вспышка звезда
а я как раз выполнял маневр.	выполнять манёвр
Как называется этот маневр?	как называться манёвр
Рогатка.	рогатка
Ты хочешь вернуться тем же способом, да?	ты хотеть вернуться способ да
Риск велик, но иногда он оправдывается.	риск велик оправдываться
Что теперь?	что теперь
Матерь Божья.	матерь божий
Червоточина.	червоточина
Она не стабильна.	она стабильный
Она затягивает нас... Назад	она затягивать мы назад
Крайтон.	крайтон
Включай обратную тягу.	включать обратный тяга
Крайтон!	крайтон
Крайтон!	крайтон
Меня зовут Джон Крайтон, я - астронавт.	я звать джон крайтон астронавт
Столкнувшись с волной излучения, я попал в червоточину.	столкнуться волна излучение попасть червоточина
Теперь я застрял на дальнем краю Вселенной,	теперь застрять дальний край вселенная
на живом корабле со странными формами жизни.	живой корабль странный форма жизнь
Помогите мне! Пожалуйста.	помочь я пожалуйста
Кто-нибудь меня слышит?	ктонибыть слышать
Меня преследует безумный военачальник.	я преследовать безумный военачальник
Я делаю все, что могу.	я делать весь мочь
Я просто ищу дорогу домой.	я просто искать дорога домой
ДО ЧИСТОЙ КРОВИ	до чистый кровь
Крайтон, посмотри на это, она не стабильна.	крайтон посмотреть это стабильный
Если мы не уберемся сейчас, она нас разорвет.	если убраться сейчас разорвать
Двигатели на полную мощность!	двигатель полный мощность
Крайтон... Крайтон, ты слышишь меня?	крайтон крайтон слышать я
Крайтон!	крайтон
Я все понял.	я понять
Стоит на секундочку задремать,	стоить секундочка задремать
Как тебя тут же вытряхивают из постели.	как вытряхивать постель
Райджел, почему ты всегда думаешь только о себе?	райджела почему думать себя
Пилот, их не видно?	пилот видно
Идут сплошные помехи.	идти сплошной помеха
Может, сменим курс и поищем их?	мочь сменить курс поискать они
Ни в коем случае.	ни кой случай
Крайтон и Айрин сами по себе.	крайтон айрин сам себя
Я говорил, мы покинем эту жалкую планетку,	я говорить покинуть жалкий планетка
как только Мойя будет готова.	мойя готовый
Согласен,	согласный
Здесь нам делать нечего.	здесь мы делать нечего
Да. Нет причин оставаться.	да нет причина оставаться
Думаю, причина есть.	думать причина есть
Она окончательно фарботнулась.	она окончательно фарботнуться
Да, дельвийки	да дельвийка
необычайно чувствительны к ионной радиации.	необычайно чувствительный ионный радиация
Подарок дельвийского Поиска, это называется фотогазм.	подарок дельвийский поиск это называться фотогазм
Сейчас достану ведро и швабру.	сейчас достать вёдро швабра
Хей! Привет туристам! Есть кто живой?	хей привет турист есть живой
Джон, ты слышишь нас?	джон слышать мы
Слышу прекрасно, Заан. Угадай, что случилось.	слышать прекрасно заан угадать случиться
Мы наткнулись на червоточину.	мы наткнуться червоточина
Очень мило.	очень мило
Почему бы вам обоим не вернуться СЕЙЧАС ЖЕ? Мы снимаемся с орбиты.	почему оба вернуться сейчас же мы сниматься орбита
Д'Арго, ты меня не понял?	дарго понять
Читай по губам: мы наткнулись на ЧЕРВОТОЧИНУ.	читать губа наткнуться червоточина
Пока нам отсюда не выйти.	пока мы отсюда выйти
У нас проблемы	у проблема
Пилот, в реактивном двигателе утечка плазмы.	пилот реактивный двигатель утечка плазма
Подтвердите.	подтвердить
Подтверждаю. Приготовьтесь покинуть модуль.	подтверждать приготовиться покинуть модуль
Что?	что
Я готовлю для вас и Крайтона стыковочный шлюз.	я готовить крайтон стыковочный шлюз
Принято. Тебе лучше надеть шлем, Крайтон.	принять ты надеть шлем крайтон
Руки прочь от кнопки катапультирования! Нас от сюда не выкурят!	рука прочь кнопка катапультирование мы сюда выкурить
У вас нет выбора.	у выбор
Нельзя производить стыковку при утечке плазмы.	нельзя производить стыковка утечка плазма
Можно. Мойя изолирует модуль в ремонтном отсеке.	можно мойя изолировать модуль ремонтный отсек
Мойя не станет рисковать своим потомством.	мойя стать рисковать свой потомство
Мойя и не должна!	мойя должный
Послушайте, ребята.	послушать ребята
Для меня это дорога домой.	для это дорога домой
Твой дом. Не наш.	твой дом не наш
Я не собираюсь угробить свой модуль, если есть хоть один шанс его спасти.	я собираться угробить свой модуль шанс спасти
Нет шанса. Не упрямься!	нет шанс не упрямиться
Райджел.	райджела
Райджел!	райджела
Хм? Что? Что такое?	хм что что такой
Перед самой вспышкой ты связался с кем-то на планете.	перед самый вспышка связаться кемтый планета
Верно? Ты разговаривал с каким-то механиком.	верно ты разговаривать какимтый механик
С кем-то вроде Фербоу.	с кемтый вроде фербоу
Фелоу, Фолоу, что-то в этом роде.	фелоу фолоу чтоть род
Ферлоу.	ферлоу
Точно. Пилот, дай мне координаты Ферлоу.	точно пилот дать координата ферлоу
Передаю координаты.	передавать координата
Я запрещаю!	я запрещать
Знаешь что, Д'Арго?	знаешь что дарго
Иногда ты бываешь таким занудой!	иногда бывать такой зануда
Крайтон!	крайтон
Крайтон.	крайтон
Пилот, восстанови связь.	пилот восстановить связь
Не могу. Солнечная активность мешает передатчикам.	не мочь солнечный активность мешать передатчик
"Что значит ""зануда""?"	что значит зануда
Наверное, люди так называют	наверное человек называть
неприятных, упрямых и вздорных типов.	неприятный упрямый вздорный тип
Это значит дурак, идиот.	это значит дурак идиот
Я понял.	я понять
Болван.	болван
- Ты со мной заодно? - Наконец-то ты соизволил спросить.	ты я заодно наконецтый соизволить спросить
Послушай. Извини, ладно?	послушать извинить ладный
Я немного увлекся. Мне нужна была информация. Я не предполагал,	я немного увлечься я нужный информация я предполагать
что мы наткнемся на червоточину.	наткнуться червоточина
И ты готов был прыгнуть прямо в нее.	и готовый прыгнуть прямо нея
Нет. Я видел, что она нестабильна.	нет я видеть нестабильный
И что? Если бы она была стабильна? Что бы ты сделал?	и что если стабильный что сделать
Ты бы все равно сломя голову бросился туда, даже не зная, где вылетишь.	ты равно сломя голова броситься туда знать вылететь
Кстати, обо мне ты не вспомнил!	кстати о вспомнить
В другой раз, Крайтон, летай один!	в раз крайтон летать один
Прекрасно, Айрин. В следующий раз так и сделаю.	прекрасно айрин в следующий сделать
Но сейчас нам нужно починить модуль.	но мы нужно починить модуль
Точнее, тебе нужно.	точнее ты нужно
Хорошо, мне нужно!	хорошо нужно
- И мне нужна твоя помощь. - Как обычно.	и нужный твой помощь как обычно
Я думаю, пробоина в двигателе.	я думать пробоина двигатель
Возможно, частичная ионизация топлива.	возможно частичный ионизация топливо
- Исправим. - Быстро?	исправимый быстро
Сложно сказать. К вечеру будет готово. Возможно.	сложно сказать к вечер готовый возможно
Вы точно справитесь?	вы точно справиться
О, не волнуйся. Старушка Ферлоу никого не подводит.	о волноваться старушка ферлоу никто подводить
Все будет прекрасно, такой мой девиз.	весь прекрасно девиз
Нет! Не сюда, тупой велниц!	нет не сюда тупой велниц
Вечно нужно их носом тыкать.	вечно нужно нос тыкать
Неудивительно, они никогда не видели такого корабля.	неудивительно видеть такой корабль
Ничего интересного, ничего подходящего для полетов	ничто интересный подходящий полёт
Примитивные сплавы, отсутствует хетчевый двигатель.	примитивный сплав отсутствовать хетчевыя двигатель
Эта вещь для коллекции, но не для космоса.	этот вещь коллекция космос
Пожалуй, я сделаю одолжение и избавлю тебя от этой обузы.	пожалуй сделать одолжение избавить обуза
Модуль не продается.	модуль продаваться
Отремонтируйте его, я должен улететь, пока звезда еще активна.	отремонтировать он должный улететь пока звезда активный
Тебе не повезло. Вечером вспышки пойдут на убыль.	ты повезти вечером вспышка пойти убыль
А скоро они возобновятся?	а скоро возобновиться
Они точны как часы, каждые четыре целых восемь десятых цикла.	они точный часы каждый четыре целое восемь десять цикл
Пять лет?!	пять год
Слушайте, вы должны отремонтировать его побыстрее!	слушать должный отремонтировать быстрый
Зачем?	зачем
Мне нужно убраться... вернуться за новыми данными.	я нужно убраться вернуться новый дать
Понятно, исследуешь уникальные космические феномены?	понятно исследовать уникальный космический феномен
Эти вопросы связаны с ремонтом?	этот вопрос связать ремонт
Просто поддерживаю беседу.	просто поддерживать беседа
Не надо разговоров! Чините модуль!	не разговор чинить модуль
Извините за назойливость,	извинить назойливость
но мы торопимся, а вы - лучший механик на планете.	торопиться хороший механик планета
Может, вы нам поможете?	мочь мы помочь
Не могу отказать в такой вежливой просьбе.	не мочь отказать вежливый просьба
А теперь если позволите пройти, я вернусь к своей работе.	а позволить пройти вернуться свой работа
Кстати, вам понадобится это.	кстати понадобиться это
Шикарные очки.	шикарный очки
Надеюсь, Ферлоу не подведет, нам нужно валить отсюда.	надеяться ферлоу подвести мы нужно валить отсюда
Пилот, ты слышишь меня?	пилот слышать я
Заан? Д'Арго?	заан дарго
- Д'Арго подождет. - Да, но мы должны им что-нибудь сказать.	дарго подождать да должный чтонибыть сказать
Например, что мы застрянем на этой свалке дольше, чем рассчитывали.	например застрять свалка долгий рассчитывать
В чем проблема? Ты должна прыгать от радости.	в проблема ты должный прыгать радость
Ты же знаешь, если я узнаю, как проходить червоточины,	ты знаешь узнавать проходить червоточина
то избавлю вас от своего общества раз и навсегда.	избавить свой общество навсегда
Если не захочешь лететь со мной, предложение еще в силе.	если захотеть лететь я предложение сила
- Обдумай! - Не хочу думать.	обдумать не хотеть думать
- Обсудим это? - Нет.	обсудить это нет
Внимание. Среди вас находятся беглецы.	внимание среди находиться беглец
На них вы сможете хорошо заработать.	на смочь заработать
- Что это? - Розыскной маяк.	что это розыскной маяк
Я - Капитан Байалар Крайс.	я капитан байалар крайса
И я предлагаю крупное	и предлагать крупный
вознаграждение каждому, кто поможет нам в поимке троих беглых заключенных.	вознаграждение каждый помочь мы поимка трое беглый заключённый
Троих?	трое
Первый…Лаксианин по имени Ка Д'Арго.	первый…лаксианин имя ка дарго
Вторая - Дельвийка, Па'У Зото Заан.	два дельвийка пау зоть заан
Третий - Хайнир, называющий себя Райджел Шестнадцатый.	три хайнир называть райджела шестнадцать
Эти трое беглецов были арестованы Миротворцами.	этот трое беглец арестовать миротворец
Они нарушили условия досрочного освобождения.	они нарушить условие досрочный освобождение
Ясно, меня Крайс хочет убить лично. А почему тебя нет в списке?	ясно крайса хотеть убить лично а почему список
Я думаю, что смогу найти ответ.	я думать смочь найти ответ
Вы!	вы
...поможет нам в поимке беглых заключенных	помочь мы поимка беглый заключённый
...хорошее вознаграждение...	хороший вознаграждение
Отойди оттуда!	отойти оттуда
Это еще что за фигня?	это фигня
Понятия не имею.	понятие иметь
Сейчас разберусь.	сейчас разобраться
Кто вы такие?	кто такой
Вы тоже ищите беглецов?	вы искать беглец
Мы просто туристы, нас не интересуют беглецы.	мы просто турист интересовать беглец
- Она врет. - Нет, мы просто заинтересовались маячком.	она врать нет просто заинтересоваться маячок
Это - твоя женщина?	это твой женщина
Я - ничья женщина!	я ничья женщина
Не твоя женщина, хм?	не твой женщина хм
Значит ты не будешь по ней плакать.	значит быть плакать
Назад!	назад
Убери пушку от моего лица, пока я не скормил ее тебе!	убрать пушка мой лицо пока скормить ты
Теперь скажи своей сучке отпустить мою женщину!	теперь сказать свой сучка отпустить мой женщина
Так это твоя женщина!	так это твой женщина
Одна из них.	один они
Теперь отпусти ее!	теперь отпустить она
А ты!	а ты
Держи свою пасть закрытой, пока я не разрешу тебе говорить!	держать пасть закрытый пока разрешить ты говорить
Эй! Вы кто такие?	эй вы такой
Зачем вам беглецы?	зачем беглец
Мы - Воркарианские ищейки.	мы воркарианский ищейка
Самые лучшие.	самый хороший
С конца.	с конец
Я - Мясник.	я мясник
А это Солнышко. Мы из банды Дыра в Небе.	а это солнышко мы банда дыра небо
Мясник и Солнышко.	мясник солнышко
Я - Рорф.	я рорф
- Рорф? - Рорф!	рорф рорф
А это моя подруга, Рорг.	а это подруга рорг
Что ж, Рорф…	что ж рорф…
Забудь о беглецах.	забыть беглец
Солнышко, выброси эту штуку,	солнышко выбросить штука
пока другим идиотам не пришла в голову гениальная мысль.	пока другой идиот пришлый голова гениальный мысль
Вознаграждение мое.	вознаграждение мой
Связь с планетой по-прежнему невозможна из-за солнечной активности.	связь планета попрежний невозможный изз солнечный активность
