cleaned_text	lemm_text
Не могу поверить, что я опять в цепях.	не мочь поверить цепь
На этот раз, дорогой Д'Арго, по своей собственной воле.	на раз дорогой дарго свой собственный воля
Едва ли.	едва ли
Судя по сигналу приближающегося Мародёра я могу сказать,	судить сигнал приближаться мародёр мочь сказать
он не с Командного Крейсера Крайса.	командный крейсер крайса
С Миротворцами можно разобраться иначе.	с миротворец разобраться иначе
Попробуем, что придумал Крайтон.	попробовать придумать крайтон
Придумал Крайтон!	придумать крайтон
Если мы пробуем этот план, Райджел, значит никакого трона!	если пробовать план райджела значит никакой трон
Мы готовы, Пилот.	мы готовый пилот
Понял.	понять
Назовите себя!	назвать себя
Подразделение, задание?	подразделение задание
Сначала назовите себя.	сначала назвать себя
Лейтенант Айрин Сун.	лейтенант айрин сун
Подразделение Устар, рота Спецназа.	подразделение устарый рота спецназ
А вы?	а вы
Ларрак. Капитан.	ларрак капитан
И моё задание - не ваше дело.	и мой задание ваш дело
У вас проблемы с Мародёром, капитан?	у проблема мародёр капитан
Утечка цезиевого топлива.	утечка цезиевый топливо
Нам повезло, что мы нашли вас.	мы повезти найти вы
Думаете?	думать
Слишком большой корабль для одной маленькой девочки.	слишком большой корабль один маленькая девочка
Я и не с таким могу справиться.	я такой мочь справиться
Опустите оружие, лейтенант.	опустить оружие лейтенант
Это приказ.	это приказ
Умный ход.	умный ход
Капитан.	капитан
Что вы делаете на борту моего корабля?	что делать борт мой корабль
Капитан.	капитан
Экстренная посадка.	экстренный посадка
У моей команды задание по коду один-красный.	у мой команда задание код одинкрасный
Для его выполнения нам нужен ваш корабль.	для выполнение мы нужный ваш корабль
Соответственно статье 414 Декка,	соответственно статья 414 декка
я принимаю командование вашим кораблем, командой	принимать командование ваш корабль команда
и вами.	вы
Меня зовут Джон Крайтон, я - астронавт.	я звать джон крайтон астронавт
Столкнувшись с волной излучения, я попал в червоточину.	столкнуться волна излучение попасть червоточина
Теперь я застрял на дальнем краю Вселенной,	теперь застрять дальний край вселенная
на живом корабле со странными формами жизни.	живой корабль странный форма жизнь
Помогите мне! Пожалуйста.	помочь я пожалуйста
Кто-нибудь меня слышит?	ктонибыть слышать
Меня преследует безумный военачальник.	я преследовать безумный военачальник
Я делаю все, что могу.	я делать весь мочь
Я просто ищу дорогу домой.	я просто искать дорога домой
ИЗ ЖИЗНИ МИКРОБОВ	из жизнь микроб
Нет уж.	нет уж
Что за фрелл?	что фрелла
Если вам нужна помощь,	если нужный помощь
попросите вежливо.	попросить вежливый
Капитан.	капитан
Дельвийка.	дельвийка
И очень привлекательная.	и очень привлекательный
Вы поймали их во время испытания этого корабля?	вы поймать время испытание корабль
Мы ставим эксперимент по управлению Левиафаном без контрольного ошейника.	мы ставить эксперимент управление левиафан контрольный ошейник
Как вы управляете кораблём без нейро-ошейника?	как управлять корабль нейроошейник
Ошейник на пилоте.	ошейник пилот
Мы управляем им, а он управляет кораблём.	мы управлять имя управлять корабль
Да, я слышал об этих разработках.	да слышать этот разработка
Но до сих пор на испытаниях пропадали и Левиафан, и команда.	но сей пора испытание пропадать левиафан команда
Ну,	ну
наш полет протекал без осложнений.	наш полёт протекать осложнение
Пока не появились вы, капитан.	пока появиться вы капитан
Скажите, в чем состоит ваше задание?	сказать состоять ваш задание
Мое задание вас не касается, капитан.	мой задание касаться капитан
Я скажу вам следующее.	я сказать следующий
У нас есть груз,	у груз
который нужно без промедлений доставить на базу Миротворцев.	который нужно промедление доставить база миротворец
Груз?	груз
Видите, как все просто?	видеть просто
Ну,	ну
мы, конечно, будем рады, если вы полетите с нами, но...	мы конечно быть рад полететь мы но
Нет, нет, вы не поняли.	нет нет понять
Это срочно.	это срочно
Я дам вам координаты базы.	я дать координата база
Мы должны оказаться там через двадцать арнов.	мы должный оказаться двадцать арновый
Двадцать арнов?	двадцать арновый
Это значит, что база находится в Неосвоенных Территориях.	это значит база находиться неосвоенный территория
Это новая база Гаммак. Секретная.	это новый база гаммак секретный
О ней никто не знает.	о никто знать
Но раз уж вы меня туда везёте,	но туда везти
мне придется вам о ней рассказать	прийтись рассказать
Да,	да
она находится в Неосвоенных Территориях.	находиться неосвоенный территория
Эй! Если испортите груз, капитан вам головы снесет.	эй если испортить груз капитан голов снести
Ладно тебе, док.	ладный ты док
А это кто?	а это кто
- Можно подойти? - И не только подойти, дорогуша.	можно подойти и подойти дорогуша
Капитан приказал обслужить вас.	капитан приказать обслужить вы
В кают-компании накрыт стол, приходите, когда освободитесь.	в каюткомпания накрыть стол приходить освободиться
У этого выскочки-капитана на борту прислуга?	у выскочкикапитать борт прислуга
Не такой уж он и дурак, как я погляжу.	не дурак поглядеть
Сколько он тебе платит, дорогуша?	сколько ты платить дорогуша
Мало, конечно.	мало конечно
Сержант,	сержант
я хочу проверить груз.	хотеть проверить груз
Сейчас же.	сейчас же
В поисках этой штуки мы почти цикл мотались по Неосвоенным.	в поиск штука цикл мотаться неосвоенный
Общество капитана и этих двоих мне наскучило.	общество капитан этот двое наскучить
Почти цикл?	почти цикл
Это долгий срок,	это долгий срок
для таких поисков.	такой поиск
Должно быть, этот груз очень ценный.	должный быть груз очень ценный
