cleaned_text	lemm_text
Сукин с...! Чёрт!	сукин с чёрт
Крайтон.	крайтон
- Что ты ломаешь на этот раз? - Я ничего не ломаю.	что ломать раз я ломать
Пытаюсь разобраться, в кавычках,	пытаться разобраться кавычка
как работает наша навигационная, в кавычках, система.	работать наш навигационный кавычка система
Не уделишь мне микрот?	не уделить микрот
Сейчас нет времени, Чи.	сейчас время чи
Крайтон, мне...	крайтон я
мне, правда, нужно с тобой поговорить.	я правда нужно ты поговорить
Чи!	чи
У меня, правда, нет времени.	у я правда время
У тебя нет времени?	у время
Хорошо.	хорошо
Ах ты сукин...	ах сукин
Нет.	нет
Нерри.	нерри
Эта маленькая тралк!	этот маленький тралк
Айрин, мы не уверены, что это Чиана угнала твой Праулер.	айрин уверить это чиана угнать твой праулера
Но ведь он исчез, Крайтон.	но исчезнуть крайтон
Я не сразу заметил её вылет, в этот момент некоторые системы слежения были отключены.	я сразу заметить её вылет момент некоторый система слежение отключить
Она могла улететь на многие тысячи метрасов.	она мочь улететь многие тысяча метрас
Вот, что мы нашли в Ремонтном Отсеке. На нём следы крови Чианы.	вот найти ремонтный отсек на он след кровь чианы
- Что это? - Я думаю, это диск жизни.	что это я думать это диск жизнь
Их имплантируют некоторым видам.	они имплантировать некоторые вид
Они создают постоянную энергетическую связь между близкими существами.	они создавать постоянный энергетический связь близкие существо
- Но почему она его вынула? - Он не работает.	но почему вынуть он работать
Это значит, что тот, с кем Чиана была связана	это значит тот кто чиана связать
мёртв.	мёртвый
О, Боже. Она ведь хотела со мной поговорить, а я её отшил.	о бог она хотеть я поговорить её отшить
Ничего.	ничто
Ты бывала в местах и похуже.	ты бывать место худой
Кто здесь? Хватит прятаться!	кто здесь хватить прятаться
Покажись!	показаться
Какая милая никса.	какой милый никс
Давайте ее заберем.	давать забрать
Меня зовут Джон Крайтон, я - астронавт	я звать джон крайтон астронавт
столкнувшись с волной излучения, я попал в червоточину	столкнуться волна излучение попасть червоточина
и теперь я застрял на дальнем краю Вселенной, на корабле	застрять дальний край вселенная корабль
живом корабле, со странными формами жизни.	живой корабль странный форма жизнь
Помогите мне! Пожалуйста!	помочь я пожалуйста
Меня кто-нибудь слышит?	я ктонибыть слышать
За мной охотится безумный военачальник	за я охотиться безумный военачальник
я делаю всё, что могу	делать весь мочь
я просто ищу дорогу домой.	просто искать дорога домой
УХОД В СКАЛУ	уход в скал
Неужели вся эта планета покрыта могилами?	неужели весь этот планет покрыть могила
Это - Королевское планетарное кладбище.	это королевский планетарный кладбище
Ты никогда таких не видел?	ты такой видеть
Нет.	нет
Чиана!	чиана
А где вы хороните своих вождей на Зеле?	а хоронить свой вождь зеле
Зарываем в землю.	зарывать земля
Чиана!	чиана
Там же, где живут остальные? Отвратительно!	там же жить остальной отвратительный
