cleaned_text	lemm_text
ПОСЛЕДНЯЯ ФАНТАЗИЯ д у х и в н у т р и	последний фантазия далее х наш том р
<i>сон записан 13 декабря 2065 года</i>	iсон записать 13 декабрь 2065 годаi
Каждую ночь - один и тот же сон.	каждый ночь сон
Все та же незнакомая планета.	весь тот незнакомый планет
Но почему?	но почему
Что они пытаются мне сказать?	что пытаться сказать
Тридцать четыре года назад они прибыли на нашу планету.	тридцать четыре год назад прибыть наш планет
Люди, которые сумели уцелеть,	человек который суметь уцелеть
вынуждены жить внутри огражденных барьерами городов,	вынудить жить внутри оградить барьер город
и страх не оставляет их.	страх оставлять они
Я дала клятву положить конец этому страху.	я дать клятва положить конец это страх
Мне кажется, разгадка скрыта в моих снах.	я кажется разгадка скрытый мой сон
Вопрос только в том,	вопрос тот
успею ли я спасти Землю?	успеть спасти земля
<i>старый нью-йорк</i>	iстарый ньюйоркi
Где же ты?	где ты
Запретная зона!	запретный зона
Не двигаться!	не двигаться
Что она делает здесь, капитан?	что делать здесь капитан
Не знаю, но мы ее отсюда заберем.	не знать отсюда забрать
Вы пойдете с нами.	вы пойти мы
Сзади!	сзади
А ну, стоять!	а ну стоять
Черт!	черта
Вперед, ребята!	вперёд ребята
Два идут сквозь восточную стену.	два идти сквозь восточный стен
Сержант, не стреляйте - взорвется!	сержант стрелять взорваться
Райан, Нилл, быстрее!	райан нилла быстрый
Какого черта Вы здесь делаете!	какой черта вы делать
- Здесь есть нечто живое. - Здесь нет никакой жизни много лет.	здесь нечто живой здесь никакой жизнь год
Ну а теперь - есть.	ну есть
Есть или нет - Вы задержаны!	есть вы задержать
Прекрасно, арестуйте меня. Все равно я без него отсюда не уйду!	прекрасно арестовать я весь равно отсюда уйти
Придется повозиться.	прийтись повозиться
Капитан. Транспорт больше ждать не может.	капитан транспорт ждать мочь
Я понимаю.	я понимать
Он в плохой форме.	он плохой форма
Это что, мы рискуем жизнью ради вот этого кустика?	это что рисковать жизнь ради кустик
Это даже кустиком не назвать. Это вообще травинка.	это кустик назвать это вообще травинка
Травинка тоже сильно сказано.	травинка сильно сказать
Я извлеку его за одну минуту.	я извлечь один минута
Мисс. Как раз, этой минуты у нас и нет.	мисс как раз минута нет
Боюсь, он прав, мэм.	бояться право мэм
фАнтомы! Они уже рядом.	фантом они ряд
Капитан. Надо убираться отсюда.	капитан надо убираться отсюда
Вас понял, сержант.	вы понять сержант
Нельзя ли побыстрее?	нельзя быстрый
- Готово. - Капитан!	готовый капитан
Да, Нилл?	да нилла
Чисто для справки, я согласен срочно убраться отсюда!	чисто справка согласный срочно убраться отсюда
Разрешите?	разрешить
Мы окружены.	мы окружить
Нет, блин!	нет блин
Таак, ребята, спокойно.	таак ребята спокойно
Капитан, нам надо забраться повыше.	капитан мы забраться высокий
Все - наверх!	весь наверх
Пошли, пошли, пошли!	послать послать послать
Транспорт, запрашиваем немедленную эвакуацию!	транспорт запрашивать немедленный эвакуация
Вас понял.	вы понять
Сюда, наверх!	сюда наверх
Капитан!	капитан
- Они сзади! - Капитан, давай!	они сзади капитан давать
Держу!	дерзить
- Все нормально? - Ага.	весь нормальный ага
Так, внимание! Вот они.	так внимание вот они
Уух...	уух
Все нормально?	весь нормальный
- Ага. - Все будет хорошо.	ага весь хорошо
Назовите хотя бы одну причину, по которой не следует Вас арестовывать?	назвать хотя один причина который следовать вы арестовывать
Я - доктор Аки Росс. У меня есть допуск.	я доктор аки росс у допуск
Ограниченный. И он должен быть санкционирован.	ограниченный и должный санкционировать
Послушайте, капитан, у меня нет на это времени!	послушать капитан это время
Вы осознаете, что подвергали риску жизни моих ребят и мою жизнь?	вы осознать подвергать риска жизнь мой ребята мой жизнь
Дело в том, что оно того стоило -	дело тот оно стоить
и Вашей жизни и жизней Ваших ребят.	ваш жизнь жизнь ваш ребята
"- ""Вашей и Ваших ребят""? - Она думает, что ты парень."	ваш ваш ребята она думать парень
- По-моему, она - идиотка. - Но я-то знаю, что ты не парень.	помоему идиотка но ято знать парень
- По-моему, ты тоже идиот. - Очень смешно.	помоему идиот очень смешно
Я тоже хочу кое-что сказать.	я хотеть коечто сказать
Вы не задумывались о том,	вы задумываться тот
что мы не стали бы рисковать жизнью, если бы у нас был выбор?	стать рисковать жизнь выбор
Но вас никто не просил спасать меня!	но никто просить спасать я
Обалдеть! Ты совсем не изменилась.	обалдеть ты измениться
Грэй?	грэй
Ага. Я тоже рад тебя видеть.	ага я рад видеть
<i>барьер-сити № 42: город нью-йорк</i>	iбарьерсити № 42 город ньюйоркi
- С возвращением, капитан. - Мы не заражены.	с возвращение капитан мы заразить
- Давайте удостоверимся. - Ненавижу сканирование.	давать удостовериться ненавидеть сканирование
Сэр, эти сканеры для нас вреднее фантомов.	сэр сканер вредный фантом
"Никаких ""наверно"". Есть подозрение, что эти машины вызывают бесплодие."	никакой наверно есть подозрение машина вызывать бесплодие
А я вот надеюсь, что когда-нибудь мальчуган Нил-младший будет называть меня папкой.	а надеяться когданибудь мальчуган нилмладший называть папка
- Мысль пугающая. - Че ты все время дразнишься?	мысль пугать че время дразниться
Давайте займемся делом?	давать заняться дело
- Есть, сэр. - Есть, сэр.	есть сэр есть сэр
Хорошо. Следующий.	хорошо следующий
Да ты, похоже, отъелась!	да ты похоже отъесться
"Это называется ""развитое тело"". Заведи себе подружку."	это называться развитый тело завести подружка
Я как раз этим занят.	я это занятый
Мой уровень допуска позволяет обойтись без этого.	мой уровень допуск позволять обойтись это
Только не сегодня.	только сегодня
Что-то здесь не так.	чтоть так
С сегодняшним заданием? Или с этой женщиной?	с сегодняшний задание или женщина
- С тем и с другим. - Следующий.	с другой следующий
Послушайте, капитан, я считаю, что...	послушать капитан считать что
Меня не интересует, что Вы там считаете, доктор.	я интересовать вы считать доктор
Пройдете сканирование точно также, как и все остальные.	пройти сканирование точно также остальной
- Во, блин! - Капитан!	в блин капитан
- Они добрались до него! - Должно быть, ошибка.	они добраться он должный быть ошибка
Вы вступали в контакт с фантомами, сэр! Пожалуйста, сохраняйте спокойствие.	вы вступать контакт фантом сэр пожалуйста сохранять спокойствие
Включаю медицинский щит.	включать медицинский щит
- Какая у него стадия? - Синяя.	какой стадия синий
Через три с половиной минуты наступит красная!	через половина минута наступить красный
Мы должны немедленно его оперировать!	мы должный немедленно оперировать
Извините, это невозможно. Мы перевезем его в лечебный центр.	извинить это невозможно мы перевезти лечебный центр
Времени нет!	время нет
На стол его, быстро!	на стол он быстро
Держись, капитан!	держаться капитан
Веду поиск патогенна.	вести поиск патогенный
<i>Цель захвачена.</i>	iцель захваченаi
Господи! Посмотри на эту дрянь.	господь посмотреть дрянь
- Сколько осталось времени? - Недостаточно.	сколько остаться время недостаточно
Когда будет достигнута красная стадия,	когда достигнуть красный стадия
медицинский щит не сможет сдерживать инопланетные частицы.	медицинский щит смочь сдерживать инопланетный частица
Включаю биоэфирный лазер.	включать биоэфирный лазер
<i>Цель потеряна.</i>	iцель потерянаi
- Что происходит? - Куда она делась?	что происходить куда деться
- Что, черт подери, происходит? - Контакт утрачен. Заражение уходит вглубь.	что черта подрать происходить контакт утратить заражение уходить вглубь
- Веду поиск. - Нет времени.	вести поиск нет время
- Веду поиск. - Времени нет!	вести поиск время нет
Ты не спасешь его!	ты спасти он
Медицинский щит отказывает!	медицинский щит отказывать
Нашла.	найти
Ну, давай!..	ну давать
Все в порядке.	весь порядок
Не волнуйся. Ты быстро придешь в норму.	не волноваться ты быстро прийти норма
Эмм. Доктор. Мы должны просканировать Вас на предмет заражения.	эмма доктор мы должный просканировать вы предмет заражение
В этом нет необходимости.	в необходимость
Под мою ответственность.	под мой ответственность
Эй, док.	эй док
Спасибо, что спасли его.	спасибо спасти он
- Все нормально? - Да. Только военные арестовали мой корабль.	весь нормальный да только военный арестовать корабль
Что это за птица?	что это птица
И что у нее с капитаном?	и капитан
И че у нее с этим идиотским растением?	и че это идиотский растение
Чего?	что
Мне нужны все данные по фантомам и сведения обо всех пяти духах, которые уже найдены.	я нужный дать фантом сведение о пять дух который найти
Да, доктор.	да доктор
Духи? Я думала, мы не должны употреблять такое слово.	дух я думать должный употреблять такой слово
Не надо умничать.	не умничать
Давай посмотрим, что там с растением.	давать посмотреть растение
<i>Согласование</i>	iсогласованиеi
<i>Определение волновой структуры</i>	iопределение волновой структурыi
<i>Сопоставление волновой структуры</i>	iсопоставление волновой структурыi
<i>СООТВЕТСТВИЕ</i>	iсоответствиеi
Соответствует.	соответствовать
Мы нашли то, что надо.	мы найти то надо
Да. Это дух номер шесть.	да это дух номер шесть
Однако, сегодня ты ухитрилась нарушить практически все правила.	однако сегодня ухитриться нарушить практически правило
Вы полагаете, растение смогло бы продержаться за барьером?	вы полагать растение смочь продержаться барьер
Аки, ты ведь знаешь, в Совете и среди военных хватает таких,	аки знаешь совет среди военный хватать такой
что только и ждут повода нас прикрыть.	ждать повод прикрыть
Послушайте, а кто это двадцать лет назад обнаружил энергию в фантомах?	послушать это двадцать год назад обнаружить энергия фантом
Вы.	вы
А кто доказал, что такой же источник энергии существует внутри человека...	а доказать источник энергия существовать внутри человек
и любого другого живого существа?	любой другой живой существо
Тоже Вы.	тоже вы
Благодаря Вам появилась возможность использовать эту энергию в ово-паках,	благодаря вы появиться возможность использовать энергия овопак
сканерах и даже в барьерах.	сканер барьер
Совет об этом знает.	совет знать
Они доверяют Вам. Доктор, ведь мы так близки к доказательству.	они доверять вы доктор близкий доказательство
Но нам все еще не достает вот этой части. И вот этой.	но мы доставать часть и этот
Всего лишь! Всего две части - и мы решим загадку.	всего лишь всего два часть решить загадка
Для того, чтобы найти эти части, нам нужна свобода.	для тот найти часть мы нужный свобода
Я хочу тебе кое-что показать, Аки.	я хотеть ты коечто показать аки
- Что это? - Читай.	что это читать
"""Всякая жизнь есть порождение Геи, и всякая жизнь наделена духом."	всякая жизнь порождение гея всякая жизнь наделить дух
"Каждый новый дух помещается в материальное дело..."" Доктор?.."	каждый новый дух помещаться материальный дело доктор
Читай дальше.	читать далёкий
"""Через опыт, получаемый на Земле, каждый дух взрослеет и растет."	через опыт получать земля каждый дух взрослеть расти
После смерти материального тела,	после смерть материальный тело
зрелый дух, обогащенный опытом жизни на Земле,	зрелый дух обогатить опыт жизнь земля
возвращается в Гею,	возвращаться гея
принося с собой свой опыт,	приносить себя свой опыт
"позволяя Гее жить и развиваться""."	позволять гея жить развиваться
Это мой старый дневник.	это старый дневник
Написано сорок три года назад, когда мне было столько же, сколько тебе сейчас.	написать сорок год назад столько же сколько ты сейчас
Доктор Сид!	доктор сид
Помнишь, что случилось с Галилеем?	помнить случиться галилей
Он сказал, что Земля не является центром Вселенной, и его бросили в тюрьму.	он сказать земля являться центр вселенная бросить тюрьма
То же самое грозит и нам.	то самый грозить мы
Наши идеи непопулярны, Аки.	наш идея непопулярный аки
Если у тебя есть заметки или записи,	если заметка запись
которые можно использовать против тебя -	который использовать против
уничтожь их... Храни все здесь.	уничтожить они хранить здесь
Хорошо.	хорошо
И держись подальше от своего друга-капитана.	и держаться далёкий свой другакапитан
Он спас тебя, ты спасла его,	он спасти ты спасти он
и - понеслась...	понестись
Знаешь, я тоже когда-то был молод.	знаешь когдато молодой
Доктор, идет война.	доктор идти война
На войне не бывает молодых.	на война бывать молодая
Леди и джентльмены, члены Совета,	леди джентльмен член совет
не могли бы вы пояснить почему?..	мочь пояснить почему
"Создание ""Зевса"" завершено месяц назад!"	создание зевс завершить месяц назад
"Если мы ударим из ""Зевса"" по метеору,"	если ударить зевс метеор
фантомы будут уничтожены прямо в зародыше!	фантом быть уничтожить прямо зародыш
Генерал Хайн, сохраняйте спокойствие.	генерал хайн сохранять спокойствие
На прошлом заседании шестью голосами против двух...	на прошлое заседание шестью голос против два
"Совет отложил применение пушки ""Зевс"" по метеору Излеонид."	совет отложить применение пушка зевс метеор излеонид
Но сегодня мы снова собрались для голосования именно по этому поводу.	но сегодня снова собраться голосование именно это повод
Итак, предлагаю дать слово директору биоэфирного центра.	итак предлагать дать слово директор биоэфирный центр
Доктор Сид, прошу.	доктор сид просить
Благодарю Вас.	благодарить вы
Как известно,	как известно
гнездо фантомов находится в метеоре Излеонид, упавшем на Землю 34 года назад.	гнездо фантом находиться метеор излеонид упасть земля 34 год назад
Сейчас вы видите...	сейчас видеть
записи всех попыток нанесения ударов по метеору.	запись попытка нанесение удар метеор
Физические атаки не дали абсолютно никакого результата.	физический атака дать абсолютно никакой результат
Вот это было снято три месяца назад во время мощнейшей бомбардировки.	вот это снятой месяц назад время мощный бомбардировка
