cleaned_text	lemm_text
Чарли!	чарли
- Энди! - Папа, что случилось?	энди папа случиться
- Нам надо уходить. - Где мама?	мы уходить где мама
Возьми Чарли.	взять чарли
- Мамочка! - Бежим.	мамочка бежать
Погоди, я сейчас закончу.	погодить закончить
- Где тут кофе продают, братишка? - В больнице есть кафе.	где кофе продавать братишка в больница кафе
Кофе пахнет пластырями.	кофе пахнуть пластырь
Я люблю запах пластырей.	я любить запах пластырь
Пойдем?	пойти
- И не спросишь о его самочувствии? - Как он себя чувствует?	и спросить самочувствие как чувствовать
А самому зайти и все узнать - никак?	а самый зайти узнать никак
- Я опаздываю. Подвезти тебя? - Я не еду. Пообещал побыть с отцом.	я опаздывать подвезти ты я еда пообещать побыть отец
Какие мы обязательные!	какой обязательный
"- Он передал это тебе. - Скажи ему ""Спасибо, не надо""."	он передать это ты сказать спасибо надо
Возврату не подлежит!	возврат подлежать
- Есть жертвы по моей части? - Да, Мэри Конант.	есть жертва мой часть да мэри конант
Что-то новенькое. Поздравляем Мэри Конант, она выиграла групповой иск.	чтоть новенький поздравлять мэри конант выиграть групповой иск
Еще одно дело и закончим с западным регионом.	ещё один дело закончить западный регион
- Еще два. Это самое важное. - Я его уже дважды закрывал.	ещё два это самый важный я дважды закрывать
Джоел хочет, чтобы ты еще разок над ним поработал.	джоесть хотеть разок поработать
Она мертва. Ты ему это докладывал?	она мёртвый ты это докладывать
Начальству докладывают только то, что они хотят слышать.	начальство докладывать то хотеть слышать
Делай, что говорят, и не забудь заполнять карточку рабочих часов.	делать говорят забыть заполнять карточка рабочий часы
РАССЛЕДОВАНИЕ. ЧАРЛИН МАКГИ.	расследование чарлин макг
МИЛЛИНГТОН КОЛЛЕДЖ. ФАКУЛЬТЕТ ПСИХОЛОГИИ	миллингтон колледж факультет психология
Доброе утро, Томми.	добрый утро томми
Ой, Сара.	ой сара
Извини. Я нашла что-то страшно интересное.	извинить я найти чтоть страшно интересный
Вот как? Можно взглянуть?	вот как можно взглянуть
Покажи!	показать
Цинк: История вертикальной плавки реторты в Америке.	цинк история вертикальный плавка реторта америка
Захватывающее чтение.	захватывать чтение
Не оторвешься.	не оторваться
- Где ты это взяла? - Кто-то оставил на столе.	где это взять ктоть оставить стол
Докторские диссертации, те, что не опубликованы находятся?	докторский диссертация тот опубликовать находиться
- Ты уже неделю здесь работаешь. - В морге. Я отнесу.	ты неделя работать в морг я отнести
Спасибо, дорогуша.	спасибо дорогуша
- Джоэль, у вас найдется минутка? - Заходи, Винсент.	джоэль найтись минутка заходить винсент
- Как с западом дела? - Последние имена расследуем.	как запад дело последний имя расследовать
Хорошо. К концу недели у меня должны быть адреса этих людей.	хорошо к конец неделя должный адрес этот человек
Я как раз по этому поводу. Мне вернули файл Чарлин Макги.	я это повод я вернуть файл чарлин макг
- Я его вернул. - Я выяснял это дело дважды.	я вернуть я выяснять это дело дважды
- В 1989 был взрыв... - И тел не нашли.	в 1989 взрыв и тело найти
По данным коронера, пожар был таким сильным, что и даже зубы не уцелели.	по данные коронер пожар такой сильный зуб уцелеть
Работа замедлится, если мы станем разыскивать труп.	работа замедлиться стать разыскивать труп
Начальник нашего НИИ попросил нас еще разок над этим поработать.	начальник наш нии попросить разок это поработать
При чем здесь НИИ и судебный иск?	при нии судебный иск
- Ни при чем. - Тогда зачем?	ни чем тогда зачем
Слушай...	слушай
Я плачу тебе, чтобы ты нашел этих людей, с трудом или без.	я плач ты найти этот человек труд без
Так найди же ее.	так найти она
- Закрой дверь с обратной стороны. - Да, сэр.	закрыть дверь обратный сторона да сэр
- Вы напугали меня. - Я еще кое-что нашла.	вы напугать я я коечто найти
Сколько можно просить, чтобы бумаги относили на место!	сколько просить бумага относить место
МИЛЛИНГТОН КОЛЛЕДЖ. ФАКУЛЬТЕТ ПСИХОЛОГИИ	миллингтон колледж факультет психология
РАССЛЕДОВАНИЕ. ДЖЕЙМС РИЧАРДСОН	расследование джеймс ричардсон
РАБОТОДАТЕЛЬ: МИЛЛИНГТОН КОЛЛЕДЖ	работодатель миллингтон колледж
- Ну, как, пошло дело? - Да я это готов бесплатно делать.	ну как пошло дело да это готовый бесплатно делать
Джеймс Ричардсон?	джеймс ричардсон
Пенсию он получает в Миллингтон Колледже, но его адреса у них нет.	пенсия получать миллингтон колледж адрес нет
- Как же он тогда деньги получает? - Сам приходит за чеком.	как деньга получать сам приходить чек
Дело попахивает паранойей.	дело попахивать паранойя
Так что можно поставить людей у бухгалтерии и подкараулить его.	так поставить человек бухгалтерия подкараулить он
Да, но мне надо закрывать дело Конант.	да закрывать дело конант
У меня нет времени на это. Ты иди.	у время это ты идти
Как так? Я разыскиваю его. Я не уполномочен подписывать чек.	как так я разыскивать он я уполномочить подписывать чек
Но ты пока не нашел его, так? Туда всего два часа езды.	но пока найти он так туда час езда
Похоже, меня сегодня в козлы отпущения записали. Уговорил.	похоже сегодня козёл отпущение записать уговорить
Джоэль все не отстает от тебя насчет Макги, да?	джоэль отставать насчёт макг да
Получит он свою Макги.	получить макг
Главное на раскопки лопату захватить не забудьте. Пока.	главный раскопка лопата захватить забыть пока
Поверить не могу, что ты это сделал. Какая глупость!	поверить мочь это сделать какой глупость
Значит, я глупый?	значит глупый
Но мне нравятся глупые.	но нравиться глупый
- В чем дело? - Мне надо книгу на полку положить.	в дело я книга полка положить
Видел, как она уставилась?	видеть уставиться
Боже!	бог
"Меня зовут Винсент Сфорца, я из корпорации ""Системз Оперейшнз""."	я звать винсент сфорец корпорация системза оперейшнза
По нашим данным, в 1979 году Джеймс Ричардсон участвовал в эксперименте.	по наш данные 1979 год джеймс ричардсон участвовать эксперимент
В связи с этим произошел судебный процесс,	в связь это произойти судебный процесс
и ему причитается весьма крупная выплата.	причитаться весьма крупный выплата
Оставьте ему записку, мы передадим, когда он придет за чеком.	оставить записка передать прийти чек
А номер его телефона вы не могли бы дать?	а номер телефон мочь дать
У нас его нет, а если б даже и был... Позвоните в справочное.	у нет б быть позвонить справочный
Я им уже звонил.	я звонить
Как часто он приходит сюда?	как часто приходить сюда
Бывает, что он целый год не заходит за чеком.	бывать целый год заходить чек
А бывает, а по три раза в день заскакивает - его не поймешь.	а бывать раз день заскакивать понять
Вы поддерживаете отношения с другими участниками программы?	вы поддерживать отношение другой участник программа
- Может, они знают, как его найти? - Нет, но если вам нужны их имена,	мочь знать найти нет нужный имя
вы можете обратиться в архив. У них наверняка есть все данные.	мочь обратиться архив у наверняка дать
Спасибо за совет. А где они находятся?	спасибо совет а находиться
- Ой, простите. - Извините.	ой простить извинить
"Архив мы прозвали ""моргом""."	архив прозвать морг
Это его неформальное название.	это неформальный название
Конечно, ведь морг - это где трупы лежат.	конечно морг это труп лежать
Большинство этих документов проклассифицированы.	большинство этот документ проклассифицировать
Их открыли для общего пользования всего год назад.	они открыть общий пользование год назад
В каталог они пока не включены. У нас слишком маленький штат.	в каталог пока включить у слишком маленький штат
Библиотечное дело нынче не в моде у студентов.	библиотечный дело нынче мода студент
- Да уж. - И Миллитнгтон не исключение.	да уж и миллитнгтон исключение
Библиотекарей не хватает по всей стране.	библиотекарь хватать весь страна
- Вот ведь беда, какая! - Нам сюда.	вот беда какой мы сюда
Потрясающе!	потрясающе
Посмотрим, что тут у нас.	посмотреть мы
"""Шестой из серии тестов 1979 года, в Лоте 6 участвовало 12 студентов"	шесть серия тест 1979 год лот 6 участвовать 12 студент
"возрастом от..."""	возраст от
Так, это все ерунда. Поконкретнее бы...	так это ерунда конкретный бы
"""В результате выявлен немедленный и поддающийся проверке рост..."""	в результат выявить немедленный поддаваться проверка рост
Возможностей работы мозга?	возможность работа мозг
"""Положительные результаты Лота 6 омрачены побочными эффектами."""	положительный результат лот 6 омрачить побочный эффект
"""Один субъект умер во время теста от нанесенных себе ран""."	один субъект умереть время тест нанести рана
"""У шести выживших развились серьезные психические заболевания,"	у шесть выжить развиться серьёзный психический заболевание
"за два года трое лиц покончили жизнь самоубийством""."	год трое лицо покончить жизнь самоубийство
Откуда ты взялась такая?	откуда взяться такой
- Мне надо идти. - Что?	я идти что
Постой! Ты не можешь завести меня так, а потом взять и свалить!	постоять ты мочь завести так взять свалить
Стой, тебе говорят.	стоять ты говорят
Сука!	сук
- Останови это! - Я не хочу.	остановить это я хотеть
Ты должна остановить это.	ты должный остановить это
Я не могу.	я мочь
- Винсент на проводе. - Я получил твой пакет.	винсент провод я получить твой пакет
- Привет, братишка. - Откуда у тебя эта пленка?	привет братишка откуда этот плёнка
Из библиотеки Миллингтона. Не на чем было ее посмотреть.	из библиотека миллингтон не посмотреть
Можешь мне ее перегнать?	мочь перегнать
- Фильм уже у тебя. Проверь почту. - Ты - компьютерный гений.	фильм ты проверить почта ты компьютерный гений
Я сейчас.	я сейчас
- Не вешай трубку. - Что это за фигня?	не вешать трубка что это фигня
Я не знаю. Я ведь еще не смотрел.	я знать я смотреть
Ты ее законным образом получил, верно?	ты законный образ получить верно
- Законным, законным? А что? - Сам сейчас увидишь.	законный законный а что сам увидеть
Что это такое?	что это такой
- Объясни, что там происходит? - Да не знаю я.	объяснить происходить да знать я
Похоже на эксперимент.	похоже эксперимент
- Ничего себе! - Ты дальше смотри.	ничто себя ты далёкий смотреть
Доктор.	доктор
Предупреждай в следующий раз, когда пришлешь что-нибудь подобное.	предупреждать следующий раз прислать чтонибыть подобный
- Я перезвоню тебе. - Пока.	я перезвонить ты пока
ЛОТ 6 ИСПЫТАНИЯ	лот 6 испытание
Ничего страшного. Все в порядке.	ничто страшный весь порядок
Конечно. Договорились. До свидания.	конечно договориться до свидание
- Из морга пропали документы. - Какие именно?	из морг пропасть документ какой именно
- Пока точно не знаю. Кто там был? - Вон список посетителей...	пока точно знать кто быть вон список посетитель
Джозеф всю свою жизнь посвятил науке.	джозеф жизнь посвятить наука
А как отреагировал университет? Опозорил его.	а отреагировать университет опозорить он
Миссис Ванлесс, многие забыли, что времена уже не те.	миссис ванлёсс многие забыть время тот
Да. Советские ученые совершили настоящий прорыв в этой области.	да советский учёный совершить настоящий прорыв область
Программа Лот 6 была реальным шансом сократить этот пробел.	программа лот 6 реальный шанс сократить пробел
- Что испытали? - Дилизергиновую триединую кислоту.	что испытать дилизергиновый триединый кислота
Одно из новых исследуемых психотропных средств.	один новый исследовать психотропный средство
Название остальных не припомню.	название остальной припомнить
Однако, Джозеф считал, что Лот 6 был настоящим прорывом.	однако джозеф считать лот 6 настоящее прорыв
Он страшно переживал за людей, которые участвовали в испытании,	он страшно переживать человек который участвовать испытание
однако, наука, как известно, требует жертв.	однако наука известно требовать жертва
Доктор Ванлесс вел личные записи этого исследования?	доктор ванлёсс вести личный запись исследование
Конечно. Пойдемте, я вам покажу.	конечно пойти показать
Я сохранила здесь все так, как было при нем.	я сохранить так немой
Он вел последующие наблюдения за программой Лот 6?	он вести последующий наблюдение программа лот 6
Лот 6, это здесь.	лот 6 это здесь
Здесь то, что вы ищете.	здесь то искать
- Вы позволите? - Конечно.	вы позволить конечно
"""Наблюдение за 4-мя субъектами, не продемонстрировавшими"	наблюдение 4мя субъект продемонстрировать
"ярко выраженной отрицательной реакции""."	ярко выразить отрицательный реакция
"""Мэри Конант, Андрю Макги, Джеймс Ричардсон и Викки Томилсон""."	мэри конант андрю макг джеймс ричардсон викки томилсон
"""Неожиданно, Макги и Томилсон поженились"	неожиданно макг томилсон пожениться
"и в 1980 году у них родилась дочь, Чарлин Макги""."	1980 год родиться дочь чарлин макг
Чарлин не участвовала в первом исследовании?	чарлин участвовать первое исследование
