cleaned_text	lemm_text
{\a7}ПЕРЕВОД M A G I S T R Таллин	a7перевод m a g i s t r таллин
<i>Ты и правда хочешь всё бросить?	iты правда хотеть весь бросить
<i> Почему ты всё делаешь только наполовину?	i почему весь делать наполовину
<i> Такие как ты не имеют права держать в руках камеру!	i такой иметь право держать рука камера
<i> Этот старикан - подонок...	i этот старикан подонок
<i>...но ты, брат, ещё хуже...	iно ты брат ещё худой
<i> Позвольте мне вновь снимать!	i позволить вновь снимать
<i> Найди ему самую грязную работу.	i найти самый грязный работа
"<i> ""Бросить всё"" - может лишь тот, кто выложился на 100%!"	i бросить весь лишь тот выложиться 100
Ой!	ой
Ты что в такую рань поднялся?!	ты такой рань подняться
Не спиться... Это всё нервы!	не спиться это весь нерв
Какие нервы? Не парь меня!	какой нерв не парить я
Нет... На сей раз, всё серьёзно!	нет на сеять раз весь серьёзно
С чего это ты гимнастикой занялся?	с это гимнастика заняться
Потому что работа требует силы и выносливости!	потому работа требовать сила выносливость
Совсем дурной, да...?!	совсем дурной да
Работа требует коммуникабельности!	работа требовать коммуникабельность
Я в этом не уверен.	я уверенный
Неважно... Мне надо выложиться на 100%!	неважно я выложиться 100
Сила при нашей работе только помеха...	сила наш работа помеха
...главное найти подход к людям!	главный найти подход человек
Ой, щекотно...! Прекрати!	ой щекотно прекратить
<b>ЗАТКНИТЕСЬ ВСЕ !!!	bзаткнуться весь
Неужели так трудно не орать с утра пораньше?!	неужели трудно орать утро ранний
Итсуру, а ты как думаешь?	итсура думать
Наша работа требует силы?	наш работа требовать сила
Нет, главное коммуникабельность!	нет главный коммуникабельность
А разве дело не в способностях?	а дело способность
Вот например я, преуспел на своей работе, быстрее вас обоих!	вот например я преуспеть свой работа быстрый оба
Значит всё дело в способностях!	значит весь дело способность
Какое отвратительное ржание!	какой отвратительный ржание
Уж извини, что мой смех тебе не по душе!	уж извинить смех ты душа
На вид вроде здоровые мужики, а ведёте себя как малые дети! Кто вам сказал что на работе нужна сила, общение и способности?!	на вид вроде здоровый мужик вести малое ребёнок кто сказать работа нужный сила общение способность
Хорошо тогда, просвети нас, тёмных...	хорошо тогда просветить мы тёмный
Удача, конечно! Без неё у вас ничего не получится!	удача конечно без она получиться
И это говорит тот, кто никогда не работал.	и это говорить тот работать
Уж кто тут ребёнок, так это она! Неужели ты думаешь, что удача поможет тебе заработать!	уж ребёнок это она неужели думать удача помочь ты заработать
Тогда и работать не интересно!	тогда работать интересно
Хватит, Мио.	хватить мио
Только такие работяги как мы, способны понять, как трудно сортировать снимки, настраивать камеру, искать людей в массовку!	только такой работяга мы способный понять трудно сортировать снимка настраивать камера искать человек массовка
В этом мире удача ничего не решает!	в мир удача решать
Тогда я проверю это на себе! И мы увидим кто из нас прав...	тогда проверить это себя и увидеть право
Ты это о чём...?	ты это что
О работе...	о работа
Где?	где
Как это, где...?	как это где
...у братика в студии!	у братик студия
...в студии?	в студия
<b>ЧТО?!	bчто
Не ты ли говорил, что вам нужны люди в массовку?	не говорить нужный человек массовка
Я согласна поработать!	я согласный поработать
Нет, Мио... Это невозможно!	нет мио это невозможно
В массовке нелегко работать...	в массовка нелегко работать
А кто мне говорил не быть привередливой?	а говорить привередливый
Ах... Да!	ах да
Это же вредно для твоего здоровья!	это вредный твой здоровье
Не дай бог, что случится!	не дать бог случиться
А если Такаги-сенсей это одобрит, ты согласишься?	а такагисенсь это одобрить согласиться
Подработка?	подработка
