cleaned_text	lemm_text
"Телевизионный Сериал ""Молния"" Сезон 1 Серия 22 ""Суд Трикстера"" Субтитры: DiMENSiON [tvsubtitles.net] Перевод: dima360 [notabenoid.com]"	телевизионный сериал молния сезон 1 серия 22 суд трикстер субтитр dimension tvsubtitlesnet перевод dima360 notabenoidcom
"""Вы нутром чувствуете, что он сумасшедший""."	вы нутро чувствовать сумасшедший
Распродажа футболок Трикстера. Покупайте футболки Трикстера.	распродажа футболка трикстер покупать футболка трикстер
Придите и наденьте кусочек самого остроумного, скандального...	прийти надеть кусочек самый остроумный скандальный
...сенсационного суда Централ Сити. Суда Трикстера.	сенсационный суд централ сити суд трикстер
Покупайте футболки Трикстера прямо сейчас. Эксклюзивное издание.	покупать футболка трикстер прямо сейчас эксклюзивный издание
Докажите своим внукам, что Вы были частью этого невероятного события.	доказать свой внук вы частью невероятный событие
Впустите меня! Вы должны впустить меня. У меня есть доказательство для защиты!	впустить я вы должный впустить я у доказательство защита
Этот город совершенно сошел с ума.	этот город совершенно сойти ум
Я пробовал цветы. Возможно, мне следует попробовать что-нибудь еще.	я пробовать цвета возможно следовать попробовать чтонибыть ещё
Куда ни пойдешь, услышишь о Трикстере.	куда пойти услышать трикстер
Сабрина жалуется на то, что я все время работаю. Поэтому мы вышли в свет, так?	сабрина жаловаться то время работать поэтому выйти свет так
Налетели на бывшую подружку, теперь она думает, что я изменяю.	налететь бывший подружка думать изменять
Сегодня начинается суд Джеймса Монтгомери Джеси.	сегодня начинаться суд джеймс монтгомери джеси
Расщепленной личности, разыскивавшейся за убийство...	расщепить личность разыскиваться убийство
...Джеси выбрал имидж ряженого психопата...	джеси выбрать имидж ряженый психопат
...так же известного, как Трикстер. Дни его яростной неразберихи в Централ Сити...	так известный трикстер день яростный неразбериха централ сити
...подошли к концу благодаря женщине частному детективу Меган Локхарт.	подойти конец благодаря женщина частное детектив мегана локхарт
Не покупайте подделки, леди и джентльмены.	не покупать подделка леди джентльмен
Я подлинный товар.	я подлинный товар
Я заставлю этот город очень пожалеть о том, что он когда-либо мне препятствовал.	я заставить город очень пожалеть тот когдалибо препятствовать
Ну, Бэрри Аллен.	ну бэрри аллен
Я заставлю заплатить и тебя тоже, Аллен.	я заставить заплатить тоже аллен
Тебя и твою маленькую привлекательную подружку, Меган Локхарт.	ты твой маленькая привлекательный подружка мегана локхарт
А Молния, большой красный уродец...	а молния большой красный уродец
...он заплатит в 10 раз больше...	он заплатить 10 большой
...потому, что никто не перехитрит Трикстера.	потому никто перехитрить трикстер
Никто!	никто
В прошлый раз, когда мы были на таком дежурстве, это было на том концерте, на Хрустальном Пляже.	в прошлый раз такой дежурство это концерт хрустальный пляж
Без дураков. Я слышал, что там спекулировали на продаже билетов на места снаружи.	без дурак я слышать спекулировать продажа билет место снаружи
Они мне подходят. Я предпочел бы быть во многих местах.	они подходить я предпочесть многий место
Не волнуйся, Трикстер никоим образом не уйдет.	не волноваться трикстер никой образ уйти
Я не так уверен. Его защищает опытный адвокат, Дениз Кован.	я уверенный он защищать опытный адвокат дениз кованый
Кован? Это не она добилась признания невиновным в убийстве того парня с Уолл-Стрит?	кованый это добиться признание невиновный убийство парень уоллстрит
- А у них были видеозаписи того, как он это делал. - Ну, я рад, что у меня места на первом ряду.	а видеозапись тот это делать ну рад место первое ряд
Ну, по крайней мере, Меган вернется в город.	ну крайний мера мегана вернуться город
Я просто хочу дать показания и убраться отсюда.	я просто хотеть дать показание убраться отсюда
- Я не думаю, что это будет так просто, мужик. - Бэрри Аллен.	я думать это просто мужик бэрри аллен
Вы были почти утоплены Трикстером из-за Вашей связи...	вы утопить трикстер изз ваш связь
...с частным детективом Меган Локхарт. Какие-нибудь комментарии?	с частное детектив мегана локхарт какиенибудь комментарий
- Нет. - Вы будете стоять на пути...	нет вы быть стоять путь
...журналистского расследования, права людей на то, чтобы знать?	журналистский расследование право человек то знать
- Это не по-американски. - Клейн, меня от Вас тошнит.	это поамерикански клейн вы тошнить
Эй, Бэр, если ты не поведаешь ему свою сторону вещей...	эй бэр поведать сторона вещий
...Клейн сам вставит слова в твой рот. Это - самозащита.	клейн вставить слово твой рота это самозащита
Да, ладно тебе, Бэр.	да ладный ты бэр
Ну, все это назрело на складе театра.	ну это назреть склад театр
- Где Джеси вырубил меня... - Забудьте про него. А вот и она!	где джеси вырубить я забыть он а она
Меган Локхарт.	мегана локхарт
Детектив, ответственный за привлечение Трикстера к суду. Она была похищена...	детектив ответственный привлечение трикстер суд она похитить
...и была вынуждена носить костюм воображаемой подружки Трикстера, Прэнк.	и вынудить носить костюм воображать подружка трикстер прэнк
Каково это быть женщиной, которая украла сердце Трикстера?	каков это женщина который украсть сердце трикстер
Я ничего не крала.	я красть
Я просто продолжала носить дурацкую подарочную упаковку. И я помогла разобраться с Джеси...	я просто продолжать носить дурацкий подарочный упаковка и помочь разобраться джеси
Должно же было быть что-то, что заставило Трикстера так возбудиться.	должный чтоть заставить трикстер возбудиться
- Насколько далеко Вы зашли, чтобы заполучить своего мужчину? - Вы, должно быть, шутите.	насколько далеко вы заслать заполучить свой мужчина вы должный быть шутить
Я никогда не шучу, детка.	я шутить детка
Послушайте, я постараюсь объять Вас всех, ладно?	послушать постараться объять вы весь ладный
- Думаешь, что ты сможешь объять меня? - Становись в очередь, приятель.	думать смочь объять я становиться очередь приятель
Меган.	мегана
Бэрри. Привет!	бэрри привет
- Ты замечательно выглядишь. Я не видел тебя с тех пор... - О, снова мой секретарь.	ты замечательный выглядеть я видеть тот пора о снова секретарь
- Теперь у тебя есть секретарь? - Это было безумием...	теперь секретарь это безумие
...с тех пор, как мы арестовали Трикстера. От клиентов отбою не было.	с тот пора арестовать трикстер от клиент отбой быть
Именно поэтому я не писала в последнее время, и мне очень жаль.	именно поэтому писать последний время очень жаль
Это воссоединение не может взять пятиминутный перерыв, потому что у нас крайний срок.	это воссоединение взять пятиминутный перерыв крайний срок
- Спасибо. - Позже, парни.	спасибо поздний парень
У нас будет время для фотографий и заявлений после слушания.	у время фотография заявление слушание
- Послушайте, просто отой... Меган... - Увидимся внутри.	послушать просто отой мегана увидеться внутри
Как это дело будет развиваться?	как это дело развиваться
Не совсем такое воссоединение, каким я его себе представлял.	не такой воссоединение какой представлять
Вы должны... Вы должны впустить меня.	вы должный вы должный впустить я
Вам просто придется. Я вынашиваю ребенка Трикстера.	вы просто прийтись я вынашивать ребёнок трикстер
Вам просто придется вынашивать его там, откуда Вы пришли, леди.	вы просто прийтись вынашивать там откуда вы прислать леди
Вы называете это судом?	вы называть это суд
"Это не что иное, как суд ""кенгуру"" без прыгающего, пушистого парня."	это иной суд кенгуру прыгать пушистый парень
- К порядку, к порядку! - Если бы я был позади скамьи, возможно...	к порядок порядок если позади скамья возможно
Джеси, пожалуйста!	джеси пожалуйста
Мисс Кован, если Вы не можете контролировать Вашего клиента...	мисс кованый вы мочь контролировать ваш клиент
- ...то я его усмирю. - Усмирите?	то усмирить усмирить
А как Вы называете это, украшениями для костюма?	а вы называть это украшение костюм
Джеси, заткнитесь!	джеси заткнуться
Достаточно того, что Вы настаиваете на ношении этого нелепого наряда в суде.	достаточно тот вы настаивать ношение нелепый наряд суд
Не портьте все нам обоим.	не портить мы оба
Что, и разочаровать моих преданных фанатов?	что разочаровать мой предать фанат
У Вас нет преданных фанатов. Единственный человек, находящийся на Вашей стороне, это я!	у вы предать фанат единственный человек находиться ваш сторона это я
И это начинает выглядеть, как очень дурная карьерная атмосфера.	и это начинать выглядеть очень дурной карьерный атмосфера
Ваша Честь, защита требует передачи дела в другой суд.	ваш честь защита требовать передача дело суд
- Вы с ума сошли? - Я не вижу никаких возможностей того, что мой клиент...	вы ум сойти я видеть никакой возможность тот клиент
- ...сможет добиться справедливого суда в Централ Сити. - Покинуть Централ Сити?	смочь добиться справедливый суд централ сити покинуть централ сити
Вы сумасшедшая. Я обожаю этот город.	вы сумасшедший я обожать город
- А он обожает меня. Посмотрите, что я сделал для него. - Ваша Честь.	а обожать я посмотреть сделать он ваш честь
Ну, все. Вы проявляете неуважение к этому суду.	ну весь вы проявлять неуважение это суд
Нет! Я скажу Вам, кто проявляет неуважение. Этот зал суда проявляет неуважение.	нет я сказать вы проявлять неуважение этот зал суд проявлять неуважение
Вся судебная система проявляет неуважение.	весь судебный система проявлять неуважение
Северная Америка, суша, проявляет неуважение.	северный америка сушить проявлять неуважение
Джеси, держи себя в руках! Ты теряешь над собой контроль!	джеси держать рука ты терять себя контроль
Я совершенно вменяем.	я совершенно вменяемый
Я Трикстер.	я трикстер
А ты!	а ты
Претворялась, что ты Прэнк, в то время, как ты не была моей преданной подругой.	претворяться прэнк время мой предать подруга
Пристав!	пристать
Это все - твоя вина!	это твой вино
Ты становишься занудным, Джеси.	ты становиться занудный джеси
И мне скучно до смерти.	и скучно смерть
Меган атаковала Трикстера. Он повержен.	мегана атаковать трикстер он поверженный
Раз я не могу добиться полной тишины, я очищу этот зал суда.	раз мочь добиться полный тишина очистить зал суд
Я не приму залог, ожидая заключения психиатра.	я принять залог ожидать заключение психиатр
Это заседание прерывается до 9-ти часов утра. В понедельник.	это заседание прерываться 9ти часы утро в понедельник
- Уведите его отсюда! - Несколько вопросов для людей снаружи...	увести отсюда несколько вопрос человек снаружи
- Простите, не сейчас. Простите. - Он слишком хорош для тебя, проститутка!	простить сейчас простить он слишком хороший ты проститутка
- Нет, не сейчас, правда. - Меган!	нет сейчас правда мегана
С Джеси под стражей и с Меган в городе никто больше не говорит о Молнии.	с джеси стража мегана город никто говорить молния
Я не уверен, что мне это нравится.	я уверенный это нравиться
- Джо Клейн убил бы за интервью. - Я не настолько хочу внимания.	джо клейн убить интервью я настолько хотеть внимание
- Вы хотите еще? - Нет. Спасибо.	вы хотеть ещё нет спасибо
