cleaned_text	lemm_text
Как насчёт этой, мама?	как насчёт этот мама
Отлично, но нам нужна не выше девяти футов.	отлично мы нужный выше девять фут
Двенадцатифутовая, мадам. Вы не найдете дерева красивее, чем это.	двенадцатифутовый мадам вы найти дерево красивый это
Спасибо, но у на не высокий потолок.	спасибо высокий потолок
Здесь есть и другие.	здесь другой
Как мы повезем елку на машине?	как повезти ёлка машина
Я не знаю.	я знать
Мам, я думаю надо позвонить папе.	мама думать позвонить папа
- Привет,Клер. - Почему?	приветклер почему
Чтобы он пришел и положил елку на верх машины.	чтобы прийти положить ёлка верх машина
Нет, Джес, мы это сделаем.	нет джес это сделать
У нас не получится. Она тяжелая, мам.	у получиться она тяжёлый мама
Нет, я слушаю.	нет слушать
Прекрати говорить о нем. Меня это огорчает.	прекратить говорить немой я это огорчать
Я знаю что мы выбрали матовый цвет для ванны.	я знать выбрать матовый цвета ванна
Я думала, ты уехала на Таити.	я думать уехать таити
Я не поехала. У Генри встреча в Китае.	я поехать у генри встреча китай
Как быстро ты сможешь приехать сюда?	как быстро смочь приехать сюда
Ты такая умница, что приехала, Джеки,...	ты такой умница приехать джеки
...но маляры уже уехали.	но маляр уехать
А у меня эта дегустация...	а этот дегустация
- Привет дети. - Привет.	привет ребёнок привет
...с поставщиком продуктов для Рождественского праздника Генри.	с поставщик продукт рождественский праздник генри
Мне очень жаль.	я очень жаль
Я позвоню тебе завтра.	я позвонить ты завтра
Окей.	окей
Мы потратили полчаса, чтобы добраться сюда.	мы потратить полчаса добраться сюда
Я знаю, милый.	я знать милый
Ты должна уволить её.	ты должный уволить её
Я не могу её уволить. Она мой клиент.	я мочь её уволить она клиент
Так, всё равно её уволь.	так весь равно её уволить
Нет. Она мой босс. Это невозможно.	нет она босс это невозможно
Давай, милая.	давать милый
Подвинься , мам. Осторожней.	подвинуться мама осторожный
- Мам... - Да. я в порядке.	мама да порядок
Возьми это, Уилл.	взять это уилла
Ладно.	ладный
Окей.	окей
Сюда.	сюда
Ладно. Так, надо это собрать.	ладный так это собрать
...И потом мы сюда поставим Рождественскую ёлку.	и сюда поставить рождественский ёлка
Вы ребята, поднимайте её и держите,	вы ребята поднимать её держать
...а я подкручу шурупы.	а подкрутить шуруп
Ну, Папа бы сделал умнее.	ну папа сделать умный
Да, у папы новый метод без наклонов, без подьемов, и стоит на одной ноге.	да папа новый метод наклон подьем стоить один нога
Ну, а у нас есть эта прекрасная маленькая подставка для елки,	ну этот прекрасный маленький подставка ёлка
...которая была приобретена еще до вашего рождения.	который приобрести ваш рождение
Она очень старая.	она очень старый
Да, но мы не поменяем её	да поменять её
...только потому, что появились новые.	только потому появиться новое
И мы уважаем эту подставку для елки	и уважаемый подставка ёлка
хоть она и старая.	старый
Вот так.	вот так
Можно мы украсим её огоньками?	можно украсить её огонёк
Да.	да
