cleaned_text	lemm_text
фильм Роба Минкофа	фильм роба минкоф
Джеки Чан Джет Ли	джеки чан джет ли
ЗАПРЕТНОЕ ЦАРСТВО	запретный царство
Колен Чоу	колено чоу
Лиу Ифей	лиу ифея
Ли Бин Бин	ли бин бин
и Майкл Ангарано	майкл ангарано
''Ломбард''	ломбард
режиссер Роб Минкоф	режиссёр роба минкоф
- Как дела, Хоуп? - Это ты? Снова пришел?	как дело хоуп это ты снова прийти
- Во, класс!!! - Нашел что-то?	в класс найти чтоть
''10 тигров из Квантуна''. Здорово.	10 тигровый квантун здорово
О. ''Белокурая невеста''. На китайском, без субтитров.	о белокурый невеста на китайский субтитр
Скажи, а ранние картины братьев Шо есть? Там где герой бьется в стиле леопарда.	сказать ранний картина брат шо есть там герой биться стиль леопард
Стиль леопарда, стиль дракона, полеты в воздухе, потасовка на воде,	стиль леопард стиль дракон полёт воздух потасовка вода
Крадущийся тигр, анонирующая обезьяна... Понимаю вас.	крадущийся тигр анонировать обезьяна понимать вы
Еще один белый мальчик хочет научиться кунг-фу.	ещё белый мальчик хотеть научиться кунгф
Чтобы бить людей и привлекать девушек.	чтобы бить человек привлекать девушка
В этой комнате у меня склад.	в комната склад
Откуда это у тебя?	откуда это ты
Лежал здесь.	лежалый здесь
Когда мой дед открыл этот магазин, 100 лет тому,..	когда дед открыть магазин 100 год тот
...дед ждал, что владелец возвратится за шестой.	дед ждать владелец возвратиться шесть
Но... Но он так и не пришел.	но но прийти
А потом магазин перешел к отцу. Он ждал всю жизнь.	а магазин перейти отец он ждать жизнь
И завещал это мне.	и завещать это я
Этот шест - Бог, в стиле Северного храма.	этот шест бог стиль северный храм
С ним 13 монахов императора Тана спасли.	с 13 монах император тана спасти
Я уже видел этот шест. Я просто уверен. Он мне приснился.	я видеть шест я просто уверенный он присниться
Послушай, мальчик, не смотри гонконгскую бессмыслицу. Идем.	послушать мальчик смотреть гонконгский бессмыслица идти
Я дам тебе 5 фильмов с Брюсом Ли.	я дать ты 5 фильм брюс ли
- И почти даром. - Спасибо, Хоуп.	и даром спасибо хоуп
Джейсон.	джейсон
- Привет. Ты куда? - Так никуда. Так. Просто. Катаюсь.	привет ты куда так никуда так просто кататься
Ты зачастил в Чайна-тауна. Тебе что-то надо?	ты зачастить чайнатаун ты чтоть надо
- Кунг-фу. - Ты серьезно?	кунгф ты серьёзно
Я не могу об этом говорить. Законы кунг-фу запрещают.	я мочь говорить закон кунгф запрещать
Не плохо. Новый мальчик тоже клеит девочек?	не плохо новый мальчик клеить девочка
Ты все еще шкандибаешь на своем драндулете?	ты шкандибать свой драндулет
Приделай мотор к этому хламу.	приделать мотор это хлам
- Что это такое? - Несколько пиратских дисков.	что это такой несколько пиратский диск
- ''Выход дракона'', ''Белокурая невеста''... - Да, я люблю такое.	выход дракон белокурый невеста да любить такой
Давай, заведи его. Осторожно, он владеет кунг-фу.	давать завести он осторожно владеть кунгф
И ну? Ты что, китаец? Дружишь с китаезами из Чайна-тауна?	и ну ты что китаец дружить китаез чайнатаун
Ну так покажи нам свое мастерство. Давай.	ну показать мы свой мастерство давать
Ты же мастер? Кунг-фу покажи. А хочешь теквандо?	ты мастер кунгф показать а хотеть теквандо
Эй, Лупа, он снюхался с китайцем из ломбарда.	эй лупа снюхаться китаец ломбард
Бываешь на его лавочке?	бывать лавочка
А ну постучи ему.	а постучать он
Поздно. Он, наверное, уже спит.	поздно он наверное спать
Его нет. Пошли отсюда.	он нет послать отсюда
Кто там? А, кунг-фу, да? Снова пришел за фильмами, мальчик?	кто там а кунгф да снова прийти фильм мальчик
Я же говорил, у меня наиболее дешевые диски.	я говорить наиболее дешёвый диск
Заходи. Чаю хочешь?	заходить чай хотеть
''Ред сокс'' сегодня играет.	ред сокс сегодня играть
''Янки'' побеждают. Очень плохо.	янки побеждать очень плохо
Кто это с тобой? Друзья?	кто это ты друг
Где у тебя деньги?	где деньга
Говори, старый, где деньги?	говорить старый деньга
А ну, быстро.	а ну быстро
Стой здесь.	стоять здесь
Есть.	есть
Я нашел....	я найти
Хоуп?	хоуп
- Господи, Лупа, ты убил его. - Ты сошел с ума.	господь лупа убить он ты сойти ум
Возьми шест. И нужно возвратить владельцу. Беги. Беги.	взять шест и нужно возвратить владелец бежать бежать
Эй, стой! Стой, сказал.	эй стоять стоять сказать
Я сказал, стой.	я сказать стоять
Стой, засранец.	стоять засранец
- Нет, Лупа, я прошу - успокойся. - Ты ничего не видел.	нет лупа просить успокоиться ты видеть
- Эй, опусти пистолет. - Успокойся.	эй опустить пистолет успокоиться
Заткнись. Нажал на курок я. Но мы все в этом замешаны.	заткнуться нажать курок я но замешать
А этот гавнюк может продать нас.	а гавнюк продать мы
