cleaned_text	lemm_text
Я в бухте Пукеруа в Новой Зеландии. Здесь, позади меня, дом Ханны МакКензи.	я бухта пукеруа новый зеландия здесь позади я дом ханна маккензи
Я знаю Ханну всю мою жизнь. Мы жили поблизости.	я знать ханна мой жизнь мы жить поблизости
Я имел обыкновение ходить в сад к тете Ханне и играть там среди деревьев.	я иметь обыкновение ходить сад тета ханне играть среди дерево
Я знал лишь, что она была вдовой, ее муж умер до моего рождения.	я знать лишь вдовый муж умереть мой рождение
Год тому назад, позвонила моя мама и попросила меня навестить тетю Ханну.	год тот назад позвонить мама попросить навестить тётя ханна
Она спросила, хочу ли я посмотреть пару старых фильмов, которые у нее были.	она спросить хотеть посмотреть пара старое фильм который быть
Она сказала, что это были старые фильмы, которые снимал ее муж Колин.	она сказать это старое фильм который снимать муж колин
Я ожидал увидеть любительские фильмы, не представляющие большой ценности.	я ожидать увидеть любительский фильм представлять большой ценность
Все что я нашёл - был старый сундук.	весь найти старый сундук
Открыв сундук, я обнаружил невероятную коллекцию более 35 фильмов.	открыть сундук обнаружить невероятный коллекция 35 фильм
"Бобины были ржавыми со странными названиями, такими как ""Сезон воина""."	бобина ржавый странный название такой сезон воин
Тогда я не понял, что это такое.	тогда понять это такой
Обнаружилось, что они были сняты между 1900 и 1930 годами одним новозеландцем.	обнаружиться снятой 1900 1930 годами один новозеландец
И я понял, что одним из пионеров кино был Колин МакКензи.	и понять один пионер кино колин маккензи
Мы перенесли какую-то часть фильмов в архивы. В основном это были семейные фильмы.	мы перенести какуюто часть фильм архив в основное это семейный фильм
Многое представляло исторический интерес. Одежда, мода и т.п.	многий представлять исторический интерес одежда мода тп
Но коллекция Колина МакКензи была уникальной.	но коллекция колин маккензи уникальный
Позвонил Петер и спросил, знаю ли я Колина МакКензи.	позвонить петер спросить знать колин маккензи
О нем я знал немного.	о немой знать немного
Хотя он был не совсем незнакомым. Я читал о нем несколько заметок.	хотя незнакомый я читать немой несколько заметка
О нём было написано совсем немного и не было известно ни одного фильма.	о он написать немного известно один фильм
Нам повезло, что мы получили его фильмы.	мы повезти получить фильм
Некоторые из них были в слишком плохом состоянии.	некоторый слишком плохой состояние
Они бы точно испортились в течение пяти лет, если бы мы их не нашли.	они точно испортиться течение пять год найти
"Это как если бы ""Гражданин Кейн"" выплыл из ниоткуда."	это гражданин кейн выплыть ниоткуда
Так захватывающе и интересно это было.	так захватывающий интересно это быть
Это был клад фильмов исторического значения для всего мира.	это клад фильм исторический значение мир
МакКензи можно сравнить с Гриффитом, а в чём-то его фильмы даже сильнее.	маккензи сравнить гриффит чёмтый фильм сильный
Колин МакКензи было лишь именем, которое я видел в какой-то книге.	колин маккензи лишь имя который видеть какойтый книга
До этого открытия его имя мне ничего не говорило. Сейчас я поражен.	до открытие имя говорить сейчас поразить
Это самое значительное открытие фильмов за 50 лет.	это самый значительный открытие фильм 50 год
Абсолютно неизвестный гений, который умер незамеченным	абсолютно неизвестный гений который умереть незамеченный
и который теперь принадлежит к лучшим создателям и новаторам кино.	который принадлежать хороший создатель новатор кино
ЗАБЫТОЕ СЕРЕБРО	забытый серебро
Колин Маккензи был из простой семьи. Он родился 7 февраля 1888 года	колин маккензи простой семья он родиться 7 февраль 1888 год
в деревне Геральдин на Южном Острове.	деревня геральдина южный остров
Его отец Джон МакКензи приехал в Новую Зеландию 1879-м.	он отец джон маккензи приехать новый зеландия 1879м
Будучи типичным шотландцем, отец построил большую усадьбу, вложив в это много труда.	быть типичный шотландец отец построить большой усадьба вложить это труд
Его молодая жена Эллен гордилась своими сыновьями Колином и Бруком.	он молодая жена эллен гордиться свой сын колин брук
Колин был способным и замкнутым, в отличие от своего младшего брата.	колин способный замкнутый отличие свой младший брат
И все равно они были очень близки.	и равно очень близкий
Они работали вместе с отцом и предполагалось, что пойдут тем же путем.	они работать вместе отец предполагаться пойти путём
Но Колина не увлекло земледелие. У него были другие интересы.	но колин увлечь земледелие у другой интерес
У братa матери был веломагазин в Тимару.	у братa матерь веломагазин тимара
Здесь Колин нашел увлечение для себя: технические открытия.	здесь колин найти увлечение себя технический открытие
Он часто там бывал, чинил и мастерил.	он часто бывать чинить мастерить
Его фантазия требовала чего-то большего. И это произошло весной 1900.	он фантазия требовать чеготь больший и это произойти весной 1900
Кинопередвижка прибыла в город.	кинопередвижка прибыть город
Это было подобно небесному сиянию.	это подобно небесный сияние
И его сердце ликовало.	и сердце ликовать
Это было ровно тем, чем он и хотел заниматься, и он будет заниматься.	это ровно тем хотеть заниматься заниматься
Он следовал за кинопоказами по всей округе.	он следовать кинопоказ весь округа
Когда другие дети застывали от движущихся картинок,	когда другой ребёнок застывать двигаться картинка
Колин стоял в самом конце и изучал проектор.	колин стоялый самый конец изучать проектор
Самым захватывающим в его ранних фильмах и есть сама техника.	самый захватывать ранний фильм сам техника
В 1900-м, спустя пять лет после рождения кино, не было ещё возможности купить камеру.	в 1900м спустя пять год рождение кино ещё возможность купить камера
Когда ему исполнилось 12 лет он смастерил свою первую камеру.	когда исполниться 12 год смастерить один камера
Он переделал ручную камеру на моторный привод.	он переделать ручной камера моторный привод
Когда Колин ехал на велосипеде, работала его камера. Так начиналась история кино.	когда колин ехать велосипед работать камера так начинаться история кино
Попытки Колина моторизировать проектор требовала большой мощности.	попытка колин моторизировать проектор требовать большой мощность
Кто бы еще смог выдумать двигать проектором при помощи пара?	кто смочь выдумать двигать проектор помощь пара
Он сделал свой собственный фильм. Лён он добывал на болоте.	он сделать свой собственный фильм лён добывать болото
Он выпаривал целюлозный нитрат. Для эмульсии он использовал яйцо.	он выпаривать целюлозный нитрат для эмульсия использовать яйцо
Не яйцо, а белок. Так делали в XVIII-м столетии	не яйцо белка так делать xviiiм столетие
для изготовления светочувствительного вещества.	изготовление светочувствительный вещество
Он применил этот процесс к кино.	он применить процесс кино
Проблемой было то, что нужно было 12 яиц	проблема то нужно 12 яйцо
для одной минуты фильма. Это ещё было ничего, если фильм был коротким.	один минута фильм это ещё ничто фильм короткий
<i>2000 ДЮЖИН ЯИЦ УКРАДЕНЫ	i2000 дюжина яйцо украсть
Колин всего лишь хотел сделать самый первый полнометражный фильм...	колин лишь хотеть сделать самый один полнометражный фильм
Отец Колина был в ярости. Это было оскорблением.	отец колин ярость это оскорбление
Он рвал и метал. Он разломал всё оборудование Колина.	он рвать метать он разломать весь оборудование колин
Все было разбито, кроме камеры, которую успела спрятать мать.	весь разбитый кроме камера который успеть спрятать мать
Недалеко жил другой человек,	недалеко жить человек
который, как и Колин, мечтал о новых открытиях - Ричард Пирс.	который колин мечтать новый открытие ричард пирс
Пирс построил летательную машину и пытался заставить её взлететь.	пирс построить летательный машина пытаться заставить её взлететь
Ходило много слухов об открытиях Пирса.	ходить слух открытие пирс
Говорили, что он полетел раньше братьев Райт, но подтверждений этому не было	говорить полететь ранний брат райт подтверждение это
до сих пор.	сей пора
Среди фильмов Колина Маккензи обнаружилось потрясающее документальное свидетельство.	среди фильм колин маккензи обнаружиться потрясать документальный свидетельство
Это премьера фильма, который сейчас изучается Институтом Смитсона.	это премьера фильм который изучаться институт смитсон
Один кусочек целулоида перепишет заново всю историю воздухоплавания.	один кусочек целулоида переписать заново история воздухоплавание
Незадолго до старта Колин устанавливает камеру на тележку и ждет.	незадолго старт колин устанавливать камера тележка ждать
Удивительные фильмы Колина МакКензи раскрывают еще и другое.	удивительный фильм колин маккензи раскрывать другой
У человека слева в кармане газета.	у человек слева карман газета
При помощи цифровой техники можно это увеличить.	при помощь цифровой техника это увеличить
Братья Райт полетели впервые 7 декабря 1903.	брат райт полететь впервые 7 декабрь 1903
Пирс, крестьянин из новой Зеландии, опередил их на 9 месяцев.	пирс крестьянин новый зеландия опередить 9 месяц
Забавно то, что он летит прямо на Колина МакКензи.	забавно то лететь прямо колин маккензи
Он изворачивается, чтобы избежать Колина и разбивается.	он изворачиваться избежать колин разбиваться
Если бы Колин не стоял на пути, то он был бы сейчас знаменит.	если колин стоялый путь знаменитый
Отец Колина, не принимая никаких возражений, отнял фильм, и в суровой форме запретил сыну	отец колин принимать никакой возражение отнять фильм суровый форма запретить сын
хоть когда-нибудь заниматься такими новшествами, как фильм.	когданибудь заниматься такой новшество фильм
Будучи только 15 лет отроду, Колин сбежал из дома.	быть 15 год отроду колин сбежать дом
Новая Зеландия была благополучной страной. Даже бедняки располагали свободным временем.	новый зеландия благополучный страна даже бедняк располагать свободный время
И большинство использовали его на походы в кино.	и большинство использовать поход кино
Имелись большие возможности для таких молодых людей, как Колин.	иметься большой возможность такой молодая человек колин
"Он и Брук создают в 1905-м ""Кинокомпанию братьев МакКензи""."	он брук создавать 1905м кинокомпания брат маккензи
Они вместе быстро сколотили небольшое состояние.	они вместе быстро сколотить небольшой состояние
Но у Колина были большие планы.	но колин большой план
"""Сезон воина"" - первый в мире полнометражный фильм."	сезон воин один мир полнометражный фильм
Он демонстрировал новую революционную технику.	он демонстрировать новый революционный техника
<i>НЕВЕРОЯТНАЯ СЕНСАЦИЯ! ЗВУКОВОЙ ФИЛЬМ!	iневероятный сенсация звуковой фильм
В 1908-м Колин МакКензи разработал метод синхронизации звука.	в 1908м колин маккензи разработать метод синхронизация звук
Нас учили, что Ол Джонсон спел в 1927-м.	мы учить ол джонсон спеть 1927м
Было слышно, как бекон шипит на сковородке. Это было в 1920-е годы.	быть слышный бекон шипеть сковородка это 1920 год
А МакКензи уже в 1908-м снял этот эпический фильм.	а маккензи 1908м снять эпический фильм
Были слишны выстрелы и стук копыт. Он всё это записал.	быть слишный выстрел стук копыто он весь это записать
Но главное - человек слышал речь.	но главный человек слышать речь
МакКензи только не подумал об одном. Люди говорили по-китайски.	маккензи подумать один человек говорить покитайски
Он не подумал о титрах. Это было ошибкой.	он подумать титр это ошибка
Публика покидала кинозалы. Они не поняли ни слова.	публика покидать кинозал они понять слово
Сначала их это захватило, но потом они потеряли интерес, ничего не понимая.	сначала это захватить потерять интерес понимать
Расстроенный и понёсший экономические потери Колин прекратил эксперимент.	расстроить понести экономический потеря колин прекратить эксперимент
Он отказался от звуковой техники и его захватило изображение.	он отказаться звуковой техника захватить изображение
В марте 1911-го он изобрёл эмульсию, чувствительную к длине световой волны.	в март 1911го изобрести эмульсия чувствительный длина светов волна
Своего рода цветовое кино.	свой род цветовой кино
Но главная составляющая, растение photinia aqaefolium, имелась только на Таити.	но главный составлять растение photinia aqaefolium иметься таити
Братья МакКензи сразу же упаковали свои чемоданы.	брат маккензи сразу упаковать свой чемодан
На Таити они совершили подвиг химического инженерного искусства.	на таити совершить подвиг химический инженерный искусство
Они взялись за сложнейший процесс установки домашней лаборатории под пальмами.	они взяться сложный процесс установка домашний лаборатория пальма
За четыре с половиной месяца они создали 22 секунды фильма.	за четыре половина месяц создать 22 секунда фильм
Полный ожиданий, Колин сделал одну попытку.	полный ожидание колин сделать один попытка
Колин попытался снять тропическую зелень.	колин попытаться снять тропический зелень
Но композиция ломалась.	но композиция ломаться
Он напрасно пытался изменить угол камеры.	он напрасно пытаться изменить угол камера
Этот ценный фильм продолжает крутиться...	этот ценный фильм продолжать крутиться
Убеждённые, что открытие исправит экономическую ситуацию, они вернулись домой.	убедить открытие исправить экономический ситуация вернуться домой
У них был один показ для потенциальных спонсоров, но произошла ошибка...	у показ потенциальный спонсор произойти ошибка
<i>ДВА ЧЕЛОВЕКА АРЕСТОВАНЫ! ПРИГОВОР ЗА БЕЗНРАВСТВЕННОЕ ПОВЕДЕНИЕ	iдва человек арестовать приговор за безнравственный поведение
9 июня 1912 года они предстали перед судьей МакРоби в Дунедине.	9 июнь 1912 год предстать судья макробь дунедин
Их обвиняли в показе безнравственных изображений.	они обвинять показ безнравственный изображение
Жюри заседало 37 часов и несколько раз просмотрело фильм,	жюри заседать 37 часы несколько просмотреть фильм
прежде чем постановило, что они виновны.	прежде постановить виновный
Колин и Брук получили 6 месяцев принудительных работ.	колин брук получить 6 месяц принудительный работа
Опозоренные, они возвратились домой после отбытия наказания.	опозорить возвратиться домой отбытие наказание
Это стало поворотным моментом. Техника интересовала Колина больше всего.	это стать поворотный момент техника интересовать колин всего
Он экспериментировал с камерой, звуком и цветом.	он экспериментировать камера звук цвет
Но теперь Колин задумался о художественном аспекте.	но колин задуматься художественный аспект
Он хотел что-то донести до зрителя и обратился к известному источнику.	он хотеть чтоть донести зритель обратиться известный источник
БИБЛИЯ	библия
Колин был очарован одним библейским сказанием.	колин очаровать один библейский сказание
Он хотел создать фильм o Саломее и Иоанне Крестителе.	он хотеть создать фильм o саломея иоанн креститель
Это была вольная интерпретация с Колином в роли Иоанна Крестителя.	это вольный интерпретация колин роль иоанн креститель
Брук сыграл Нарработа.	брук сыграть нарработа
Проблемой было найти Саломею.	проблема найти саломея
Местные девушки не смогли участвовать из-за запрета своих отцов.	местный девушка смочь участвовать изз запрет свой отцов
А девушки, которые тем не менее пришли, не подходили.	а девушка который менее прислать подходить
И тогда он увидел Мейбл...	и увидеть мейбл
Она его обворожила.	она обворожить
Колин влюбился, прежде, чем это понял.	колин влюбиться прежде это понять
Он никому не сказал о своих чувствах.	он никто сказать свой чувство
Мейбл была прекрасной актрисой.	мейбл прекрасный актриса
Искры вспыхнули между ней и Бруком. Они осветили киноэкран.	искра вспыхнуть брук они осветить киноэкран
Завороженный ею, Колин придвигал камеру всё ближе и ближе.	заворожить она колин придвигать камера весь близкий близкий
Так он открыл крупный план.	так открыть крупный план
Но все равно Колин не увидел, что произошло прямо у него на глазах.	но равно колин увидеть произойти прямо глаз
Брук и Мейбл влюбились.	брук мейбл влюбиться
Колин, не показав виду, пожелал им счастья.	колин показать вид пожелать счастие
Под предлогом того, что он устал, Колин отложил съёмки.	под предлог тот устать колин отложить съёмка
На срок, более длительный, чем когда либо...	на срок длительный либо
Первая мировая война привела к подъёму патриотизма.	один мировой война привести подъём патриотизм
Молодые парни пошли сражаться за короля и родину.	молодая парень послать сражаться король родина
Брук был одним из них. Он и Мейбл были женаты три недели.	брук один они он мейбл женатый неделя
Колин получил освобождение в связи с плоскостопием.	колин получить освобождение связь плоскостопие
Он тяжело пережил разлуку с братом.	он тяжело пережить разлука брат
Брук МакКензи приехал в Галлиполи 25 апреля 1915 года.	брук маккензи приехать галлиполь 25 апрель 1915 год
Он не только носил оружие, но и камеру, сделанную Колином.	он носить оружие камера сделать колин
Здесь мы видим первые изображения, сделанные новозеландцем возле Галлиполи.	здесь видеть один изображение сделать новозеландец возле галлиполь
Брук фотографировал не войну, а людей, участвовавших в ней.	брук фотографировать война человек участвовать она
В июне 1915-го Брук был ранен мародёрами.	в июнь 1915го брук раненый мародёр
Его доставили в больничный пункт, где он и умер в ту же ночь.	он доставить больничный пункт умереть тот ночь
Мейбл тяжело перенесла новость. Она полностью предалась горю.	мейбл тяжело перенести новость она полностью предаться горе
Это были самые черные дни для Колина. Он впал в глубокую депрессию.	это самый чёрный день колин он впасть глубокий депрессия
Он потерял своего брата, компаньона и всё, что они создали вместе.	он потерять свой брат компаньон весь создать вместе
Ужасное время для Колина.	ужасный время колин
С этого года Колин МакКензи пропал.	с год колин маккензи пропасть
Потом его видели на дороге Люиса, бредущего в одиночестве к западному берегу.	потом видеть дорога люиса брести одиночество западный берег
В 11 часов 11-го числа 11-го месяца закончилась война.	в 11 часы 11го число 11го месяц закончиться война
По прошествии трех лет Колин МакКензи вернулся.	по прошествие три год колин маккензи вернуться
"Он сообщил, что продолжит работу над ""Саломеей""."	он сообщить продолжить работа саломея
Но теперь это будет четырехчасовой эпос с тысячью статистов.	но это четырехчасов эпос тысяча статист
Монумент его погибшему брату.	монумент погибший брат
Наполненный рвением, Колин вернулся к горе с армией статистов.	наполнить рвение колин вернуться горе армия статист
С 1915 по 1918 года он словно сквозь землю провалился.	с 1915 1918 год словно сквозь земля провалиться
Но кусок съёмок 1917 года даёт небольшую зацепку.	но кусок съёмка 1917 год давать небольшой зацепка
В этом куске показывалось, как строится гора.	в кусок показываться строиться гора
Мы думаем, что он построил в этих далеких краях огромнейший город.	мы думать построить этот далёкий край огромный город
Огромнейшее строительное сооружение, построенное в этой стране.	огромный строительный сооружение построить страна
После напряженной поездки статисты предстали перед невероятным зрелищем.	после напрячь поездка статистый предстать невероятный зрелище
На площади более 7 футбольных полей находился библейский город.	на площадь 7 футбольный полый находиться библейский город
Заново возрожденный Иерусалим.	заново возродить иерусалим
Здесь должен был сниматься величайший новозеландский фильм.	здесь должный сниматься великий новозеландский фильм
В 1994 году было решено искать потерянный город Колина МакКензи.	в 1994 год решить искать потерянный город колин маккензи
Он мог находится в местности с быстро растущей зеленью.	он мочь находиться местность быстро расти зелень
- Это прекрасное укрытие. - Возможно в узкой долине.	это прекрасный укрытие возможно узкий долина
Изолированная долина в трёх днях хода от Хокитика обещала быть удачной для находок.	изолировать долина три день ход хокитик обещать удачный находка
Группа проникла в один из неисследованных лесов Новой Зеландии.	группа проникнуть неисследованный лес новый зеландия
"22 февраля 1919 года начались съёмки новой ""Саломеи""."	22 февраль 1919 год начаться съёмка новый саломея
Колин был уже опытен. Он видел каким должен быть фильм.	колин опытный он видеть какой должный фильм
Он видел каждую деталь так четко, как никогда раньше.	он видеть каждый деталь чётко ранний
Горе Мейбл переросло в творческую энергию.	горе мейбл перерослый творческий энергия
Она играла свою лучшую роль в своей жизни.	она играть хороший роль свой жизнь
Через пять дней работа остановилась.	через пять день работа остановиться
Деньги Колина МакКензи закончились. Ушли недовольные статисты.	деньга колин маккензи закончиться уйти недовольный статистый
Колин пообещал возобновить работу при получении денег.	колин пообещать возобновить работа получение деньга
Деньги пришли из неожиданного источника.	деньга прислать неожиданный источник
Я слышал, как говорил о Колине МакКензи один из кинотехников, Стэн Уилсон.	я слышать говорить колин маккензи кинотехник стэн уилсон
Оказалось, что Стэн пострадал от химикатов, которые тогда использовались.	оказаться стэн пострадать химикат который использоваться
Он был доброжелателен и рассказывал о зарождении кино в Новой Зеландии.	он доброжелательный рассказывать зарождение кино новый зеландия
Он часто упоминал Колина МакКензи, которого никто из нас не знал.	он часто упоминать колин маккензи который никто знать
Стэн Уилсон вышел из богатой семьи.	стэн уилсон выйти богатый семья
Клоун, мечтавший стать кинозвездой.	клоун мечтать стать кинозвезда
В 1912 году он попросил Колина снять один из его варьете-номеров.	в 1912 год попросить колин снять варьетеномер
Сцена изменилась, когда маленькая девочка появилась в кадре.	сцена измениться маленький девочка появиться кадр
Я сказала ему, что это не особенно смешно.	я сказать он это особенно смешно
Ему это не понравилось. Он раскричался.	он это понравиться он раскричаться
Он дал мне пощечину. И я помню, как дала ему хорошо сдачи.	он дать пощёчина и помнить дать сдача
Потом всю дорогу домой я проплакала.	потом дорога домой проплакать
Никто ничего не сказал, но на другой день это показали публике.	никто сказать день это показать публика
Зрители смеялись только на тем, как он ударил ребёнка.	зритель смеяться тем ударить ребёнок
После этого Стэн потребовал,	после стэн потребовать
чтобы они оставили всю жестокость по отношению к невинным.	оставить жестокость отношение невинный
"""Стэн-мужчина"" был несмешным кинокомиком."	стэнмужчина несмешной кинокомик
Но он оставил след в истории кино из-за одной вещи.	но оставить след история кино изз один вещий
"Они сделали ""скрытую камеру"" в немом кино."	они сделать скрытый камера немой кино
Его шалости был не очень смешными, но зато спонтанными.	он шалость очень смешной зато спонтанный
Он нападал на невинных людей,	он нападать невинный человек
"и Колин снимал это ""камерой-сумкой""."	колин снимать это камеройсумка
Никто ничего не репетировал.	никто репетировать
"Это не отняло много времени из ""Соломеи"", так как снималось в один приём."	это отнять время соломея сниматься приём
Они ездили по стране и снимали в разных городах.	они ездить страна снимать разный город
"""Стэн-мужчина в Тайхапе"", или ""Стэн-мужчина в Палми Норт""."	стэнмужчина тайхапе стэнмужчина палмить норт
Их показывали через неделю после монтажа.	они показывать неделя монтаж
Они принесли много денег.	они принести деньга
"Все что он заработал на ""Стэне-мужчине"","	весь заработать стэнемужчина
"уходило на его горячо любимую ""Саломею""."	уходить горячо любимый саломея
"С прибылью 1700 фунтов от ""Стэна-мужчины"""	с прибыль 1700 фунт стэнамужчина
"Колин вернулся к работе над ""Саломеей""."	колин вернуться работа саломея
Но прежде чем они успели начать, пошли беспросветные ливни.	но прежде успеть начать послать беспросветный ливень
Подсчитали, что это было самое большое количество осадков, выпавших за 30 лет.	подсчитать это самый большой количество осадок выпасть 30 год
За шесть недель Колин снял только три минуты фильма.	за шесть неделя колин снять минута фильм
Был только один просвет. Росло расположение Мебл к Колину.	быть просвет рослый расположение мебла колин
Экономическая ситуация принудила Колина возобновить работу со Стэном.	экономический ситуация принудить колин возобновить работа стэном
"На следующее лето Колин вернулся к горе и ""Саломее""."	на следующий лето колин вернуться горе саломея
Это было самое жаркое лето за 30 лет. Многие статисты падали в обморок.	это самый жаркое лето 30 год многие статистый падать обморок
Они требовали больше денег, но их не было...	они требовать деньга быть
С тяжелым сердцем Колин вернулся к своим единственным надежным заработкам.	с тяжёлый сердце колин вернуться свой единственный надёжный заработок
"В Буллере ""Стэн-мужчина"" зашёл слишком далеко."	в буллера стэнмужчина зайти слишком далеко
Начиналось всё, как обычный киносъемочный день.	начинаться весь обычный киносъёмочный день
Днём он вёл себя как обычно.	днём вести обычно
Но в половине четвертого он получил свой тяжелый урок.	но половина четыре получить свой тяжёлый урок
Стэн увидел новую жертву. Благополучный джентльмен с женой.	стэн увидеть новый жертва благополучный джентльмен жена
И к несчастью, он не узнал Гордона Коатса, премьер министра.	и несчастие узнать гордон коатс премьер министр
Со стальными нервами Колин продолжал снимать своей скрытой камерой.	с стальной нерв колин продолжать снимать свой скрытый камера
Стэн находился в неправильное время в неправильном месте, юмор был тоже неправильным.	стэн находиться неправильный время неправильный место юмор неправильный
Это было как драма Родни Кинга.	это драма родня кинг
Случай произошел 60 лет назад.	случай произойти 60 год назад
Колин заснял доказательство, как полиция избила беднягу Стэна.	колин заснять доказательство полиция избить бедняга стэн
"""Стэн-мужчина в Буллере"" принёс самый большой экономический успех."	стэнмужчина буллера принести самый большой экономический успех
Бедняга Стэн думал, что успех зависел от его таланта.	бедняга стэн думать успех зависеть талант
Он не понимал, что все зависело от ценности новости.	он понимать зависеть ценность новость
Ведь премьер министр и полиция были замешаны.	ведь премьер министр полиция замешать
Почти Голливуд, думал он. Фильм ведь был показан в Америке.	почти голливуд думать он фильм показать америка
