cleaned_text	lemm_text
БЕЗРАДОСТНЫЙ ПЕРЕУЛОК	безрадостный переулок
Акт 1	акт 1
Вена, 1921	вена 1921
Улица Мельхиор	улица мельхиор
Завтра рано утром мясо из Аргентины.	завтра рано утром мясо аргентина
Тиран улицы Мельхиор, Йозеф Герингер.	тиран улица мельхиор йозеф герингера
В подвале одного из домов по улице Мельхиор жила семья Лехнер.	в подвал один дом улица мельхиор жить семья лехнер
Мария ещё не принесла маргарин.	мария ещё принести маргарин
На первом этаже того же дома жил советник Румфорт	на первое этаж дом жить советник румфорт
с двумя своими дочерьми Гретой и Мариэндль.	два свой дочь грета мариэндль
Опять капуста!	опять капуста
Мариэндль, если ты сейчас съешь капусту, то завтра получишь мясо!	мариэндль съесть капуста завтра получить мясо
Дочь Лехнеров Мария.	дочь лехнер мария
Ну что, не раздобыла маргарина, уличная девчонка?!	ну что раздобыть маргарин уличный девчонка
Надо пойти к мяснику, отец.	надо пойти мясник отец
Очередь будет там стоять всю ночь.	очередь стоять ночь
Любимый мой Эгон!	любимый эгон
Пожалуйста, забери меня к себе в квартиру.	пожалуйста забрать квартира
Ты говорил, что мы скоро поженимся.	ты говорить скоро пожениться
И если ради тебя я должна выйти на улицу,	и ради должный выйти улица
то только для того, чтобы вырваться из этого ада.	тот вырваться ад
Всегда любящая тебя Мицци.	всегда любящий мицци
Да что такое?	да такой
Ты должна уже стоять у мясника в очереди!	ты должный стоять мясник очередь
Да что за толпа!	да толпа
Немедленно вызываю полицию!	немедленно вызывать полиция
"Госпожа Гряйфер, владелица гостиницы ""Меркль""."	госпожа гряйфер владелица гостиница меркль
На задворках её гостиницы расположился салон моды,	на задворки её гостиница расположиться салон мода
на деле - частный клуб.	дело частный клуб
Зимнее пальто?	зимний пальто
Да, ты уже заплатила мне за платье?	да заплатить платье
На той неделе ты ничего не заработала у меня!	на тот неделя заработать я
Но, милостивая сударыня, я была очень любезна с господами.	но милостивый сударыня очень любезный господин
Что я ещё могла сделать?	что ещё мочь сделать
Милостивая сударыня, могу ли я быть свободна на сегодняшнюю ночь?	милостивый сударыня мочь свободный сегодняшний ночь
Я должна отстоять очередь у мясника.	я должный отстоять очередь мясник
В то же время, когда происходили данные события	в время происходить дать событие
в седьмом округе на улице Мельхиор,	семь округа улица мельхиор
в первый округ, отель Карлтон	один округ отель карлтон
прибыл господин Алонсо Канез из Вальпараисо	прибыть господин алонсо канеза вальпараисо
с десятью тысячами долларов в портфеле	десять тысяча доллар портфель
и очевидными намерениями	очевидный намерение
заработать полмиллиона за три недели.	заработать полмиллиона неделя
Генеральный директор Розенов.	генеральный директор розенов
Господин Канез, наш партнёр.	господин канеза наш партнёр
Моя супруга.	мой супруг
И моя дочь Регина.	и дочь регин
У меня есть выгодное дело для вас.	у выгодный дело вы
Вена мёрзнет. Вене нужен уголь.	вена мёрзнуть вена нужный уголь
Его могут поставлять только рудники Петровицер.	он мочь поставлять рудник петровицер
Господин Эгон Штирнер, мой личный секретарь.	господин эгон штирнер личный секретарь
Мы пустим слух о забастовке.	мы пустить слух забастовка
Когда акции упадут ниже никуда, мы купим их.	когда акция упасть ниже никуда купить они
После неподтверждения слухов акции взлетят снова.	после неподтверждение слух акция взлететь снова
Мы продадим их и поимеем полмиллиона золотом.	мы продать поиметь полмиллиона золото
Мой поверенный, доктор Ляйд с супругой.	мой поверить доктор ляйд супруга
Так, будем кратки.	так быть краткий
Вы желаете объясниться в любви в этих впечатляющих декорациях?	вы желать объясниться любовь этот впечатляющий декорация
Конечно же, к моему богатству!	конечно же мой богатство
Поберегите ваши слова.	поберечь ваш слово
"Вы скажете ""нет"", а я не поверю вам."	вы сказать нет поверить вы
Что же я должен сделать, чтобы вы поверили мне?	что должный сделать поверить я
Да, вы должны стать так же богаты, как и я,	да должный стать богатый я
или я так же обнищать, как и вы.	обнищать вы
Только тогда я поверю вам!	только поверить вы
Я люблю вас безумно!	я любить безумно
Я похищу твоего кавалера, Регина!	я похитить твой кавалер регин
А теперь я хочу, чтобы вы показали мне,	а хотеть показать я
где вы только что были с Региной.	регина
А теперь повторите мне то же самое, что сказали ей.	а повторить самый сказать она
Нет, не здесь, Эгон.	нет здесь эгон
Я предпочитаю тёмный, страшный дом	я предпочитать тёмный страшный дом
с настоящим отребьем.	настоящее отребье
Я знаю только одну маленькую гостиницу на улице Мельхиор.	я знать один маленькая гостиница улица мельхиор
Там порой случается всякое!	там порой случается всякий
Да, и ты наклеишь фальшивую бороду, а я закроюсь вуалью,	да наклеить фальшивый борода закрыться вуаль
так что нас никто не узнает.	никто узнать
Поезжай домой одна.	поехать домой один
Мне надо ещё много чего обсудить с Канезом.	я ещё обсудить канез
Так что вы можете воспользоваться	так мочь воспользоваться
этим шансом раздобыть деньги, если хотите.	это шанс раздобыть деньга хотеть
Ты флиртовала с этим Канезом совершенно скандальным образом!	ты флиртовать это канез совершенно скандальный образ
Ну так, дорогой мой Канез,	ну так дорогой канеза
прямо сейчас я вам покажу знаменитую ночную жизнь Вены!	прямо показать знаменитый ночной жизнь вена
Конец акта 1.	конец акт 1
Акт 2.	акт 2
За чудесную, весёлую Вену!	за чудесный весёлый вена
И за известных на весь мир весёлых венских девочек!	и известный весь мир весёлый венский девочка
Господин советник, вы должны идти со мной прямо сейчас!	господин советник должный идти я прямо сейчас
Иначе мы потеряем место в очереди!	иначе потерять место очередь
Через шесть часов большая часть ожидающих узнала,	через шесть часы большой часть ожидать узнать
что мяса им не достанется.	мясо достаться
Я не могу вернуться домой без мяса!	я мочь вернуться домой мясо
Две девушки только что постучали в подвальное окошко.	два девушка постучать подвальный окошко
Это мой муж.	это муж
Раздели его и дай ей половину!	раздеть дать половина
Уже три месяца без работы и без крыши над головой...	уже месяц работа крыша голова
Трактирщик был так добр, что позволил нам спать в конюшне.	трактирщик добрый позволить мы спать конюшня
Возьмите весь кусок!	взять весь кусок
Мне больше ничего не надо - я ведь не вернусь домой!	я вернуться домой
Конец акта 2.	конец акт 2
Акт 3.	акт 3
Указ австрийских федеральных властей	указ австрийский федеральный власть
о сокращении государственного аппарата от 3 мая 1921 года.	сокращение государственный аппарат 3 май 1921 год
Чиновники, добровольно подавшие в отставку,	чиновник добровольно подать отставка
получают на руки двухлетнее жалованье наличными.	получать рука двухлетний жалование наличный
Эгон Штирнер.	эгон штирнер
Позволь мне остаться с тобой, Эгон!	позволить остаться ты эгон
Будь благоразумна, детка, я не могу оставить тебя у себя.	быть благоразумный детка мочь оставить себя
Ты получишь от меня всё, что хочешь,	ты получить весь хотеть
что тебе надо для счастья!	ты счастие
Для полного счастья не хватает только денег!	для полный счастие хватать деньга
Ты считаешь, что зарабатываешь недостаточно для того,	ты считать зарабатывать недостаточно тот
чтобы мы радовались жизни вместе?	радоваться жизнь вместе
Глупая девчонка! Ты ничего не понимаешь!	глупый девчонка ты понимать
Ну так объясни мне!	ну объяснить я
Ну смотри сама, к примеру.	ну смотреть сам пример
Если бы у меня были сто долларов,	если сто доллар
я мог бы завтра на бирже выиграть пятьсот долларов,	мочь завтра биржа выиграть пятьсот доллар
а послезавтра вообще тысячу!	послезавтра вообще тысяча
Если тебе для счастья нужна сотня долларов, я их достану!	если ты счастие нужный сотня доллар достать
Требич, хозяин бюро.	требич хозяин бюро
Ну, госпожа Румфорт, вы выглядите сегодня измученной.	ну госпожа румфорт выглядеть сегодня измученный
Должно быть, вам здорово пришлось потрудиться этой ночью?	должный быть здорово прийтись потрудиться ночью
Выдать вам небольшой аванс?	выдать небольшой аванс
В этот раз мы должны вложить деньги без риска.	в должный вложить деньга риска
В американские или английские деньги.	в американский английский деньга
