cleaned_text	lemm_text
Не хочу никого пугать,	не хотеть никто пугать
но надо вам рассказать про Джейсона.	рассказать джейсон
Его утопшее тело так в озере и не нашли.	он утопшея тело озеро найти
Старики говорят, что он до сих пор там живёт.	старик говорят сей пора жить
- Это дурное место. - Лагерь проклят.	это дурной место лагерь проклятый
Кое-кто говорит, что видел его…	коекто говорить видеть его…
неподалёку.	неподалёку
Кто тут?	кто тут
А, привет. Чего это вы тут в такую погоду?	а привет что это такой погода
Девушка, что выжила Лагере смерти тогда — в пятницу 13-го,	девушка выжить лагер смерть — пятница 13го
сказала, что видела его.	сказать видеть он
А мальчик? Он тоже умер?	а мальчик он умереть
Мы никакого мальчика не нашли.	мы никакой мальчик найти
Значит, он ещё там.	значит ещё там
Через два месяца она пропала.	через месяц пропасть
По легенде, Джейсон видел, как его мать обезглавили.	по легенда джейсон видеть мать обезглавить
И он отомстил.	и отомстить
И он будет мстить всем, кто вторгся на его территорию.	и мстить весь вторгнуться территория
Джейсон был моим сыном. И сегодня его день рождения.	джейсон мой сын и сегодня день рождение
Вот молодец.	вот молодец
Умница Джейсон.	умница джейсон
Джейсон где-то рядом.	джейсон гдеть ряд
Не может быть!	не быть
ПЯТНИЦА 13	пятница 13
ПОСЛЕДНЯЯ ГЛАВА	последний глава
Ларри, сейчас ещё «скорая» будет. Надо расчистить подъезд.	ларри ещё «скорая» быть надо расчистить подъезд
Где они там?	где там
Рассказывай, что тут и как.	рассказывать как
Жертв десять. Ваш — в сарае.	жертва десять ваш — сарай
И что с ним?	и он
Мёртв. И остальные тоже. Встать можете там.	мёртвый и остальной тоже встать мочь там
Один трупы. Больно тут «скорая» нужна. Давай туда.	один труп больно «скорая» нужный давать туда
Это и есть знаменитый маньяк?	это знаменитый маньяк
В этот раз убил семерых ребят и трёх байкеров.	в убить семеро ребята три байкер
Но и ему досталось.	но достаться
- Лэйни? - М?	лэйня метр
- Пристегни его. - Да.	пристегнуть он да
Что ты дёргаешься? Он же умер.	что дёргаться он умереть
<i>Всё, ребятки, поехали!</i>	iвсё ребятки поехалиi
<i>Доктора Веллсли ждут в операционной.</i>	iдоктор веллслить ждать операционнойi
Вот, подпиши.	вот подписать
- Последний? - Нет. Там ещё одна.	последний нет там ещё один
- Клёвая девочка. - Была.	клёвый девочка быть
Ну почему. Надо просто немножко почистить…	ну почему надо просто немножко почистить…
Какая прелесть. Очень мило. Мне верхнюю копию.	какой прелесть очень мило я верхний копия
- Пока, Аксель. - Угу.	пока аксель угу
Он точно больной.	он точно больной
<i>Мисс Аарон, подойдите к телефону. Мисс Аарон.</i>	iмисс аарон подойти телефон мисс ааронi
- Я свободен, куколка. - Радость-то какая.	я свободный куколка радостьто какой
- Эй, ты чего? - У меня голова болит, Аксель.	эй что у голова болеть аксель
- От тебя она всегда болит. - Это легко вылечить.	от болеть это легко вылечить
Приходи в холодильник.	приходить холодильник
Ночью я не работаю. Что скажешь? Согласна?	ночью работать что сказать согласный
Аксель, мне надоело имитировать оргазм.	аксель надоесть имитировать оргазм
Ты что, фригидная?	ты что фригидный
С тобой — да.	с ты — да
Аксель?	аксель
Аксель.	аксель
Ох, Аксель.	ох аксель
Аксель?	аксель
- Не переведено -	не перевести
Рад твоему приходу.	рад твой приход
Не очень губу раскатывай!	не очень губа раскатывать
Я пришла посмотреть новости.	я пришлый посмотреть новость
<i>И вновь о событиях дня. Потрясшая всех бойня…</i>	iи вновь событие день потрясти бойня…i
<i>Извини.</i>	iизвиниi
