cleaned_text	lemm_text
Ух ты! Выглядишь прекрасно. Что за событие?	ух ты выглядеть прекрасно что событие
Моника и я отмечаем нашу десятимесячную годовщину.	моника отмечать наш десятимесячный годовщина
"Я заказал столик в ""Жан-Жорж""."	я заказать столик жанжорж
Как ты попал туда?	как попасть туда
Сделал пару звонков, дёрнул пару рычажков...	сделать пара звонок дёрнуть пара рычажок
...и нас посадят вдвоём, дадут нам курицу, но без десерта.	и посадить вдвоём дать мы курица десерт
- Привет, Чендлер. - Привет, Кейтлин.	привет чендлера привет кейтлина
Кто-то постригся.	ктоть постричься
Ненавижу. Я выгляжу, как восьмилетний мальчик.	ненавидеть я выглядеть восьмилетний мальчик
Если это правда, то уроки физкультуры могли бы быть интереснее.	если это правда урок физкультура мочь интересный
- С вас 27$ ровно. - Ладно. Вот возьми.	с 27 ровно ладный вот взять
А где цыпа?	а цып
Она там. Уток вывел её из себя.	она там утка вывести её себя
Сказал, что сначала были яйца.	сказать сначала яйцо
- Спасибо. До скорого. - Пока.	спасибо до скорый пока
Что это за чертовщина была?	что это чертовщина быть
- Что? - Флиртование.	что флиртование
Разве ты сейчас не в отношениях, с,.. дай вспомнить,.. моей сестрой?	разве отношение с дать вспомнить мой сестра
Я не флиртовал.	я флиртовать
"Конечно флиртовал! ""Кто-то постригся..."""	конечно флиртовать ктоть постричься
Во-первых, - тебе показалось.	вопервое ты показаться
Во-вторых, это не флиртование. Просто обычный разговор двух людей и всё.	вовторое это флиртование просто обычный разговор два человек весь
Да, конечно.	да конечно
Хочешь посмотреть на флирт? Я тебе покажу флирт.	хотеть посмотреть флирт я ты показать флирт
Всё нормально.	весь нормальный
Сезон 5, серия 19. Та, где Росс не может флиртовать.	сезон 5 серия 19 тот росс флиртовать
Я так горжусь за Джоуи.	я гордиться джоуя
"- Он снимается в ""Закон и порядок""! - Ну да."	он сниматься закон порядок ну да
"А тебе не кажется, что правильнее было бы звать ""Порядок и закон""?"	а ты кажется правильный звать порядок закон
Нет, ведь сначала арестовывают, а потом судят.	нет сначала арестовывать судить
Вот давай не со мной об этом.	вот давать я это
- Я не флиртовал. - Да ещё на годовщине. Стыдоба!	я флиртовать да ещё годовщина стыдоба
Что происходит?	что происходить
Чендлер подбивался к красивой доставщице.	чендлера подбиваться красивый доставщица
А вот и нет. И - о, боже! Ш-ш!	а нет и о бог шш
Извините, но вот и да. Уж кому и подбиваться к ней...	извинить да уж кома подбиваться она
...так это одинокому парню...	так это одинокий парень
...парню, который что-то может в этом отношении.	парень который чтоть отношение
"Звучит так, как будто кто-то хочет стать ""Мистер Доставщица-пиццы""."	звучать так ктоть хотеть стать мистер доставщицапицца
Так вот из-за чего сыр-бор. Тебе нравится Кейтлин?	так изз сырбора ты нравиться кейтлина
Росс, мы расстались два года назад. Ты успел уже жениться.	росс расстаться год назад ты успеть жениться
Я думаю, это нормально, если мы встречаемся с кем-то.	я думать это нормальный встречаться кемтый
Я наблюдал за ней как-то раз в пиццерии.	я наблюдать както пиццерия
А она была такой сексуальной и весёлой, и эти её маленькие...	а сексуальный весёлый её маленькая
Вот не надо сравнений.	вот сравнение
Пепперони, пепперони, пепперони.	пепперонить пепперонить пепперонить
Росс, она не дурна и нравится тебе, но не дурочка ли она?	росс дурной нравиться ты дурочка она
Она забыла мою вегетарианскую.	она забыть мой вегетарианский
Это отлично. Она должна будет прийти сюда с твоей пиццей.	это отлично она должный прийти сюда твой пицца
