cleaned_text	lemm_text
Так, выбери карту. Любую карту.	так выбрать карта любой карта
Хорошо, теперь запомни её.	хорошо запомнить её
Покажи всем.	показать весь
Готово?	готовый
Ладно. Давай её обратно мне.	ладный давать её обратно я
Пятёрка червей.	пятёрка черви
Значит волшебство существует.	значит волшебство существовать
Джоуи, как ты это делаешь?	джоуя это делать
Этого я вам сказать не могу.	это сказать мочь
У кого-то дверь за потолком.	у коготь дверь потолок
Это наш невообразимо шумный сосед сверху.	это наш невообразимый шумный сосед сверху
Он убрал ковры и теперь мы слышим абсолютно всё.	он убрать ковёр слышимый абсолютно весь
"А чего вы не пойдёте и не попросите его ""ходить слегка полегче""?"	а пойти попросить ходить слегка лёгкий
Я ходила раз пять уже. Но он такой привлекательный...	я ходить пять уже но привлекательный
...что если иду туда поорать, то в конце сама перед ним извиняюсь.	что идти туда поорать конец сам извиняться
О! Это же... глупо!	о это же глупо
Я пойду туда и скажу ему, чтобы был потише.	я пойти туда сказать он тихий
- Хорошо, пробуй, если хочется. - Удачи.	хорошо пробовать хотеться удача
Хорошо, хорошо...	хорошо хорошо
...если уж хотите знать, как это делается, то я покажу вам.	если хотеть знать это делаться показать вы
Когда ты отдавала мне карту, то, чего вы не заметили, было...	когда отдавать карта то заметить быть
...то, что я посмотрел на неё так быстро, что этого не видно невооружённым глазом.	то посмотреть она быстро видно невооружённый глаз
Я посмотрел.	я посмотреть
Снова посмотрел.	снова посмотреть
Сейчас я замедлюсь, чтобы вам, ребята, было заметно. Готовы?	сейчас замедлиться вы ребята заметно готовый
- А! Теперь понятно! - Ясно.	а теперь понятно ясно
Спасибо.	спасибо
Сезон 3, серия 11. Та, где Чендлер не помнит которая сестра.	сезон 3 серия 11 тот чендлера помнить который сестра
Есть у кого-нибудь верёвка около 2 метров длинной с петлёй на конце?	есть когонибудь верёвка около 2 метр длинный петля конец
- Дорогой, что случилось? - Я только что видел Дженис.	дорогой случиться я видеть дженис
Она была в Центре Рокфеллера, каталась на коньках со своим мужем. Такая счастливая.	она центр рокфеллер кататься конёк свой муж такой счастливый
Я так расстроился, что чуть не бросил в них кренделёк одного мальчика.	я расстроиться бросить кренделёк один мальчик
Помню, как я первый раз увидел Катрин после того, как мы расстались.	помнить один увидеть катрина тот расстаться
Она гуляла и разговаривала со своей подружкой Донной.	она гулять разговаривать свой подружка донна
Боже, это меня убило!	бог это убить
Да, но ведь всё кончилось тем, что ты переспал с ними обоими тогда.	да весь кончиться тем переспать они оба тогда
Извини, просто подвернулся повод рассказать эту историю.	извинить просто подвернуться повод рассказать история
Чендлер, вобще-то завтра будет праздник. Вот тогда и отвлечёшься.	чендлера вобщеть завтра праздник вот отвлечься
Я в порядке. Не надо из-за меня пропускать праздник.	я порядок не изз пропускать праздник
Это День рожденья Джоуи.	это день рождение джоуя
Ну да,.. если у кого-то праздник, то это обязательно будет он.	ну да коготь праздник это обязательно он
Не могу поверить, что она ещё там.	не мочь поверить ещё там
Ну, он совсем всё перепутал.	ну весь перепутать
На самом деле должно было быть так:..	на самый дело должный так
Ну, кофе уже готов, дорогая?	ну кофе готовый дорогой
Уже сейчас, Мр. Каплан.	уже сейчас мр каплан
Мне нельзя его пить. Иначе я становлюсь болтливым.	я пить иначе становиться болтливый
Я знаю.	я знать
