cleaned_text	lemm_text
<i><b>В предыдущих сериях</b></i>	ibв предыдущий серияхbi
Это называют схемой.	это называть схема
Как будто кто-то ставит эксперименты, а весь мир - его лаборатория.	как ктоть ставить эксперимент весь мир лаборатория
Можешь работать с кем захочешь.	мочь работать кто захотеть
Его зовут Уолтер Бишоп.	он звать уолтер бишоп
То есть я могла бы поговорить с Джоном?	то мочь поговорить джон
Ты получила доступ к его воспоминаниям.	ты получить доступ воспоминание
Послушай, ты влюбилась в напарника, он тебя предал. Он умер у тебя на руках.	послушать влюбиться напарник предать он умереть рука
Я его видела, вчера ночью.	я видеть вчера ночью
Привет, Лив.	привет лив
Я схватила пистолет. Но Джон исчез.	я схватить пистолет но джон исчезнуть
Пока ты была в этом баке... часть его сознания оказалась в твоем.	пока бак часть сознание оказаться твой
Наконец-то.	наконецтый
Привет.	привет
Я звонила тебе на мобильный.	я звонить ты мобильный
На Вест-сайде была зверская пробка. Уже начали?	на вестсайда зверский пробка уже начать
Да, Шарлотта уже двадцать минут пудрит им мозги.	да шарлотта двадцать минута пудрить мозги
Черт.	черта
Стой. Галстук.	стоять галстук
Да.	да
Не забудь документы.	не забыть документ
Спасибо.	спасибо
Выдохни.	выдохнуть
"Рынок ""Экстензалайф"" остается невероятно стабильным."	рынок экстензалайф оставаться невероятно стабильный
Особенно, учитывая недавние финансовые перетурбации на Уолл-стрит.	особенно учитывать недавний финансовый перетурбации уоллстрит
И позвольте предоставить слово тому, ради кого мы тут собрались.	и позволить предоставить слово тот ради кто собраться
Здравствуйте.	здравствовать
Марк...	марк
Прошу проения за опоздание. И спасибо за терпение.	просить проение опоздание и спасибо терпение
Его осталось немного.	он остаться немного
Ну да.	ну да
Приступим. Как вы видите на этом графике...	приступить как видеть графика
Ставка дохода по продуктам Экстензалайф за три года...	ставка доход продукт экстензалайф год
Что ж, мистер Янг, первый блин комом, но я сообщу совету директоров, что мы в надежных руках.	что ж мистер янг один блин ком сообщить совет директор надёжный рука
Спасибо.	спасибо
Вот зараза.	вот зараза
Что ж такое...	что такой
"<i><b>ГРАНЬ. 1.09 ""Наука сна""</b></i>"	ibгрань 109 наука снаbi
Лорен и Крейг придут. Помнишь Крейга? Из Южной Африки.	лорен крейг прийти помнить крейг из южный африка
Да, я его помню. А ты уверена, что Бобби не разозлится?	да помнить а уверить бобби разозлиться
Знаешь, Бет, не все любят сюрпризы.	знаешь бета любить сюрприз
Да ладно тебе. Он любит быть в центре внимания.	да ладный ты он любить центр внимание
Знаешь, сколько раз он говорил, что не хочет отмечать день рождения.	знаешь сколько говорить хотеть отмечать день рождение
В любом случае, я рада, что ты придешь. Мы уже сто лет нормально не общались.	в любой случай рада прийти мы сто год нормальный общаться
Да. Подожди минутку. Мне тут звонят.	да подождать минутка я звонить
Алло.	алло
Собери остальных и живо в аэропорт Мальборо.	собрать остальной живо аэропорт мальборо
Знаете, что, вы сейчас наверное решите, что я шучу, но это не так. Я ухожу.	знаете что наверное решить шутить это так я уходить
На следующие пару дней. А после выходных с удовольствием присоединюсь к остальным.	на следующий пара день а выходной удовольствие присоединиться остальной
Четырнадцатая полоса.	четырнадцать полоса
Самолет будет ждать.	самолёт ждать
Ну, и куда летим?	ну лететь
Мультинациональная корпорация, специализируется на секретных биоисследованиях и работе на минобороны.	мультинациональный корпорация специализироваться секретный биоисследование работа минобороны
"""Мэссив Дайнэмик""."	мэссив дайнэмик
Такое невинное название для корпорации, тебе не кажется?	такой невинный название корпорация ты кажется
Хм, странно.	хм странно
Что?	что
Раны на теле.	рана тело
Эти - безусловно от осколков стекла. Но эти - под рубашкой...	этот безусловно осколок стекло но рубашка
Как стекло повредило кожу, не повредив рубашку?	как стекло повредить кожа повредить рубашка
Падение с такой высоты может стать причиной открытых переломов и интенсивного внутреннего кровотечения.	падение высота стать причина открытый перелом интенсивный внутренний кровотечение
Что, мы, увы и наблюдаем. Но такие раны - очень вряд ли.	что мы увы наблюдать но такой рана очень вряд ли
Ну, и откуда же они появились?	ну откуда появиться
Пока слишком рано судить. Жаль, что у меня нет лаборатории. Я бы исследовал тело.	пока слишком рано судить жаль лаборатория я исследовать тело
Уолтер, у тебя есть лаборатория. В Гарварде.	уолтер лаборатория в гарвард
Да-да, есть. Еще бы.	дада есть ещё бы
Марк Янг был способным менеджером, без всяких признаков эмоционального расстройства.	марк янг способный менеджер всякий признак эмоциональный расстройство
На самом деле, он был одним из самых перспективных аналитиков. Коллеги его любили.	на самый дело один самый перспективный аналитик коллега любить
Тогда почему же он покончил с собой?	тогда почему покончить себя
Не хотелось бы показаться циником, агент Данэм, но когда управляешь корпорацией, где работают три тысячи человек...	не хотеться показаться циник агент данэма управлять корпорация работать тысяча человек
Привыкаешь к тому, что некоторые не выдерживают давления...	привыкать тот некоторый выдерживать давление
Которое возникает в связи с их обязанностями и характером нашей работы.	который возникать связь обязанность характер наш работа
"И что это должно значить? ""Характером нашей работы"""	и это должный значить характер наш работа
