cleaned_text	lemm_text
Меня зовут Фроде, и я не могу дождаться субботы!	я звать фродя мочь дождаться суббота
Будет летний праздник, а это лучший день в году!	быть летний праздник это хороший день год
ФРОДЕ И ОСТАЛЬНЫЕ НЕГОДНИКИ	фродя и остальной негодник
Тишина на лестнице!	тишина лестница
Можно хоть немного покоя? Я чуть не подавился булочкой.	можно немного покой я подавиться булочка
Извините. Мы спешим. - Может быть.	извинить мы спешить мочь быть
Но заставьте его соблюдать тишину! - Конечно.	но заставить соблюдать тишина конечно
И никакого футбола на лестнице!	и никакой футбол лестница
Доброе утро, дорогой г-н Сторм. Хорошо спалось?	добрый утро дорогой гн сторм хорошо спасться
Мне никогда не спится хорошо! - Какой ужас.	я спаться хорошо какой ужас
Доброе утро. - Доброе утро.	добрый утро добрый утро
Это мой первый день в школе. - Ба! Как ты вырос.	это один день школа ба как вырасти
Поздравляю. Как трогательно.	поздравлять как трогательно
Надеюсь там вставят чуточку ума в твои куриные мозги.	надеяться вставить чуточку ум твой куриный мозги
Хотя на это понадобится пара лет. - Фроде, нам пора!	хотя это понадобиться пара год фродя мы пора
Желаю замечательного первого дня, Фроде!	желать замечательный первое день фродя
...кто всё на свете замечает	кто весь свет замечать
Когда что делать всегда знает	когда делать знать
Кому не страшен	кома страшный
хитрый вор	хитрый вор
Их знает весь двор	они знать весь двор
Как раз вовремя, Вигго. Лучше придти раньше...	как вовремя вигго хороший прийти ранний
Чем опоздать. - Точно.	чем опоздать точно
Это Фроде и его шальные друзья	это фродя шальной друг
Это Фроде - они вместе до конца	это фродя вместе конец
Это Фроде и его шальные друзья	это фродя шальной друг
У меня в сумке бомба.	у сумка бомба
Ну ладно. Для фейерверка. - Хорошо.	ну ладный для фейерверк хорошо
Но большая.	но большой
Так... Доброе утро! - Доброе утро.	так добрый утро добрый утро
Доброе утро. И добро пожаловать. Волнуетесь?	добрый утро и добро пожаловать волноваться
Меня зовут Петер Матиес... 'Сыр между ног -	я звать петер матиес сыр нога
на дерево скок.' Это необычный способ.	дерево скок это необычный способ
Я ваш учитель и нам предстоит освоить множество всего нового.	я ваш учитель мы предстоять освоить множество новое
Прекратите! Середина парты здесь...	прекратить середина парта здесь
Бранишь мою дочь? Это твой сын начал.	бранить мой дочь это твой сын начать
Ну уж нет! - Я видел, как он локтем...	ну нет я видеть локоть
Прекратите! - Успокойтесь...	прекратить успокоиться
Он толкнул меня! - Нисколько.	он толкнуть я нисколько
Я лишь показывал. - Видите?	я лишь показывать видеть
У Вигго не осталось места. Ваш испорченный отпрыск...	у вигго остаться место ваш испортить отпрыск
Вот <i>теперь</i> толкнул.	вот iтеперьi толкнуть
Прямо в точку. - Я вынужден попросить вас.	прямо точка я вынужденный попросить вы
Ладно. Увидимся дома. - Пока.	ладный увидеться дом пока
Мои извинения. Это не повторится.	мой извинение это повториться
О-Эр будет ОР, Эф-О-Ге будет ФОГ,	оэр ор эфог фог
Эр-А будет РА, Эф-И-Я будет ФИЯ.	эра ра эфия фия
А вместе - ОРФОГРАФИЯ.	а вместе орфография
Нелёгкое это занятие, но вот задание полегче.	нелёгкий это занятие задание лёгкий
Кто-нибудь знает, как пишется слово 'лёд'?	ктонибыть знать писаться слово лёд
Вигго, подними руку. Кто-то поднял руку.	вигго поднять рука ктоть поднять рука
Так. Вигго, как?	так вигго как
Эл-Ё-Дэ, лёд. - Правильно.	элёдэ лёд правильно
Мы всё лето занимались...	мы весь лето заниматься
...тяжело это, когда друзья на пляже, но вот ему награда.	тяжело это друг пляж награда
Я вынужден попросить вас. - Уйдите.	я вынужденный попросить вы уйти
Нет, вы. - Вы о ней?	нет вы вы она
Они должны сосредоточиться. Мне жаль.	они должный сосредоточиться я жаль
Мне?	я
Может напомнить, что я член школьного совета.	мочь напомнить член школьный совет
Хорошо...	хорошо
Вигго, папа лучше подождёт на улице.	вигго папа подождать улица
Слава Богу, что родителей приглашают лишь на первый день.	слава бог родитель приглашать лишь один день
Да! - Хорошо, начнем.	да хорошо начать
Прекрати это прыганье! - Но это так весело.	прекратить это прыганье но это весело
Весело?! Тебе это весело?	весело ты это весело
О Господи, у тебя на уме одни игры да веселье!	о господь ум один игра веселие
Это шумно!	это шумно
Эй! Похоже ты мог бы заниматься проделками.	эй похоже мочь заниматься проделка
А что это? - Ты не устраиваешь проделок в школе?	а это ты устраивать проделка школа
Нет. - Будешь. Давай.	нет быть давать
Школа сплошное удовольствие, если время от времени устраивать проделки.	школа сплошной удовольствие время время устраивать проделка
Устраивать проделки? - Да, в подходящее время.	устраивать проделка да подходящий время
Выставлять на смех учителя!	выставлять смех учитель
Дамы и господа! Час прыжков!	дама господин час прыжок
Ух! Как здорово! Как тебя зовут?	ух как здорово как звать
Меня называют Симме. - Привет, Симме.	я называть симма привет симма
Ларис, смотри! Мы с Симме сделали штукарский батут!	лариса смотреть мы симма сделать штукарский батут
Класс! - Можно будет использовать его на празднике.	класс можно использовать праздник
Ты слышал о сюрпризе? - Что?	ты слышать сюрприз что
Слон! - Слон?	слон слон
Папа Стинне одолжил его. Все мы сможем покататься.	папа стинна одолжить он весь смочь покататься
Ух ты! Слон! Это будет самый лучший праздник!	ух ты слон это самый хороший праздник
Привет, Ирен. - Это ж не...?	привет ирена это не
Привет, г-жа Свифт. - Конечно он!	привет гжа свифт конечно он
Прекратите эти обезьяньи штуки в нашем дворе!	прекратить обезьяний штука наш двор
Я спускаюсь, чтобы прекратить это!	я спускаться прекратить это
Ай, Фроде! Это правда высоко!	ай фродя это правда высоко
Ты должен купить молока. Можешь поехать на велике.	ты должный купить молоко мочь поехать велик
А мороженое можно? - Да, если поспешишь.	а мороженое можно да поспешить
Тогда я сказал этому нюне принести пончиков.	тогда сказать это нюня принести пончик
А потом что ты сделал, Слим?	а сделать слить
Я порезал шины на его велике. Он ревел как младенец.	я порезать шина велик он реветь младенец
Ну, ну, Фроде-хозяин. Спешишь мамке в магазин?	ну ну фродехозяин спешить мамка магазин
А нам что принесёшь?	а мы принести
Пончики. - И лучше большие.	пончик и большой
Тогда мне не хватит на мороженое. - Не будь плаксой.	тогда хватить мороженое не быть плакса
Неси пончики, или мы порежем тебе шины.	нести пончик порезать ты шина
Эй, малыш, не грусти!	эй малыш грусть
Хоть с делами скверно	хоть дело скверный
Всё ещё впереди -	весь ещё впереди
Первым станет последний...	один стать последний
To be the smallest of the big ones	to be the smallest of the big ones
To be the smallest of the big ones	to be the smallest of the big ones
It takes some guts to see it through	it takes some guts to see it through
Like the last one of the first ones the best ones	like the last one of the first ones the best ones
Cannot hide it life is tough and trying	cannot hide it life is tough and trying
Believe in what you're feeling now	believe in what youre feeling now
As the smallest of the biggest	as the smallest of the biggest
Then all will work out fine	then all will work out fine
Свежие.	свежий
Что ты делаешь? Я принёс пончики!	что делать я принести пончик
Ты не очень торопился.	ты очень торопиться
Сколько мы уже голодаем?	сколько голодать
Вот столько. - Ещё дольше!	вот столько ещё долгий
Осёл!	осёл
И вот что я вам скажу, ты говнюк -	и сказать говнюк
и ты надоедливый жирняк.	надоедливый жирняк
