cleaned_text	lemm_text
Остановился.	остановиться
Какой?	какой
Седьмой.	семь
Запускай секундомер.	запускать секундомер
С ним все в порядке?	с порядок
Да, вполне.	да вполне
Стоп.	стоп
Что это значит?	что это значит
Ничего.	ничто
Иди сюда.	идти сюда
В общем, логика такая:	в общий логика такой
если крысу силой поместить в неприятную ситуацию	крыса силой поместить неприятный ситуация
т.е. бросить в аквариум	тот бросить аквариум
то она будет колебаться между попытками выбраться	колебаться попытка выбраться
или покориться судьбе.	покориться судьба
Ага, и этот парень сдался.	ага парень сдаться
Сегодня да.	сегодня да
А обычно как?	а обычно как
Тоже.	тоже
Я пытаюсь понять, насколько беспомощным он себя чувствует.	я пытаться понять насколько беспомощный чувствовать
И почему сегодня больше, чем вчера.	и почему сегодня большой вчера
Но, похоже, что мистер Седьмой никогда не против сдаться.	но похоже мистер семь против сдаться
Сможешь подписать кое-что для меня, Ларри?	смочь подписать коечто я ларри
Конечно.	конечно
- Спасибо. - Мисси, это мой друг, Брайан Уэверсби.	спасибо миссь это друг брайан уэверсби
Привет	привет
Привет, Брайан. Приятно познакомиться.	привет брайан приятно познакомиться
- Ты здесь работаешь? - Нет.	ты работать нет
Мы вместе учились.	мы вместе учиться
Серьезно?	серьёзно
Он выглядит намного старше тебя.	он выглядеть намного старший ты
Спасибо.	спасибо
Мисси защитила диссертацию по нейробиологии	миссь защитить диссертация нейробиология
Они изучает агрессию и сексуальное поведение монгольских грызунов.	они изучать агрессия сексуальный поведение монгольский грызунов
Ага. Каждый день играю с их членами.	ага каждый день играть член
Правда?	правда
Нет... Только с их мозгами.	нет только мозги
Простите. Что-то я странное сказала.	простить чтоть странный сказать
Немного.	немного
Мне пора. Было приятно познакомиться.	я пора быть приятно познакомиться
Еще раз извини.	ещё извинить
Если бы она только знала, сколько раз в день	если знать сколько день
я мастурбировал, думая о ней,	мастурбировать думать она
Она бы, наверное, подала в суд на университет.	она бы наверное подать суд университет
И была бы права. Это недопустимо.	и право это недопустимый
Да.	да
Так почему же некоторые плавают, а некоторые нет?	так почему некоторый плавать некоторый нет
Сложно сказать.	сложно сказать
Никто не знает, насколько беспомощной может чувствовать себя крыса.	никто знать насколько беспомощный чувствовать крыса
Зато мы знаем, что препараты, которые мы им даем,	зато знать препарат который давать
чтобы они больше плавали -	плавать
это те же препараты, которые помогают людям *типа тебя*	это тот препарат который помогать человек тип ты
справляться с депрессиями.	справляться депрессия
Антидепрессанты?	антидепрессант
Ага. Антидепрессанты.	ага антидепрессант
А ты знал, что женщины в 20 раз чаще находятся в депрессии, чем мужчины?	а знать женщина 20 чаща находиться депрессия мужчина
А может и больше.	а большой
Не помню точные цифры, но намного чаще.	не помнить точный цифра намного чаща
Это хорошо.	это хорошо
Для мужчин.	для мужчина
Я бы так не сказал, если взглянуть на это с гетеросексуальной точки зрения.	я сказать взглянуть это гетеросексуальный точка зрение
Согласен.	согласный
Ах ты ублюдок!	ах ублюдок
Вот сволочь!	вот сволочь
Хватит! Хватит! Хватит! Хватит!	хватить хватить хватить хватить
Стоп! Стоп! Стоп!	стоп стоп стоп
ОГРОМНЫЙ	огромный
О, черт. Что с тобой случилось?	о черта что ты случиться
Мы играли, напоролся на локоть.	мы играть напороться локоть
Черный? Белый?	чёрный белый
Определенно белый.	определённо белый
Эй, Кевин! Обед.	эй кевин обед
Слушай, у меня есть мини-бургеры	слушай минибургера
Их полно, если хочешь.	они полно хотеть
Как дела? Неплохо.	как дело неплохо
Привет, Кев.	привет кев
Хочешь?	хотеть
Нет, спасибо.	нет спасибо
Как все прошло с парнем с Уолл стрит?	как прошлый парень уолл стрит
Похоже, я ему продал 5 кроватей.	похоже продать 5 кровать
Пять кроватей? Зачем ему пять?	пять кровать зачем пять
У него пять спален.	у пять спальный
Мудро.	мудро
Зашел выбрать их для нового дома.	зайти выбрать новое дом
Я его спросил, как идет сезон бонусов.	я спросить идти сезон бонус
И?	и
Он заржал и завизжал, как свинья.	он заржать завизжать свинья
Парню, блин, 28.	парень блин 28
Что такое сезон бонусов?	что такой сезон бонус
Каждый год банки выдают бонусы.	каждый год банка выдавать бонус
Большие бонусы. Пару миллионов.	большой бонус пара миллион
Я занимаюсь не тем делом.	я заниматься дело
В итоге,	в итог
я уложил его на эту Skona.	уложить skona
Уговорил его снять туфли, принес ему чашечку чая.	уговорить снять туфля принести чашечка чай
Он полежал пару минут.	он полежать пара минута
Я задал ему пару вопросов о работе,	я задать пара вопрос работа
он рассказал об успехах и - бах! Пять кроватей!	рассказать успех бах пять кровать
Можно продать что угодно кому угодно,	можно продать угодный кома угодный
если его выслушать.	выслушать
Эти места вгоняют в меня депрессию.	этот место вгонять депрессия
Мне сама идея их не нравится.	я сам идея нравиться
- Магазины? - Ты знаешь, о чем я.	магазин ты знаешь я
- Давайте я позову кого-нибудь. - Господи...	давать позвать когонибудь господь
Это поможет, они знают свое дело.	это помочь знать свой дело
Хорошо, но у меня нет времени слушать речи. Мне просто нужна чертова кровать.	хорошо время слушать речь я просто нужный чертовый кровать
Подождите здесь.	подождать здесь
Здрасьте. Могу чем-то помочь?	здравствовать мочь чемтый помочь
Да. Моему боссу нужна кровать.	да мой босс нужный кровать
Ок.	ок
И у него мало времени.	и мало время
Мне кажется, эта кровать набита тестом.	я кажется этот кровать набитый тест
Это кровать с лошадиным волосом.	это кровать лошадиный волос
Это кровать с дерьмом, вот что это такое.	это кровать дерьмо это такой
А это?	а это
Это Lady Englander Americana серии 400.	это lady englander americana серия 400
Продавец с фингалом.	продавец фингал
Ему можно верить.	он верить
Получше.	хороший
Хотя на ощупь, как доска.	хотя ощупь доска
Вот немного литературы.	вот немного литература
Я не новичок в этом деле, сынок.	я новичок дело сынок
Ок. Давайте так: если у вас будут какие-то вопросы,	ок давать так быть какиеть вопрос
буду рад помочь. Я буду тут рядом.	быть рад помочь я быть ряд
Нет, нет, нет.	нет нет нет
Теперь мы вместе: ты, я и этот педик.	теперь вместе ты педик
Я пришел сюда, чтобы купить кровать, и у меня нет времени	я прийти сюда купить кровать время
бегать за тобой в твой уголок с видео-играми.	бегать ты твой уголок видеоигра
Я знаю, чем вы, ребята, тут занимаетесь целыми днями.	я знать вы ребята заниматься целое днями
Играете в тетрис, а притворяетесь, что работаете.	играть тетрис притворяться работать
А это что? Саркофаг?	а это что саркофаг
Это Skona Sangar серии 770.	это skona sangar серия 770
3000 пружин.	3000 пружина
Лучшая кровать на рынке. Швеция.	хороший кровать рынок швеция
Пошутил?	пошутить
Да. Хороша.	да хороший
Попробуй, Гарри.	попробовать гарри
Не бойся, я не буду тебя трогать.	не бояться быть трогать
Не нужно меня стесняться.	не нужно стесняться
Я знаю, как ты проводишь выходные.	я знать проводить выходной
Куча гомиков на Fire Island (в Нью-Йорке),	куча гомик fire island в ньюйорк
забивающих друг в друга.	забивать друг друг
- Отвратительно. - Приятно.	отвратительный приятно
Да? Готов поспорить, что ты не против вытащить парочку таких туда.	да готовый поспорить против вытащить парочка такой туда
Собрать всех своих дружков	собрать свой дружков
и устроить отвратительную оргию.	устроить отвратительный оргия
Готов поспорить, что вы бы тоже хотели присоединиться.	готовый поспорить хотеть присоединиться
Ладно, встаем.	ладный вставать
Итак, что за история про эту кровать?	итак история кровать
Это последняя кровать, которую вы покупаете...	это последний кровать который покупать
Это первая кровать, которую я собираюсь купить. Сколько?	это один кровать который собираться купить сколько
Американских? Это куча денег за чертову кровать.	американский это куча деньга чёртов кровать
Ладно.	ладный
Я пришлю мою девочку после обеда, взглянуть,	я прислать мой девочка обед взглянуть
уладить все с финансами.	уладить финансы
Ты сказал 14 штук. Ни пенни больше,	ты сказать 14 штука ни пенни большой
свои еврейские штучки оставь для других.	свой еврейский штучка оставить другой
Ты ведь не... еврей, нет?	ты не еврей нет
- Нет, но... - Хорошо. Это просто такое выражение.	нет но хорошо это просто такой выражение
Я сам наполовину еврей.	я наполовину еврей
Я работаю с евреями, они меня обманывают целыми днями, так что я могу так говорить.	я работать еврей обманывать целое днями мочь говорить
Хорошо, еще доставка и упаковка...	хорошо доставка упаковка
Нет, четырнадцать штук.	нет четырнадцать штука
Ты справишься.	ты справиться
Пойдем, Гарри. Это место меня вгоняет в депрессию.	пойти гарри это место вгонять депрессия
