cleaned_text	lemm_text
Дамы и господа!	дама господин
История нашего голубого карбункула началась в Индии.	история наш голубой карбункул начаться индия
И начало ее было жутковатым.	и начать жутковатый
Первой его жертвой оказалась змея неизвестной породы	один жертва оказаться змея неизвестный порода
проглотившая огромный алмаз.	проглотить огромный алмаз
Второй жертвой был несчастный слон	два жертва несчастный слон
Имени его никто не помнит, поскольку третьей жертвой	имя никто помнить поскольку три жертва
стал его погонщик, фамилия которого тоже утрачена	стать погонщик фамилия который утратить
Слон честно работал на лесоповале, а погонщик восседал	слон честно работать лесоповал погонщик восседать
на нем и давал слону некоторые полезные советы	немой давать слон некоторый полезный совет
Слон его понимал, потому что понимал человеческое к нему	слон понимать понимать человеческий он
отношение но, ничего не смыслил в отношениях человеческих	отношение но смыслить отношение человеческий
и погиб из-за недостатка образования.	погибнуть изз недостаток образование
И пошла цепочка убийств, такая привычная для тех времен.	и пошлый цепочка убийство такой привычный тот время
И из-за такого предмета.	и изз такой предмет
Наконец алмаз превратился в бриллиант.	наконец алмаз превратиться бриллиант
И из-за необыкновенной величины и прелестной окраски	и изз необыкновенный величина прелестный окраска
"получил название ""Голубого Карбункула"""	получить название голубой карбункул
Драгоценности редко задерживаются у обездоленных.	драгоценность редко задерживаться обездолить
Вот и карбункул оказался у смазливого магараджи Рай Пали, но	вот карбункул оказаться смазливый магараджа рай пасть
и он с ним расстался... Конечно, виноваты в том женщины	расстаться конечно виноватый женщина
к тому же англичанки, и к тому же вдовы.	тот англичанка тот вдовый
Графиня Мар Кар, она то и привезла наш бриллиант в Лондон.	графиня мара кара привезти наш бриллиант лондон
Погода то, что надо, ни капли господа.	погода то надо капля господин
Туман и слякоть, только и всего,	туман слякоть всего
Прекрасная пора, ура гип-гип, ура!	прекрасный пора ура гипгип ура
Британия встречает рождество.	британия встречать рождество
Извольте приодеться.	изволить приодеться
А если, Ваш костюм не слишком защищает от дождей.	а если ваш костюм слишком защищать дождь
Примите бодрый вид.	принять бодрый вид
А насморк и бронхит извольте отложить на пару дней.	а насморк бронхит изволить отложить пара день
Британец - это британец.	британец это британец
В легкий мороз, и в летний зной.	в лёгкий мороз летний зной
Так кричать ли, там ли, здесь ли, на своем посту	так кричать ли ли ли свой пост
