cleaned_text	lemm_text
Потягушеньки...	потягушенек
Пора вставать.	пора вставать
Это папа.	это папа
А это?	а это
Это мама.	это мама
А это кто?	а это кто
Это Саша.	это саша
А это кто?	а это кто
А это Савка.	а это савка
Че надо?	че надо
Ааа...Понятно.	ааапонятный
А че это они на рыбалку собрались без червяков? Подозрительно...	а че это рыбалка собраться червяк подозрительно
Няня, а меня правда в речке поймали?	няня правда речка поймать
Ага, как в прошлый раз: поехали на рыбалку без червяков, а поймали тебя...	ага прошлый раз поехать рыбалка червяк поймать ты
Скажи, Насть?	сказать настя
Скройся с глаз!	скрыться глаз
Давай!Давай, Темка! Ну! Ну!	давайдавать тёмкий ну ну
Ну бей! Давай, а?!Давай!	ну бить давать адавать
Давай! Ну?! Еще, ну?!	давать ну ещё ну
Давай, Тема!Давай!	давать темадавать
Еще! Еще! Бей!	ещё ещё бить
Ну?!Давай!	нудавать
На!!!	на
Ну?! Она моя, понял?	ну она мой понять
На!	на
Забью!	забить
Замучаешься!	замучиться
Ну давай!	ну давать
Она моя! Да ну?!	она мой да ну
Да!	да
На!	на
Проси пощады!	просить пощада
Пацаны, вы че? Завязывайте!	пацан че завязывать
Уйди!	уйти
Насть, там Пашка с Севкой дерутся.	настя пашка севка драться
Где? За школой.	где за школа
Так... А что происходит?	так а происходить
Громова, куда вы?	громов вы
Гайдамал!	гайдамаленький
Да что сегодня происходит?	да сегодня происходить
А где все ребята?	а ребята
Прекратите!	прекратить
Они соперничают во всем: в учебе, в своем влиянии на окружение...	они соперничать весь учёба свой влияние окружение
И никто друг другу не уступит, не отойдет в сторону.	и никто друг друг уступить отойти сторона
Добром это не кончится.	добром это кончиться
Здрасьте.	здравствовать
Здравствуйте.	здравствовать
Николай Степаныч, честно говоря мы ждали не вас.	николай степаныч честно говорить ждать вы
А кого же?	а кто же
Мы хотели обсудить эту проблему в женском кругу,	мы хотеть обсудить проблема женский круг
ждали вашу супругу.	ждать ваш супруг
Ну и обсудили?	ну обсудить
Обсудили.	обсудить
К чему пришли?	к что прислать
Это будет просто трагедия...	это просто трагедия
Последняя драка это последний звоночек для нас,	последний драка это последний звоночек мы
в следующий раз они поубивают друг друга.	следующий поубивать друг друг
А вы, Марья Гениадьевна?	а вы марья гениадий
Вы что думаете?	вы думать
А я на ваших детей повлиять никак не могу.	а ваш ребёнок повлиять никак мочь
Ты, Мария, на Настю свою повлияй...	ты мария настя повлиять
Ну пусть определится! Что она мечется между одним и другим?	ну пусть определиться что метаться один другой
Ли, я обязательно поговорю с Настей!	ли обязательно поговорить настя
Ну вот и договорились! А я с Пашкой поговорю.	ну договориться а пашка поговорить
Попробую ему мозги на место поставить.	попробовать мозги место поставить
А я в свою очередь Семке мозги вправлю, и отца к этому подключу.	а очередь сёмка мозги вправить отец это подключить
Хорошо, что вы понимаете всю сложность ситуации,	хорошо понимать сложность ситуация
и проблему мы можем решить только совместными действиями.	проблема мочь решить совместный действие
Маша!	маша
Ну и что ты об этом думаешь?	ну думать
Думаю, что это у них серьезно.	думать это серьёзно
Представляешь, что будет, если они...	представлять быть они
Нет, этого нельзя допустить.	нет допустить
Ты...ты поговори, пожалуйста, с Павлом,	тыть поговорить пожалуйста павел
а я с Настей поговорю.	настя поговорить
Давай дождемся окончания школы?	давать дождаться окончание школа
Неизвестно, как эта новость на них повлияет,	неизвестно этот новость повлиять
чего доброго учебу забросят или еще что нибудь...	добрый учёба забросить нибыть
А если они...	а они
Нет, без ''если'', я этого не допущу.	нет если допустить
Хорошо.	хорошо
Маша! Меня в Москву зовут, в Министерство,	маша я москва звать министерство
я уже новому директору все документы сдал.	новый директор документ сдать
Вот и поезжай. И Павла с собой заберешь.	вот поехать и павел себя забрать
Ты мне нужна!	ты нужный
Все заново начнем, вместе...	весь заново начать вместе
Почти двадцать лет прошло, а я как пацан...	почти двадцать год прошлый пацан
Каждый день о тебе думаю...	каждый день ты думать
Коль, ты свой выбор уже давно сделал.	коль свой выбор давно сделать
Я знал, что ты это скажешь.	я знать это сказать
Я хочу, чтоб ты меня услышала.	я хотеть услышать
