cleaned_text	lemm_text
Что ж неплохое начало.	что неплохой начать
Красивая картина.	красивый картина
Но рамка подкачала. Не так ли?	но рамка подкачать не ли
Если абстрагироваться от эпохи поризма...	если абстрагироваться эпоха поризм
то я с удовольствием констатирую, что это, по-моему, рассвет раннего импрессионизма...	удовольствие констатировать это помоему рассвет ранний импрессионизм
Да вы знаток...	да знаток
А как же? Иначе я бы пришел сюда?	а же иначе прийти сюда
- Вы вооружены? - Зачем?	вы вооружённый зачем
- Вы застрахованы? - Само собой...	вы застраховать сам себя
Будьте любезны, скажите название своей страховой компании?	быть любезный сказать название свой страховой компания
Это упростит поиск, чем скорей вы подпишите контракт, тем скорее вы получите картину.	это упростить поиск скорый подписать контракт скорее получить картина
"Страховая компания ""Лойд"", бульвар Капуцинно."	страховой компания лойда бульвар капуцинный
Отлично!	отлично
Они меня знают.	они знать
А я нет. Это верно.	а нет это верно
Простите что не представился... Александр де Ламбрез.	простить представиться александр де ламбреза
Мадам... я благословляю нашу встречу.	мадам благословлять наш встреча
Моя профессия не часто дает такую счастливую возможность.	мой профессия часто давать такой счастливый возможность
Чтобы не быть у вас в долгу...	чтобы долг
Позвольте заметить, что не часто воры бывают так любезны.	позволить заметить часто вор бывать любезный
Мсье де Ламбрез, могу я попросить проводить меня в спальню. Я боюсь темноты.	мсьё де ламбреза мочь попросить проводить спальня я бояться темнота
Я и сам боялся темноты, когда был ребенком.	я бояться темнота ребёнок
В нашем огромном имении...	в наш огромный имение
в Лисабоне... я бегал по полям...	лисабон бегать поль
Александр! Брось меня на кровать!	александр бросить кровать
Зови меня Ирен...	звать ирена
Опомнитесь! Вы поддались чувствам.	опомниться вы поддаться чувство
- В такой поздний час. - Свяжи меня. Говори грубости.	в поздний час связать я говорить грубость
- Где я хороша... - Да, но мы только не успеем...	где хороший да успеть
- Нет, успеем. Служанка придет только утром.	нет успеть служанка прийти утром
- А ваш муж? - Он в Страсбурге. Строит новую Европу.	а ваш муж он страсбург строить новый европа
Что только не бывает на свете.	что бывать свет
Дюпре. Домой идешь?	дюпра домой идти
Да, шеф. Я вам купил эклеры.	да шеф я купить эклер
Спасибо.	спасибо
- Дюпре! - Здесь!	дюпра здесь
- Оле! - Здесь!	оля здесь
- Робе! - Здесь!	роба здесь
В 14 отделении из отпуска вернулись все, господин директор.	в 14 отделение отпуск вернуться весь господин директор
Господа... как вы видите... несмотря измышления прессы, заключенные возвращаются.	господин видеть несмотря измышление пресса заключённый возвращаться
Да, господин директор.	да господин директор
- Дюпре. - Да, господин директор.	дюпра да господин директор
Номер двадцать семь двенадцать.	номер двадцать семь двенадцать
- Что вы делали в отпуске, Дюпре. - В отпуске?	что делать отпуск дюпра в отпуск
Дюпре, осторожней.	дюпра осторожный
Отпуск, господин директор, я провел с пользой.	отпуск господин директор провести польза
Обошел все бюро по трудоустройству и узнал, что ручной труд снова в почете.	обойти бюро трудоустройство узнать ручной труд снова почёт
Хороший слесарь, работу найдет, господин директор.	хороший слесарить работа найти господин директор
Верно Дюпре, верно.	верно дюпра верно
- Так что, я тряхну стариной, господин директор? - Хорошо.	так что тряхнуть старина господин директор хорошо
Спасибо, господин директор.	спасибо господин директор
За такие благие намерения, Дюпре вышел на свободу гораздо раньше.	за такой благой намерение дюпра выйти свобода гораздо ранний
А наш бравый молодец тряхнул стариной на берегах Адриатики.	а наш бравый молодец тряхнуть старина берег адриатик
Вдоль которой прогуливались несколько миллиардеров от Сицилии до Монако.	вдоль который прогуливаться несколько миллиардер сицилия монако
Пассажиры и пассажирки были без ума от неотразимого магараджи Дедудебишаны Барбабадаи.	пассажир пассажирка ум неотразимый магараджа дедудебишан барбабадай
Но все его внимание было приковано к миссис Шварц.	но внимание приковать миссис шварц
Той самой в джинсовой рубашке Шварц.	тот самый джинсовый рубашка шварц
- Прелестно... Великолепно... С каждым годом вы все лучше и лучше.	прелестно великолепно с каждый год хороший
- Как вы? - Замечательно.	как вы замечательный
- Приятно вас видеть.	приятно видеть
Ваши миниатюры прелестны, дорогой.	ваш миниатюра прелестный дорогой
Но, по-моему, вы чересчур много просите за них.	но помоему чересчур просить они
40000 долларов за приключения обезьяньего бога? Вы так думаете? Такую цену никому бы не приложил.	40000 доллар приключение обезьяний бог вы думать такой цена никто приложить
Согласна.	согласный
Но я оплачу тремя трехтысячными векселями.	но оплатить три трехтысячный вексель
- А может всем капиталом? - А может мы поженимся?	а весь капитал а пожениться
Выйти в замуж в 43 года, разве я сумасшедшая?	выйти замуж 43 год сумасшедший
Вопрос остался без ответа. Принц уже положил глаз на миллионы миссис Памела Иглен Джордж.	вопрос остаться ответ принц положить глаз миллион миссис памела иглен джордж
И возвращение к его профессии, стало менее болезненным.	и возвращение профессия стать менее болезненный
