cleaned_text	lemm_text
Кинокомпания «Тохо» представляет	кинокомпания «тохо» представлять
Фильм производства «Кацу продакшен»	фильм производство «кац продакшен»
<i>Полицейское управление при магистрате Северного округа</i>	iполицейский управление магистрат северный округаi
Клятва.	клятва
Не брать взяток.	не брать взятка
Не злоупотреблять властью.	не злоупотреблять власть
Ненавидеть преступление, а не преступника.	ненавидеть преступление преступник
Помнить о своих обязанностях и о долге.	помнить свой обязанность долг
Не компрометировать власть.	не компрометировать власть
Те, кто нарушат эту клятву,	тот нарушить клятва
будут наказаны богами.	быть наказать бог
Я, Магобэй Ониси, начальник полиции, клянусь в этом.	я магобэй ониси начальник полиция клясться это
— Клянусь. — Клянусь.	— клясться — клясться
Следующий — офицер Хандзо Итами.	следующий — офицер хандзый итами
Хандзо!	хандзый
Ты меня слышишь?	ты слышать
Слышу.	слышать
Я знаю, это только формальность,	я знать это формальность
но я не могу предать свои принципы и скрепить эту клятву кровью.	мочь предать свой принцип скрепить клятва кровь
Пожалуйста, продолжайте.	пожалуйста продолжать
Ты!	ты
Ты утверждаешь, что наша клятва — формальность?	ты утверждать наш клятва — формальность
Это оскорбление!	это оскорбление
Непростительно!	непростительно
Ты говоришь, что не можешь поклясться, не предав свои принципы.	ты говорить мочь поклясться предать свой принцип
Значит, ты злоупотребляешь властью и берёшь взятки!	значит злоупотреблять власть брать взятка
Вовсе нет.	вовсе нет
Но наше управление принимает подарки от вассалов даймё,	но наш управление принимать подарок вассал даймё
которые хотят избегнуть трений с полицией.	который хотеть избегнуть трение полиция
Это факт.	это факт
И факт то,	и факт то
что нам присылают подарки держатели борделей и торговцы.	мы присылать подарок держатель бордель торговец
Я служу в этом управлении,	я служить управление
и хотя я не получил денег,	хотя получить деньга
я некоторым образом к этому причастен.	некоторые образ это причастный
Поэтому я отказываюсь от клятвы.	поэтому отказываться клятва
Что за взятки, офицер Ониси?	что взятка офицер ониси
Снисходительность к чему-то за деньги?	снисходительность чемуть деньга
Из-за взяток мы стали слишком сговорчивыми.	изз взятка стать слишком сговорчивый
Мы не обращаем внимания на жестокость самураев.	мы обращать внимание жестокость самурай
Мы закрываем глаза на то, что творится в борделях Ёсивары.	мы закрывать глаз то твориться бордель ёсивар
Мы не арестовываем многих торговцев.	мы арестовывать многий торговец
Не распускай язык, Хандзо.	не распускать язык хандзый
Не ссорьтесь.	не ссориться
Перечить вышестоящим? Нахальство!	перечить вышестоящий нахальство
Замолчи и послушай!	замолчать послушать
Наш долг не в том, чтобы защищать богатых самураев и Ёсивару.	наш долг тот защищать богатый самурай ёсивар
Мы должны защищать сотни тысяч горожан и крестьян Эдо.	мы должный защищать сотня тысяча горожанин крестьянин эдо
Запишите это перед тем, как клясться.	записать это тем клясться
Тогда я подпишу это своей кровью.	тогда подписать это свой кровь
— Ты! — Хандзо, ты…	— ты — хандзый ты…
Успокойся!	успокоиться
Хандзо Итами!	хандзый итами
Сколько лет ты служишь в полиции?	сколько год служить полиция
Четыре года.	четыре год
И ты ни разу не приносил эту клятву?	и раз приносить клятва
В первый год он был болен. Год спустя находился на дежурстве.	в один год больной год спустя находиться дежурство
На третий год снова заболел. А в этом году	на три год снова заболеть а год
наконец-то показался и вот что говорит.	наконецтый показаться говорить
