cleaned_text	lemm_text
Нет!	нет
Я держу тебя.	я дерзить ты
Все в порядке.	весь порядок
О, Боже.	о бог
Все хорошо.	весь хорошо
- О, Боже. - Давай.	о бог давать
О, Боже.	о бог
Держи.	держать
Они все мертвы.	они мёртвый
Он их всех убил.	он убить
Никак я не могу понять людей.	никак мочь понять человек
Болота Медового Острова закрыты уже несколько десятилетий.	болото медовый остров закрытый несколько десятилетие
Но каждый раз находится сукин сын, который думает, что он умнее всех.	но каждый находиться сукин сын который думать умный весь
Я знаю.	я знать
Позволь мне угадать, ты в призраков не веришь.	позволить угадать призрак верить
Ты думаешь, что Виктор Кроули - это легенда?	ты думать виктор кроули это легенда
Я просто хотела найти свою семью...	я просто хотеть найти семь
Моего брата и моего отца.	мой брат мой отец
Он их всех убил.	он убить
И какого черта они там делали?	и какой черта делать
Ночная рыбалка.	ночной рыбалка
Папа охотился на аллигаторов.	папа охотиться аллигатор
Они хотели добыть в два раза больше.	они хотеть добыть раз большой
И стали охотиться подальше от всех остальных.	и стать охотиться далёкий остальной
Нам нужны были деньги после того, как моя мама умерла.	мы нужный деньга тот мама умереть
Господи.	господь
Теперь я совершенно одна.	теперь совершенно один
Твой отец должен был знать...	твой отец должный знать
Каждый охотник здесь знает, что нельзя ходить в эти чертовы болота.	каждый охотник знать ходить чертовый болото
"Я им всем говорю: ""Держитесь подальше!"""	я весь говорить держаться далёкий
А они все называют меня сумасшедшим.	а называть сумасшедший
Они думают, что я больной на голову.	они думать больной голова
Выпей это. Согреешься.	выпить это согреться
Итак, все по порядку.	итак порядок
Я должен выяснить, где ты живешь.	я должный выяснить жить
Чтобы доставить тебя к доктору.	чтобы доставить доктор
Я думаю, мне нужно обратится в полицию.	я думать нужно обратиться полиция
В полицию?	в полиция
Чтобы просто заполнить отчет о пропавших без вести,	чтобы просто заполнить отчёт пропасть вести
как и сотни других в этой местности?	сотня другой местность
Ты никогда оттуда не выберешься.	ты оттуда выбраться
Но я знаю, где находятся их тела.	но знать находиться тело
Ну, да, конечно.	ну да конечно
Легавые из большого города обязательно приедут,	легавый большой город обязательно приехать
и начнут искать улики...	начать искать улика
И что же мне остается делать?	и оставаться делать
Никогда больше сюда не возвращаться.	никогда сюда возвращаться
Черт, тебе ведь повезло.	черта ты повезти
Ты живой выбралась, целой и невредимой!	ты живой выбраться целый невредимый
Послушай, мисс, я не знаю, как тебя зовут...	послушать мисс знать звать
Мэрибет.	мэрибета
Мэрибет Данстон.	мэрибета данстон
Матерь божья, ты - дочка Сэмсона?	матерь божий дочка сэмсон
Да.	да
Пошла вон!	пошлый вон
- Что? - Пошла вон из моего дома!	что пошлый вон мой дом
Убирайся, сейчас же!	убираться же
Вы знали моего отца?	вы знать мой отец
Нет.	нет
Но я знаю, что твой отец сделал.	но знать твой отец сделать
И никакого отношения к этому не хочу иметь.	и никакой отношение это хотеть иметь
Я сам по себе, и призрак меня не трогает.	я себя призрак трогать
Поэтому никаких дел с тобой не хочу иметь.	поэтому никакой дело ты хотеть иметь
Убирайся!	убираться
Но как же я до дому доберусь?	но дом добраться
За этой дверью есть проселочная дорога.	за дверь просёлочный дорога
Спустишься полмили вниз,	спуститься полмиля вниз
там бензоколонка, поймаешь попутку.	бензоколонка поймать попутка
Я не могу иметь с тобой ничего общего. Убирайся!	я мочь иметь ты общий убираться
