cleaned_text	lemm_text
Следуй заданному курсу.	следовать задать курс
Хорошо.	хорошо
Держи угол.	держать угол
Очень хорошо.	очень хорошо
При различных условиях расчеты должны производиться с поправкой на ветер.	при различный условие расчёт должный производиться поправка ветер
Продолжай сохранять высоту.	продолжать сохранять высота
Держи высоту! Эй, полегче!	держать высота эй лёгкий
В реальности ты так летать не сможешь.	в реальность летать смочь
Как высоко я могу взлететь?	как высоко мочь взлететь
Мы поедем на лифте? - Конечно поедем.	мы поехать лифт конечно поехать
- Здравствуйте. - Здравствуйте. - У меня назначена встреча.	здравствовать здравствовать у назначить встреча
Господин Вендис сейчас занят.	господин вендис занятый
Могу я вам еще чем-нибудь помочь? - Нет.	мочь чемнибыть помочь нет
У меня проблема...	у проблема
личного характера.	личный характер
...разве не можем решить все сейчас? Нет.	разве мочь решить сейчас нет
У нас же заключен договор.	у заключить договор
Невозможно.	невозможно
У нас договор, и мы будем действовать в соответствии с ним.	у договор быть действовать соответствие он
Нет.	нет
Все в порядке. Мы обратимся к кому-нибудь еще.	весь порядок мы обратиться комунибудь ещё
Да, так и поступим. Это все меняет.	да поступить это менять
АлкомЭлектроникс, слушаю.	алкомэлектроникс слушать
У меня для вас срочное сообщение. Сработала сигнализация на вашей машине.	у срочный сообщение сработать сигнализация ваш машина
Она создает невыносимый шум. Спуститесь поскорее на стоянку.	она создавать невыносимый шум спуститься скорый стоянка
Добрый день.	добрый день
Полицейский участок.	полицейский участок
Я звонила вам много раз, но вы и пальцем не пошевелили.	я звонить раз палец пошевелить
Я решила действовать самостоятельно.	я решить действовать самостоятельно
В его офисе бомба. Она взорвется через...	в офис бомба она взорваться через
15 секунд.	15 секунда
Кто говорит?	кто говорить
Филиппа. Филиппа Паккард.	филипп филипп паккард
Нет, раньше семи у меня не получится.	нет ранний семь получиться
У меня очень много работы, извини. Дождись меня, пожалуйста.	у очень работа извинить дождаться я пожалуйста
Отлично, увидимся дома.	отлично увидеться дом
Как красиво.	как красиво
Так высоко.	так высоко
О, я могу подождать следующего.	о мочь подождать следующий
Не стоит, здесь места на всех хватит. - Спасибо.	не стоить место хватить спасибо
На выход!	на выход
Имя?	имя
Меня зовут Филиппа Паккард.	я звать филипп паккард
Что, по-английски поговорить захотелось?	что поанглийски поговорить захотеться
Я - англичанка. У меня есть право давать показания на своем родном языке.	я англичанка у право давать показание свой родной язык
В чем дело?	в дело
Чего вы добиваетесь?	что добиваться
Англичанка...	англичанка
Ну и? - Она согласна давать показания на английском.	ну и она согласный давать показание английский
Тогда нам нужен переводчик.	тогда мы нужный переводчик
Погодите.	погодить
Не надо переводчика.	не переводчик
Она прекрасно нас понимает.	она прекрасно понимать
Каждое наше слово. Хватит играться!	каждый наш слово хватить играться
Это ее право. - Да плевать я хотел на ее права.	это право да плевать хотеть право
Ей придется слушать итальянский,	она прийтись слушать итальянский
говорить на итальянском и давать показания на итальянском.	говорить итальянский давать показание итальянский
Простите...	простить
Я могу перевести.	я мочь перевести
Я знаю язык.	я знать язык
Имя?	имя
Филиппа Паккард.	филипп паккард
Дата рождения?	дата рождение
- 23 мая 1971.	23 май 1971
Место рождения?	место рождение
Принстон.	принстон
Профессия?	профессия
Я учу... то есть, учительница.	я учить есть учительница
Семейное положение?	семейный положение
Я не знаю.	я знать
Вы не знаете, замужем вы или нет?	вы знаете замужем нет
Мы собирались развестись, но год назад мой муж умер во время бракоразводного процесса.	мы собираться развестись год назад муж умереть время бракоразводный процесс
Вы разведены?	вы развести
Нет, он умер до того, как было вынесено решение.	нет умереть тот вынести решение
Значит, вы - вдова.	значит вдова
Вы обвиняетесь во взрыве офисного здания,	вы обвиняться взрыв офисный здание
в результате которого погибло четверо людей.	результат который погибнуть четверо человек
Четверо?	четверо
Да, четверо.	да четверо
Вследствие взрыва один из лифтов упал вниз.	вследствие взрыв лифт упасть вниз
В нем находилось четверо людей.	в немой находиться четверо человек
Отец с двумя дочерьми и консьержка.	отец два дочь консьержка
Трое погибло на месте.	трое погибнуть место
Младшая из девочек скончалась вчера ночью в больнице.	младший девочка скончаться вчера ночью больница
Вы обвиняетесь в сговоре с террористической организацией,	вы обвиняться сговор террористический организация
с целью нанесения вреда Штатам,	цель нанесение вред штат
а так же убийстве четырех человек.	убийство четыре человек
Эти люди... Погибло только четверо?	этот человек погибнуть четверо
Этих четверых вам не достаточно?	этот четверо достаточно
Нет, нет, этот человек в офисе... Я оставила бомбу в офисе.	нет нет человек офис я оставить бомба офис
На какую организацию вы работаете? Где вы взяли бомбу?	на какой организация работать где взять бомба
Кто отдал вам приказ?	кто отдать приказ
Никто.	никто
А ваш муж?	а ваш муж
Я... я...	я я
У меня нет мужа.	у муж
Он умер.	он умереть
Как он умер?	как умереть
От передозировки.	от передозировка
Послушайте,я годами звонила, писала, пыталась привлечь ваше внимание.	послушайтеть годами звонить писать пытаться привлечь ваш внимание
Куда вы звонили?	куда звонить
Сюда, в полицейское управление.	сюда полицейский управление
В какие инстанции?	в какой инстанция
Я пыталась поговорить с ними, рассказать им о человеке, которой занимается продажей наркотиков.	я пытаться поговорить они рассказать человек который заниматься продажа наркотик
Я знала его, он учился вместе с моим мужем.	я знать он учиться вместе мой муж
Из-за него каждую неделю умирали дети.	изз каждый неделя умирать ребёнок
А из-за вас вчера погибло четыре человека!	а изз вчера погибнуть четыре человек
Что это за чушь про торговца наркотиками? - Минутку.	что это чушь торговец наркотик минутка
Он не умер.	он умереть
Не уходите от вопроса!	не уходить вопрос
Отвечайте! Кто стоит за этим взрывом?	отвечать кто стоить это взрыв
Чьи приказы вы выполняете?	чей приказ выполнять
Отвечайте на вопрос!	отвечать вопрос
Господин прокурор...	господин прокурор
Приведите врача.	привести врач
Скорее!	скорее
Что случилось?	что случиться
Она упала в обморок.	она упасть обморок
Давайте же!	давать же
Очнитесь...	очнуться
Приготовьте руку.	приготовить рука
- Где я?	где я
- Вы в полицейском управлении.	вы полицейский управление
- Кто вы?	кто вы
- Я - полицейский.	я полицейский
- Простите меня, простите.	простить я простить
Нет, другую руку. - Но... - Идите, я больше не нуждаюсь в вашей помощи.	нет другой рука но идти нуждаться ваш помощь
Закройте дверь.	закрыть дверь
Лежите спокойно.	лежать спокойно
... я все еще в полицейском управлении. Они нашли ее.	полицейский управление они найти она
Я перезвоню позже.	я перезвонить поздний
...мы ждали ее в классе,	мы ждать класс
но пришел администратор, и сказал, что учительницы не будет.	прийти администратор сказать учительница быть
В чем дело, ребята? Почему такая печаль на лицах?	в дело ребята почему такой печаль лицо
Как прошел день?	как пройти день
Нормально.	нормальный
Он мне все рассказал. - Что ты имеешь в виду?	он рассказать что иметь вид
Про учительницу английского.	про учительница английский
Что ты там делаешь?	что делать
Стираю.	стирать
У меня случилась маленькая неприятность ночью.	у случиться маленький неприятность ночью
